"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Rise Rail Overshoot, [mV]","Rise Rail Overshoot Limit, [mV]","Rise Rail Overshoot Margin, [mV]","Rise Rail Overshoot, [Pass/Fail]","Rise Rail Overshoot Trace Point, [ns]","Fall Rail Undershoot, [mV]","Fall Rail Undershoot Limit, [mV]","Fall Rail Undershoot Margin, [mV]","Fall Rail Undershoot, [Pass/Fail]","Fall Rail Undershoot Trace Point, [ns]","Rise Rail Overshoot Area, [V*ns]","Rise Rail Overshoot Area Limit, [V*ns]","Rise Rail Overshoot Area Margin, [V*ns]","Rise Rail Overshoot Area, [Pass/Fail]","Rise Rail Overshoot Area Trace Point, [ns]","Fall Rail Undershoot Area, [V*ns]","Fall Rail Undershoot Area Limit, [V*ns]","Fall Rail Undershoot Area Margin, [V*ns]","Fall Rail Undershoot Area, [Pass/Fail]","Fall Rail Undershoot Area Trace Point, [ns]","Monotonic, [Pass/Fail]","Monotonic Trace Point, [ns]","VIH/L(AC) Min Limit, [Pass/Fail]","VIH/L(AC) Min Limit, Trace Point, [ns]","VIH/L(DC) Monotonicity, [Pass/Fail]","VIH/L(DC) Monotonicity Trace Point, [ns]","Vref Threshold Multi Cross, [Pass/Fail]","Max Slew Time, [ps]","Max Slew Time, [Pass/Fail]","VIX Limit Low, mV","VIX Limit Hi, mV","VIX Margin, mV","VIX, [Pass/Fail]","VIX Trace Point, [ns]","VID(AC) Limit, mV","VID(AC) Margin, mV","VID(AC), [Pass/Fail]","VID(AC) Trace Point, [ns]","VID(DC) Limit, mV","VID(DC), [Pass/Fail]","VID(DC) Trace Point, [ns]","VSEH/VSEL Limit Low, mV","VSEH/VSEL Limit Hi, mV","VSEH/VSEL Margin, mV","VSEH/VSEL, [Pass/Fail]","VSEH/VSEL Trace Point, [ns]","TVAC/TDVAC Min Time Over AC, ps","TVAC/TDVAC Time Limit, ps","TVAC/TDVAC Margin, ps","TVAC/TDVAC, [Pass/Fail]","TVAC/TDVAC Trace Point, [ns]"
"DRAM_CLK0_P","Pass","Write rank(1,1)","U1.AD15&AE15","U2.J7&K7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass"," 165.0","Pass"," 600.0"," 900.0"," 108.1","Pass"," 6.833"," 350.0"," 305.3","Pass"," 1.870"," 200.0","Pass","N/A"," 575.0"," 925.0","  88.0","Pass"," 1.870","   286","    75","   211","Pass"," 2.840"
"DRAM_CLK0_P","Pass","Write rank(1,1)","U1.AD15&AE15","U3.J7&K7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass"," 216.4","Pass"," 600.0"," 900.0"," 112.7","Pass"," 2.479"," 350.0"," 167.0","Pass"," 1.713"," 200.0","Pass","N/A"," 575.0"," 925.0","  10.6","Pass"," 1.709","   246","    75","   171","Pass"," 1.749"
"DRAM_CLK0_P","Fail","Write rank(1,1)","U1.AD15&AE15","U4.J7&K7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass"," 165.0","Pass"," 600.0"," 900.0"," 111.2","Pass","13.100"," 350.0"," 148.8","Pass"," 1.581"," 200.0","Pass","N/A"," 575.0"," 925.0","  -0.9","Fail"," 1.581","   246","    75","   171","Pass"," 1.608"
"DRAM_CLK0_P","Pass","Write rank(1,1)","U1.AD15&AE15","U5.J7&K7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass"," 139.4","Pass"," 600.0"," 900.0"," 113.5","Pass"," 4.559"," 350.0"," 118.0","Pass"," 1.478"," 200.0","Pass","N/A"," 575.0"," 925.0","   4.4","Pass"," 1.540","   271","    75","   196","Pass"," 1.478"
"DRAM_DQS0_P","Pass","Write rank(1,1)","U1.AE3&AD3","U2.F3&G3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass"," 100.3","Pass"," 600.0"," 900.0","  97.9","Pass"," 0.995"," 270.0"," 515.8","Pass"," 1.258"," 200.0","Pass","N/A"," 575.0"," 925.0"," 210.8","Pass"," 1.242","   370","   163","   207","Pass","60.327"
"DRAM_DQS1_P","Pass","Write rank(1,1)","U1.AD6&AE6","U2.C7&B7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass"," 100.3","Pass"," 600.0"," 900.0","  97.8","Pass"," 0.991"," 270.0"," 517.4","Pass"," 1.254"," 200.0","Pass","N/A"," 575.0"," 925.0"," 207.3","Pass"," 1.242","   366","   163","   203","Pass"," 1.225"
"DRAM_DQS2_P","Pass","Write rank(1,1)","U1.AD8&AE8","U3.F3&G3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","  92.6","Pass"," 600.0"," 900.0","  99.5","Pass","15.037"," 270.0"," 515.2","Pass"," 1.238"," 200.0","Pass","N/A"," 575.0"," 925.0"," 207.2","Pass"," 1.223","   366","   163","   203","Pass"," 1.207"
"DRAM_DQS3_P","Pass","Write rank(1,1)","U1.AC10&AB10","U3.C7&B7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","  96.4","Pass"," 600.0"," 900.0","  97.7","Pass","44.554"," 270.0"," 525.2","Pass"," 1.219"," 200.0","Pass","N/A"," 575.0"," 925.0"," 208.5","Pass"," 1.196","   363","   163","   200","Pass"," 1.177"
"DRAM_DQS4_P","Pass","Write rank(1,1)","U1.AD18&AE18","U4.F3&G3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","  92.6","Pass"," 600.0"," 900.0","  90.3","Pass","39.408"," 270.0"," 523.8","Pass"," 1.223"," 200.0","Pass","N/A"," 575.0"," 925.0"," 210.8","Pass"," 1.211","   366","   163","   203","Pass"," 1.190"
"DRAM_DQS5_P","Pass","Write rank(1,1)","U1.AD20&AE20","U4.C7&B7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","  96.4","Pass"," 600.0"," 900.0","  92.9","Pass","41.283"," 270.0"," 525.1","Pass"," 1.227"," 200.0","Pass","N/A"," 575.0"," 925.0"," 211.5","Pass"," 1.207","   370","   163","   207","Pass"," 1.188"
