.HEADER
..NAMES
Time,V U1.AA15
.DATA
0.0e+000,1.0942
3.67e-011,1.0943
7.33e-011,1.0952
1.100e-010,1.0969
1.467e-010,1.1017
1.834e-010,1.1031
2.201e-010,1.0899
2.567e-010,1.0426
2.934e-010,0.9440
3.301e-010,0.8132
3.667e-010,0.6805
4.034e-010,0.5655
4.401e-010,0.4780
4.768e-010,0.4179
5.135e-010,0.3782
5.501e-010,0.3523
5.868e-010,0.3341
6.235e-010,0.3214
6.601e-010,0.3123
6.968e-010,0.3059
7.335e-010,0.3014
7.702e-010,0.2982
8.068e-010,0.2957
8.435e-010,0.2938
8.802e-010,0.2929
9.169e-010,0.2935
9.536e-010,0.2957
9.902e-010,0.2992
1.0269e-009,0.3037
1.0636e-009,0.3133
1.1003e-009,0.3411
1.1369e-009,0.4027
1.1736e-009,0.5160
1.2103e-009,0.6657
1.2469e-009,0.8210
1.2836e-009,0.9344
1.3203e-009,0.9991
1.3570e-009,1.0403
1.3936e-009,1.0759
1.4303e-009,1.1117
1.4670e-009,1.1432
1.5037e-009,1.1654
1.5403e-009,1.1776
1.5770e-009,1.1822
1.6137e-009,1.1833
1.6504e-009,1.1842
1.6871e-009,1.1870
1.7237e-009,1.1916
1.7604e-009,1.1968
1.7971e-009,1.2000
1.8338e-009,1.1994
1.8704e-009,1.1951
1.9071e-009,1.1889
1.9438e-009,1.1820
1.9805e-009,1.1720
2.0171e-009,1.1572
2.0538e-009,1.1337
2.0905e-009,1.0960
2.1272e-009,1.0335
2.1638e-009,0.9290
2.2005e-009,0.7959
2.2372e-009,0.6581
2.2738e-009,0.5284
2.3105e-009,0.4197
2.3472e-009,0.3407
2.3839e-009,0.2923
2.4205e-009,0.2674
2.4572e-009,0.2572
2.4939e-009,0.2532
2.5306e-009,0.2490
2.5672e-009,0.2418
2.6039e-009,0.2320
2.6406e-009,0.2219
2.6773e-009,0.2138
2.7139e-009,0.2097
2.7506e-009,0.2101
2.7873e-009,0.2141
2.8240e-009,0.2188
2.8606e-009,0.2216
2.8973e-009,0.2235
2.9340e-009,0.2304
2.9707e-009,0.2488
3.0073e-009,0.2804
3.0440e-009,0.3176
3.0807e-009,0.3492
3.1174e-009,0.3684
3.1540e-009,0.3755
3.1907e-009,0.3764
3.2274e-009,0.3767
3.2641e-009,0.3796
3.3007e-009,0.3843
3.3374e-009,0.3887
3.3741e-009,0.3911
3.4108e-009,0.3909
3.4475e-009,0.3894
3.4841e-009,0.3885
3.5208e-009,0.3892
3.5575e-009,0.3914
3.5942e-009,0.3945
3.6308e-009,0.3974
3.6675e-009,0.3990
3.7042e-009,0.3989
3.7408e-009,0.3986
3.7775e-009,0.4000
3.8142e-009,0.4037
3.8509e-009,0.4078
3.8875e-009,0.4088
3.9242e-009,0.4043
3.9609e-009,0.3952
3.9976e-009,0.3839
4.0342e-009,0.3730
4.0709e-009,0.3630
4.1076e-009,0.3536
4.1443e-009,0.3446
4.1809e-009,0.3364
4.2176e-009,0.3303
4.2543e-009,0.3270
4.2910e-009,0.3265
4.3276e-009,0.3280
4.3643e-009,0.3297
4.4010e-009,0.3305
4.4377e-009,0.3298
4.4743e-009,0.3279
4.5110e-009,0.3257
4.5477e-009,0.3240
4.5844e-009,0.3236
4.6211e-009,0.3244
4.6577e-009,0.3255
4.6944e-009,0.3257
4.7311e-009,0.3243
4.7678e-009,0.3217
4.8044e-009,0.3209
4.8411e-009,0.3289
4.8778e-009,0.3565
4.9145e-009,0.4208
4.9511e-009,0.5233
4.9878e-009,0.6509
5.0245e-009,0.7736
5.0612e-009,0.8635
5.0978e-009,0.9276
5.1345e-009,0.9756
5.1712e-009,1.0138
5.2079e-009,1.0443
5.2445e-009,1.0667
5.2812e-009,1.0824
5.3179e-009,1.0938
5.3546e-009,1.1023
5.3912e-009,1.1085
5.4279e-009,1.1131
5.4646e-009,1.1163
5.5013e-009,1.1180
5.5379e-009,1.1180
5.5746e-009,1.1164
5.6113e-009,1.1135
5.6480e-009,1.1104
5.6846e-009,1.1064
5.7213e-009,1.0992
5.7580e-009,1.0882
5.7947e-009,1.0721
5.8313e-009,1.0434
5.8680e-009,0.9907
5.9047e-009,0.8941
5.9414e-009,0.7622
5.9780e-009,0.6301
6.0147e-009,0.5137
6.0514e-009,0.4191
6.0881e-009,0.3476
6.1247e-009,0.2993
6.1614e-009,0.2693
6.1981e-009,0.2531
6.2348e-009,0.2443
6.2714e-009,0.2388
6.3081e-009,0.2336
6.3448e-009,0.2276
6.3815e-009,0.2213
6.4181e-009,0.2157
6.4548e-009,0.2118
6.4915e-009,0.2104
6.5282e-009,0.2116
6.5648e-009,0.2149
6.6015e-009,0.2187
6.6382e-009,0.2228
6.6749e-009,0.2305
6.7115e-009,0.2475
6.7482e-009,0.2765
6.7849e-009,0.3125
6.8215e-009,0.3441
6.8582e-009,0.3630
6.8949e-009,0.3693
6.9316e-009,0.3695
6.9682e-009,0.3707
7.0049e-009,0.3761
7.0416e-009,0.3842
7.0783e-009,0.3917
7.1149e-009,0.3958
7.1516e-009,0.3956
7.1883e-009,0.3928
7.2250e-009,0.3901
7.2616e-009,0.3896
7.2983e-009,0.3916
7.3350e-009,0.3955
7.3717e-009,0.3997
7.4083e-009,0.4029
7.4450e-009,0.4040
7.4817e-009,0.4034
7.5184e-009,0.4031
7.5550e-009,0.4049
7.5917e-009,0.4083
7.6284e-009,0.4150
7.6651e-009,0.4298
7.7018e-009,0.4666
7.7384e-009,0.5445
7.7751e-009,0.6532
7.8118e-009,0.7745
7.8484e-009,0.8713
7.8851e-009,0.9326
7.9218e-009,0.9735
7.9585e-009,1.0058
7.9952e-009,1.0357
8.0318e-009,1.0628
8.0685e-009,1.0848
8.1052e-009,1.1010
8.1418e-009,1.1116
8.1785e-009,1.1173
8.2152e-009,1.1197
8.2519e-009,1.1206
8.2886e-009,1.1213
8.3252e-009,1.1223
8.3619e-009,1.1231
8.3986e-009,1.1227
8.4352e-009,1.1198
8.4719e-009,1.1134
8.5086e-009,1.1031
8.5453e-009,1.0882
8.5820e-009,1.0682
8.6186e-009,1.0463
8.6553e-009,1.0283
8.6920e-009,1.0206
8.7286e-009,1.0245
8.7653e-009,1.0327
8.8020e-009,1.0375
8.8387e-009,1.0348
8.8754e-009,1.0265
8.9120e-009,1.0178
8.9487e-009,1.0127
8.9854e-009,1.0126
9.0220e-009,1.0161
9.0587e-009,1.0205
9.0954e-009,1.0231
9.1321e-009,1.0227
9.1688e-009,1.0198
9.2054e-009,1.0159
9.2421e-009,1.0124
9.2788e-009,1.0104
9.3154e-009,1.0102
9.3521e-009,1.0114
9.3888e-009,1.0127
9.4255e-009,1.0134
9.4622e-009,1.0145
9.4988e-009,1.0179
9.5355e-009,1.0245
9.5722e-009,1.0335
9.6088e-009,1.0433
9.6455e-009,1.0525
9.6822e-009,1.0610
9.7189e-009,1.0695
9.7556e-009,1.0775
9.7922e-009,1.0840
9.8289e-009,1.0878
9.8656e-009,1.0886
9.9022e-009,1.0873
9.9389e-009,1.0857
9.9756e-009,1.0852
1.00123e-008,1.0866
1.00490e-008,1.0893
1.00856e-008,1.0922
1.01223e-008,1.0942
1.01590e-008,1.0949
1.01956e-008,1.0943
1.02323e-008,1.0930
1.02690e-008,1.0921
1.03057e-008,1.0924
1.03424e-008,1.0940
1.03790e-008,1.0972
1.04157e-008,1.1003
1.04524e-008,1.1045
1.04890e-008,1.1075
1.05257e-008,1.0996
1.05624e-008,1.0658
1.05991e-008,0.9839
1.06358e-008,0.8604
1.06724e-008,0.7265
1.07091e-008,0.6044
1.07458e-008,0.5080
1.07824e-008,0.4396
1.08191e-008,0.3949
1.08558e-008,0.3646
1.08925e-008,0.3441
1.09292e-008,0.3288
1.09658e-008,0.3179
1.10025e-008,0.3104
1.10392e-008,0.3055
1.10758e-008,0.3025
1.11125e-008,0.3005
1.11492e-008,0.2989
1.11859e-008,0.2977
1.12226e-008,0.2971
1.12592e-008,0.2979
1.12959e-008,0.3000
1.13326e-008,0.3036
1.13693e-008,0.3102
1.14059e-008,0.3308
1.14426e-008,0.3795
1.14793e-008,0.4756
1.15159e-008,0.6167
1.15526e-008,0.7742
1.15893e-008,0.9057
1.16260e-008,0.9837
1.16627e-008,1.0300
1.16993e-008,1.0663
1.17360e-008,1.1021
1.17727e-008,1.1358
1.18093e-008,1.1617
1.18460e-008,1.1768
1.18827e-008,1.1833
1.19194e-008,1.1849
1.19561e-008,1.1854
1.19927e-008,1.1873
1.20294e-008,1.1915
1.20661e-008,1.1966
1.21027e-008,1.2007
1.21394e-008,1.2017
1.21761e-008,1.1985
1.22128e-008,1.1926
1.22495e-008,1.1861
1.22861e-008,1.1773
1.23228e-008,1.1639
1.23595e-008,1.1440
1.23961e-008,1.1117
1.24328e-008,1.0601
1.24695e-008,0.9710
1.25062e-008,0.8450
1.25429e-008,0.7071
1.25795e-008,0.5727
1.26162e-008,0.4553
1.26529e-008,0.3655
1.26895e-008,0.3072
1.27262e-008,0.2751
1.27629e-008,0.2612
1.27996e-008,0.2560
1.28363e-008,0.2523
1.28729e-008,0.2461
1.29096e-008,0.2368
1.29463e-008,0.2265
1.29829e-008,0.2174
1.30196e-008,0.2118
1.30563e-008,0.2108
1.30930e-008,0.2139
1.31297e-008,0.2187
1.31663e-008,0.2223
1.32030e-008,0.2240
1.32397e-008,0.2284
1.32763e-008,0.2424
1.33130e-008,0.2698
1.33497e-008,0.3063
1.33864e-008,0.3410
1.34231e-008,0.3647
1.34597e-008,0.3756
1.34964e-008,0.3779
1.35331e-008,0.3779
1.35697e-008,0.3798
1.36064e-008,0.3839
1.36431e-008,0.3885
1.36798e-008,0.3917
1.37165e-008,0.3923
1.37531e-008,0.3911
1.37898e-008,0.3899
1.38265e-008,0.3901
1.38631e-008,0.3918
1.38998e-008,0.3947
1.39365e-008,0.3977
1.39732e-008,0.3997
1.40099e-008,0.4001
1.40465e-008,0.3997
1.40832e-008,0.4004
1.41199e-008,0.4035
1.41565e-008,0.4081
1.41932e-008,0.4155
1.42299e-008,0.4303
1.42666e-008,0.4664
1.43033e-008,0.5434
1.43399e-008,0.6516
1.43766e-008,0.7729
1.44133e-008,0.8712
1.44499e-008,0.9337
1.44866e-008,0.9752
1.45233e-008,1.0073
1.45600e-008,1.0362
1.45967e-008,1.0622
1.46333e-008,1.0832
1.46700e-008,1.0991
1.47067e-008,1.1101
1.47433e-008,1.1167
1.47800e-008,1.1199
1.48167e-008,1.1214
1.48534e-008,1.1221
1.48901e-008,1.1228
1.49267e-008,1.1232
1.49634e-008,1.1224
1.50001e-008,1.1193
1.50368e-008,1.1141
1.50734e-008,1.1054
1.51101e-008,1.0923
1.51468e-008,1.0769
1.51834e-008,1.0574
1.52201e-008,1.0263
1.52568e-008,0.9686
1.52935e-008,0.8656
1.53301e-008,0.7341
1.53668e-008,0.6052
1.54035e-008,0.4914
1.54402e-008,0.3994
1.54769e-008,0.3322
1.55135e-008,0.2890
1.55502e-008,0.2637
1.55869e-008,0.2504
1.56236e-008,0.2431
1.56602e-008,0.2377
1.56969e-008,0.2317
1.57336e-008,0.2251
1.57703e-008,0.2187
1.58069e-008,0.2133
1.58436e-008,0.2097
1.58803e-008,0.2088
1.59169e-008,0.2105
1.59536e-008,0.2143
1.59903e-008,0.2188
1.60270e-008,0.2245
1.60636e-008,0.2347
1.61003e-008,0.2626
1.61370e-008,0.3212
1.61737e-008,0.4261
1.62104e-008,0.5713
1.62470e-008,0.7312
1.62837e-008,0.8642
1.63204e-008,0.9505
1.63571e-008,1.0095
1.63937e-008,1.0565
1.64304e-008,1.0974
1.64671e-008,1.1306
1.65037e-008,1.1529
1.65404e-008,1.1654
1.65771e-008,1.1719
1.66138e-008,1.1762
1.66504e-008,1.1807
1.66871e-008,1.1862
1.67238e-008,1.1921
1.67605e-008,1.1972
1.67972e-008,1.1999
1.68338e-008,1.1991
1.68705e-008,1.1954
1.69072e-008,1.1912
1.69439e-008,1.1879
1.69805e-008,1.1819
1.70172e-008,1.1693
1.70539e-008,1.1470
1.70905e-008,1.1097
1.71272e-008,1.0507
1.71639e-008,0.9520
1.72006e-008,0.8203
1.72372e-008,0.6821
1.72739e-008,0.5516
1.73106e-008,0.4406
1.73473e-008,0.3578
1.73840e-008,0.3050
1.74206e-008,0.2757
1.74573e-008,0.2628
1.74940e-008,0.2570
1.75307e-008,0.2524
1.75673e-008,0.2456
1.76040e-008,0.2365
1.76407e-008,0.2272
1.76773e-008,0.2193
1.77140e-008,0.2148
1.77507e-008,0.2145
1.77874e-008,0.2175
1.78240e-008,0.2213
1.78607e-008,0.2232
1.78974e-008,0.2237
1.79341e-008,0.2272
1.79708e-008,0.2475
1.80074e-008,0.2984
1.80441e-008,0.3957
1.80808e-008,0.5389
1.81175e-008,0.7029
1.81541e-008,0.8479
1.81908e-008,0.9429
1.82275e-008,1.0048
1.82641e-008,1.0514
1.83008e-008,1.0914
1.83375e-008,1.1249
1.83742e-008,1.1487
1.84108e-008,1.1626
1.84475e-008,1.1701
1.84842e-008,1.1747
1.85209e-008,1.1792
1.85576e-008,1.1844
1.85942e-008,1.1901
1.86309e-008,1.1949
1.86676e-008,1.1975
1.87043e-008,1.1966
1.87409e-008,1.1930
1.87776e-008,1.1891
1.88143e-008,1.1870
1.88509e-008,1.1832
1.88876e-008,1.1730
1.89243e-008,1.1532
1.89610e-008,1.1185
1.89976e-008,1.0635
1.90343e-008,0.9714
1.90710e-008,0.8432
1.91077e-008,0.7054
1.91444e-008,0.5734
1.91810e-008,0.4585
1.92177e-008,0.3700
1.92544e-008,0.3114
1.92911e-008,0.2783
1.93277e-008,0.2629
1.93644e-008,0.2568
1.94011e-008,0.2529
1.94377e-008,0.2470
1.94744e-008,0.2386
1.95111e-008,0.2290
1.95478e-008,0.2205
1.95844e-008,0.2151
1.96211e-008,0.2141
1.96578e-008,0.2168
1.96945e-008,0.2209
1.97312e-008,0.2234
1.97678e-008,0.2239
1.98045e-008,0.2261
1.98412e-008,0.2426
1.98779e-008,0.2877
1.99145e-008,0.3769
1.99512e-008,0.5143
1.99879e-008,0.6769
2.00245e-008,0.8285
2.00612e-008,0.9305
2.00979e-008,0.9967
2.01346e-008,1.0451
2.01712e-008,1.0864
2.02079e-008,1.1209
2.02446e-008,1.1461
2.02813e-008,1.1612
2.03179e-008,1.1690
2.03546e-008,1.1737
2.03913e-008,1.1782
2.04280e-008,1.1836
2.04647e-008,1.1894
2.05013e-008,1.1946
2.05380e-008,1.1976
2.05747e-008,1.1971
2.06114e-008,1.1935
2.06480e-008,1.1894
2.06847e-008,1.1866
2.07214e-008,1.1830
2.07580e-008,1.1720
2.07947e-008,1.1489
2.08314e-008,1.1170
2.08681e-008,1.0876
2.09047e-008,1.0715
2.09414e-008,1.0685
2.09781e-008,1.0693
2.10148e-008,1.0646
2.10515e-008,1.0517
2.10881e-008,1.0355
2.11248e-008,1.0231
2.11615e-008,1.0186
2.11982e-008,1.0215
2.12348e-008,1.0284
2.12715e-008,1.0343
2.13082e-008,1.0358
2.13448e-008,1.0325
2.13815e-008,1.0263
2.14182e-008,1.0199
2.14549e-008,1.0159
2.14915e-008,1.0155
2.15282e-008,1.0180
2.15649e-008,1.0206
2.16016e-008,1.0208
2.16383e-008,1.0187
2.16749e-008,1.0175
2.17116e-008,1.0235
2.17483e-008,1.0331
2.17850e-008,1.0322
2.18216e-008,0.9998
2.18583e-008,0.9145
2.18950e-008,0.7925
2.19316e-008,0.6701
2.19683e-008,0.5650
2.20050e-008,0.4835
2.20417e-008,0.4232
2.20783e-008,0.3801
2.21150e-008,0.3483
2.21517e-008,0.3262
2.21884e-008,0.3120
2.22251e-008,0.3045
2.22617e-008,0.3014
2.22984e-008,0.3003
2.23351e-008,0.2990
2.23718e-008,0.2965
2.24084e-008,0.2927
2.24451e-008,0.2891
2.24818e-008,0.2878
2.25184e-008,0.2909
2.25551e-008,0.2977
2.25918e-008,0.3063
2.26285e-008,0.3168
2.26651e-008,0.3404
2.27018e-008,0.3921
2.27385e-008,0.4919
2.27752e-008,0.6333
2.28119e-008,0.7877
2.28485e-008,0.9120
2.28852e-008,0.9861
2.29219e-008,1.0330
2.29586e-008,1.0719
2.29952e-008,1.1094
2.30319e-008,1.1427
2.30686e-008,1.1663
2.31052e-008,1.1789
2.31419e-008,1.1835
2.31786e-008,1.1847
2.32153e-008,1.1859
2.32519e-008,1.1892
2.32886e-008,1.1945
2.33253e-008,1.2005
2.33620e-008,1.2046
2.33987e-008,1.2047
2.34353e-008,1.2001
2.34720e-008,1.1929
2.35087e-008,1.1848
2.35454e-008,1.1747
2.35820e-008,1.1578
2.36187e-008,1.1322
2.36554e-008,1.1031
2.36920e-008,1.0808
2.37287e-008,1.0718
2.37654e-008,1.0716
2.38021e-008,1.0703
2.38387e-008,1.0612
2.38754e-008,1.0453
2.39121e-008,1.0292
2.39488e-008,1.0195
2.39855e-008,1.0182
2.40221e-008,1.0235
2.40588e-008,1.0307
2.40955e-008,1.0352
2.41322e-008,1.0344
2.41688e-008,1.0291
2.42055e-008,1.0221
2.42422e-008,1.0159
2.42788e-008,1.0128
2.43155e-008,1.0134
2.43522e-008,1.0166
2.43889e-008,1.0192
2.44255e-008,1.0196
2.44622e-008,1.0183
2.44989e-008,1.0193
2.45356e-008,1.0277
2.45723e-008,1.0362
2.46089e-008,1.0294
2.46456e-008,0.9844
2.46823e-008,0.8867
2.47190e-008,0.7623
2.47556e-008,0.6430
2.47923e-008,0.5429
2.48290e-008,0.4658
2.48657e-008,0.4093
2.49023e-008,0.3686
2.49390e-008,0.3401
2.49757e-008,0.3208
2.50123e-008,0.3095
2.50490e-008,0.3040
2.50857e-008,0.3017
2.51224e-008,0.3003
2.51590e-008,0.2982
2.51957e-008,0.2948
2.52324e-008,0.2908
2.52691e-008,0.2878
2.53058e-008,0.2882
2.53424e-008,0.2927
2.53791e-008,0.3003
2.54158e-008,0.3089
2.54525e-008,0.3214
2.54891e-008,0.3506
2.55258e-008,0.4130
2.55625e-008,0.5263
2.55991e-008,0.6738
2.56358e-008,0.8255
2.56725e-008,0.9358
2.57092e-008,1.0006
2.57458e-008,1.0444
2.57825e-008,1.0825
2.58192e-008,1.1193
2.58559e-008,1.1499
2.58926e-008,1.1701
2.59292e-008,1.1802
2.59659e-008,1.1836
2.60026e-008,1.1847
2.60393e-008,1.1866
2.60759e-008,1.1906
2.61126e-008,1.1963
2.61493e-008,1.2019
2.61859e-008,1.2049
2.62226e-008,1.2034
2.62593e-008,1.1979
2.62960e-008,1.1905
2.63326e-008,1.1829
2.63693e-008,1.1727
2.64060e-008,1.1579
2.64427e-008,1.1342
2.64794e-008,1.0962
2.65160e-008,1.0329
2.65527e-008,0.9273
2.65894e-008,0.7931
2.66261e-008,0.6545
2.66627e-008,0.5250
2.66994e-008,0.4178
2.67361e-008,0.3409
2.67727e-008,0.2942
2.68094e-008,0.2704
2.68461e-008,0.2602
2.68828e-008,0.2556
2.69194e-008,0.2505
2.69561e-008,0.2425
2.69928e-008,0.2326
2.70295e-008,0.2228
2.70662e-008,0.2153
2.71028e-008,0.2116
2.71395e-008,0.2124
2.71762e-008,0.2163
2.72129e-008,0.2207
2.72495e-008,0.2230
2.72862e-008,0.2247
2.73229e-008,0.2311
2.73595e-008,0.2577
2.73962e-008,0.3181
2.74329e-008,0.4279
2.74696e-008,0.5790
2.75062e-008,0.7444
2.75429e-008,0.8782
2.75796e-008,0.9631
2.76163e-008,1.0188
2.76530e-008,1.0618
2.76896e-008,1.0994
2.77263e-008,1.1303
2.77630e-008,1.1516
2.77997e-008,1.1643
2.78363e-008,1.1714
2.78730e-008,1.1762
2.79097e-008,1.1807
2.79463e-008,1.1857
2.79830e-008,1.1910
2.80197e-008,1.1953
2.80564e-008,1.1970
2.80930e-008,1.1955
2.81297e-008,1.1919
2.81664e-008,1.1887
