.HEADER
..NAMES
Time,V U1.AC17
.DATA
0.0e+000,1.0942
3.67e-011,1.0943
7.33e-011,1.0952
1.100e-010,1.0969
1.467e-010,1.1015
1.834e-010,1.1028
2.201e-010,1.0898
2.567e-010,1.0442
2.934e-010,0.9502
3.301e-010,0.8272
3.667e-010,0.7022
4.034e-010,0.5906
4.401e-010,0.5016
4.768e-010,0.4369
5.135e-010,0.3918
5.501e-010,0.3613
5.868e-010,0.3396
6.235e-010,0.3248
6.601e-010,0.3145
6.968e-010,0.3073
7.335e-010,0.3024
7.702e-010,0.2989
8.068e-010,0.2962
8.435e-010,0.2945
8.802e-010,0.2942
9.169e-010,0.2959
9.536e-010,0.2992
9.902e-010,0.3029
1.0269e-009,0.3063
1.0636e-009,0.3133
1.1003e-009,0.3366
1.1369e-009,0.3927
1.1736e-009,0.5005
1.2103e-009,0.6470
1.2469e-009,0.8033
1.2836e-009,0.9205
1.3203e-009,0.9885
1.3570e-009,1.0303
1.3936e-009,1.0647
1.4303e-009,1.1001
1.4670e-009,1.1340
1.5037e-009,1.1616
1.5403e-009,1.1802
1.5770e-009,1.1897
1.6137e-009,1.1923
1.6504e-009,1.1915
1.6871e-009,1.1906
1.7237e-009,1.1916
1.7604e-009,1.1944
1.7971e-009,1.1972
1.8338e-009,1.1979
1.8704e-009,1.1963
1.9071e-009,1.1928
1.9438e-009,1.1878
1.9805e-009,1.1788
2.0171e-009,1.1619
2.0538e-009,1.1357
2.0905e-009,1.1049
2.1272e-009,1.0796
2.1638e-009,1.0677
2.2005e-009,1.0681
2.2372e-009,1.0726
2.2738e-009,1.0713
2.3105e-009,1.0593
2.3472e-009,1.0394
2.3839e-009,1.0192
2.4205e-009,1.0066
2.4572e-009,1.0047
2.4939e-009,1.0117
2.5306e-009,1.0222
2.5672e-009,1.0305
2.6039e-009,1.0330
2.6406e-009,1.0291
2.6773e-009,1.0209
2.7139e-009,1.0121
2.7506e-009,1.0056
2.7873e-009,1.0030
2.8240e-009,1.0041
2.8606e-009,1.0082
2.8973e-009,1.0132
2.9340e-009,1.0197
2.9707e-009,1.0283
3.0073e-009,1.0301
3.0440e-009,1.0108
3.0807e-009,0.9486
3.1174e-009,0.8406
3.1540e-009,0.7204
3.1907e-009,0.6121
3.2274e-009,0.5254
3.2641e-009,0.4609
3.3007e-009,0.4148
3.3374e-009,0.3803
3.3741e-009,0.3508
3.4108e-009,0.3260
3.4475e-009,0.3060
3.4841e-009,0.2932
3.5208e-009,0.2879
3.5575e-009,0.2883
3.5942e-009,0.2915
3.6308e-009,0.2948
3.6675e-009,0.2967
3.7042e-009,0.2970
3.7408e-009,0.2970
3.7775e-009,0.2974
3.8142e-009,0.2989
3.8509e-009,0.3024
3.8875e-009,0.3153
3.9242e-009,0.3505
3.9609e-009,0.4255
3.9976e-009,0.5514
4.0342e-009,0.7046
4.0709e-009,0.8512
4.1076e-009,0.9456
4.1443e-009,0.9987
4.1809e-009,1.0353
4.2176e-009,1.0714
4.2543e-009,1.1099
4.2910e-009,1.1453
4.3276e-009,1.1724
4.3643e-009,1.1887
4.4010e-009,1.1952
4.4377e-009,1.1952
4.4743e-009,1.1928
4.5110e-009,1.1911
4.5477e-009,1.1922
4.5844e-009,1.1956
4.6211e-009,1.1989
4.6577e-009,1.2002
4.6944e-009,1.1987
4.7311e-009,1.1959
4.7678e-009,1.1900
4.8044e-009,1.1790
4.8411e-009,1.1621
4.8778e-009,1.1336
4.9145e-009,1.0873
4.9511e-009,1.0094
4.9878e-009,0.8944
5.0245e-009,0.7687
5.0612e-009,0.6508
5.0978e-009,0.5409
5.1345e-009,0.4405
5.1712e-009,0.3567
5.2079e-009,0.2954
5.2445e-009,0.2585
5.2812e-009,0.2424
5.3179e-009,0.2398
5.3546e-009,0.2423
5.3912e-009,0.2430
5.4279e-009,0.2388
5.4646e-009,0.2298
5.5013e-009,0.2185
5.5379e-009,0.2087
5.5746e-009,0.2037
5.6113e-009,0.2051
5.6480e-009,0.2112
5.6846e-009,0.2187
5.7213e-009,0.2253
5.7580e-009,0.2351
5.7947e-009,0.2618
5.8313e-009,0.3221
5.8680e-009,0.4322
5.9047e-009,0.5808
5.9414e-009,0.7401
5.9780e-009,0.8621
6.0147e-009,0.9424
6.0514e-009,1.0012
6.0881e-009,1.0530
6.1247e-009,1.1006
6.1614e-009,1.1377
6.1981e-009,1.1607
6.2348e-009,1.1708
6.2714e-009,1.1730
6.3081e-009,1.1731
6.3448e-009,1.1751
6.3815e-009,1.1806
6.4181e-009,1.1888
6.4548e-009,1.1971
6.4915e-009,1.2019
6.5282e-009,1.2012
6.5648e-009,1.1962
6.6015e-009,1.1896
6.6382e-009,1.1838
6.6749e-009,1.1773
6.7115e-009,1.1682
6.7482e-009,1.1484
6.7849e-009,1.1093
6.8215e-009,1.0384
6.8582e-009,0.9247
6.8949e-009,0.7922
6.9316e-009,0.6666
6.9682e-009,0.5529
7.0049e-009,0.4516
7.0416e-009,0.3672
7.0783e-009,0.3041
7.1149e-009,0.2651
7.1516e-009,0.2465
7.1883e-009,0.2425
7.2250e-009,0.2443
7.2616e-009,0.2450
7.2983e-009,0.2409
7.3350e-009,0.2320
7.3717e-009,0.2207
7.4083e-009,0.2108
7.4450e-009,0.2059
7.4817e-009,0.2075
7.5184e-009,0.2138
7.5550e-009,0.2212
7.5917e-009,0.2269
7.6284e-009,0.2331
7.6651e-009,0.2453
7.7018e-009,0.2685
7.7384e-009,0.3008
7.7751e-009,0.3335
7.8118e-009,0.3577
7.8484e-009,0.3697
7.8851e-009,0.3721
7.9218e-009,0.3723
7.9585e-009,0.3770
7.9952e-009,0.3865
8.0318e-009,0.3969
8.0685e-009,0.4031
8.1052e-009,0.4027
8.1418e-009,0.3971
8.1785e-009,0.3902
8.2152e-009,0.3860
8.2519e-009,0.3866
8.2886e-009,0.3917
8.3252e-009,0.3992
8.3619e-009,0.4060
8.3986e-009,0.4097
8.4352e-009,0.4099
8.4719e-009,0.4080
8.5086e-009,0.4061
8.5453e-009,0.4056
8.5820e-009,0.4060
8.6186e-009,0.4055
8.6553e-009,0.4024
8.6920e-009,0.3962
8.7286e-009,0.3879
8.7653e-009,0.3784
8.8020e-009,0.3683
8.8387e-009,0.3576
8.8754e-009,0.3463
8.9120e-009,0.3354
8.9487e-009,0.3265
8.9854e-009,0.3217
9.0220e-009,0.3220
9.0587e-009,0.3262
9.0954e-009,0.3318
9.1321e-009,0.3357
9.1688e-009,0.3364
9.2054e-009,0.3335
9.2421e-009,0.3286
9.2788e-009,0.3237
9.3154e-009,0.3207
9.3521e-009,0.3203
9.3888e-009,0.3221
9.4255e-009,0.3243
9.4622e-009,0.3256
9.4988e-009,0.3253
9.5355e-009,0.3235
9.5722e-009,0.3212
9.6088e-009,0.3192
9.6455e-009,0.3179
9.6822e-009,0.3175
9.7189e-009,0.3180
9.7556e-009,0.3192
9.7922e-009,0.3208
9.8289e-009,0.3224
9.8656e-009,0.3235
9.9022e-009,0.3236
9.9389e-009,0.3226
9.9756e-009,0.3207
1.00123e-008,0.3187
1.00490e-008,0.3173
1.00856e-008,0.3169
1.01223e-008,0.3178
1.01590e-008,0.3194
1.01956e-008,0.3211
1.02323e-008,0.3219
1.02690e-008,0.3217
1.03057e-008,0.3204
1.03424e-008,0.3190
1.03790e-008,0.3182
1.04157e-008,0.3187
1.04524e-008,0.3243
1.04890e-008,0.3425
1.05257e-008,0.3870
1.05624e-008,0.4698
1.05991e-008,0.5807
1.06358e-008,0.7040
1.06724e-008,0.8032
1.07091e-008,0.8774
1.07458e-008,0.9355
1.07824e-008,0.9831
1.08191e-008,1.0223
1.08558e-008,1.0522
1.08925e-008,1.0737
1.09292e-008,1.0887
1.09658e-008,1.0989
1.10025e-008,1.1062
1.10392e-008,1.1114
1.10758e-008,1.1150
1.11125e-008,1.1172
1.11492e-008,1.1182
1.11859e-008,1.1175
1.12226e-008,1.1151
1.12592e-008,1.1118
1.12959e-008,1.1076
1.13326e-008,1.1022
1.13693e-008,1.0927
1.14059e-008,1.0768
1.14426e-008,1.0553
1.14793e-008,1.0333
1.15159e-008,1.0184
1.15526e-008,1.0153
1.15893e-008,1.0208
1.16260e-008,1.0288
1.16627e-008,1.0324
1.16993e-008,1.0289
1.17360e-008,1.0208
1.17727e-008,1.0128
1.18093e-008,1.0086
1.18460e-008,1.0092
1.18827e-008,1.0129
1.19194e-008,1.0173
1.19561e-008,1.0199
1.19927e-008,1.0198
1.20294e-008,1.0172
1.20661e-008,1.0134
1.21027e-008,1.0101
1.21394e-008,1.0080
1.21761e-008,1.0074
1.22128e-008,1.0080
1.22495e-008,1.0092
1.22861e-008,1.0111
1.23228e-008,1.0141
1.23595e-008,1.0188
1.23961e-008,1.0252
1.24328e-008,1.0329
1.24695e-008,1.0411
1.25062e-008,1.0492
1.25429e-008,1.0574
1.25795e-008,1.0662
1.26162e-008,1.0753
1.26529e-008,1.0837
1.26895e-008,1.0898
1.27262e-008,1.0925
1.27629e-008,1.0914
1.27996e-008,1.0882
1.28363e-008,1.0851
1.28729e-008,1.0840
1.29096e-008,1.0854
1.29463e-008,1.0888
1.29829e-008,1.0926
1.30196e-008,1.0956
1.30563e-008,1.0970
1.30930e-008,1.0969
1.31297e-008,1.0956
1.31663e-008,1.0943
1.32030e-008,1.0937
1.32397e-008,1.0942
1.32763e-008,1.0955
1.33130e-008,1.0970
1.33497e-008,1.0982
1.33864e-008,1.0988
1.34231e-008,1.0988
1.34597e-008,1.0982
1.34964e-008,1.0972
1.35331e-008,1.0961
1.35697e-008,1.0951
1.36064e-008,1.0948
1.36431e-008,1.0954
1.36798e-008,1.0967
1.37165e-008,1.0984
1.37531e-008,1.0998
1.37898e-008,1.1003
1.38265e-008,1.0998
1.38631e-008,1.0985
1.38998e-008,1.0972
1.39365e-008,1.0963
1.39732e-008,1.0962
1.40099e-008,1.0969
1.40465e-008,1.0980
1.40832e-008,1.0989
1.41199e-008,1.0992
1.41565e-008,1.0988
1.41932e-008,1.0978
1.42299e-008,1.0967
1.42666e-008,1.0959
1.43033e-008,1.0955
1.43399e-008,1.0955
1.43766e-008,1.0957
1.44133e-008,1.0962
1.44499e-008,1.0966
1.44866e-008,1.0969
1.45233e-008,1.0969
1.45600e-008,1.0967
1.45967e-008,1.0964
1.46333e-008,1.0960
1.46700e-008,1.0959
1.47067e-008,1.0959
1.47433e-008,1.0961
1.47800e-008,1.0964
1.48167e-008,1.0966
1.48534e-008,1.0967
1.48901e-008,1.0966
1.49267e-008,1.0963
1.49634e-008,1.0959
1.50001e-008,1.0956
1.50368e-008,1.0955
1.50734e-008,1.0965
1.51101e-008,1.0982
1.51468e-008,1.1025
1.51834e-008,1.1055
1.52201e-008,1.0969
1.52568e-008,1.0605
1.52935e-008,0.9766
1.53301e-008,0.8573
1.53668e-008,0.7312
1.54035e-008,0.6156
1.54402e-008,0.5211
1.54769e-008,0.4510
1.55135e-008,0.4027
1.55502e-008,0.3691
1.55869e-008,0.3457
1.56236e-008,0.3293
1.56602e-008,0.3181
1.56969e-008,0.3102
1.57336e-008,0.3049
1.57703e-008,0.3012
1.58069e-008,0.2984
1.58436e-008,0.2965
1.58803e-008,0.2959
1.59169e-008,0.2971
1.59536e-008,0.3001
1.59903e-008,0.3037
1.60270e-008,0.3071
1.60636e-008,0.3122
1.61003e-008,0.3308
1.61370e-008,0.3781
1.61737e-008,0.4748
1.62104e-008,0.6157
1.62470e-008,0.7737
1.62837e-008,0.9026
1.63204e-008,0.9793
1.63571e-008,1.0246
1.63937e-008,1.0594
1.64304e-008,1.0941
1.64671e-008,1.1288
1.65037e-008,1.1580
1.65404e-008,1.1786
1.65771e-008,1.1899
1.66138e-008,1.1938
1.66504e-008,1.1933
1.66871e-008,1.1921
1.67238e-008,1.1926
1.67605e-008,1.1950
1.67972e-008,1.1979
1.68338e-008,1.1992
1.68705e-008,1.1980
1.69072e-008,1.1950
1.69439e-008,1.1904
1.69805e-008,1.1826
1.70172e-008,1.1676
1.70539e-008,1.1431
1.70905e-008,1.1126
1.71272e-008,1.0852
1.71639e-008,1.0702
1.72006e-008,1.0686
1.72372e-008,1.0732
1.72739e-008,1.0739
1.73106e-008,1.0642
1.73473e-008,1.0454
1.73840e-008,1.0245
1.74206e-008,1.0097
1.74573e-008,1.0054
1.74940e-008,1.0108
1.75307e-008,1.0211
1.75673e-008,1.0304
1.76040e-008,1.0343
1.76407e-008,1.0317
1.76773e-008,1.0242
1.77140e-008,1.0151
1.77507e-008,1.0079
1.77874e-008,1.0044
1.78240e-008,1.0046
1.78607e-008,1.0073
1.78974e-008,1.0109
1.79341e-008,1.0146
1.79708e-008,1.0188
1.80074e-008,1.0242
1.80441e-008,1.0309
1.80808e-008,1.0383
1.81175e-008,1.0458
1.81541e-008,1.0536
1.81908e-008,1.0624
1.82275e-008,1.0724
1.82641e-008,1.0830
1.83008e-008,1.0918
1.83375e-008,1.0963
1.83742e-008,1.0952
1.84108e-008,1.0896
1.84475e-008,1.0827
1.84842e-008,1.0781
1.85209e-008,1.0779
1.85576e-008,1.0818
1.85942e-008,1.0879
1.86309e-008,1.0937
1.86676e-008,1.0973
1.87043e-008,1.0978
1.87409e-008,1.0956
1.87776e-008,1.0922
1.88143e-008,1.0897
1.88509e-008,1.0892
1.88876e-008,1.0908
1.89243e-008,1.0937
1.89610e-008,1.0965
1.89976e-008,1.0985
1.90343e-008,1.0994
1.90710e-008,1.0990
1.91077e-008,1.0977
1.91444e-008,1.0959
1.91810e-008,1.0941
1.92177e-008,1.0929
1.92544e-008,1.0930
1.92911e-008,1.0944
1.93277e-008,1.0968
1.93644e-008,1.0992
1.94011e-008,1.1005
1.94377e-008,1.1002
1.94744e-008,1.0987
1.95111e-008,1.0966
1.95478e-008,1.0948
1.95844e-008,1.0941
1.96211e-008,1.0948
1.96578e-008,1.0965
1.96945e-008,1.0984
1.97312e-008,1.0995
1.97678e-008,1.1002
1.98045e-008,1.1004
1.98412e-008,1.1030
1.98779e-008,1.1037
1.99145e-008,1.0918
1.99512e-008,1.0504
1.99879e-008,0.9613
2.00245e-008,0.8408
2.00612e-008,0.7164
2.00979e-008,0.6037
2.01346e-008,0.5124
2.01712e-008,0.4448
2.02079e-008,0.3975
2.02446e-008,0.3651
2.02813e-008,0.3423
2.03179e-008,0.3269
2.03546e-008,0.3165
2.03913e-008,0.3096
2.04280e-008,0.3049
2.04647e-008,0.3015
2.05013e-008,0.2987
2.05380e-008,0.2964
2.05747e-008,0.2954
2.06114e-008,0.2963
2.06480e-008,0.2992
2.06847e-008,0.3032
2.07214e-008,0.3073
2.07580e-008,0.3128
2.07947e-008,0.3228
2.08314e-008,0.3404
2.08681e-008,0.3644
2.09047e-008,0.3885
2.09414e-008,0.4054
2.09781e-008,0.4106
2.10148e-008,0.4052
2.10515e-008,0.3953
2.10881e-008,0.3889
2.11248e-008,0.3893
2.11615e-008,0.3956
2.11982e-008,0.4039
2.12348e-008,0.4100
2.12715e-008,0.4115
2.13082e-008,0.4085
2.13448e-008,0.4035
2.13815e-008,0.3994
2.14182e-008,0.3981
2.14549e-008,0.4000
2.14915e-008,0.4040
2.15282e-008,0.4083
2.15649e-008,0.4115
2.16016e-008,0.4128
2.16383e-008,0.4125
2.16749e-008,0.4126
2.17116e-008,0.4190
2.17483e-008,0.4406
2.17850e-008,0.4939
2.18216e-008,0.5875
2.18583e-008,0.7014
2.18950e-008,0.8155
2.19316e-008,0.8957
2.19683e-008,0.9497
2.20050e-008,0.9889
2.20417e-008,1.0195
2.20783e-008,1.0436
2.21150e-008,1.0625
2.21517e-008,1.0785
2.21884e-008,1.0931
2.22251e-008,1.1065
2.22617e-008,1.1174
2.22984e-008,1.1245
2.23351e-008,1.1272
2.23718e-008,1.1260
2.24084e-008,1.1219
2.24451e-008,1.1164
2.24818e-008,1.1107
2.25184e-008,1.1065
2.25551e-008,1.1034
2.25918e-008,1.0990
2.26285e-008,1.0889
2.26651e-008,1.0703
2.27018e-008,1.0460
2.27385e-008,1.0232
2.27752e-008,1.0106
2.28119e-008,1.0116
2.28485e-008,1.0207
2.28852e-008,1.0299
2.29219e-008,1.0326
2.29586e-008,1.0276
2.29952e-008,1.0188
2.30319e-008,1.0113
2.30686e-008,1.0080
2.31052e-008,1.0089
2.31419e-008,1.0119
2.31786e-008,1.0148
2.32153e-008,1.0160
2.32519e-008,1.0151
2.32886e-008,1.0128
2.33253e-008,1.0102
2.33620e-008,1.0082
2.33987e-008,1.0071
2.34353e-008,1.0066
2.34720e-008,1.0065
2.35087e-008,1.0069
2.35454e-008,1.0086
2.35820e-008,1.0124
2.36187e-008,1.0189
2.36554e-008,1.0275
2.36920e-008,1.0368
2.37287e-008,1.0458
2.37654e-008,1.0540
2.38021e-008,1.0618
2.38387e-008,1.0700
2.38754e-008,1.0782
2.39121e-008,1.0855
2.39488e-008,1.0903
2.39855e-008,1.0914
2.40221e-008,1.0893
2.40588e-008,1.0858
2.40955e-008,1.0833
2.41322e-008,1.0833
2.41688e-008,1.0858
2.42055e-008,1.0895
2.42422e-008,1.0932
2.42788e-008,1.0956
2.43155e-008,1.0964
2.43522e-008,1.0958
2.43889e-008,1.0945
2.44255e-008,1.0936
2.44622e-008,1.0935
2.44989e-008,1.0943
2.45356e-008,1.0955
2.45723e-008,1.0967
2.46089e-008,1.0976
2.46456e-008,1.0979
2.46823e-008,1.0978
2.47190e-008,1.0972
2.47556e-008,1.0963
2.47923e-008,1.0953
2.48290e-008,1.0945
2.48657e-008,1.0944
2.49023e-008,1.0952
2.49390e-008,1.0968
2.49757e-008,1.0985
2.50123e-008,1.0997
2.50490e-008,1.0999
2.50857e-008,1.0990
2.51224e-008,1.0976
2.51590e-008,1.0963
2.51957e-008,1.0956
2.52324e-008,1.0958
2.52691e-008,1.0968
2.53058e-008,1.0979
2.53424e-008,1.0984
2.53791e-008,1.0991
2.54158e-008,1.0995
2.54525e-008,1.1014
2.54891e-008,1.1048
2.55258e-008,1.1006
2.55625e-008,1.0758
2.55991e-008,1.0088
2.56358e-008,0.8985
2.56725e-008,0.7730
2.57092e-008,0.6530
2.57458e-008,0.5511
2.57825e-008,0.4728
2.58192e-008,0.4173
2.58559e-008,0.3790
2.58926e-008,0.3523
2.59292e-008,0.3338
2.59659e-008,0.3210
2.60026e-008,0.3125
2.60393e-008,0.3068
2.60759e-008,0.3028
2.61126e-008,0.2998
2.61493e-008,0.2974
2.61859e-008,0.2959
2.62226e-008,0.2960
2.62593e-008,0.2982
2.62960e-008,0.3019
2.63326e-008,0.3057
2.63693e-008,0.3098
2.64060e-008,0.3228
2.64427e-008,0.3584
2.64794e-008,0.4367
2.65160e-008,0.5652
2.65527e-008,0.7203
2.65894e-008,0.8652
2.66261e-008,0.9576
2.66627e-008,1.0111
2.66994e-008,1.0478
2.67361e-008,1.0825
2.67727e-008,1.1176
2.68094e-008,1.1492
2.68461e-008,1.1728
2.68828e-008,1.1869
2.69194e-008,1.1927
2.69561e-008,1.1933
2.69928e-008,1.1923
2.70295e-008,1.1921
2.70662e-008,1.1940
2.71028e-008,1.1971
2.71395e-008,1.1992
2.71762e-008,1.1988
2.72129e-008,1.1962
2.72495e-008,1.1920
2.72862e-008,1.1856
2.73229e-008,1.1734
2.73595e-008,1.1521
2.73962e-008,1.1230
2.74329e-008,1.0935
2.74696e-008,1.0738
2.75062e-008,1.0682
2.75429e-008,1.0716
2.75796e-008,1.0745
2.76163e-008,1.0685
2.76530e-008,1.0521
2.76896e-008,1.0310
2.77263e-008,1.0135
2.77630e-008,1.0057
2.77997e-008,1.0083
2.78363e-008,1.0177
2.78730e-008,1.0278
2.79097e-008,1.0337
2.79463e-008,1.0331
2.79830e-008,1.0269
2.80197e-008,1.0180
2.80564e-008,1.0099
2.80930e-008,1.0051
2.81297e-008,1.0042
2.81664e-008,1.0069
