.HEADER
..NAMES
Time,V U1.AE13
.DATA
0.0e+000,1.0946
3.67e-011,1.0947
7.33e-011,1.0956
1.100e-010,1.0973
1.467e-010,1.1019
1.834e-010,1.1034
2.201e-010,1.0903
2.567e-010,1.0440
2.934e-010,0.9477
3.301e-010,0.8204
3.667e-010,0.6908
4.034e-010,0.5768
4.401e-010,0.4892
4.768e-010,0.4293
5.135e-010,0.3895
5.501e-010,0.3628
5.868e-010,0.3432
6.235e-010,0.3287
6.601e-010,0.3176
6.968e-010,0.3095
7.335e-010,0.3037
7.702e-010,0.2996
8.068e-010,0.2965
8.435e-010,0.2942
8.802e-010,0.2926
9.169e-010,0.2921
9.536e-010,0.2931
9.902e-010,0.2958
1.0269e-009,0.2991
1.0636e-009,0.3051
1.1003e-009,0.3248
1.1369e-009,0.3744
1.1736e-009,0.4763
1.2103e-009,0.6246
1.2469e-009,0.7936
1.2836e-009,0.9298
1.3203e-009,1.0114
1.3570e-009,1.0536
1.3936e-009,1.0771
1.4303e-009,1.0986
1.4670e-009,1.1244
1.5037e-009,1.1515
1.5403e-009,1.1750
1.5770e-009,1.1908
1.6137e-009,1.1983
1.6504e-009,1.1992
1.6871e-009,1.1971
1.7237e-009,1.1955
1.7604e-009,1.1962
1.7971e-009,1.1990
1.8338e-009,1.2026
1.8704e-009,1.2047
1.9071e-009,1.2035
1.9438e-009,1.1994
1.9805e-009,1.1923
2.0171e-009,1.1840
2.0538e-009,1.1684
2.0905e-009,1.1341
2.1272e-009,1.0656
2.1638e-009,0.9458
2.2005e-009,0.7973
2.2372e-009,0.6585
2.2738e-009,0.5450
2.3105e-009,0.4567
2.3472e-009,0.3867
2.3839e-009,0.3293
2.4205e-009,0.2831
2.4572e-009,0.2503
2.4939e-009,0.2326
2.5306e-009,0.2276
2.5672e-009,0.2299
2.6039e-009,0.2335
2.6406e-009,0.2340
2.6773e-009,0.2293
2.7139e-009,0.2203
2.7506e-009,0.2098
2.7873e-009,0.2014
2.8240e-009,0.1985
2.8606e-009,0.2021
2.8973e-009,0.2100
2.9340e-009,0.2183
2.9707e-009,0.2352
3.0073e-009,0.2745
3.0440e-009,0.3602
3.0807e-009,0.4998
3.1174e-009,0.6754
3.1540e-009,0.8351
3.1907e-009,0.9420
3.2274e-009,1.0035
3.2641e-009,1.0407
3.3007e-009,1.0729
3.3374e-009,1.1087
3.3741e-009,1.1435
3.4108e-009,1.1703
3.4475e-009,1.1846
3.4841e-009,1.1875
3.5208e-009,1.1837
3.5575e-009,1.1796
3.5942e-009,1.1794
3.6308e-009,1.1847
3.6675e-009,1.1938
3.7042e-009,1.2033
3.7408e-009,1.2090
3.7775e-009,1.2083
3.8142e-009,1.2014
3.8509e-009,1.1908
3.8875e-009,1.1781
3.9242e-009,1.1619
3.9609e-009,1.1398
3.9976e-009,1.1126
4.0342e-009,1.0871
4.0709e-009,1.0698
4.1076e-009,1.0626
4.1443e-009,1.0625
