.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
0.0e+000,0.2804
3.67e-011,0.2804
7.33e-011,0.2804
1.100e-010,0.2804
1.467e-010,0.2804
1.834e-010,0.2804
2.201e-010,0.2804
2.567e-010,0.2804
2.934e-010,0.2804
3.301e-010,0.2804
3.667e-010,0.2804
4.034e-010,0.2804
4.401e-010,0.2804
4.768e-010,0.2804
5.135e-010,0.2804
5.501e-010,0.2804
5.868e-010,0.2817
6.235e-010,0.2901
6.601e-010,0.3157
6.968e-010,0.3747
7.335e-010,0.4691
7.702e-010,0.5909
8.068e-010,0.7115
8.435e-010,0.8069
8.802e-010,0.8802
9.169e-010,0.9366
9.536e-010,1.0141
9.902e-010,1.0616
1.0269e-009,1.0769
1.0636e-009,1.0842
1.1003e-009,1.0906
1.1369e-009,1.0882
1.1736e-009,1.0627
1.2103e-009,0.9919
1.2469e-009,0.8728
1.2836e-009,0.7348
1.3203e-009,0.6004
1.3570e-009,0.4825
1.3936e-009,0.3889
1.4303e-009,0.3213
1.4670e-009,0.2749
1.5037e-009,0.2348
1.5403e-009,0.2000
1.5770e-009,0.1798
1.6137e-009,0.1770
1.6504e-009,0.2069
1.6871e-009,0.2846
1.7237e-009,0.4075
1.7604e-009,0.5342
1.7971e-009,0.6390
1.8338e-009,0.7215
1.8704e-009,0.7906
1.9071e-009,0.9163
1.9438e-009,0.9749
1.9805e-009,1.0103
2.0171e-009,1.0423
2.0538e-009,1.0706
2.0905e-009,1.0794
2.1272e-009,1.0484
2.1638e-009,0.9576
2.2005e-009,0.8224
2.2372e-009,0.6763
2.2738e-009,0.5432
2.3105e-009,0.4378
2.3472e-009,0.3631
2.3839e-009,0.3142
2.4205e-009,0.2826
2.4572e-009,0.2478
2.4939e-009,0.2302
2.5306e-009,0.2254
2.5672e-009,0.2427
2.6039e-009,0.2995
2.6406e-009,0.4103
2.6773e-009,0.5589
2.7139e-009,0.7010
2.7506e-009,0.8184
2.7873e-009,0.9097
2.8240e-009,1.0032
2.8606e-009,1.0786
2.8973e-009,1.1083
2.9340e-009,1.1255
2.9707e-009,1.1450
3.0073e-009,1.1630
3.0440e-009,1.1642
3.0807e-009,1.1247
3.1174e-009,1.0258
3.1540e-009,0.8785
3.1907e-009,0.7084
3.2274e-009,0.5502
3.2641e-009,0.4281
3.3007e-009,0.3475
3.3374e-009,0.2995
3.3741e-009,0.2657
3.4108e-009,0.2369
3.4475e-009,0.2250
3.4841e-009,0.2277
3.5208e-009,0.2594
3.5575e-009,0.3353
3.5942e-009,0.4625
3.6308e-009,0.6078
3.6675e-009,0.7387
3.7042e-009,0.8450
3.7408e-009,0.9280
3.7775e-009,1.0337
3.8142e-009,1.0881
3.8509e-009,1.1136
3.8875e-009,1.1327
3.9242e-009,1.1521
3.9609e-009,1.1629
3.9976e-009,1.1493
4.0342e-009,1.0872
4.0709e-009,0.9705
4.1076e-009,0.8160
4.1443e-009,0.6497
4.1809e-009,0.5027
4.2176e-009,0.3939
4.2543e-009,0.3248
4.2910e-009,0.2839
4.3276e-009,0.2495
4.3643e-009,0.2308
4.4010e-009,0.2264
4.4377e-009,0.2413
4.4743e-009,0.2906
4.5110e-009,0.3885
4.5477e-009,0.5276
4.5844e-009,0.6674
4.6211e-009,0.7879
4.6577e-009,0.8840
4.6944e-009,0.9766
4.7311e-009,1.0651
4.7678e-009,1.1013
4.8044e-009,1.1215
4.8411e-009,1.1413
4.8778e-009,1.1591
4.9145e-009,1.1630
4.9511e-009,1.1327
4.9878e-009,1.0486
5.0245e-009,0.9158
5.0612e-009,0.7538
5.0978e-009,0.5917
5.1345e-009,0.4576
5.1712e-009,0.3640
5.2079e-009,0.3061
5.2445e-009,0.2724
5.2812e-009,0.2381
5.3179e-009,0.2252
5.3546e-009,0.2272
5.3912e-009,0.2560
5.4279e-009,0.3260
5.4646e-009,0.4459
5.5013e-009,0.5894
5.5379e-009,0.7211
5.5746e-009,0.8301
5.6113e-009,0.9164
5.6480e-009,1.0225
5.6846e-009,1.0828
5.7213e-009,1.1101
5.7580e-009,1.1293
5.7947e-009,1.1495
5.8313e-009,1.1630
5.8680e-009,1.1553
5.9047e-009,1.1028
5.9414e-009,0.9959
5.9780e-009,0.8484
6.0147e-009,0.6828
6.0514e-009,0.5306
6.0881e-009,0.4134
6.1247e-009,0.3361
6.1614e-009,0.2896
6.1981e-009,0.2527
6.2348e-009,0.2306
6.2714e-009,0.2237
6.3081e-009,0.2350
6.3448e-009,0.2795
6.3815e-009,0.3710
6.4181e-009,0.5073
6.4548e-009,0.6481
6.4915e-009,0.7707
6.5282e-009,0.8695
6.5648e-009,0.9470
6.6015e-009,1.0539
6.6382e-009,1.0962
6.6749e-009,1.1182
6.7115e-009,1.1379
6.7482e-009,1.1568
6.7849e-009,1.1635
6.8215e-009,1.1398
6.8582e-009,1.0636
6.8949e-009,0.9368
6.9316e-009,0.7781
6.9682e-009,0.6150
7.0049e-009,0.4763
7.0416e-009,0.3767
7.0783e-009,0.3135
7.1149e-009,0.2768
7.1516e-009,0.2409
7.1883e-009,0.2259
7.2250e-009,0.2251
7.2616e-009,0.2488
7.2983e-009,0.3116
7.3350e-009,0.4250
7.3717e-009,0.5683
7.4083e-009,0.7032
7.4450e-009,0.8156
7.4817e-009,0.9047
7.5184e-009,1.0039
7.5550e-009,1.0753
7.5917e-009,1.1063
7.6284e-009,1.1261
7.6651e-009,1.1464
7.7018e-009,1.1619
7.7384e-009,1.1587
7.7751e-009,1.1144
7.8118e-009,1.0148
7.8484e-009,0.8717
7.8851e-009,0.7072
7.9218e-009,0.5514
7.9585e-009,0.4287
7.9952e-009,0.3456
8.0318e-009,0.2955
8.0685e-009,0.2591
8.1052e-009,0.2328
8.1418e-009,0.2238
8.1785e-009,0.2314
8.2152e-009,0.2696
8.2519e-009,0.3530
8.2886e-009,0.4846
8.3252e-009,0.6274
8.3619e-009,0.7540
8.3986e-009,0.8562
8.4352e-009,0.9361
8.4719e-009,1.0450
8.5086e-009,1.0917
8.5453e-009,1.1150
8.5820e-009,1.1345
8.6186e-009,1.1543
8.6553e-009,1.1638
8.6920e-009,1.1464
8.7286e-009,1.0786
8.7653e-009,0.9584
8.8020e-009,0.8030
8.8387e-009,0.6382
8.8754e-009,0.4941
8.9120e-009,0.3882
8.9487e-009,0.3209
8.9854e-009,0.2811
9.0220e-009,0.2454
9.0587e-009,0.2274
9.0954e-009,0.2239
9.1321e-009,0.2424
9.1688e-009,0.2982
9.2054e-009,0.4037
9.2421e-009,0.5455
9.2788e-009,0.6830
9.3154e-009,0.7995
9.3521e-009,0.8922
9.3888e-009,0.9894
9.4255e-009,1.0694
9.4622e-009,1.1029
9.4988e-009,1.1228
9.5355e-009,1.1430
9.5722e-009,1.1600
9.6088e-009,1.1609
9.6455e-009,1.1244
9.6822e-009,1.0331
9.7189e-009,0.8957
9.7556e-009,0.7324
9.7922e-009,0.5733
9.8289e-009,0.4442
9.8656e-009,0.3554
9.9022e-009,0.3013
9.9389e-009,0.2668
9.9756e-009,0.2358
1.00123e-008,0.2244
1.00490e-008,0.2283
1.00856e-008,0.2611
1.01223e-008,0.3367
1.01590e-008,0.4621
1.01956e-008,0.6058
1.02323e-008,0.7353
1.02690e-008,0.8415
1.03057e-008,0.9250
1.03424e-008,1.0317
1.03790e-008,1.0864
1.04157e-008,1.1119
1.04524e-008,1.1312
1.04890e-008,1.1513
1.05257e-008,1.1632
1.05624e-008,1.1514
1.05991e-008,1.0921
1.06358e-008,0.9790
1.06724e-008,0.8277
1.07091e-008,0.6625
1.07458e-008,0.5139
1.07824e-008,0.4018
1.08191e-008,0.3291
1.08558e-008,0.2853
1.08925e-008,0.2489
1.09292e-008,0.2288
1.09658e-008,0.2234
1.10025e-008,0.2378
1.10392e-008,0.2868
1.10758e-008,0.3844
