.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
0.0e+000,1.0683
3.67e-011,1.0683
7.33e-011,1.0683
1.100e-010,1.0683
1.467e-010,1.0683
1.834e-010,1.0683
2.201e-010,1.0683
2.567e-010,1.0683
2.934e-010,1.0683
3.301e-010,1.0683
3.667e-010,1.0683
4.034e-010,1.0683
4.401e-010,1.0683
4.768e-010,1.0683
5.135e-010,1.0683
5.501e-010,1.0681
5.868e-010,1.0688
6.235e-010,1.0700
6.601e-010,1.0725
6.968e-010,1.0776
7.335e-010,1.0767
7.702e-010,1.0566
8.068e-010,0.9944
8.435e-010,0.8801
8.802e-010,0.7420
9.169e-010,0.6084
9.536e-010,0.4970
9.902e-010,0.4157
1.0269e-009,0.3639
1.0636e-009,0.3337
1.1003e-009,0.3113
1.1369e-009,0.2885
1.1736e-009,0.2918
1.2103e-009,0.3222
1.2469e-009,0.3938
1.2836e-009,0.5038
1.3203e-009,0.6420
1.3570e-009,0.7734
1.3936e-009,0.8781
1.4303e-009,0.9619
1.4670e-009,1.0320
1.5037e-009,1.1343
1.5403e-009,1.1866
1.5770e-009,1.2033
1.6137e-009,1.2059
1.6504e-009,1.2000
1.6871e-009,1.1855
1.7237e-009,1.1537
1.7604e-009,1.0861
1.7971e-009,0.9817
1.8338e-009,0.8547
1.8704e-009,0.7164
1.9071e-009,0.5807
1.9438e-009,0.4606
1.9805e-009,0.3682
2.0171e-009,0.3101
2.0538e-009,0.2817
2.0905e-009,0.2966
2.1272e-009,0.3377
2.1638e-009,0.3884
2.2005e-009,0.4515
2.2372e-009,0.5416
2.2738e-009,0.6659
2.3105e-009,0.7895
2.3472e-009,0.8948
2.3839e-009,0.9763
2.4205e-009,1.0492
2.4572e-009,1.1352
2.4939e-009,1.1614
2.5306e-009,1.1613
2.5672e-009,1.1503
2.6039e-009,1.1280
2.6406e-009,1.0923
2.6773e-009,1.0279
2.7139e-009,0.9200
2.7506e-009,0.7837
2.7873e-009,0.6411
2.8240e-009,0.5092
2.8606e-009,0.3985
2.8973e-009,0.3123
2.9340e-009,0.2496
2.9707e-009,0.2153
3.0073e-009,0.2036
3.0440e-009,0.2355
3.0807e-009,0.2868
3.1174e-009,0.3476
3.1540e-009,0.4230
