.HEADER
..NAMES
Time,V U1.AA9
.DATA
0.0e+000,1.1824
3.86e-011,1.1824
7.72e-011,1.1824
1.157e-010,1.1824
1.543e-010,1.1824
1.929e-010,1.1824
2.314e-010,1.1824
2.700e-010,1.1875
3.086e-010,1.1912
3.472e-010,1.1791
3.857e-010,1.1255
4.243e-010,1.0090
4.629e-010,0.8582
5.015e-010,0.7154
5.401e-010,0.5932
5.786e-010,0.4982
6.172e-010,0.4224
6.558e-010,0.3695
6.944e-010,0.3370
7.329e-010,0.3012
7.715e-010,0.3014
8.101e-010,0.3430
8.486e-010,0.4447
8.872e-010,0.6088
9.258e-010,0.8027
9.644e-010,0.9585
1.0029e-009,1.0518
1.0415e-009,1.0964
1.0801e-009,1.1236
1.1187e-009,1.1504
1.1572e-009,1.1708
1.1958e-009,1.2157
1.2344e-009,1.2300
1.2730e-009,1.2117
1.3115e-009,1.1491
1.3501e-009,1.0140
1.3887e-009,0.8347
1.4273e-009,0.6681
1.4658e-009,0.5409
1.5044e-009,0.4630
1.5430e-009,0.4058
1.5816e-009,0.3591
1.6202e-009,0.3277
1.6587e-009,0.2911
1.6973e-009,0.2790
1.7359e-009,0.3091
1.7745e-009,0.3937
1.8130e-009,0.5475
1.8516e-009,0.7465
1.8902e-009,0.9265
1.9288e-009,1.0392
1.9673e-009,1.0917
2.0059e-009,1.1150
2.0445e-009,1.1382
2.0830e-009,1.1608
2.1216e-009,1.1962
2.1602e-009,1.2280
2.1988e-009,1.2220
2.2374e-009,1.1780
2.2759e-009,1.0651
2.3145e-009,0.8919
2.3531e-009,0.7154
2.3916e-009,0.5730
2.4302e-009,0.4817
2.4688e-009,0.4227
2.5074e-009,0.3728
2.5459e-009,0.3379
2.5845e-009,0.3051
2.6231e-009,0.2787
2.6617e-009,0.2946
2.7003e-009,0.3591
2.7388e-009,0.4917
2.7774e-009,0.6807
2.8160e-009,0.8769
2.8545e-009,1.0112
2.8931e-009,1.0806
2.9317e-009,1.1090
2.9703e-009,1.1308
3.0089e-009,1.1545
3.0474e-009,1.1727
3.0860e-009,1.2230
3.1246e-009,1.2277
3.1631e-009,1.1975
3.2017e-009,1.1094
3.2403e-009,0.9504
3.2789e-009,0.7685
3.3175e-009,0.6133
3.3560e-009,0.5053
3.3946e-009,0.4402
3.4332e-009,0.3872
3.4717e-009,0.3473
3.5103e-009,0.3193
3.5489e-009,0.2967
3.5875e-009,0.2876
3.6260e-009,0.2939
3.6646e-009,0.3121
3.7032e-009,0.3401
3.7418e-009,0.3677
3.7803e-009,0.3849
3.8189e-009,0.3894
3.8575e-009,0.3815
3.8961e-009,0.3662
3.9346e-009,0.3507
3.9732e-009,0.3383
4.0118e-009,0.3323
4.0504e-009,0.3416
4.0890e-009,0.3797
4.1275e-009,0.4643
4.1661e-009,0.5932
4.2047e-009,0.7460
4.2433e-009,0.8704
4.2818e-009,0.9503
4.3204e-009,1.0045
4.3590e-009,1.0509
4.3975e-009,1.0984
4.4361e-009,1.1367
4.4747e-009,1.1880
4.5133e-009,1.2141
4.5519e-009,1.2033
4.5904e-009,1.1502
4.6290e-009,1.0252
4.6676e-009,0.8540
4.7062e-009,0.6911
4.7447e-009,0.5621
4.7833e-009,0.4792
4.8219e-009,0.4167
4.8604e-009,0.3639
4.8990e-009,0.3288
4.9376e-009,0.3031
4.9762e-009,0.2878
5.0147e-009,0.2890
5.0533e-009,0.3027
5.0919e-009,0.3269
5.1305e-009,0.3559
5.1691e-009,0.3779
5.2076e-009,0.3878
5.2462e-009,0.3853
5.2848e-009,0.3730
5.3234e-009,0.3576
5.3619e-009,0.3443
5.4005e-009,0.3344
5.4391e-009,0.3284
5.4776e-009,0.3258
5.5162e-009,0.3246
5.5548e-009,0.3233
5.5934e-009,0.3214
5.6320e-009,0.3187
5.6705e-009,0.3159
5.7091e-009,0.3137
5.7477e-009,0.3129
5.7863e-009,0.3134
5.8248e-009,0.3146
5.8634e-009,0.3159
5.9020e-009,0.3225
5.9405e-009,0.3430
5.9791e-009,0.3961
6.0177e-009,0.4968
6.0563e-009,0.6378
6.0948e-009,0.7908
6.1334e-009,0.9020
