.HEADER
..NAMES
Time,V U1.AD25
.DATA
0.0e+000,1.1836
3.86e-011,1.1836
7.72e-011,1.1836
1.157e-010,1.1836
1.543e-010,1.1836
1.929e-010,1.1836
2.314e-010,1.1836
2.700e-010,1.1887
3.086e-010,1.1923
3.472e-010,1.1803
3.857e-010,1.1278
4.243e-010,1.0141
4.629e-010,0.8643
5.015e-010,0.7161
5.401e-010,0.5787
5.786e-010,0.4657
6.172e-010,0.3840
6.558e-010,0.3357
6.944e-010,0.3103
7.329e-010,0.2964
7.715e-010,0.2872
8.101e-010,0.2802
8.486e-010,0.2744
8.872e-010,0.2702
9.258e-010,0.2705
9.644e-010,0.2775
1.0029e-009,0.2938
1.0415e-009,0.3169
1.0801e-009,0.3375
1.1187e-009,0.3505
1.1572e-009,0.3559
1.1958e-009,0.3573
1.2344e-009,0.3650
1.2730e-009,0.3948
1.3115e-009,0.4681
1.3501e-009,0.5876
1.3887e-009,0.7388
1.4273e-009,0.8742
1.4658e-009,0.9728
1.5044e-009,1.0438
1.5430e-009,1.0960
1.5816e-009,1.1339
1.6202e-009,1.1599
1.6587e-009,1.2052
1.6973e-009,1.2346
1.7359e-009,1.2396
1.7745e-009,1.2168
1.8130e-009,1.1416
1.8516e-009,1.0060
1.8902e-009,0.8408
1.9288e-009,0.6701
1.9673e-009,0.5140
2.0059e-009,0.3922
2.0445e-009,0.3195
2.0830e-009,0.2882
2.1216e-009,0.2774
2.1602e-009,0.2727
2.1988e-009,0.2700
2.2374e-009,0.2671
2.2759e-009,0.2613
2.3145e-009,0.2605
2.3531e-009,0.2669
2.3916e-009,0.2801
2.4302e-009,0.3000
2.4688e-009,0.3222
2.5074e-009,0.3409
2.5459e-009,0.3529
2.5845e-009,0.3578
2.6231e-009,0.3624
2.6617e-009,0.3805
2.7003e-009,0.4313
2.7388e-009,0.5292
2.7774e-009,0.6668
2.8160e-009,0.8166
2.8545e-009,0.9303
2.8931e-009,1.0131
2.9317e-009,1.0738
2.9703e-009,1.1181
3.0089e-009,1.1492
3.0474e-009,1.1704
3.0860e-009,1.1859
3.1246e-009,1.1965
3.1631e-009,1.2032
3.2017e-009,1.2069
3.2403e-009,1.2067
3.2789e-009,1.2009
3.3175e-009,1.1883
3.3560e-009,1.1722
3.3946e-009,1.1564
3.4332e-009,1.1475
3.4717e-009,1.1483
3.5103e-009,1.1543
3.5489e-009,1.1608
3.5875e-009,1.1664
3.6260e-009,1.1716
3.6646e-009,1.1763
3.7032e-009,1.1794
3.7418e-009,1.1810
3.7803e-009,1.1820
3.8189e-009,1.1827
3.8575e-009,1.1822
3.8961e-009,1.1812
3.9346e-009,1.1806
3.9732e-009,1.1810
4.0118e-009,1.1823
4.0504e-009,1.1841
4.0890e-009,1.1852
4.1275e-009,1.1853
4.1661e-009,1.1848
4.2047e-009,1.1846
4.2433e-009,1.1845
4.2818e-009,1.1844
4.3204e-009,1.1841
4.3590e-009,1.1840
4.3975e-009,1.1840
4.4361e-009,1.1838
4.4747e-009,1.1838
4.5133e-009,1.1839
4.5519e-009,1.1842
4.5904e-009,1.1844
4.6290e-009,1.1845
4.6676e-009,1.1843
4.7062e-009,1.1841
4.7447e-009,1.1840
4.7833e-009,1.1840
4.8219e-009,1.1841
4.8604e-009,1.1841
4.8990e-009,1.1840
4.9376e-009,1.1863
4.9762e-009,1.1915
5.0147e-009,1.1907
5.0533e-009,1.1657
5.0919e-009,1.0879
5.1305e-009,0.9536
5.1691e-009,0.8026
5.2076e-009,0.6572
5.2462e-009,0.5286
5.2848e-009,0.4279
5.3234e-009,0.3605
5.3619e-009,0.3236
5.4005e-009,0.2982
5.4391e-009,0.2805
5.4776e-009,0.2928
5.5162e-009,0.3388
5.5548e-009,0.4285
5.5934e-009,0.5616
5.6320e-009,0.7189
5.6705e-009,0.8571
5.7091e-009,0.9763
5.7477e-009,1.0746
5.7863e-009,1.1452
5.8248e-009,1.1884
5.8634e-009,1.2182
5.9020e-009,1.2602
5.9405e-009,1.2683
5.9791e-009,1.2530
6.0177e-009,1.2012
6.0563e-009,1.0897
6.0948e-009,0.9314
6.1334e-009,0.7589
6.1720e-009,0.5910
6.2106e-009,0.4496
6.2492e-009,0.3517
6.2877e-009,0.3008
6.3263e-009,0.2809
6.3649e-009,0.2727
6.4035e-009,0.2680
6.4420e-009,0.2659
6.4806e-009,0.2619
6.5192e-009,0.2591
6.5577e-009,0.2623
6.5963e-009,0.2723
6.6349e-009,0.2897
6.6735e-009,0.3118
6.7121e-009,0.3328
6.7506e-009,0.3485
6.7892e-009,0.3565
6.8278e-009,0.3571
6.8664e-009,0.3518
6.9049e-009,0.3423
6.9435e-009,0.3317
6.9821e-009,0.3235
7.0206e-009,0.3189
7.0592e-009,0.3161
7.0978e-009,0.3146
7.1364e-009,0.3146
7.1749e-009,0.3157
7.2135e-009,0.3169
7.2521e-009,0.3176
7.2907e-009,0.3198
7.3293e-009,0.3301
7.3678e-009,0.3630
7.4064e-009,0.4384
7.4450e-009,0.5605
7.4835e-009,0.7157
7.5221e-009,0.8585
7.5607e-009,0.9636
7.5993e-009,1.0387
7.6379e-009,1.0920
7.6764e-009,1.1292
7.7150e-009,1.1549
7.7536e-009,1.1741
7.7922e-009,1.1884
7.8307e-009,1.1987
7.8693e-009,1.2057
7.9079e-009,1.2089
7.9464e-009,1.2074
7.9850e-009,1.1993
8.0236e-009,1.1848
8.0622e-009,1.1670
8.1008e-009,1.1519
8.1393e-009,1.1465
8.1779e-009,1.1498
8.2165e-009,1.1599
8.2550e-009,1.1725
8.2936e-009,1.1782
8.3322e-009,1.1613
8.3708e-009,1.0932
8.4093e-009,0.9652
8.4479e-009,0.8153
8.4865e-009,0.6701
8.5251e-009,0.5395
