.HEADER
..NAMES
Time,V U1.W25
.DATA
0.0e+000,0.3148
3.86e-011,0.3148
7.72e-011,0.3148
1.157e-010,0.3148
1.543e-010,0.3148
1.929e-010,0.3148
2.314e-010,0.3148
2.700e-010,0.3199
3.086e-010,0.3378
3.472e-010,0.3859
3.857e-010,0.4811
4.243e-010,0.6189
4.629e-010,0.7762
5.015e-010,0.9002
5.401e-010,0.9845
5.786e-010,1.0383
6.172e-010,1.0755
6.558e-010,1.1046
6.944e-010,1.1336
7.329e-010,1.1577
7.715e-010,1.1728
8.101e-010,1.1801
8.486e-010,1.1815
8.872e-010,1.1779
9.258e-010,1.1690
9.644e-010,1.1583
1.0029e-009,1.1479
1.0415e-009,1.1430
1.0801e-009,1.1459
1.1187e-009,1.1540
1.1572e-009,1.1625
1.1958e-009,1.1693
1.2344e-009,1.1755
1.2730e-009,1.1797
1.3115e-009,1.1811
1.3501e-009,1.1809
1.3887e-009,1.1815
1.4273e-009,1.1826
1.4658e-009,1.1829
1.5044e-009,1.1827
1.5430e-009,1.1832
1.5816e-009,1.1846
1.6202e-009,1.1856
1.6587e-009,1.1885
1.6973e-009,1.1938
1.7359e-009,1.1914
1.7745e-009,1.1622
1.8130e-009,1.0777
1.8516e-009,0.9388
1.8902e-009,0.7877
1.9288e-009,0.6457
1.9673e-009,0.5266
2.0059e-009,0.4407
2.0445e-009,0.3870
2.0830e-009,0.3541
2.1216e-009,0.3249
2.1602e-009,0.3080
2.1988e-009,0.3226
2.2374e-009,0.3756
2.2759e-009,0.4781
2.3145e-009,0.6310
2.3531e-009,0.7998
2.3916e-009,0.9346
2.4302e-009,1.0349
2.4688e-009,1.1005
2.5074e-009,1.1381
2.5459e-009,1.1602
2.5845e-009,1.1926
2.6231e-009,1.2294
2.6617e-009,1.2334
2.7003e-009,1.2144
2.7388e-009,1.1502
2.7774e-009,1.0147
2.8160e-009,0.8379
2.8545e-009,0.6734
2.8931e-009,0.5290
2.9317e-009,0.4227
2.9703e-009,0.3611
3.0089e-009,0.3343
3.0474e-009,0.3193
3.0860e-009,0.2949
3.1246e-009,0.3044
3.1631e-009,0.3437
3.2017e-009,0.4271
3.2403e-009,0.5631
3.2789e-009,0.7402
3.3175e-009,0.8898
3.3560e-009,1.0021
3.3946e-009,1.0815
3.4332e-009,1.1314
3.4717e-009,1.1564
3.5103e-009,1.1738
3.5489e-009,1.1873
3.5875e-009,1.1907
3.6260e-009,1.1896
3.6646e-009,1.1876
3.7032e-009,1.1832
3.7418e-009,1.1723
3.7803e-009,1.1605
3.8189e-009,1.1511
3.8575e-009,1.1450
3.8961e-009,1.1447
3.9346e-009,1.1511
3.9732e-009,1.1602
4.0118e-009,1.1728
4.0504e-009,1.1838
4.0890e-009,1.1825
4.1275e-009,1.1464
4.1661e-009,1.0481
4.2047e-009,0.9016
4.2433e-009,0.7535
4.2818e-009,0.6154
4.3204e-009,0.5019
4.3590e-009,0.4241
4.3975e-009,0.3776
4.4361e-009,0.3485
4.4747e-009,0.3178
4.5133e-009,0.3087
4.5519e-009,0.3304
4.5904e-009,0.3926
4.6290e-009,0.5049
4.6676e-009,0.6669
4.7062e-009,0.8303
4.7447e-009,0.9579
4.7833e-009,1.0510
4.8219e-009,1.1103
4.8604e-009,1.1430
4.8990e-009,1.1637
4.9376e-009,1.1817
4.9762e-009,1.1887
5.0147e-009,1.1892
5.0533e-009,1.1891
5.0919e-009,1.1870
5.1305e-009,1.1777
5.1691e-009,1.1649
5.2076e-009,1.1548
5.2462e-009,1.1470
5.2848e-009,1.1439
5.3234e-009,1.1476
5.3619e-009,1.1563
5.4005e-009,1.1668
5.4391e-009,1.1795
5.4776e-009,1.1862
5.5162e-009,1.1699
5.5548e-009,1.1024
5.5934e-009,0.9739
5.6320e-009,0.8229
5.6705e-009,0.6785
5.7091e-009,0.5511
5.7477e-009,0.4562
5.7863e-009,0.3969
5.8248e-009,0.3607
5.8634e-009,0.3373
5.9020e-009,0.3224
5.9405e-009,0.3113
5.9791e-009,0.3016
6.0177e-009,0.2958
6.0563e-009,0.2979
6.0948e-009,0.3074
6.1334e-009,0.3228
6.1720e-009,0.3406
6.2106e-009,0.3539
6.2492e-009,0.3585
6.2877e-009,0.3565
6.3263e-009,0.3510
6.3649e-009,0.3417
6.4035e-009,0.3304
6.4420e-009,0.3222
6.4806e-009,0.3189
6.5192e-009,0.3174
6.5577e-009,0.3159
6.5963e-009,0.3159
6.6349e-009,0.3170
6.6735e-009,0.3173
6.7121e-009,0.3163
6.7506e-009,0.3151
6.7892e-009,0.3141
6.8278e-009,0.3168
6.8664e-009,0.3301
6.9049e-009,0.3693
6.9435e-009,0.4540
6.9821e-009,0.5842
7.0206e-009,0.7425
7.0592e-009,0.8765
7.0978e-009,0.9687
7.1364e-009,1.0280
7.1749e-009,1.0682
7.2135e-009,1.0982
7.2521e-009,1.1266
7.2907e-009,1.1847
7.3293e-009,1.2167
7.3678e-009,1.2191
7.4064e-009,1.1862
7.4450e-009,1.0933
7.4835e-009,0.9323
7.5221e-009,0.7615
7.5607e-009,0.6040
7.5993e-009,0.4747
7.6379e-009,0.3910
7.6764e-009,0.3490
7.7150e-009,0.3297
7.7536e-009,0.3157
7.7922e-009,0.3076
7.8307e-009,0.2997
7.8693e-009,0.2909
7.9079e-009,0.2871
7.9464e-009,0.2947
7.9850e-009,0.3105
8.0236e-009,0.3274
8.0622e-009,0.3446
8.1008e-009,0.3573
8.1393e-009,0.3613
8.1779e-009,0.3568
8.2165e-009,0.3489
8.2550e-009,0.3387
8.2936e-009,0.3278
8.3322e-009,0.3202
8.3708e-009,0.3173
8.4093e-009,0.3166
8.4479e-009,0.3158
8.4865e-009,0.3165
8.5251e-009,0.3176
8.5637e-009,0.3175
8.6022e-009,0.3160
8.6408e-009,0.3149
8.6794e-009,0.3143
8.7179e-009,0.3133
8.7565e-009,0.3126
8.7951e-009,0.3128
8.8337e-009,0.3135
8.8722e-009,0.3139
8.9108e-009,0.3144
8.9494e-009,0.3148
8.9880e-009,0.3148
9.0266e-009,0.3145
9.0651e-009,0.3145
9.1037e-009,0.3144
9.1423e-009,0.3141
9.1808e-009,0.3140
9.2194e-009,0.3142
9.2580e-009,0.3143
9.2966e-009,0.3142
9.3352e-009,0.3142
9.3737e-009,0.3144
9.4123e-009,0.3145
9.4509e-009,0.3143
9.4895e-009,0.3142
9.5280e-009,0.3143
9.5666e-009,0.3143
9.6052e-009,0.3142
9.6437e-009,0.3181
9.6823e-009,0.3329
9.7209e-009,0.3745
9.7595e-009,0.4619
9.7981e-009,0.5935
9.8366e-009,0.7510
9.8752e-009,0.8821
9.9138e-009,0.9723
9.9524e-009,1.0304
9.9909e-009,1.0698
1.00295e-008,1.0995
1.00681e-008,1.1286
1.01066e-008,1.1894
1.01452e-008,1.2181
1.01838e-008,1.2187
1.02224e-008,1.1835
1.02610e-008,1.0868
1.02995e-008,0.9230
1.03381e-008,0.7534
1.03767e-008,0.5967
1.04152e-008,0.4697
1.04538e-008,0.3885
1.04924e-008,0.3482
1.05310e-008,0.3292
1.05695e-008,0.3034
1.06081e-008,0.2982
1.06467e-008,0.3195
1.06853e-008,0.3770
1.07239e-008,0.4835
1.07624e-008,0.6457
1.08010e-008,0.8161
1.08396e-008,0.9471
1.08781e-008,1.0440
1.09167e-008,1.1089
1.09553e-008,1.1454
1.09939e-008,1.1646
1.10324e-008,1.1817
1.10710e-008,1.1898
1.11096e-008,1.1902
1.11482e-008,1.1889
1.11868e-008,1.1866
1.12253e-008,1.1787
1.12639e-008,1.1663
1.13025e-008,1.1562
1.13410e-008,1.1481
1.13796e-008,1.1441
1.14182e-008,1.1470
1.14568e-008,1.1557
1.14953e-008,1.1638
1.15339e-008,1.1695
1.15725e-008,1.1753
1.16111e-008,1.1798
1.16497e-008,1.1812
1.16882e-008,1.1809
1.17268e-008,1.1820
1.17654e-008,1.1830
1.18039e-008,1.1828
1.18425e-008,1.1824
1.18811e-008,1.1834
1.19197e-008,1.1847
1.19583e-008,1.1850
1.19968e-008,1.1907
1.20354e-008,1.1944
1.20740e-008,1.1811
1.21126e-008,1.1256
1.21511e-008,1.0094
1.21897e-008,0.8588
1.22283e-008,0.7112
1.22668e-008,0.5789
1.23054e-008,0.4768
1.23440e-008,0.4090
1.23826e-008,0.3674
1.24212e-008,0.3415
1.24597e-008,0.3101
1.24983e-008,0.3111
1.25369e-008,0.3437
1.25755e-008,0.4220
1.26140e-008,0.5513
1.26526e-008,0.7220
1.26912e-008,0.8733
1.27297e-008,0.9907
1.27683e-008,1.0725
1.28069e-008,1.1226
1.28455e-008,1.1497
1.28841e-008,1.1705
1.29226e-008,1.1850
1.29612e-008,1.1888
1.29998e-008,1.1894
1.30383e-008,1.1890
1.30769e-008,1.1847
1.31155e-008,1.1732
1.31541e-008,1.1615
1.31926e-008,1.1519
1.32312e-008,1.1450
1.32698e-008,1.1440
1.33084e-008,1.1500
1.33470e-008,1.1590
1.33855e-008,1.1657
1.34241e-008,1.1719
1.34627e-008,1.1773
1.35012e-008,1.1801
1.35398e-008,1.1805
1.35784e-008,1.1810
1.36170e-008,1.1823
1.36555e-008,1.1824
1.36941e-008,1.1820
1.37327e-008,1.1825
1.37713e-008,1.1838
1.38099e-008,1.1845
1.38484e-008,1.1870
1.38870e-008,1.1927
1.39256e-008,1.1921
1.39641e-008,1.1669
1.40027e-008,1.0892
1.40413e-008,0.9548
1.40799e-008,0.8033
1.41185e-008,0.6595
1.41570e-008,0.5370
1.41956e-008,0.4478
1.42342e-008,0.3910
1.42728e-008,0.3563
1.43113e-008,0.3283
1.43499e-008,0.3074
1.43885e-008,0.3186
1.44270e-008,0.3665
1.44656e-008,0.4633
1.45042e-008,0.6106
1.45428e-008,0.7815
1.45814e-008,0.9201
1.46199e-008,1.0247
1.46585e-008,1.0940
1.46971e-008,1.1344
1.47357e-008,1.1574
1.47742e-008,1.1834
1.48128e-008,1.2270
1.48514e-008,1.2334
1.48899e-008,1.2176
1.49285e-008,1.1599
1.49671e-008,1.0325
1.50057e-008,0.8563
1.50443e-008,0.6905
1.50828e-008,0.5429
1.51214e-008,0.4317
1.51600e-008,0.3651
1.51985e-008,0.3357
1.52371e-008,0.3202
1.52757e-008,0.2948
1.53143e-008,0.3015
1.53528e-008,0.3366
1.53914e-008,0.4147
1.54300e-008,0.5444
1.54686e-008,0.7203
1.55071e-008,0.8743
1.55457e-008,0.9906
1.55843e-008,1.0736
1.56229e-008,1.1267
1.56615e-008,1.1538
1.57000e-008,1.1715
1.57386e-008,1.2206
1.57772e-008,1.2351
1.58158e-008,1.2260
1.58543e-008,1.1836
1.58929e-008,1.0805
1.59315e-008,0.9130
1.59701e-008,0.7424
1.60086e-008,0.5873
1.60472e-008,0.4626
1.60858e-008,0.3818
1.61243e-008,0.3420
1.61629e-008,0.3245
1.62015e-008,0.2987
1.62401e-008,0.2961
1.62786e-008,0.3211
1.63172e-008,0.3851
1.63558e-008,0.4978
1.63944e-008,0.6632
1.64329e-008,0.8299
1.64715e-008,0.9580
1.65101e-008,1.0512
1.65487e-008,1.1127
1.65873e-008,1.1471
1.66258e-008,1.1661
1.66644e-008,1.2052
1.67030e-008,1.2326
1.67416e-008,1.2314
1.67801e-008,1.2024
1.68187e-008,1.1210
1.68573e-008,0.9702
1.68959e-008,0.7945
1.69344e-008,0.6339
1.69730e-008,0.4976
1.70116e-008,0.4026
1.70501e-008,0.3508
1.70887e-008,0.3294
1.71273e-008,0.3069
1.71659e-008,0.2937
1.72044e-008,0.3102
1.72430e-008,0.3600
1.72816e-008,0.4566
1.73202e-008,0.6062
1.73588e-008,0.7815
1.73973e-008,0.9213
1.74359e-008,1.0252
1.74745e-008,1.0963
1.75131e-008,1.1389
1.75516e-008,1.1609
1.75902e-008,1.1779
1.76288e-008,1.1884
1.76674e-008,1.1903
1.77059e-008,1.1890
1.77445e-008,1.1868
1.77831e-008,1.1805
1.78216e-008,1.1687
1.78602e-008,1.1576
1.78988e-008,1.1488
1.79374e-008,1.1440
1.79759e-008,1.1455
1.80145e-008,1.1532
1.80531e-008,1.1618
1.80917e-008,1.1758
1.81302e-008,1.1852
1.81688e-008,1.1775
1.82074e-008,1.1271
1.82460e-008,1.0130
1.82846e-008,0.8624
1.83231e-008,0.7163
1.83617e-008,0.5828
1.84003e-008,0.4781
1.84389e-008,0.4094
1.84774e-008,0.3688
1.85160e-008,0.3425
1.85546e-008,0.3113
1.85932e-008,0.3108
1.86317e-008,0.3412
1.86703e-008,0.4160
1.87089e-008,0.5417
1.87474e-008,0.7117
1.87860e-008,0.8655
1.88246e-008,0.9846
1.88632e-008,1.0688
1.89017e-008,1.1206
1.89403e-008,1.1483
1.89789e-008,1.1688
1.90175e-008,1.2139
1.90560e-008,1.2329
1.90946e-008,1.2274
1.91332e-008,1.1915
1.91718e-008,1.0963
1.92104e-008,0.9320
1.92489e-008,0.7586
1.92875e-008,0.6019
1.93261e-008,0.4734
1.93647e-008,0.3883
1.94032e-008,0.3450
1.94418e-008,0.3266
1.94804e-008,0.3132
1.95190e-008,0.3049
1.95575e-008,0.2979
1.95961e-008,0.2904
1.96347e-008,0.2873
1.96732e-008,0.2949
1.97118e-008,0.3108
1.97504e-008,0.3277
1.97890e-008,0.3445
1.98275e-008,0.3572
1.98661e-008,0.3611
1.99047e-008,0.3563
1.99433e-008,0.3479
1.99819e-008,0.3381
2.00204e-008,0.3274
2.00590e-008,0.3197
2.00976e-008,0.3167
2.01362e-008,0.3163
2.01747e-008,0.3157
2.02133e-008,0.3161
2.02519e-008,0.3170
2.02905e-008,0.3171
2.03290e-008,0.3157
2.03676e-008,0.3145
2.04062e-008,0.3138
2.04447e-008,0.3130
2.04833e-008,0.3123
2.05219e-008,0.3125
2.05605e-008,0.3132
2.05990e-008,0.3136
2.06376e-008,0.3141
2.06762e-008,0.3145
2.07148e-008,0.3145
2.07533e-008,0.3142
2.07919e-008,0.3141
2.08305e-008,0.3141
2.08691e-008,0.3139
2.09077e-008,0.3137
2.09462e-008,0.3138
2.09848e-008,0.3140
2.10234e-008,0.3140
2.10620e-008,0.3139
2.11005e-008,0.3141
2.11391e-008,0.3142
2.11777e-008,0.3140
2.12163e-008,0.3140
2.12548e-008,0.3140
2.12934e-008,0.3140
2.13320e-008,0.3140
2.13705e-008,0.3182
2.14091e-008,0.3338
2.14477e-008,0.3771
2.14863e-008,0.4666
2.15248e-008,0.6000
2.15634e-008,0.7577
2.16020e-008,0.8867
2.16406e-008,0.9752
2.16791e-008,1.0322
2.17177e-008,1.0709
2.17563e-008,1.1005
2.17949e-008,1.1297
2.18335e-008,1.1901
2.18720e-008,1.2182
2.19106e-008,1.2177
2.19492e-008,1.1802
2.19878e-008,1.0803
2.20263e-008,0.9148
2.20649e-008,0.7452
2.21035e-008,0.5894
2.21420e-008,0.4645
2.21806e-008,0.3856
2.22192e-008,0.3467
2.22578e-008,0.3282
2.22963e-008,0.3031
2.23349e-008,0.2987
2.23735e-008,0.3212
2.24121e-008,0.3806
2.24506e-008,0.4895
2.24892e-008,0.6533
2.25278e-008,0.8227
2.25664e-008,0.9522
2.26050e-008,1.0474
2.26435e-008,1.1110
2.26821e-008,1.1464
2.27207e-008,1.1652
2.27593e-008,1.2049
2.27978e-008,1.2327
2.28364e-008,1.2320
2.28750e-008,1.2052
2.29136e-008,1.1278
2.29521e-008,0.9798
2.29907e-008,0.8042
2.30293e-008,0.6432
2.30678e-008,0.5050
2.31064e-008,0.4072
2.31450e-008,0.3527
2.31836e-008,0.3306
2.32221e-008,0.3164
2.32607e-008,0.3065
2.32993e-008,0.2996
2.33379e-008,0.2924
2.33764e-008,0.2879
2.34150e-008,0.2921
2.34536e-008,0.3065
2.34922e-008,0.3235
2.35308e-008,0.3408
2.35693e-008,0.3549
2.36079e-008,0.3610
2.36465e-008,0.3583
2.36851e-008,0.3506
2.37236e-008,0.3412
2.37622e-008,0.3304
2.38008e-008,0.3215
2.38394e-008,0.3174
2.38779e-008,0.3167
2.39165e-008,0.3161
2.39551e-008,0.3160
2.39936e-008,0.3170
2.40322e-008,0.3174
2.40708e-008,0.3164
2.41094e-008,0.3149
2.41479e-008,0.3141
2.41865e-008,0.3134
2.42251e-008,0.3127
2.42637e-008,0.3125
2.43023e-008,0.3131
2.43408e-008,0.3137
2.43794e-008,0.3142
2.44180e-008,0.3146
2.44566e-008,0.3147
2.44951e-008,0.3144
2.45337e-008,0.3143
2.45723e-008,0.3143
2.46109e-008,0.3141
2.46494e-008,0.3138
2.46880e-008,0.3139
2.47266e-008,0.3142
2.47651e-008,0.3141
2.48037e-008,0.3141
2.48423e-008,0.3142
2.48809e-008,0.3143
2.49194e-008,0.3142
2.49580e-008,0.3141
2.49966e-008,0.3141
2.50352e-008,0.3142
2.50737e-008,0.3141
2.51123e-008,0.3166
2.51509e-008,0.3278
2.51895e-008,0.3619
2.52281e-008,0.4384
2.52666e-008,0.5614
2.53052e-008,0.7164
2.53438e-008,0.8569
2.53824e-008,0.9555
