.HEADER
..NAMES
Time,V U1.AC6
.DATA
0.0e+000,0.3157
3.86e-011,0.3157
7.72e-011,0.3157
1.157e-010,0.3157
1.543e-010,0.3157
1.929e-010,0.3157
2.314e-010,0.3157
2.700e-010,0.3209
3.086e-010,0.3387
3.472e-010,0.3864
3.857e-010,0.4802
4.243e-010,0.6142
4.629e-010,0.7651
5.015e-010,0.8803
5.401e-010,0.9573
5.786e-010,1.0116
6.172e-010,1.0577
6.558e-010,1.1028
6.944e-010,1.1391
7.329e-010,1.1991
7.715e-010,1.2189
8.101e-010,1.2074
8.486e-010,1.1495
8.872e-010,1.0170
9.258e-010,0.8484
9.644e-010,0.6894
1.0029e-009,0.5555
1.0415e-009,0.4657
1.0801e-009,0.4075
1.1187e-009,0.3603
1.1572e-009,0.3298
1.1958e-009,0.3094
1.2344e-009,0.2912
1.2730e-009,0.2835
1.3115e-009,0.2917
1.3501e-009,0.3086
1.3887e-009,0.3311
1.4273e-009,0.3571
1.4658e-009,0.3754
1.5044e-009,0.3804
1.5430e-009,0.3766
1.5816e-009,0.3659
1.6202e-009,0.3509
1.6587e-009,0.3388
1.6973e-009,0.3311
1.7359e-009,0.3254
1.7745e-009,0.3232
1.8130e-009,0.3235
1.8516e-009,0.3223
1.8902e-009,0.3204
1.9288e-009,0.3192
1.9673e-009,0.3164
2.0059e-009,0.3141
2.0445e-009,0.3135
2.0830e-009,0.3135
2.1216e-009,0.3151
2.1602e-009,0.3243
2.1988e-009,0.3517
2.2374e-009,0.4158
2.2759e-009,0.5262
2.3145e-009,0.6710
2.3531e-009,0.8128
2.3916e-009,0.9119
2.4302e-009,0.9785
2.4688e-009,1.0285
2.5074e-009,1.0743
2.5459e-009,1.1177
2.5845e-009,1.1642
2.6231e-009,1.2108
2.6617e-009,1.2187
2.7003e-009,1.1931
2.7388e-009,1.1085
2.7774e-009,0.9554
2.8160e-009,0.7880
2.8545e-009,0.6355
2.8931e-009,0.5169
2.9317e-009,0.4424
2.9703e-009,0.3885
3.0089e-009,0.3467
3.0474e-009,0.3215
3.0860e-009,0.2886
3.1246e-009,0.2880
3.1631e-009,0.3315
3.2017e-009,0.4353
3.2403e-009,0.5967
3.2789e-009,0.7842
3.3175e-009,0.9395
3.3560e-009,1.0403
3.3946e-009,1.0945
3.4332e-009,1.1272
3.4717e-009,1.1544
3.5103e-009,1.1730
3.5489e-009,1.2219
3.5875e-009,1.2356
3.6260e-009,1.2199
3.6646e-009,1.1581
3.7032e-009,1.0223
3.7418e-009,0.8489
3.7803e-009,0.6829
3.8189e-009,0.5449
3.8575e-009,0.4541
3.8961e-009,0.3967
3.9346e-009,0.3541
3.9732e-009,0.3281
4.0118e-009,0.2960
4.0504e-009,0.2864
4.0890e-009,0.3131
4.1275e-009,0.3957
4.1661e-009,0.5399
4.2047e-009,0.7242
4.2433e-009,0.8940
4.2818e-009,1.0132
4.3204e-009,1.0816
4.3590e-009,1.1188
4.3975e-009,1.1477
4.4361e-009,1.1687
4.4747e-009,1.1821
4.5133e-009,1.1897
4.5519e-009,1.1887
4.5904e-009,1.1773
4.6290e-009,1.1611
4.6676e-009,1.1437
4.7062e-009,1.1285
4.7447e-009,1.1210
4.7833e-009,1.1240
4.8219e-009,1.1342
4.8604e-009,1.1474
4.8990e-009,1.1596
4.9376e-009,1.1677
4.9762e-009,1.1719
5.0147e-009,1.1746
5.0533e-009,1.1762
5.0919e-009,1.1770
5.1305e-009,1.1782
5.1691e-009,1.1800
5.2076e-009,1.1816
5.2462e-009,1.1833
5.2848e-009,1.1847
5.3234e-009,1.1851
5.3619e-009,1.1849
5.4005e-009,1.1861
5.4391e-009,1.1902
5.4776e-009,1.1909
5.5162e-009,1.1717
5.5548e-009,1.1044
5.5934e-009,0.9780
5.6320e-009,0.8317
5.6705e-009,0.6951
5.7091e-009,0.5790
5.7477e-009,0.4890
5.7863e-009,0.4193
5.8248e-009,0.3702
5.8634e-009,0.3398
5.9020e-009,0.3181
5.9405e-009,0.3035
5.9791e-009,0.2998
6.0177e-009,0.3064
6.0563e-009,0.3209
6.0948e-009,0.3414
6.1334e-009,0.3617
6.1720e-009,0.3741
6.2106e-009,0.3764
6.2492e-009,0.3705
6.2877e-009,0.3593
6.3263e-009,0.3469
6.3649e-009,0.3403
6.4035e-009,0.3499
6.4420e-009,0.3917
6.4806e-009,0.4828
6.5192e-009,0.6156
6.5577e-009,0.7656
6.5963e-009,0.8808
6.6349e-009,0.9567
6.6735e-009,1.0088
6.7121e-009,1.0529
6.7506e-009,1.0976
6.7892e-009,1.1349
6.8278e-009,1.1593
6.8664e-009,1.1712
6.9049e-009,1.1715
6.9435e-009,1.1613
6.9821e-009,1.1475
7.0206e-009,1.1346
7.0592e-009,1.1255
7.0978e-009,1.1239
7.1364e-009,1.1312
7.1749e-009,1.1429
7.2135e-009,1.1543
7.2521e-009,1.1630
7.2907e-009,1.1682
7.3293e-009,1.1710
7.3678e-009,1.1733
7.4064e-009,1.1752
7.4450e-009,1.1767
