.HEADER
..NAMES
Time,V U1.AE10
.DATA
0.0e+000,1.1830
3.86e-011,1.1830
7.72e-011,1.1830
1.157e-010,1.1830
1.543e-010,1.1830
1.929e-010,1.1830
2.314e-010,1.1830
2.700e-010,1.1880
3.086e-010,1.1916
3.472e-010,1.1796
3.857e-010,1.1274
4.243e-010,1.0145
4.629e-010,0.8665
5.015e-010,0.7210
5.401e-010,0.5865
5.786e-010,0.4760
6.172e-010,0.3949
6.558e-010,0.3438
6.944e-010,0.3153
7.329e-010,0.2996
7.715e-010,0.2899
8.101e-010,0.2853
8.486e-010,0.2869
8.872e-010,0.2982
9.258e-010,0.3185
9.644e-010,0.3392
1.0029e-009,0.3530
1.0415e-009,0.3591
1.0801e-009,0.3587
1.1187e-009,0.3529
1.1572e-009,0.3433
1.1958e-009,0.3335
1.2344e-009,0.3259
1.2730e-009,0.3214
1.3115e-009,0.3194
1.3501e-009,0.3192
1.3887e-009,0.3199
1.4273e-009,0.3198
1.4658e-009,0.3182
1.5044e-009,0.3157
1.5430e-009,0.3143
1.5816e-009,0.3136
1.6202e-009,0.3131
1.6587e-009,0.3153
1.6973e-009,0.3257
1.7359e-009,0.3574
1.7745e-009,0.4295
1.8130e-009,0.5478
1.8516e-009,0.6999
1.8902e-009,0.8437
1.9288e-009,0.9483
1.9673e-009,1.0226
2.0059e-009,1.0773
2.0445e-009,1.1180
2.0830e-009,1.1480
2.1216e-009,1.1883
2.1602e-009,1.2248
2.1988e-009,1.2296
2.2374e-009,1.2028
2.2759e-009,1.1185
2.3145e-009,0.9651
2.3531e-009,0.7876
2.3916e-009,0.6267
2.4302e-009,0.4985
2.4688e-009,0.4072
2.5074e-009,0.3475
2.5459e-009,0.3143
2.5845e-009,0.2976
2.6231e-009,0.2844
2.6617e-009,0.2761
2.7003e-009,0.2761
2.7388e-009,0.2834
2.7774e-009,0.2995
2.8160e-009,0.3231
2.8545e-009,0.3457
2.8931e-009,0.3596
2.9317e-009,0.3637
2.9703e-009,0.3595
3.0089e-009,0.3503
3.0474e-009,0.3395
