.HEADER
..NAMES
Time,V U1.AB18
.DATA
0.0e+000,1.1823
3.86e-011,1.1823
7.72e-011,1.1823
1.157e-010,1.1823
1.543e-010,1.1823
1.929e-010,1.1823
2.314e-010,1.1823
2.700e-010,1.1874
3.086e-010,1.1909
3.472e-010,1.1789
3.857e-010,1.1261
4.243e-010,1.0128
4.629e-010,0.8679
5.015e-010,0.7313
5.401e-010,0.6128
5.786e-010,0.5166
6.172e-010,0.4361
6.558e-010,0.3787
6.944e-010,0.3437
7.329e-010,0.3102
7.715e-010,0.3173
8.101e-010,0.3674
8.486e-010,0.4770
8.872e-010,0.6408
9.258e-010,0.8196
9.644e-010,0.9509
1.0029e-009,1.0239
1.0415e-009,1.0620
1.0801e-009,1.0960
1.1187e-009,1.1313
1.1572e-009,1.1555
1.1958e-009,1.1992
1.2344e-009,1.2055
1.2730e-009,1.1793
1.3115e-009,1.1135
1.3501e-009,0.9835
1.3887e-009,0.8247
1.4273e-009,0.6880
1.4658e-009,0.5842
1.5044e-009,0.5095
1.5430e-009,0.4366
1.5816e-009,0.3731
1.6202e-009,0.3326
1.6587e-009,0.2969
1.6973e-009,0.2966
1.7359e-009,0.3414
1.7745e-009,0.4382
1.8130e-009,0.5959
1.8516e-009,0.7784
1.8902e-009,0.9252
1.9288e-009,1.0079
1.9673e-009,1.0474
2.0059e-009,1.0785
2.0445e-009,1.1177
2.0830e-009,1.1488
2.1216e-009,1.1650
2.1602e-009,1.1637
2.1988e-009,1.1457
2.2374e-009,1.1245
2.2759e-009,1.1087
2.3145e-009,1.1026
2.3531e-009,1.1105
2.3916e-009,1.1269
2.4302e-009,1.1436
2.4688e-009,1.1566
2.5074e-009,1.1630
2.5459e-009,1.1657
2.5845e-009,1.1709
2.6231e-009,1.1800
2.6617e-009,1.1846
2.7003e-009,1.1698
2.7388e-009,1.1063
2.7774e-009,0.9839
2.8160e-009,0.8404
2.8545e-009,0.7059
2.8931e-009,0.5915
2.9317e-009,0.4973
2.9703e-009,0.4201
3.0089e-009,0.3685
3.0474e-009,0.3380
3.0860e-009,0.3220
3.1246e-009,0.3207
3.1631e-009,0.3293
3.2017e-009,0.3456
3.2403e-009,0.3648
3.2789e-009,0.3774
3.3175e-009,0.3804
3.3560e-009,0.3751
3.3946e-009,0.3637
3.4332e-009,0.3515
3.4717e-009,0.3409
3.5103e-009,0.3324
3.5489e-009,0.3275
3.5875e-009,0.3246
3.6260e-009,0.3222
3.6646e-009,0.3203
3.7032e-009,0.3180
3.7418e-009,0.3158
3.7803e-009,0.3147
3.8189e-009,0.3142
3.8575e-009,0.3144
3.8961e-009,0.3153
3.9346e-009,0.3157
3.9732e-009,0.3160
4.0118e-009,0.3192
4.0504e-009,0.3319
4.0890e-009,0.3694
4.1275e-009,0.4505
4.1661e-009,0.5743
4.2047e-009,0.7234
4.2433e-009,0.8475
4.2818e-009,0.9313
4.3204e-009,0.9914
4.3590e-009,1.0432
4.3975e-009,1.0926
4.4361e-009,1.1283
4.4747e-009,1.1453
4.5133e-009,1.1468
4.5519e-009,1.1362
4.5904e-009,1.1227
4.6290e-009,1.1136
4.6676e-009,1.1117
4.7062e-009,1.1191
4.7447e-009,1.1322
4.7833e-009,1.1451
4.8219e-009,1.1549
4.8604e-009,1.1611
4.8990e-009,1.1650
4.9376e-009,1.1687
4.9762e-009,1.1721
5.0147e-009,1.1752
5.0533e-009,1.1782
5.0919e-009,1.1803
5.1305e-009,1.1815
5.1691e-009,1.1821
5.2076e-009,1.1822
5.2462e-009,1.1820
5.2848e-009,1.1818
5.3234e-009,1.1817
5.3619e-009,1.1820
5.4005e-009,1.1841
5.4391e-009,1.1891
5.4776e-009,1.1903
5.5162e-009,1.1708
5.5548e-009,1.1024
5.5934e-009,0.9760
5.6320e-009,0.8313
5.6705e-009,0.6983
5.7091e-009,0.5863
5.7477e-009,0.4945
5.7863e-009,0.4191
5.8248e-009,0.3682
5.8634e-009,0.3378
5.9020e-009,0.3221
5.9405e-009,0.3211
5.9791e-009,0.3302
6.0177e-009,0.3469
6.0563e-009,0.3661
6.0948e-009,0.3784
6.1334e-009,0.3807
6.1720e-009,0.3747
6.2106e-009,0.3631
6.2492e-009,0.3509
6.2877e-009,0.3404
6.3263e-009,0.3322
6.3649e-009,0.3275
6.4035e-009,0.3247
6.4420e-009,0.3223
6.4806e-009,0.3202
6.5192e-009,0.3180
6.5577e-009,0.3158
6.5963e-009,0.3147
6.6349e-009,0.3143
6.6735e-009,0.3146
6.7121e-009,0.3154
