.HEADER
..NAMES
Time,V U1.AD24
.DATA
0.0e+000,1.1835
3.86e-011,1.1835
7.72e-011,1.1835
1.157e-010,1.1835
1.543e-010,1.1835
1.929e-010,1.1835
2.314e-010,1.1835
2.700e-010,1.1885
3.086e-010,1.1921
3.472e-010,1.1802
3.857e-010,1.1278
4.243e-010,1.0145
4.629e-010,0.8657
5.015e-010,0.7188
5.401e-010,0.5828
5.786e-010,0.4709
6.172e-010,0.3895
6.558e-010,0.3398
6.944e-010,0.3127
7.329e-010,0.2839
7.715e-010,0.2840
8.101e-010,0.3135
8.486e-010,0.3837
8.872e-010,0.4984
9.258e-010,0.6509
9.644e-010,0.7973
1.0029e-009,0.9238
1.0415e-009,1.0310
1.0801e-009,1.1123
1.1187e-009,1.1657
1.1572e-009,1.1975
1.1958e-009,1.2149
1.2344e-009,1.2217
1.2730e-009,1.2216
1.3115e-009,1.2209
1.3501e-009,1.2194
1.3887e-009,1.2134
1.4273e-009,1.2020
1.4658e-009,1.1869
1.5044e-009,1.1702
1.5430e-009,1.1573
1.5816e-009,1.1534
1.6202e-009,1.1558
1.6587e-009,1.1598
1.6973e-009,1.1638
1.7359e-009,1.1686
1.7745e-009,1.1736
1.8130e-009,1.1772
1.8516e-009,1.1791
1.8902e-009,1.1809
1.9288e-009,1.1823
1.9673e-009,1.1823
2.0059e-009,1.1814
2.0445e-009,1.1808
2.0830e-009,1.1808
2.1216e-009,1.1835
2.1602e-009,1.1903
2.1988e-009,1.1913
2.2374e-009,1.1685
2.2759e-009,1.0939
2.3145e-009,0.9622
2.3531e-009,0.8123
2.3916e-009,0.6677
2.4302e-009,0.5389
2.4688e-009,0.4375
2.5074e-009,0.3681
2.5459e-009,0.3280
2.5845e-009,0.3061
2.6231e-009,0.2935
2.6617e-009,0.2847
2.7003e-009,0.2778
2.7388e-009,0.2724
2.7774e-009,0.2699
2.8160e-009,0.2724
2.8545e-009,0.2829
2.8931e-009,0.3028
2.9317e-009,0.3251
2.9703e-009,0.3415
3.0089e-009,0.3503
3.0474e-009,0.3527
3.0860e-009,0.3496
3.1246e-009,0.3418
3.1631e-009,0.3323
3.2017e-009,0.3245
3.2403e-009,0.3197
3.2789e-009,0.3169
3.3175e-009,0.3153
3.3560e-009,0.3145
3.3946e-009,0.3147
3.4332e-009,0.3158
3.4717e-009,0.3171
3.5103e-009,0.3171
3.5489e-009,0.3158
3.5875e-009,0.3141
3.6260e-009,0.3131
3.6646e-009,0.3124
3.7032e-009,0.3120
3.7418e-009,0.3120
3.7803e-009,0.3126
3.8189e-009,0.3133
3.8575e-009,0.3137
3.8961e-009,0.3138
3.9346e-009,0.3139
3.9732e-009,0.3140
4.0118e-009,0.3172
4.0504e-009,0.3300
4.0890e-009,0.3675
4.1275e-009,0.4491
4.1661e-009,0.5760
4.2047e-009,0.7327
4.2433e-009,0.8701
4.2818e-009,0.9697
4.3204e-009,1.0404
4.3590e-009,1.0917
4.3975e-009,1.1288
4.4361e-009,1.1553
4.4747e-009,1.1749
4.5133e-009,1.1893
4.5519e-009,1.1996
4.5904e-009,1.2062
4.6290e-009,1.2090
4.6676e-009,1.2067
4.7062e-009,1.1978
4.7447e-009,1.1830
4.7833e-009,1.1656
4.8219e-009,1.1527
4.8604e-009,1.1500
4.8990e-009,1.1544
4.9376e-009,1.1649
4.9762e-009,1.1767
5.0147e-009,1.1806
5.0533e-009,1.1591
5.0919e-009,1.0836
5.1305e-009,0.9511
5.1691e-009,0.8022
5.2076e-009,0.6591
5.2462e-009,0.5319
5.2848e-009,0.4311
5.3234e-009,0.3625
5.3619e-009,0.3237
5.4005e-009,0.3037
5.4391e-009,0.2932
5.4776e-009,0.2858
5.5162e-009,0.2789
5.5548e-009,0.2728
5.5934e-009,0.2704
5.6320e-009,0.2736
5.6705e-009,0.2847
5.7091e-009,0.3048
5.7477e-009,0.3267
5.7863e-009,0.3427
5.8248e-009,0.3510
5.8634e-009,0.3529
5.9020e-009,0.3495
5.9405e-009,0.3419
5.9791e-009,0.3326
6.0177e-009,0.3250
6.0563e-009,0.3201
6.0948e-009,0.3171
6.1334e-009,0.3155
6.1720e-009,0.3149
6.2106e-009,0.3153
6.2492e-009,0.3164
6.2877e-009,0.3175
6.3263e-009,0.3175
6.3649e-009,0.3161
6.4035e-009,0.3145
6.4420e-009,0.3134
6.4806e-009,0.3128
6.5192e-009,0.3125
