.HEADER
..NAMES
Time,V U1.Y21
.DATA
0.0e+000,0.3157
3.86e-011,0.3157
7.72e-011,0.3157
1.157e-010,0.3157
1.543e-010,0.3157
1.929e-010,0.3157
2.314e-010,0.3157
2.700e-010,0.3208
3.086e-010,0.3387
3.472e-010,0.3868
3.857e-010,0.4815
4.243e-010,0.6172
4.629e-010,0.7701
5.015e-010,0.8868
5.401e-010,0.9639
5.786e-010,1.0169
6.172e-010,1.0610
6.558e-010,1.1043
6.944e-010,1.1395
7.329e-010,1.1616
7.715e-010,1.1708
8.101e-010,1.1683
8.486e-010,1.1555
8.872e-010,1.1397
9.258e-010,1.1267
9.644e-010,1.1198
1.0029e-009,1.1222
1.0415e-009,1.1328
1.0801e-009,1.1457
1.1187e-009,1.1566
1.1572e-009,1.1645
1.1958e-009,1.1751
1.2344e-009,1.1833
1.2730e-009,1.1797
1.3115e-009,1.1443
1.3501e-009,1.0485
1.3887e-009,0.9064
1.4273e-009,0.7641
1.4658e-009,0.6353
1.5044e-009,0.5326
1.5430e-009,0.4541
1.5816e-009,0.3931
1.6202e-009,0.3533
1.6587e-009,0.3282
1.6973e-009,0.3099
1.7359e-009,0.3012
1.7745e-009,0.3050
1.8130e-009,0.3183
1.8516e-009,0.3385
1.8902e-009,0.3607
1.9288e-009,0.3761
1.9673e-009,0.3803
2.0059e-009,0.3758
2.0445e-009,0.3651
2.0830e-009,0.3517
2.1216e-009,0.3406
2.1602e-009,0.3396
2.1988e-009,0.3614
2.2374e-009,0.4246
2.2759e-009,0.5372
2.3145e-009,0.6839
2.3531e-009,0.8263
2.3916e-009,0.9237
2.4302e-009,0.9860
2.4688e-009,1.0313
2.5074e-009,1.0742
2.5459e-009,1.1164
2.5845e-009,1.1628
2.6231e-009,1.2099
2.6617e-009,1.2170
2.7003e-009,1.1891
2.7388e-009,1.1004
2.7774e-009,0.9416
2.8160e-009,0.7703
2.8545e-009,0.6193
2.8931e-009,0.5061
2.9317e-009,0.4371
2.9703e-009,0.3864
3.0089e-009,0.3455
3.0474e-009,0.3203
3.0860e-009,0.2875
3.1246e-009,0.2880
3.1631e-009,0.3348
3.2017e-009,0.4445
3.2403e-009,0.6137
3.2789e-009,0.8082
3.3175e-009,0.9638
3.3560e-009,1.0586
3.3946e-009,1.1045
3.4332e-009,1.1295
3.4717e-009,1.1521
3.5103e-009,1.1697
3.5489e-009,1.1825
3.5875e-009,1.1882
3.6260e-009,1.1821
3.6646e-009,1.1659
3.7032e-009,1.1462
3.7418e-009,1.1278
3.7803e-009,1.1160
3.8189e-009,1.1161
3.8575e-009,1.1263
3.8961e-009,1.1408
3.9346e-009,1.1548
3.9732e-009,1.1654
4.0118e-009,1.1711
4.0504e-009,1.1741
4.0890e-009,1.1756
4.1275e-009,1.1763
4.1661e-009,1.1770
4.2047e-009,1.1787
4.2433e-009,1.1808
4.2818e-009,1.1829
4.3204e-009,1.1847
4.3590e-009,1.1855
4.3975e-009,1.1851
4.4361e-009,1.1843
4.4747e-009,1.1835
4.5133e-009,1.1830
4.5519e-009,1.1830
4.5904e-009,1.1834
4.6290e-009,1.1836
4.6676e-009,1.1838
4.7062e-009,1.1840
4.7447e-009,1.1839
4.7833e-009,1.1838
4.8219e-009,1.1837
4.8604e-009,1.1836
4.8990e-009,1.1836
4.9376e-009,1.1836
4.9762e-009,1.1837
5.0147e-009,1.1838
5.0533e-009,1.1839
5.0919e-009,1.1839
5.1305e-009,1.1838
5.1691e-009,1.1838
5.2076e-009,1.1837
5.2462e-009,1.1837
5.2848e-009,1.1837
5.3234e-009,1.1837
5.3619e-009,1.1837
5.4005e-009,1.1853
5.4391e-009,1.1903
5.4776e-009,1.1915
5.5162e-009,1.1720
5.5548e-009,1.1041
5.5934e-009,0.9763
5.6320e-009,0.8277
5.6705e-009,0.6890
5.7091e-009,0.5720
5.7477e-009,0.4827
5.7863e-009,0.4145
5.8248e-009,0.3671
5.8634e-009,0.3380
5.9020e-009,0.3174
5.9405e-009,0.3039
5.9791e-009,0.3019
6.0177e-009,0.3108
6.0563e-009,0.3281
6.0948e-009,0.3505
6.1334e-009,0.3699
6.1720e-009,0.3793
6.2106e-009,0.3785
6.2492e-009,0.3700
6.2877e-009,0.3572
6.3263e-009,0.3441
6.3649e-009,0.3375
6.4035e-009,0.3476
6.4420e-009,0.3907
6.4806e-009,0.4832
6.5192e-009,0.6179
6.5577e-009,0.7701
6.5963e-009,0.8868
6.6349e-009,0.9621
6.6735e-009,1.0126
6.7121e-009,1.0550
6.7506e-009,1.0987
6.7892e-009,1.1355
6.8278e-009,1.1968
6.8664e-009,1.2173
6.9049e-009,1.2058
6.9435e-009,1.1476
6.9821e-009,1.0134
7.0206e-009,0.8405
7.0592e-009,0.6794
7.0978e-009,0.5476
7.1364e-009,0.4616
7.1749e-009,0.4069
7.2135e-009,0.3602
7.2521e-009,0.3291
7.2907e-009,0.2958
7.3293e-009,0.2828
7.3678e-009,0.3073
7.4064e-009,0.3897
7.4450e-009,0.5362
