.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
0.0e+000,-0.8622
3.86e-011,-0.8622
7.72e-011,-0.8622
1.157e-010,-0.8622
1.543e-010,-0.8622
1.929e-010,-0.8622
2.314e-010,-0.8622
2.700e-010,-0.8622
3.086e-010,-0.8622
3.472e-010,-0.8622
3.857e-010,-0.8622
4.243e-010,-0.8622
4.629e-010,-0.8622
5.015e-010,-0.8577
5.401e-010,-0.8412
5.786e-010,-0.7991
6.172e-010,-0.7111
6.558e-010,-0.5676
6.944e-010,-0.3710
7.329e-010,-0.1505
7.715e-010,0.0708
8.101e-010,0.2595
8.486e-010,0.4259
8.872e-010,0.5662
9.258e-010,0.6744
9.644e-010,0.7892
1.0029e-009,0.8428
1.0415e-009,0.8495
1.0801e-009,0.7881
1.1187e-009,0.6198
1.1572e-009,0.3685
1.1958e-009,0.0743
1.2344e-009,-0.2259
1.2730e-009,-0.4678
1.3115e-009,-0.6325
1.3501e-009,-0.7348
1.3887e-009,-0.7857
1.4273e-009,-0.8205
1.4658e-009,-0.8153
1.5044e-009,-0.7849
1.5430e-009,-0.7108
1.5816e-009,-0.5607
1.6202e-009,-0.3661
1.6587e-009,-0.1374
1.6973e-009,0.1055
1.7359e-009,0.3147
1.7745e-009,0.4932
1.8130e-009,0.6380
1.8516e-009,0.7359
1.8902e-009,0.8270
1.9288e-009,0.8818
1.9673e-009,0.8828
2.0059e-009,0.8438
2.0445e-009,0.6997
2.0830e-009,0.4634
2.1216e-009,0.1771
2.1602e-009,-0.1287
2.1988e-009,-0.3988
2.2374e-009,-0.5851
2.2759e-009,-0.7084
2.3145e-009,-0.7720
2.3531e-009,-0.8107
2.3916e-009,-0.8228
2.4302e-009,-0.7897
2.4688e-009,-0.7446
2.5074e-009,-0.6150
2.5459e-009,-0.4332
2.5845e-009,-0.2126
2.6231e-009,0.0294
2.6617e-009,0.2554
2.7003e-009,0.4401
2.7388e-009,0.5992
2.7774e-009,0.7096
2.8160e-009,0.7933
2.8545e-009,0.8723
2.8931e-009,0.8843
2.9317e-009,0.8655
2.9703e-009,0.7568
3.0089e-009,0.5452
3.0474e-009,0.2708
3.0860e-009,-0.0326
3.1246e-009,-0.3228
3.1631e-009,-0.5338
3.2017e-009,-0.6765
3.2403e-009,-0.7573
3.2789e-009,-0.7955
3.3175e-009,-0.8236
3.3560e-009,-0.8034
3.3946e-009,-0.7669
3.4332e-009,-0.6642
3.4717e-009,-0.4949
3.5103e-009,-0.2852
3.5489e-009,-0.0487
3.5875e-009,0.1899
3.6260e-009,0.3830
3.6646e-009,0.5528
3.7032e-009,0.6791
3.7418e-009,0.7643
3.7803e-009,0.8561
3.8189e-009,0.8864
3.8575e-009,0.8783
3.8961e-009,0.8039
3.9346e-009,0.6213
3.9732e-009,0.3615
4.0118e-009,0.0646
4.0504e-009,-0.2371
4.0890e-009,-0.4759
4.1275e-009,-0.6379
4.1661e-009,-0.7379
4.2047e-009,-0.7865
4.2433e-009,-0.8202
4.2818e-009,-0.8149
4.3204e-009,-0.7824
4.3590e-009,-0.7060
4.3975e-009,-0.5529
4.4361e-009,-0.3555
4.4747e-009,-0.1258
4.5133e-009,0.1176
4.5519e-009,0.3255
4.5904e-009,0.5022
4.6290e-009,0.6448
4.6676e-009,0.7403
4.7062e-009,0.8330
4.7447e-009,0.8831
4.7833e-009,0.8839
4.8219e-009,0.8389
4.8604e-009,0.6892
4.8990e-009,0.4493
4.9376e-009,0.1610
4.9762e-009,-0.1444
5.0147e-009,-0.4104
5.0533e-009,-0.5936
5.0919e-009,-0.7134
5.1305e-009,-0.7749
5.1691e-009,-0.8119
5.2076e-009,-0.8220
5.2462e-009,-0.7872
5.2848e-009,-0.7397
5.3234e-009,-0.6071
5.3619e-009,-0.4227
5.4005e-009,-0.2010
5.4391e-009,0.0417
5.4776e-009,0.2654
5.5162e-009,0.4482
5.5548e-009,0.6054
5.5934e-009,0.7138
5.6320e-009,0.8019
5.6705e-009,0.8748
5.7091e-009,0.8836
5.7477e-009,0.8629
5.7863e-009,0.7482
5.8248e-009,0.5323
5.8634e-009,0.2554
5.9020e-009,-0.0487
5.9405e-009,-0.3358
5.9791e-009,-0.5430
6.0177e-009,-0.6824
6.0563e-009,-0.7604
6.0948e-009,-0.7972
6.1334e-009,-0.8243
6.1720e-009,-0.8013
6.2106e-009,-0.7652
6.2492e-009,-0.6566
6.2877e-009,-0.4855
6.3263e-009,-0.2740
6.3649e-009,-0.0361
6.4035e-009,0.2005
6.4420e-009,0.3921
6.4806e-009,0.5608
6.5192e-009,0.6840
6.5577e-009,0.7680
6.5963e-009,0.8580
6.6349e-009,0.8858
6.6735e-009,0.8757
6.7121e-009,0.7968
6.7506e-009,0.6089
6.7892e-009,0.3468
6.8278e-009,0.0488
6.8664e-009,-0.2519
6.9049e-009,-0.4860
6.9435e-009,-0.6447
6.9821e-009,-0.7415
7.0206e-009,-0.7880
7.0592e-009,-0.8221
7.0978e-009,-0.8138
7.1364e-009,-0.7827
7.1749e-009,-0.7000
7.2135e-009,-0.5441
7.2521e-009,-0.3447
7.2907e-009,-0.1138
7.3293e-009,0.1292
7.3678e-009,0.3346
7.4064e-009,0.5110
7.4450e-009,0.6505
7.4835e-009,0.7444
7.5221e-009,0.8356
7.5607e-009,0.8833
7.5993e-009,0.8820
7.6379e-009,0.8336
7.6764e-009,0.6783
7.7150e-009,0.4349
7.7536e-009,0.1455
7.7922e-009,-0.1599
7.8307e-009,-0.4219
7.8693e-009,-0.6014
7.9079e-009,-0.7179
7.9464e-009,-0.7769
7.9850e-009,-0.8149
8.0236e-009,-0.8218
8.0622e-009,-0.7904
8.1008e-009,-0.7354
8.1393e-009,-0.5988
8.1779e-009,-0.4125
8.2165e-009,-0.1893
8.2550e-009,0.0538
8.2936e-009,0.2748
8.3322e-009,0.4575
8.3708e-009,0.6121
8.4093e-009,0.7181
8.4479e-009,0.8053
8.4865e-009,0.8759
8.5251e-009,0.8825
8.5637e-009,0.8591
8.6022e-009,0.7390
8.6408e-009,0.5188
8.6794e-009,0.2402
8.7179e-009,-0.0645
8.7565e-009,-0.3490
8.7951e-009,-0.5517
8.8337e-009,-0.6880
8.8722e-009,-0.7630
8.9108e-009,-0.7983
8.9494e-009,-0.8240
8.9880e-009,-0.7989
9.0266e-009,-0.7606
9.0651e-009,-0.6494
9.1037e-009,-0.4756
9.1423e-009,-0.2625
9.1808e-009,-0.0238
9.2194e-009,0.2114
9.2580e-009,0.4009
9.2966e-009,0.5679
9.3352e-009,0.6890
