.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
0.0e+000,0.3148
3.86e-011,0.3148
7.72e-011,0.3148
1.157e-010,0.3148
1.543e-010,0.3148
1.929e-010,0.3148
2.314e-010,0.3148
2.700e-010,0.3148
3.086e-010,0.3148
3.472e-010,0.3148
3.857e-010,0.3148
4.243e-010,0.3148
4.629e-010,0.3148
5.015e-010,0.3193
5.401e-010,0.3358
5.786e-010,0.3813
6.172e-010,0.4743
6.558e-010,0.6123
6.944e-010,0.7756
7.329e-010,0.9102
7.715e-010,1.0062
8.101e-010,1.0701
8.486e-010,1.1087
8.872e-010,1.1284
9.258e-010,1.1372
9.644e-010,1.1823
1.0029e-009,1.2063
1.0415e-009,1.2036
1.0801e-009,1.1583
1.1187e-009,1.0416
1.1572e-009,0.8661
1.1958e-009,0.6782
1.2344e-009,0.5103
1.2730e-009,0.3878
1.3115e-009,0.3137
1.3501e-009,0.2853
1.3887e-009,0.2873
1.4273e-009,0.2840
1.4658e-009,0.2974
1.5044e-009,0.3335
1.5430e-009,0.4100
1.5816e-009,0.5405
1.6202e-009,0.7167
1.6587e-009,0.8943
1.6973e-009,1.0347
1.7359e-009,1.1293
1.7745e-009,1.1835
1.8130e-009,1.2055
1.8516e-009,1.2051
1.8902e-009,1.2190
1.9288e-009,1.2333
1.9673e-009,1.2269
2.0059e-009,1.1916
2.0445e-009,1.0955
2.0830e-009,0.9315
2.1216e-009,0.7427
2.1602e-009,0.5630
2.1988e-009,0.4226
2.2374e-009,0.3307
2.2759e-009,0.2873
2.3145e-009,0.2831
2.3531e-009,0.2839
2.3916e-009,0.2895
2.4302e-009,0.3180
2.4688e-009,0.3795
2.5074e-009,0.4934
2.5459e-009,0.6577
2.5845e-009,0.8417
2.6231e-009,0.9950
2.6617e-009,1.1042
2.7003e-009,1.1705
2.7388e-009,1.2019
2.7774e-009,1.2072
2.8160e-009,1.2066
2.8545e-009,1.2319
2.8931e-009,1.2314
2.9317e-009,1.2077
2.9703e-009,1.1341
3.0089e-009,0.9883
3.0474e-009,0.8023
3.0860e-009,0.6164
3.1246e-009,0.4615
3.1631e-009,0.3543
3.2017e-009,0.2960
3.2403e-009,0.2814
3.2789e-009,0.2890
3.3175e-009,0.2857
3.3560e-009,0.3066
3.3946e-009,0.3548
3.4332e-009,0.4513
3.4717e-009,0.6011
3.5103e-009,0.7852
3.5489e-009,0.9505
3.5875e-009,1.0746
3.6260e-009,1.1537
3.6646e-009,1.1952
3.7032e-009,1.2075
3.7418e-009,1.2023
3.7803e-009,1.2284
3.8189e-009,1.2334
3.8575e-009,1.2187
3.8961e-009,1.1651
3.9346e-009,1.0414
3.9732e-009,0.8623
4.0118e-009,0.6735
4.0504e-009,0.5055
4.0890e-009,0.3830
4.1275e-009,0.3094
4.1661e-009,0.2823
4.2047e-009,0.2857
4.2433e-009,0.2835
4.2818e-009,0.2976
4.3204e-009,0.3351
4.3590e-009,0.4147
4.3975e-009,0.5486
4.4361e-009,0.7264
4.4747e-009,0.9021
4.5133e-009,1.0403
4.5519e-009,1.1330
4.5904e-009,1.1857
4.6290e-009,1.2062
4.6676e-009,1.2047
4.7062e-009,1.2222
4.7447e-009,1.2338
4.7833e-009,1.2261
4.8219e-009,1.1884
4.8604e-009,1.0884
4.8990e-009,0.9218
4.9376e-009,0.7325
4.9762e-009,0.5543
5.0147e-009,0.4165
5.0533e-009,0.3272
5.0919e-009,0.2862
5.1305e-009,0.2831
5.1691e-009,0.2844
5.2076e-009,0.2906
5.2462e-009,0.3199
5.2848e-009,0.3837
5.3234e-009,0.5005
5.3619e-009,0.6670
5.4005e-009,0.8500
5.4391e-009,1.0015
5.4776e-009,1.1084
5.5162e-009,1.1728
5.5548e-009,1.2026
5.5934e-009,1.2067
5.6320e-009,1.2117
5.6705e-009,1.2327
5.7091e-009,1.2308
5.7477e-009,1.2054
5.7863e-009,1.1283
5.8248e-009,0.9792
5.8634e-009,0.7923
5.9020e-009,0.6071
5.9405e-009,0.4548
5.9791e-009,0.3501
6.0177e-009,0.2944
6.0563e-009,0.2813
6.0948e-009,0.2892
6.1334e-009,0.2856
6.1720e-009,0.3080
6.2106e-009,0.3582
6.2492e-009,0.4575
6.2877e-009,0.6099
6.3263e-009,0.7945
6.3649e-009,0.9581
6.4035e-009,1.0796
6.4420e-009,1.1565
6.4806e-009,1.1964
6.5192e-009,1.2074
6.5577e-009,1.2018
6.5963e-009,1.2279
6.6349e-009,1.2328
6.6735e-009,1.2171
6.7121e-009,1.1604
6.7506e-009,1.0329
6.7892e-009,0.8525
6.8278e-009,0.6643
6.8664e-009,0.4979
6.9049e-009,0.3777
6.9435e-009,0.3066
6.9821e-009,0.2820
7.0206e-009,0.2863
7.0592e-009,0.2829
7.0978e-009,0.2986
7.1364e-009,0.3379
7.1749e-009,0.4202
7.2135e-009,0.5566
7.2521e-009,0.7359
7.2907e-009,0.9101
7.3293e-009,1.0459
7.3678e-009,1.1364
7.4064e-009,1.1872
7.4450e-009,1.2065
7.4835e-009,1.2044
7.5221e-009,1.2218
7.5607e-009,1.2335
7.5993e-009,1.2250
7.6379e-009,1.1850
7.6764e-009,1.0810
7.7150e-009,0.9120
7.7536e-009,0.7230
7.7922e-009,0.5461
7.8307e-009,0.4106
7.8693e-009,0.3236
7.9079e-009,0.2852
7.9464e-009,0.2835
7.9850e-009,0.2829
8.0236e-009,0.2912
8.0622e-009,0.3220
8.1008e-009,0.3883
8.1393e-009,0.5078
8.1779e-009,0.6765
8.2165e-009,0.8587
8.2550e-009,1.0079
8.2936e-009,1.1125
8.3322e-009,1.1749
8.3708e-009,1.2032
8.4093e-009,1.2064
8.4479e-009,1.2117
8.4865e-009,1.2325
8.5251e-009,1.2301
8.5637e-009,1.2029
8.6022e-009,1.1223
8.6408e-009,0.9699
8.6794e-009,0.7827
8.7179e-009,0.5983
8.7565e-009,0.4481
8.7951e-009,0.3459
8.8337e-009,0.2926
8.8722e-009,0.2815
8.9108e-009,0.2899
8.9494e-009,0.2867
8.9880e-009,0.3099
9.0266e-009,0.3620
9.0651e-009,0.4641
9.1037e-009,0.6187
9.1423e-009,0.8034
9.1808e-009,0.9651
9.2194e-009,1.0844
9.2580e-009,1.1594
9.2966e-009,1.1976
9.3352e-009,1.2074
9.3737e-009,1.2013
9.4123e-009,1.2296
9.4509e-009,1.2328
9.4895e-009,1.2154
9.5280e-009,1.1557
9.5666e-009,1.0247
9.6052e-009,0.8427
9.6437e-009,0.6546
9.6823e-009,0.4905
9.7209e-009,0.3731
9.7595e-009,0.3042
9.7981e-009,0.2817
9.8366e-009,0.2866
9.8752e-009,0.2837
9.9138e-009,0.3001
9.9524e-009,0.3407
9.9909e-009,0.4258
1.00295e-008,0.5649
1.00681e-008,0.7455
1.01066e-008,0.9180
1.01452e-008,1.0516
1.01838e-008,1.1400
1.02224e-008,1.1890
1.02610e-008,1.2068
1.02995e-008,1.2039
1.03381e-008,1.2245
1.03767e-008,1.2338
1.04152e-008,1.2239
1.04538e-008,1.1815
1.04924e-008,1.0738
1.05310e-008,0.9024
1.05695e-008,0.7131
1.06081e-008,0.5379
1.06467e-008,0.4050
1.06853e-008,0.3207
1.07239e-008,0.2844
1.07624e-008,0.2836
1.08010e-008,0.2835
1.08396e-008,0.2925
1.08781e-008,0.3243
1.09167e-008,0.3931
1.09553e-008,0.5153
1.09939e-008,0.6861
1.10324e-008,0.8672
1.10710e-008,1.0143
1.11096e-008,1.1167
1.11482e-008,1.1771
1.11868e-008,1.2038
1.12253e-008,1.2060
1.12639e-008,1.2159
1.13025e-008,1.2332
1.13410e-008,1.2295
1.13796e-008,1.2005
1.14182e-008,1.1161
1.14568e-008,0.9608
1.14953e-008,0.7727
1.15339e-008,0.5894
1.15725e-008,0.4417
1.16111e-008,0.3421
1.16497e-008,0.2912
1.16882e-008,0.2817
1.17268e-008,0.2868
1.17654e-008,0.2869
1.18039e-008,0.3114
1.18425e-008,0.3657
1.18811e-008,0.4708
1.19197e-008,0.6279
1.19583e-008,0.8128
1.19968e-008,0.9725
1.20354e-008,1.0891
1.20740e-008,1.1621
1.21126e-008,1.1986
1.21511e-008,1.2073
1.21897e-008,1.2008
1.22283e-008,1.2293
1.22668e-008,1.2322
1.23054e-008,1.2137
1.23440e-008,1.1507
1.23826e-008,1.0160
1.24212e-008,0.8330
1.24597e-008,0.6455
1.24983e-008,0.4832
1.25369e-008,0.3681
1.25755e-008,0.3018
1.26140e-008,0.2815
1.26526e-008,0.2873
1.26912e-008,0.2834
1.27297e-008,0.3014
1.27683e-008,0.3439
1.28069e-008,0.4316
1.28455e-008,0.5732
1.28841e-008,0.7550
1.29226e-008,0.9259
1.29612e-008,1.0572
1.29998e-008,1.1432
1.30383e-008,1.1904
1.30769e-008,1.2069
1.31155e-008,1.2036
1.31541e-008,1.2242
1.31926e-008,1.2335
1.32312e-008,1.2227
1.32698e-008,1.1777
1.33084e-008,1.0661
1.33470e-008,0.8926
1.33855e-008,0.7037
1.34241e-008,0.5298
1.34627e-008,0.3993
1.35012e-008,0.3176
1.35398e-008,0.2837
1.35784e-008,0.2842
1.36170e-008,0.2824
1.36555e-008,0.2933
1.36941e-008,0.3267
1.37327e-008,0.3980
1.37713e-008,0.5229
1.38099e-008,0.6956
1.38484e-008,0.8757
1.38870e-008,1.0206
1.39256e-008,1.1206
1.39641e-008,1.1791
1.40027e-008,1.2044
1.40413e-008,1.2057
1.40799e-008,1.2156
1.41185e-008,1.2330
1.41570e-008,1.2286
1.41956e-008,1.1977
1.42342e-008,1.1096
1.42728e-008,0.9514
1.43113e-008,0.7632
1.43499e-008,0.5809
1.43885e-008,0.4352
1.44270e-008,0.3382
1.44656e-008,0.2896
1.45042e-008,0.2821
1.45428e-008,0.2878
1.45814e-008,0.2880
1.46199e-008,0.3135
1.46585e-008,0.3698
1.46971e-008,0.4776
1.47357e-008,0.6369
1.47742e-008,0.8217
1.48128e-008,0.9793
1.48514e-008,1.0939
1.48899e-008,1.1648
1.49285e-008,1.1997
1.49671e-008,1.2072
1.50057e-008,1.2004
1.50443e-008,1.2307
1.50828e-008,1.2320
1.51214e-008,1.2118
1.51600e-008,1.1457
1.51985e-008,1.0075
1.52371e-008,0.8232
1.52757e-008,0.6360
1.53143e-008,0.4761
1.53528e-008,0.3637
1.53914e-008,0.2998
1.54300e-008,0.2812
1.54686e-008,0.2875
1.55071e-008,0.2843
1.55457e-008,0.3029
1.55843e-008,0.3470
1.56229e-008,0.4375
1.56615e-008,0.5817
1.57000e-008,0.7645
1.57386e-008,0.9336
1.57772e-008,1.0626
1.58158e-008,1.1466
1.58543e-008,1.1920
1.58929e-008,1.2071
1.59315e-008,1.2031
1.59701e-008,1.2265
1.60086e-008,1.2336
1.60472e-008,1.2215
1.60858e-008,1.1739
1.61243e-008,1.0586
1.61629e-008,0.8830
1.62015e-008,0.6938
1.62401e-008,0.5219
1.62786e-008,0.3940
1.63172e-008,0.3149
1.63558e-008,0.2831
1.63944e-008,0.2844
1.64329e-008,0.2832
1.64715e-008,0.2946
1.65101e-008,0.3292
1.65487e-008,0.4030
1.65873e-008,0.5308
1.66258e-008,0.7052
1.66644e-008,0.8839
1.67030e-008,1.0268
1.67416e-008,1.1246
1.67801e-008,1.1813
1.68187e-008,1.2050
1.68573e-008,1.2053
1.68959e-008,1.2192
1.69344e-008,1.2336
1.69730e-008,1.2279
1.70116e-008,1.1949
1.70501e-008,1.1031
1.70887e-008,0.9421
1.71273e-008,0.7532
1.71659e-008,0.5722
1.72044e-008,0.4292
1.72430e-008,0.3346
1.72816e-008,0.2884
1.73202e-008,0.2823
1.73588e-008,0.2853
1.73973e-008,0.2884
1.74359e-008,0.3152
1.74745e-008,0.3739
1.75131e-008,0.4846
1.75516e-008,0.6462
1.75902e-008,0.8308
1.76288e-008,0.9864
1.76674e-008,1.0985
1.77059e-008,1.1673
1.77445e-008,1.2006
1.77831e-008,1.2071
1.78216e-008,1.2000
1.78602e-008,1.2304
1.78988e-008,1.2315
1.79374e-008,1.2098
1.79759e-008,1.1403
1.80145e-008,0.9985
1.80531e-008,0.8136
1.80917e-008,0.6270
1.81302e-008,0.4691
1.81688e-008,0.3590
1.82074e-008,0.2978
1.82460e-008,0.2811
1.82846e-008,0.2882
1.83231e-008,0.2842
1.83617e-008,0.3044
1.84003e-008,0.3504
1.84389e-008,0.4435
1.84774e-008,0.5903
1.85160e-008,0.7739
1.85546e-008,0.9413
1.85932e-008,1.0680
1.86317e-008,1.1496
1.86703e-008,1.1932
1.87089e-008,1.2071
1.87474e-008,1.2027
1.87860e-008,1.2262
1.88246e-008,1.2332
1.88632e-008,1.2201
1.89017e-008,1.1698
1.89403e-008,1.0505
1.89789e-008,0.8733
1.90175e-008,0.6846
1.90560e-008,0.5141
1.90946e-008,0.3885
1.91332e-008,0.3120
1.91718e-008,0.2826
1.92104e-008,0.2851
1.92489e-008,0.2823
1.92875e-008,0.2956
1.93261e-008,0.3317
1.93647e-008,0.4081
1.94032e-008,0.5387
1.94418e-008,0.7147
1.94804e-008,0.8922
1.95190e-008,1.0329
1.95575e-008,1.1283
1.95961e-008,1.1831
1.96347e-008,1.2054
1.96732e-008,1.2050
1.97118e-008,1.2189
1.97504e-008,1.2333
1.97890e-008,1.2270
1.98275e-008,1.1919
1.98661e-008,1.0962
1.99047e-008,0.9325
1.99433e-008,0.7438
1.99819e-008,0.5639
2.00204e-008,0.4230
2.00590e-008,0.3309
2.00976e-008,0.2871
2.01362e-008,0.2827
2.01747e-008,0.2834
2.02133e-008,0.2889
2.02519e-008,0.3171
2.02905e-008,0.3782
2.03290e-008,0.4916
2.03676e-008,0.6554
2.04062e-008,0.8396
2.04447e-008,0.9933
2.04833e-008,1.1030
2.05219e-008,1.1697
2.05605e-008,1.2014
2.05990e-008,1.2069
2.06376e-008,1.2062
2.06762e-008,1.2317
2.07148e-008,1.2313
2.07533e-008,1.2078
2.07919e-008,1.1347
2.08305e-008,0.9895
2.08691e-008,0.8036
2.09077e-008,0.6176
2.09462e-008,0.4623
2.09848e-008,0.3547
2.10234e-008,0.2960
2.10620e-008,0.2810
2.11005e-008,0.2886
2.11391e-008,0.2852
2.11777e-008,0.3060
2.12163e-008,0.3538
2.12548e-008,0.4498
2.12934e-008,0.5991
2.13320e-008,0.7832
2.13705e-008,0.9488
2.14091e-008,1.0733
2.14477e-008,1.1528
2.14863e-008,1.1947
2.15248e-008,1.2072
2.15634e-008,1.2022
2.16020e-008,1.2282
2.16406e-008,1.2332
2.16791e-008,1.2187
2.17177e-008,1.1656
2.17563e-008,1.0426
2.17949e-008,0.8637
2.18335e-008,0.6748
2.18720e-008,0.5065
2.19106e-008,0.3836
2.19492e-008,0.3096
2.19878e-008,0.2822
2.20263e-008,0.2853
2.20649e-008,0.2831
2.21035e-008,0.2970
2.21420e-008,0.3343
2.21806e-008,0.4135
2.22192e-008,0.5468
2.22578e-008,0.7244
2.22963e-008,0.9003
2.23349e-008,1.0389
2.23735e-008,1.1321
2.24121e-008,1.1851
2.24506e-008,1.2059
2.24892e-008,1.2046
2.25278e-008,1.2220
2.25664e-008,1.2337
2.26050e-008,1.2261
2.26435e-008,1.1888
2.26821e-008,1.0894
2.27207e-008,0.9232
2.27593e-008,0.7339
2.27978e-008,0.5554
2.28364e-008,0.4173
2.28750e-008,0.3275
2.29136e-008,0.2862
2.29521e-008,0.2828
2.29907e-008,0.2840
2.30293e-008,0.2901
2.30678e-008,0.3193
2.31064e-008,0.3827
2.31450e-008,0.4989
2.31836e-008,0.6651
2.32221e-008,0.8482
2.32607e-008,1.0000
2.32993e-008,1.1074
2.33379e-008,1.1722
2.33764e-008,1.2022
2.34150e-008,1.2066
2.34536e-008,1.2061
2.34922e-008,1.2313
2.35308e-008,1.2304
2.35693e-008,1.2056
2.36079e-008,1.1291
2.36465e-008,0.9805
2.36851e-008,0.7942
2.37236e-008,0.6088
2.37622e-008,0.4556
2.38008e-008,0.3504
2.38394e-008,0.2943
2.38779e-008,0.2812
2.39165e-008,0.2892
2.39551e-008,0.2853
2.39936e-008,0.3076
2.40322e-008,0.3575
2.40708e-008,0.4561
2.41094e-008,0.6079
2.41479e-008,0.7924
2.41865e-008,0.9563
2.42251e-008,1.0784
2.42637e-008,1.1557
2.43023e-008,1.1958
2.43408e-008,1.2072
2.43794e-008,1.2018
2.44180e-008,1.2279
2.44566e-008,1.2328
2.44951e-008,1.2172
2.45337e-008,1.1610
2.45723e-008,1.0342
2.46109e-008,0.8539
2.46494e-008,0.6656
2.46880e-008,0.4990
2.47266e-008,0.3784
2.47651e-008,0.3069
2.48037e-008,0.2819
2.48423e-008,0.2861
2.48809e-008,0.2826
2.49194e-008,0.2982
2.49580e-008,0.3371
2.49966e-008,0.4189
2.50352e-008,0.5549
2.50737e-008,0.7340
2.51123e-008,0.9085
2.51509e-008,1.0447
2.51895e-008,1.1356
2.52281e-008,1.1867
2.52666e-008,1.2063
2.53052e-008,1.2043
2.53438e-008,1.2217
