.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
0.0e+000,1.1770
3.86e-011,1.1770
7.72e-011,1.1770
1.157e-010,1.1770
1.543e-010,1.1770
1.929e-010,1.1770
2.314e-010,1.1770
2.700e-010,1.1770
3.086e-010,1.1770
3.472e-010,1.1770
3.857e-010,1.1770
4.243e-010,1.1770
4.629e-010,1.1770
5.015e-010,1.1770
5.401e-010,1.1770
5.786e-010,1.1804
6.172e-010,1.1854
6.558e-010,1.1799
6.944e-010,1.1466
7.329e-010,1.0608
7.715e-010,0.9354
8.101e-010,0.8106
8.486e-010,0.6829
8.872e-010,0.5622
9.258e-010,0.4628
9.644e-010,0.3931
1.0029e-009,0.3635
1.0415e-009,0.3541
1.0801e-009,0.3703
1.1187e-009,0.4218
1.1572e-009,0.4976
1.1958e-009,0.6040
1.2344e-009,0.7362
1.2730e-009,0.8556
1.3115e-009,0.9462
1.3501e-009,1.0201
1.3887e-009,1.0730
1.4273e-009,1.1044
1.4658e-009,1.1126
1.5044e-009,1.1184
1.5430e-009,1.1208
1.5816e-009,1.1013
1.6202e-009,1.0828
1.6587e-009,1.0317
1.6973e-009,0.9292
1.7359e-009,0.8146
1.7745e-009,0.6902
1.8130e-009,0.5675
1.8516e-009,0.4691
1.8902e-009,0.3920
1.9288e-009,0.3515
1.9673e-009,0.3441
2.0059e-009,0.3478
2.0445e-009,0.3958
2.0830e-009,0.4680
2.1216e-009,0.5657
2.1602e-009,0.6917
2.1988e-009,0.8214
2.2374e-009,0.9159
2.2759e-009,0.9957
2.3145e-009,1.0551
2.3531e-009,1.0946
2.3916e-009,1.1123
2.4302e-009,1.1076
2.4688e-009,1.1240
2.5074e-009,1.1084
2.5459e-009,1.0909
2.5845e-009,1.0544
2.6231e-009,0.9656
2.6617e-009,0.8488
2.7003e-009,0.7304
2.7388e-009,0.6027
2.7774e-009,0.4976
2.8160e-009,0.4133
2.8545e-009,0.3596
2.8931e-009,0.3471
2.9317e-009,0.3423
2.9703e-009,0.3773
3.0089e-009,0.4431
3.0474e-009,0.5316
3.0860e-009,0.6490
3.1246e-009,0.7843
3.1631e-009,0.8880
3.2017e-009,0.9725
3.2403e-009,1.0387
3.2789e-009,1.0845
3.3175e-009,1.1093
3.3560e-009,1.1100
3.3946e-009,1.1217
3.4332e-009,1.1154
3.4717e-009,1.0960
3.5103e-009,1.0705
3.5489e-009,0.9992
3.5875e-009,0.8847
3.6260e-009,0.7707
3.6646e-009,0.6424
3.7032e-009,0.5284
3.7418e-009,0.4380
3.7803e-009,0.3723
3.8189e-009,0.3469
3.8575e-009,0.3404
3.8961e-009,0.3612
3.9346e-009,0.4202
3.9732e-009,0.5008
4.0118e-009,0.6089
4.0504e-009,0.7426
4.0890e-009,0.8588
4.1275e-009,0.9473
4.1661e-009,1.0203
4.2047e-009,1.0722
4.2433e-009,1.1037
4.2818e-009,1.1124
4.3204e-009,1.1175
4.3590e-009,1.1207
4.3975e-009,1.1015
4.4361e-009,1.0819
4.4747e-009,1.0279
4.5133e-009,0.9226
4.5519e-009,0.8075
4.5904e-009,0.6834
4.6290e-009,0.5614
4.6676e-009,0.4644
4.7062e-009,0.3892
4.7447e-009,0.3507
4.7833e-009,0.3423
4.8219e-009,0.3496
4.8604e-009,0.3992
4.8990e-009,0.4725
4.9376e-009,0.5715
4.9762e-009,0.6986
5.0147e-009,0.8269
5.0533e-009,0.9208
5.0919e-009,0.9996
5.1305e-009,1.0580
5.1691e-009,1.0963
5.2076e-009,1.1126
5.2462e-009,1.1071
5.2848e-009,1.1234
5.3234e-009,1.1077
5.3619e-009,1.0897
5.4005e-009,1.0510
5.4391e-009,0.9598
5.4776e-009,0.8430
5.5162e-009,0.7246
5.5548e-009,0.5972
5.5934e-009,0.4929
5.6320e-009,0.4098
5.6705e-009,0.3580
5.7091e-009,0.3472
5.7477e-009,0.3425
5.7863e-009,0.3802
5.8248e-009,0.4469
5.8634e-009,0.5369
5.9020e-009,0.6558
5.9405e-009,0.7906
5.9791e-009,0.8931
6.0177e-009,0.9768
6.0563e-009,1.0417
6.0948e-009,1.0864
6.1334e-009,1.1099
6.1720e-009,1.1093
6.2106e-009,1.1234
6.2492e-009,1.1141
6.2877e-009,1.0955
6.3263e-009,1.0685
6.3649e-009,0.9942
6.4035e-009,0.8791
6.4420e-009,0.7644
6.4806e-009,0.6356
6.5192e-009,0.5234
6.5577e-009,0.4338
