.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
0.0e+000,-0.8630
3.86e-011,-0.8630
7.72e-011,-0.8630
1.157e-010,-0.8630
1.543e-010,-0.8630
1.929e-010,-0.8630
2.314e-010,-0.8630
2.700e-010,-0.8630
3.086e-010,-0.8630
3.472e-010,-0.8630
3.857e-010,-0.8630
4.243e-010,-0.8630
4.629e-010,-0.8630
5.015e-010,-0.8585
5.401e-010,-0.8436
5.786e-010,-0.8021
6.172e-010,-0.7120
6.558e-010,-0.5640
6.944e-010,-0.3569
7.329e-010,-0.1312
7.715e-010,0.0851
8.101e-010,0.2821
8.486e-010,0.4545
8.872e-010,0.5909
9.258e-010,0.6801
9.644e-010,0.7661
1.0029e-009,0.7981
1.0415e-009,0.7881
1.0801e-009,0.7111
1.1187e-009,0.5312
1.1572e-009,0.2765
1.1958e-009,-0.0056
1.2344e-009,-0.2713
1.2730e-009,-0.4651
1.3115e-009,-0.5986
1.3501e-009,-0.6802
1.3887e-009,-0.7170
1.4273e-009,-0.7495
1.4658e-009,-0.7508
1.5044e-009,-0.7399
1.5430e-009,-0.6592
1.5816e-009,-0.5013
1.6202e-009,-0.2904
1.6587e-009,-0.0527
1.6973e-009,0.1692
1.7359e-009,0.3491
1.7745e-009,0.5026
1.8130e-009,0.6317
1.8516e-009,0.7152
1.8902e-009,0.7807
1.9288e-009,0.8113
1.9673e-009,0.8037
2.0059e-009,0.7423
2.0445e-009,0.5917
2.0830e-009,0.3553
2.1216e-009,0.0826
2.1602e-009,-0.1933
2.1988e-009,-0.4104
2.2374e-009,-0.5593
2.2759e-009,-0.6575
2.3145e-009,-0.7074
2.3531e-009,-0.7382
2.3916e-009,-0.7530
2.4302e-009,-0.7521
2.4688e-009,-0.6924
2.5074e-009,-0.5584
2.5459e-009,-0.3617
2.5845e-009,-0.1259
2.6231e-009,0.1039
2.6617e-009,0.2971
2.7003e-009,0.4555
2.7388e-009,0.5933
2.7774e-009,0.6934
2.8160e-009,0.7539
2.8545e-009,0.8084
2.8931e-009,0.8124
2.9317e-009,0.7686
2.9703e-009,0.6506
3.0089e-009,0.4350
3.0474e-009,0.1700
3.0860e-009,-0.1093
3.1246e-009,-0.3504
3.1631e-009,-0.5184
3.2017e-009,-0.6318
3.2403e-009,-0.6967
3.2789e-009,-0.7237
3.3175e-009,-0.7519
3.3560e-009,-0.7550
3.3946e-009,-0.7165
3.4332e-009,-0.6095
3.4717e-009,-0.4275
3.5103e-009,-0.2021
3.5489e-009,0.0326
3.5875e-009,0.2409
3.6260e-009,0.4074
3.6646e-009,0.5522
3.7032e-009,0.6667
3.7418e-009,0.7332
3.7803e-009,0.8002
3.8189e-009,0.8145
3.8575e-009,0.7881
3.8961e-009,0.6996
3.9346e-009,0.5110
3.9732e-009,0.2563
4.0118e-009,-0.0211
4.0504e-009,-0.2827
4.0890e-009,-0.4721
4.1275e-009,-0.6013
4.1661e-009,-0.6814
4.2047e-009,-0.7176
4.2433e-009,-0.7481
4.2818e-009,-0.7478
4.3204e-009,-0.7358
4.3590e-009,-0.6525
4.3975e-009,-0.4914
4.4361e-009,-0.2775
4.4747e-009,-0.0404
4.5133e-009,0.1798
4.5519e-009,0.3578
4.5904e-009,0.5087
4.6290e-009,0.6353
4.6676e-009,0.7169
4.7062e-009,0.7856
4.7447e-009,0.8117
4.7833e-009,0.8024
4.8219e-009,0.7374
4.8604e-009,0.5806
4.8990e-009,0.3412
4.9376e-009,0.0674
4.9762e-009,-0.2069
5.0147e-009,-0.4198
5.0533e-009,-0.5664
5.0919e-009,-0.6615
5.1305e-009,-0.7094
5.1691e-009,-0.7393
5.2076e-009,-0.7524
5.2462e-009,-0.7495
5.2848e-009,-0.6871
5.3234e-009,-0.5498
5.3619e-009,-0.3504
5.4005e-009,-0.1147
5.4391e-009,0.1142
5.4776e-009,0.3056
5.5162e-009,0.4627
5.5548e-009,0.5990
5.5934e-009,0.6965
5.6320e-009,0.7620
5.6705e-009,0.8098
5.7091e-009,0.8121
5.7477e-009,0.7653
5.7863e-009,0.6414
5.8248e-009,0.4224
5.8634e-009,0.1553
5.9020e-009,-0.1239
5.9405e-009,-0.3609
5.9791e-009,-0.5260
6.0177e-009,-0.6366
6.0563e-009,-0.6991
6.0948e-009,-0.7252
6.1334e-009,-0.7529
6.1720e-009,-0.7567
6.2106e-009,-0.7139
6.2492e-009,-0.6021
6.2877e-009,-0.4175
6.3263e-009,-0.1900
6.3649e-009,0.0444
6.4035e-009,0.2499
6.4420e-009,0.4148
6.4806e-009,0.5588
6.5192e-009,0.6711
6.5577e-009,0.7353
6.5963e-009,0.8005
6.6349e-009,0.8129
6.6735e-009,0.7845
6.7121e-009,0.6921
6.7506e-009,0.4986
6.7892e-009,0.2421
6.8278e-009,-0.0356
6.8664e-009,-0.2946
6.9049e-009,-0.4803
6.9435e-009,-0.6068
6.9821e-009,-0.6845
7.0206e-009,-0.7188
7.0592e-009,-0.7500
7.0978e-009,-0.7525
7.1364e-009,-0.7343
7.1749e-009,-0.6468
7.2135e-009,-0.4818
7.2521e-009,-0.2657
7.2907e-009,-0.0284
7.3293e-009,0.1896
7.3678e-009,0.3655
7.4064e-009,0.5157
7.4450e-009,0.6408
7.4835e-009,0.7198
7.5221e-009,0.7865
7.5607e-009,0.8108
7.5993e-009,0.7996
7.6379e-009,0.7315
7.6764e-009,0.5697
7.7150e-009,0.3273
7.7536e-009,0.0529
7.7922e-009,-0.2199
7.8307e-009,-0.4290
7.8693e-009,-0.5726
7.9079e-009,-0.6653
7.9464e-009,-0.7110
7.9850e-009,-0.7424
8.0236e-009,-0.7526
8.0622e-009,-0.7489
8.1008e-009,-0.6830
8.1393e-009,-0.5412
8.1779e-009,-0.3395
8.2165e-009,-0.1025
8.2550e-009,0.1250
8.2936e-009,0.3138
8.3322e-009,0.4701
8.3708e-009,0.6051
8.4093e-009,0.6999
8.4479e-009,0.7640
8.4865e-009,0.8094
8.5251e-009,0.8099
8.5637e-009,0.7606
8.6022e-009,0.6322
8.6408e-009,0.4091
8.6794e-009,0.1409
8.7179e-009,-0.1379
8.7565e-009,-0.3713
8.7951e-009,-0.5329
8.8337e-009,-0.6412
8.8722e-009,-0.7011
8.9108e-009,-0.7261
8.9494e-009,-0.7528
8.9880e-009,-0.7548
9.0266e-009,-0.7093
9.0651e-009,-0.5943
9.1037e-009,-0.4068
9.1423e-009,-0.1782
9.1808e-009,0.0552
9.2194e-009,0.2590
9.2580e-009,0.4226
9.2966e-009,0.5652
9.3352e-009,0.6754
9.3737e-009,0.7372
9.4123e-009,0.8032
9.4509e-009,0.8144
9.4895e-009,0.7822
9.5280e-009,0.6846
9.5666e-009,0.4865
9.6052e-009,0.2278
9.6437e-009,-0.0503
9.6823e-009,-0.3060
9.7209e-009,-0.4882
9.7595e-009,-0.6123
9.7981e-009,-0.6872
9.8366e-009,-0.7201
9.8752e-009,-0.7502
9.9138e-009,-0.7515
9.9524e-009,-0.7306
9.9909e-009,-0.6399
1.00295e-008,-0.4717
1.00681e-008,-0.2537
1.01066e-008,-0.0169
1.01452e-008,0.1995
1.01838e-008,0.3738
1.02224e-008,0.5227
1.02610e-008,0.6458
1.02995e-008,0.7222
1.03381e-008,0.7910
1.03767e-008,0.8111
1.04152e-008,0.7981
1.04538e-008,0.7260
1.04924e-008,0.5587
1.05310e-008,0.3137
1.05695e-008,0.0384
1.06081e-008,-0.2326
1.06467e-008,-0.4378
1.06853e-008,-0.5788
1.07239e-008,-0.6688
1.07624e-008,-0.7127
1.08010e-008,-0.7430
1.08396e-008,-0.7516
1.08781e-008,-0.7460
1.09167e-008,-0.6771
1.09553e-008,-0.5320
1.09939e-008,-0.3276
1.10324e-008,-0.0908
1.10710e-008,0.1355
1.11096e-008,0.3225
1.11482e-008,0.4774
1.11868e-008,0.6108
1.12253e-008,0.7031
1.12639e-008,0.7708
1.13025e-008,0.8106
1.13410e-008,0.8093
1.13796e-008,0.7570
1.14182e-008,0.6226
1.14568e-008,0.3964
1.14953e-008,0.1265
1.15339e-008,-0.1518
1.15725e-008,-0.3811
1.16111e-008,-0.5399
1.16497e-008,-0.6456
1.16882e-008,-0.7030
1.17268e-008,-0.7311
1.17654e-008,-0.7534
1.18039e-008,-0.7555
1.18425e-008,-0.7063
1.18811e-008,-0.5862
1.19197e-008,-0.3966
1.19583e-008,-0.1657
1.19968e-008,0.0670
1.20354e-008,0.2679
1.20740e-008,0.4301
1.21126e-008,0.5719
1.21511e-008,0.6798
1.21897e-008,0.7393
1.22283e-008,0.8035
1.22668e-008,0.8128
1.23054e-008,0.7784
1.23440e-008,0.6767
1.23826e-008,0.4739
1.24212e-008,0.2138
1.24597e-008,-0.0646
1.24983e-008,-0.3174
1.25369e-008,-0.4959
1.25755e-008,-0.6173
1.26140e-008,-0.6898
1.26526e-008,-0.7211
1.26912e-008,-0.7517
1.27297e-008,-0.7566
1.27683e-008,-0.7286
1.28069e-008,-0.6335
1.28455e-008,-0.4617
1.28841e-008,-0.2416
1.29226e-008,-0.0049
1.29612e-008,0.2092
1.29998e-008,0.3815
1.30383e-008,0.5297
1.30769e-008,0.6510
1.31155e-008,0.7250
1.31541e-008,0.7918
1.31926e-008,0.8102
1.32312e-008,0.7951
1.32698e-008,0.7197
1.33084e-008,0.5474
1.33470e-008,0.2996
1.33855e-008,0.0240
1.34241e-008,-0.2452
1.34627e-008,-0.4466
1.35012e-008,-0.5844
1.35398e-008,-0.6723
