.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
0.0e+000,0.3157
3.86e-011,0.3157
7.72e-011,0.3157
1.157e-010,0.3157
1.543e-010,0.3157
1.929e-010,0.3157
2.314e-010,0.3157
2.700e-010,0.3157
3.086e-010,0.3157
3.472e-010,0.3157
3.857e-010,0.3157
4.243e-010,0.3157
4.629e-010,0.3157
5.015e-010,0.3202
5.401e-010,0.3366
5.786e-010,0.3817
6.172e-010,0.4733
6.558e-010,0.6072
6.944e-010,0.7617
7.329e-010,0.8822
7.715e-010,0.9614
8.101e-010,1.0140
8.486e-010,1.0548
8.872e-010,1.0913
9.258e-010,1.1167
9.644e-010,1.1656
1.0029e-009,1.1801
1.0415e-009,1.1650
1.0801e-009,1.1068
1.1187e-009,0.9731
1.1572e-009,0.8016
1.1958e-009,0.6497
1.2344e-009,0.5329
1.2730e-009,0.4574
1.3115e-009,0.4062
1.3501e-009,0.3716
1.3887e-009,0.3505
1.4273e-009,0.3231
1.4658e-009,0.3277
1.5044e-009,0.3692
1.5430e-009,0.4602
1.5816e-009,0.6162
1.6202e-009,0.8034
1.6587e-009,0.9535
1.6973e-009,1.0411
1.7359e-009,1.0835
1.7745e-009,1.1036
1.8130e-009,1.1219
1.8516e-009,1.1387
1.8902e-009,1.1725
1.9288e-009,1.1915
1.9673e-009,1.1784
2.0059e-009,1.1347
2.0445e-009,1.0209
2.0830e-009,0.8493
2.1216e-009,0.6869
2.1602e-009,0.5608
2.1988e-009,0.4757
2.2374e-009,0.4214
2.2759e-009,0.3841
2.3145e-009,0.3599
2.3531e-009,0.3331
2.3916e-009,0.3231
2.4302e-009,0.3526
2.4688e-009,0.4246
2.5074e-009,0.5607
2.5459e-009,0.7442
2.5845e-009,0.9150
2.6231e-009,1.0200
2.6617e-009,1.0743
2.7003e-009,1.0983
2.7388e-009,1.1152
2.7774e-009,1.1333
2.8160e-009,1.1532
2.8545e-009,1.1902
2.8931e-009,1.1852
2.9317e-009,1.1535
2.9703e-009,1.0657
3.0089e-009,0.9056
3.0474e-009,0.7339
3.0860e-009,0.5964
3.1246e-009,0.4981
3.1631e-009,0.4361
3.2017e-009,0.3941
3.2403e-009,0.3662
3.2789e-009,0.3469
3.3175e-009,0.3222
3.3560e-009,0.3398
3.3946e-009,0.3958
3.4332e-009,0.5098
3.4717e-009,0.6835
3.5103e-009,0.8678
3.5489e-009,0.9930
3.5875e-009,1.0616
3.6260e-009,1.0922
3.6646e-009,1.1094
3.7032e-009,1.1275
3.7418e-009,1.1422
3.7803e-009,1.1856
3.8189e-009,1.1897
3.8575e-009,1.1671
3.8961e-009,1.1027
3.9346e-009,0.9613
3.9732e-009,0.7852
4.0118e-009,0.6360
4.0504e-009,0.5242
4.0890e-009,0.4528
4.1275e-009,0.4058
4.1661e-009,0.3738
4.2047e-009,0.3524
4.2433e-009,0.3248
4.2818e-009,0.3301
4.3204e-009,0.3729
4.3590e-009,0.4663
4.3975e-009,0.6247
4.4361e-009,0.8132
4.4747e-009,0.9604
4.5133e-009,1.0447
4.5519e-009,1.0851
4.5904e-009,1.1042
4.6290e-009,1.1219
4.6676e-009,1.1382
4.7062e-009,1.1763
4.7447e-009,1.1918
4.7833e-009,1.1770
4.8219e-009,1.1308
4.8604e-009,1.0128
4.8990e-009,0.8401
4.9376e-009,0.6792
4.9762e-009,0.5550
5.0147e-009,0.4721
5.0533e-009,0.4185
5.0919e-009,0.3824
5.1305e-009,0.3585
5.1691e-009,0.3324
5.2076e-009,0.3240
5.2462e-009,0.3551
5.2848e-009,0.4297
5.3234e-009,0.5689
5.3619e-009,0.7539
5.4005e-009,0.9216
5.4391e-009,1.0236
5.4776e-009,1.0758
5.5162e-009,1.0989
5.5548e-009,1.1159
5.5934e-009,1.1337
5.6320e-009,1.1600
5.6705e-009,1.1912
5.7091e-009,1.1843
5.7477e-009,1.1508
5.7863e-009,1.0586
5.8248e-009,0.8964
5.8634e-009,0.7259
5.9020e-009,0.5900
5.9405e-009,0.4940
5.9791e-009,0.4332
6.0177e-009,0.3924
6.0563e-009,0.3649
6.0948e-009,0.3457
6.1334e-009,0.3215
6.1720e-009,0.3414
6.2106e-009,0.3999
6.2492e-009,0.5178
6.2877e-009,0.6934
6.3263e-009,0.8756
6.3649e-009,0.9975
6.4035e-009,1.0636
6.4420e-009,1.0931
6.4806e-009,1.1102
6.5192e-009,1.1283
6.5577e-009,1.1427
6.5963e-009,1.1853
6.6349e-009,1.1886
6.6735e-009,1.1649
6.7121e-009,1.0974
6.7506e-009,0.9522
6.7892e-009,0.7762
6.8278e-009,0.6291
6.8664e-009,0.5195
6.9049e-009,0.4500
6.9435e-009,0.4037
6.9821e-009,0.3725
7.0206e-009,0.3515
7.0592e-009,0.3232
7.0978e-009,0.3310
7.1364e-009,0.3760
7.1749e-009,0.4728
7.2135e-009,0.6339
7.2521e-009,0.8222
7.2907e-009,0.9658
7.3293e-009,1.0476
7.3678e-009,1.0863
7.4064e-009,1.1049
7.4450e-009,1.1228
