.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
0.0e+000,-0.8627
3.86e-011,-0.8627
7.72e-011,-0.8627
1.157e-010,-0.8627
1.543e-010,-0.8627
1.929e-010,-0.8627
2.314e-010,-0.8627
2.700e-010,-0.8627
3.086e-010,-0.8627
3.472e-010,-0.8627
3.857e-010,-0.8627
4.243e-010,-0.8627
4.629e-010,-0.8627
5.015e-010,-0.8581
5.401e-010,-0.8416
5.786e-010,-0.7998
6.172e-010,-0.7120
6.558e-010,-0.5672
6.944e-010,-0.3659
7.329e-010,-0.1384
7.715e-010,0.0892
8.101e-010,0.2767
8.486e-010,0.4313
8.872e-010,0.5577
9.258e-010,0.6444
9.644e-010,0.7351
1.0029e-009,0.7759
1.0415e-009,0.7785
1.0801e-009,0.7179
1.1187e-009,0.5538
1.1572e-009,0.3034
1.1958e-009,0.0112
1.2344e-009,-0.2830
1.2730e-009,-0.5050
1.3115e-009,-0.6408
1.3501e-009,-0.7221
1.3887e-009,-0.7579
1.4273e-009,-0.7784
1.4658e-009,-0.7657
1.5044e-009,-0.7323
1.5430e-009,-0.6473
1.5816e-009,-0.4875
1.6202e-009,-0.2791
1.6587e-009,-0.0440
1.6973e-009,0.1971
1.7359e-009,0.3862
1.7745e-009,0.5194
1.8130e-009,0.6304
1.8516e-009,0.7021
1.8902e-009,0.7646
1.9288e-009,0.8088
1.9673e-009,0.8067
2.0059e-009,0.7571
2.0445e-009,0.6212
2.0830e-009,0.3894
2.1216e-009,0.1047
2.1602e-009,-0.1933
2.1988e-009,-0.4456
2.2374e-009,-0.6063
2.2759e-009,-0.7007
2.3145e-009,-0.7468
2.3531e-009,-0.7699
2.3916e-009,-0.7721
2.4302e-009,-0.7366
2.4688e-009,-0.6821
2.5074e-009,-0.5448
2.5459e-009,-0.3466
2.5845e-009,-0.1195
2.6231e-009,0.1237
2.6617e-009,0.3361
2.7003e-009,0.4800
2.7388e-009,0.5998
2.7774e-009,0.6851
2.8160e-009,0.7369
2.8545e-009,0.8002
2.8931e-009,0.8091
2.9317e-009,0.7808
2.9703e-009,0.6755
3.0089e-009,0.4701
3.0474e-009,0.1970
3.0860e-009,-0.1016
3.1246e-009,-0.3758
3.1631e-009,-0.5637
3.2017e-009,-0.6772
3.2403e-009,-0.7372
3.2789e-009,-0.7588
3.3175e-009,-0.7755
3.3560e-009,-0.7479
3.3946e-009,-0.7079
3.4332e-009,-0.5975
3.4717e-009,-0.4130
3.5103e-009,-0.1929
3.5489e-009,0.0463
3.5875e-009,0.2760
3.6260e-009,0.4386
3.6646e-009,0.5633
3.7032e-009,0.6626
3.7418e-009,0.7185
3.7803e-009,0.7868
3.8189e-009,0.8115
3.8575e-009,0.7980
3.8961e-009,0.7192
3.9346e-009,0.5449
3.9732e-009,0.2879
4.0118e-009,-0.0073
4.0504e-009,-0.2966
4.0890e-009,-0.5134
4.1275e-009,-0.6479
4.1661e-009,-0.7233
4.2047e-009,-0.7549
4.2433e-009,-0.7755
4.2818e-009,-0.7613
4.3204e-009,-0.7264
4.3590e-009,-0.6406
4.3975e-009,-0.4770
4.4361e-009,-0.2653
4.4747e-009,-0.0312
4.5133e-009,0.2084
4.5519e-009,0.3947
4.5904e-009,0.5254
4.6290e-009,0.6352
4.6676e-009,0.7051
4.7062e-009,0.7692
4.7447e-009,0.8089
4.7833e-009,0.8073
4.8219e-009,0.7525
4.8604e-009,0.6106
4.8990e-009,0.3754
4.9376e-009,0.0881
4.9762e-009,-0.2095
5.0147e-009,-0.4557
5.0533e-009,-0.6129
5.0919e-009,-0.7050
5.1305e-009,-0.7486
5.1691e-009,-0.7703
5.2076e-009,-0.7710
5.2462e-009,-0.7335
5.2848e-009,-0.6763
5.3234e-009,-0.5369
5.3619e-009,-0.3356
5.4005e-009,-0.1074
5.4391e-009,0.1354
5.4776e-009,0.3446
5.5162e-009,0.4859
5.5548e-009,0.6038
5.5934e-009,0.6881
5.6320e-009,0.7451
5.6705e-009,0.8021
5.7091e-009,0.8078
5.7477e-009,0.7780
5.7863e-009,0.6669
5.8248e-009,0.4575
5.8634e-009,0.1821
5.9020e-009,-0.1179
5.9405e-009,-0.3883
5.9791e-009,-0.5711
6.0177e-009,-0.6819
6.0563e-009,-0.7395
6.0948e-009,-0.7596
6.1334e-009,-0.7762
6.1720e-009,-0.7455
6.2106e-009,-0.7052
6.2492e-009,-0.5900
6.2877e-009,-0.4026
6.3263e-009,-0.1817
6.3649e-009,0.0587
6.4035e-009,0.2862
6.4420e-009,0.4450
6.4806e-009,0.5694
6.5192e-009,0.6663
6.5577e-009,0.7201
6.5963e-009,0.7879
6.6349e-009,0.8110
6.6735e-009,0.7945
6.7121e-009,0.7124
6.7506e-009,0.5331
6.7892e-009,0.2728
6.8278e-009,-0.0226
6.8664e-009,-0.3101
6.9049e-009,-0.5227
6.9435e-009,-0.6532
6.9821e-009,-0.7258
7.0206e-009,-0.7559
7.0592e-009,-0.7768
7.0978e-009,-0.7599
7.1364e-009,-0.7267
7.1749e-009,-0.6348
7.2135e-009,-0.4664
7.2521e-009,-0.2545
7.2907e-009,-0.0192
7.3293e-009,0.2195
7.3678e-009,0.4013
7.4064e-009,0.5320
7.4450e-009,0.6402
7.4835e-009,0.7071
7.5221e-009,0.7703
7.5607e-009,0.8093
7.5993e-009,0.8048
7.6379e-009,0.7471
7.6764e-009,0.6005
7.7150e-009,0.3606
7.7536e-009,0.0727
7.7922e-009,-0.2236
7.8307e-009,-0.4662
7.8693e-009,-0.6196
7.9079e-009,-0.7083
7.9464e-009,-0.7500
7.9850e-009,-0.7728
8.0236e-009,-0.7701
8.0622e-009,-0.7371
8.1008e-009,-0.6721
8.1393e-009,-0.5270
8.1779e-009,-0.3248
8.2165e-009,-0.0957
8.2550e-009,0.1474
8.2936e-009,0.3526
8.3322e-009,0.4924
8.3708e-009,0.6097
8.4093e-009,0.6907
8.4479e-009,0.7465
8.4865e-009,0.8030
8.5251e-009,0.8065
8.5637e-009,0.7735
8.6022e-009,0.6587
8.6408e-009,0.4439
8.6794e-009,0.1665
8.7179e-009,-0.1326
8.7565e-009,-0.4000
8.7951e-009,-0.5789
8.8337e-009,-0.6860
8.8722e-009,-0.7413
8.9108e-009,-0.7602
8.9494e-009,-0.7750
8.9880e-009,-0.7428
9.0266e-009,-0.7004
9.0651e-009,-0.5823
9.1037e-009,-0.3922
9.1423e-009,-0.1698
9.1808e-009,0.0709
9.2194e-009,0.2957
9.2580e-009,0.4516
9.2966e-009,0.5746
9.3352e-009,0.6699
9.3737e-009,0.7220
9.4123e-009,0.7911
9.4509e-009,0.8108
9.4895e-009,0.7930
9.5280e-009,0.7059
9.5666e-009,0.5214
9.6052e-009,0.2584
9.6437e-009,-0.0388
9.6823e-009,-0.3239
9.7209e-009,-0.5308
9.7595e-009,-0.6585
9.7981e-009,-0.7287
9.8366e-009,-0.7568
9.8752e-009,-0.7766
9.9138e-009,-0.7578
9.9524e-009,-0.7218
9.9909e-009,-0.6279
1.00295e-008,-0.4571
1.00681e-008,-0.2424
1.01066e-008,-0.0068
1.01452e-008,0.2305
1.01838e-008,0.4090
1.02224e-008,0.5375
1.02610e-008,0.6441
1.02995e-008,0.7098
1.03381e-008,0.7752
1.03767e-008,0.8101
1.04152e-008,0.8049
1.04538e-008,0.7425
1.04924e-008,0.5900
1.05310e-008,0.3471
1.05695e-008,0.0569
1.06081e-008,-0.2389
1.06467e-008,-0.4757
1.06853e-008,-0.6254
1.07239e-008,-0.7118
1.07624e-008,-0.7513
1.08010e-008,-0.7729
1.08396e-008,-0.7686
1.08781e-008,-0.7334
1.09167e-008,-0.6657
1.09553e-008,-0.5185
1.09939e-008,-0.3134
1.10324e-008,-0.0834
1.10710e-008,0.1592
1.11096e-008,0.3612
1.11482e-008,0.4986
1.11868e-008,0.6140
1.12253e-008,0.6936
1.12639e-008,0.7537
1.13025e-008,0.8046
1.13410e-008,0.8087
1.13796e-008,0.7703
1.14182e-008,0.6495
1.14568e-008,0.4313
1.14953e-008,0.1516
1.15339e-008,-0.1484
1.15725e-008,-0.4117
1.16111e-008,-0.5857
1.16497e-008,-0.6902
1.16882e-008,-0.7431
1.17268e-008,-0.7643
1.17654e-008,-0.7752
1.18039e-008,-0.7401
1.18425e-008,-0.6969
1.18811e-008,-0.5739
1.19197e-008,-0.3815
1.19583e-008,-0.1580
1.19968e-008,0.0834
1.20354e-008,0.3056
1.20740e-008,0.4581
1.21126e-008,0.5807
1.21511e-008,0.6736
1.21897e-008,0.7238
1.22283e-008,0.7923
1.22668e-008,0.8102
1.23054e-008,0.7894
1.23440e-008,0.6987
1.23826e-008,0.5092
1.24212e-008,0.2433
1.24597e-008,-0.0536
1.24983e-008,-0.3369
1.25369e-008,-0.5395
1.25755e-008,-0.6633
1.26140e-008,-0.7308
1.26526e-008,-0.7576
1.26912e-008,-0.7773
1.27297e-008,-0.7560
1.27683e-008,-0.7211
1.28069e-008,-0.6214
1.28455e-008,-0.4463
1.28841e-008,-0.2314
1.29226e-008,0.0056
1.29612e-008,0.2416
1.29998e-008,0.4155
1.30383e-008,0.5441
1.30769e-008,0.6489
1.31155e-008,0.7114
1.31541e-008,0.7765
1.31926e-008,0.8104
1.32312e-008,0.8022
1.32698e-008,0.7367
1.33084e-008,0.5795
1.33470e-008,0.3321
1.33855e-008,0.0417
1.34241e-008,-0.2526
1.34627e-008,-0.4858
1.35012e-008,-0.6313
1.35398e-008,-0.7147
1.35784e-008,-0.7524
1.36170e-008,-0.7748
1.36555e-008,-0.7673
1.36941e-008,-0.7354
1.37327e-008,-0.6610
1.37713e-008,-0.5081
1.38099e-008,-0.3026
1.38484e-008,-0.0714
1.38870e-008,0.1710
1.39256e-008,0.3689
1.39641e-008,0.5052
1.40027e-008,0.6198
1.40413e-008,0.6961
1.40799e-008,0.7550
1.41185e-008,0.8054
1.41570e-008,0.8070
1.41956e-008,0.7656
1.42342e-008,0.6407
1.42728e-008,0.4174
1.43113e-008,0.1360
1.43499e-008,-0.1627
1.43885e-008,-0.4230
1.44270e-008,-0.5929
1.44656e-008,-0.6939
1.45042e-008,-0.7446
1.45428e-008,-0.7645
1.45814e-008,-0.7739
1.46199e-008,-0.7372
1.46585e-008,-0.6918
1.46971e-008,-0.5658
1.47357e-008,-0.3708
1.47742e-008,-0.1458
1.48128e-008,0.0955
1.48514e-008,0.3149
1.48899e-008,0.4646
1.49285e-008,0.5860
1.49671e-008,0.6771
1.50057e-008,0.7256
1.50443e-008,0.7952
1.50828e-008,0.8099
1.51214e-008,0.7875
1.51600e-008,0.6916
1.51985e-008,0.4973
1.52371e-008,0.2288
1.52757e-008,-0.0697
1.53143e-008,-0.3500
1.53528e-008,-0.5472
1.53914e-008,-0.6682
1.54300e-008,-0.7334
1.54686e-008,-0.7583
1.55071e-008,-0.7768
1.55457e-008,-0.7536
1.55843e-008,-0.7160
1.56229e-008,-0.6142
1.56615e-008,-0.4367
1.57000e-008,-0.2192
1.57386e-008,0.0182
1.57772e-008,0.2523
1.58158e-008,0.4229
1.58543e-008,0.5495
1.58929e-008,0.6528
1.59315e-008,0.7139
1.59701e-008,0.7809
1.60086e-008,0.8108
1.60472e-008,0.8018
1.60858e-008,0.7316
1.61243e-008,0.5686
1.61629e-008,0.3186
1.62015e-008,0.0258
1.62401e-008,-0.2675
1.62786e-008,-0.4947
1.63172e-008,-0.6368
1.63558e-008,-0.7179
1.63944e-008,-0.7535
1.64329e-008,-0.7748
1.64715e-008,-0.7656
1.65101e-008,-0.7311
1.65487e-008,-0.6544
1.65873e-008,-0.4992
1.66258e-008,-0.2909
1.66644e-008,-0.0588
1.67030e-008,0.1826
1.67416e-008,0.3773
1.67801e-008,0.5111
1.68187e-008,0.6241
1.68573e-008,0.6990
1.68959e-008,0.7614
1.69344e-008,0.8067
1.69730e-008,0.8084
1.70116e-008,0.7620
1.70501e-008,0.6311
1.70887e-008,0.4046
1.71273e-008,0.1209
1.71659e-008,-0.1782
1.72044e-008,-0.4340
1.72430e-008,-0.5994
1.72816e-008,-0.6979
1.73202e-008,-0.7461
1.73588e-008,-0.7678
1.73973e-008,-0.7738
1.74359e-008,-0.7341
1.74745e-008,-0.6878
1.75131e-008,-0.5568
1.75516e-008,-0.3601
1.75902e-008,-0.1341
1.76288e-008,0.1080
1.76674e-008,0.3245
1.77059e-008,0.4712
1.77445e-008,0.5918
1.77831e-008,0.6806
1.78216e-008,0.7274
1.78602e-008,0.7964
1.78988e-008,0.8090
1.79374e-008,0.7836
1.79759e-008,0.6841
1.80145e-008,0.4845
1.80531e-008,0.2137
1.80917e-008,-0.0844
1.81302e-008,-0.3624
1.81688e-008,-0.5555
1.82074e-008,-0.6725
1.82460e-008,-0.7354
1.82846e-008,-0.7589
1.83231e-008,-0.7772
1.83617e-008,-0.7516
1.84003e-008,-0.7145
1.84389e-008,-0.6070
1.84774e-008,-0.4258
1.85160e-008,-0.2081
1.85546e-008,0.0307
1.85932e-008,0.2630
1.86317e-008,0.4293
1.86703e-008,0.5562
1.87089e-008,0.6573
1.87474e-008,0.7154
1.87860e-008,0.7823
1.88246e-008,0.8109
1.88632e-008,0.7989
1.89017e-008,0.7255
1.89403e-008,0.5574
1.89789e-008,0.3036
1.90175e-008,0.0107
1.90560e-008,-0.2808
1.90946e-008,-0.5043
1.91332e-008,-0.6423
1.91718e-008,-0.7205
1.92104e-008,-0.7544
1.92489e-008,-0.7763
1.92875e-008,-0.7642
1.93261e-008,-0.7321
1.93647e-008,-0.6491
1.94032e-008,-0.4885
1.94418e-008,-0.2800
1.94804e-008,-0.0467
1.95190e-008,0.1943
1.95575e-008,0.3845
1.95961e-008,0.5179
1.96347e-008,0.6297
1.96732e-008,0.7012
1.97118e-008,0.7627
1.97504e-008,0.8073
1.97890e-008,0.8063
1.98275e-008,0.7570
1.98661e-008,0.6218
1.99047e-008,0.3903
1.99433e-008,0.1054
1.99819e-008,-0.1923
2.00204e-008,-0.4445
2.00590e-008,-0.6062
2.00976e-008,-0.7013
2.01362e-008,-0.7475
2.01747e-008,-0.7708
2.02133e-008,-0.7731
2.02519e-008,-0.7377
2.02905e-008,-0.6840
2.03290e-008,-0.5473
2.03676e-008,-0.3495
2.04062e-008,-0.1225
2.04447e-008,0.1205
2.04833e-008,0.3333
2.05219e-008,0.4777
2.05605e-008,0.5979
2.05990e-008,0.6839
2.06376e-008,0.7357
2.06762e-008,0.7993
2.07148e-008,0.8085
2.07533e-008,0.7809
2.07919e-008,0.6762
2.08305e-008,0.4717
2.08691e-008,0.1986
2.09077e-008,-0.1001
2.09462e-008,-0.3746
2.09848e-008,-0.5632
2.10234e-008,-0.6773
2.10620e-008,-0.7377
2.11005e-008,-0.7595
2.11391e-008,-0.7763
2.11777e-008,-0.7489
2.12163e-008,-0.7094
2.12548e-008,-0.5996
2.12934e-008,-0.4156
2.13320e-008,-0.1959
2.13705e-008,0.0432
2.14091e-008,0.2734
2.14477e-008,0.4365
2.14863e-008,0.5616
2.15248e-008,0.6612
2.15634e-008,0.7176
2.16020e-008,0.7860
2.16406e-008,0.8110
2.16791e-008,0.7980
2.17177e-008,0.7198
2.17563e-008,0.5462
2.17949e-008,0.2898
2.18335e-008,-0.0055
2.18720e-008,-0.2951
2.19106e-008,-0.5126
2.19492e-008,-0.6476
2.19878e-008,-0.7235
2.20263e-008,-0.7553
2.20649e-008,-0.7761
2.21035e-008,-0.7622
2.21420e-008,-0.7276
2.21806e-008,-0.6423
2.22192e-008,-0.4793
2.22578e-008,-0.2681
2.22963e-008,-0.0341
2.23349e-008,0.2057
2.23735e-008,0.3926
2.24121e-008,0.5237
2.24506e-008,0.6338
2.24892e-008,0.7041
2.25278e-008,0.7684
2.25664e-008,0.8084
2.26050e-008,0.8072
2.26435e-008,0.7530
2.26821e-008,0.6117
2.27207e-008,0.3773
2.27593e-008,0.0901
2.27978e-008,-0.2076
2.28364e-008,-0.4546
2.28750e-008,-0.6125
2.29136e-008,-0.7050
2.29521e-008,-0.7488
2.29907e-008,-0.7708
2.30293e-008,-0.7718
2.30678e-008,-0.7345
