.HEADER
..NAMES
Time,V U1.Y11
.DATA
0.0e+000,1.0921
3.67e-011,1.0922
7.33e-011,1.0932
1.100e-010,1.0948
1.467e-010,1.0995
1.834e-010,1.1009
2.201e-010,1.0876
2.567e-010,1.0406
2.934e-010,0.9433
3.301e-010,0.8151
3.667e-010,0.6855
4.034e-010,0.5722
4.401e-010,0.4850
4.768e-010,0.4242
5.135e-010,0.3833
5.501e-010,0.3562
5.868e-010,0.3368
6.235e-010,0.3232
6.601e-010,0.3134
6.968e-010,0.3064
7.335e-010,0.3014
7.702e-010,0.2979
8.068e-010,0.2954
8.435e-010,0.2942
8.802e-010,0.2950
9.169e-010,0.2977
9.536e-010,0.3014
9.902e-010,0.3049
1.0269e-009,0.3076
1.0636e-009,0.3114
1.1003e-009,0.3198
1.1369e-009,0.3361
1.1736e-009,0.3595
1.2103e-009,0.3839
1.2469e-009,0.4020
1.2836e-009,0.4087
1.3203e-009,0.4042
1.3570e-009,0.3942
1.3936e-009,0.3865
1.4303e-009,0.3853
1.4670e-009,0.3907
1.5037e-009,0.3991
1.5403e-009,0.4060
1.5770e-009,0.4085
1.6137e-009,0.4064
1.6504e-009,0.4017
1.6871e-009,0.3973
1.7237e-009,0.3954
1.7604e-009,0.3964
1.7971e-009,0.3995
1.8338e-009,0.4028
1.8704e-009,0.4052
1.9071e-009,0.4059
1.9438e-009,0.4052
1.9805e-009,0.4052
2.0171e-009,0.4120
2.0538e-009,0.4352
2.0905e-009,0.4923
2.1272e-009,0.5894
2.1638e-009,0.7070
2.2005e-009,0.8225
2.2372e-009,0.9019
2.2738e-009,0.9545
2.3105e-009,0.9920
2.3472e-009,1.0216
2.3839e-009,1.0448
2.4205e-009,1.0630
2.4572e-009,1.0774
2.4939e-009,1.0901
2.5306e-009,1.1020
2.5672e-009,1.1123
2.6039e-009,1.1197
2.6406e-009,1.1230
2.6773e-009,1.1219
2.7139e-009,1.1172
2.7506e-009,1.1107
2.7873e-009,1.1044
2.8240e-009,1.1007
2.8606e-009,1.1000
2.8973e-009,1.0979
2.9340e-009,1.0916
2.9707e-009,1.0793
3.0073e-009,1.0537
3.0440e-009,1.0044
3.0807e-009,0.9128
3.1174e-009,0.7803
3.1540e-009,0.6465
3.1907e-009,0.5344
3.2274e-009,0.4454
3.2641e-009,0.3741
3.3007e-009,0.3187
3.3374e-009,0.2789
3.3741e-009,0.2527
3.4108e-009,0.2383
3.4475e-009,0.2310
