.HEADER
..NAMES
Time,V U2.N3
.DATA
0.0e+000,0.3310
3.67e-011,0.3310
7.33e-011,0.3310
1.100e-010,0.3310
1.467e-010,0.3310
1.834e-010,0.3310
2.201e-010,0.3310
2.567e-010,0.3310
2.934e-010,0.3310
3.301e-010,0.3310
3.667e-010,0.3310
4.034e-010,0.3310
4.401e-010,0.3310
4.768e-010,0.3310
5.135e-010,0.3310
5.501e-010,0.3310
5.868e-010,0.3310
6.235e-010,0.3310
6.601e-010,0.3310
6.968e-010,0.3310
7.335e-010,0.3310
7.702e-010,0.3310
8.068e-010,0.3313
8.435e-010,0.3325
8.802e-010,0.3362
9.169e-010,0.3451
9.536e-010,0.3625
9.902e-010,0.3916
1.0269e-009,0.4347
1.0636e-009,0.4928
1.1003e-009,0.5659
1.1369e-009,0.6513
1.1736e-009,0.7432
1.2103e-009,0.8339
1.2469e-009,0.9156
1.2836e-009,0.9819
1.3203e-009,1.0289
1.3570e-009,1.0560
1.3936e-009,1.0656
1.4303e-009,1.0622
1.4670e-009,1.0516
1.5037e-009,1.0404
1.5403e-009,1.0342
1.5770e-009,1.0360
1.6137e-009,1.0452
1.6504e-009,1.0590
1.6871e-009,1.0735
1.7237e-009,1.0857
1.7604e-009,1.0939
1.7971e-009,1.0974
1.8338e-009,1.0964
1.8704e-009,1.0922
1.9071e-009,1.0868
1.9438e-009,1.0829
1.9805e-009,1.0819
2.0171e-009,1.0839
2.0538e-009,1.0878
2.0905e-009,1.0917
2.1272e-009,1.0943
2.1638e-009,1.0955
2.2005e-009,1.0957
2.2372e-009,1.0956
2.2738e-009,1.0956
2.3105e-009,1.0961
2.3472e-009,1.0976
2.3839e-009,1.1003
2.4205e-009,1.1037
2.4572e-009,1.1069
2.4939e-009,1.1087
2.5306e-009,1.1086
2.5672e-009,1.1065
2.6039e-009,1.1034
2.6406e-009,1.1003
2.6773e-009,1.0978
2.7139e-009,1.0966
2.7506e-009,1.0962
2.7873e-009,1.0952
2.8240e-009,1.0905
2.8606e-009,1.0779
2.8973e-009,1.0536
2.9340e-009,1.0144
2.9707e-009,0.9580
3.0073e-009,0.8836
3.0440e-009,0.7945
3.0807e-009,0.6966
3.1174e-009,0.5978
3.1540e-009,0.5070
3.1907e-009,0.4323
3.2274e-009,0.3786
3.2641e-009,0.3473
3.3007e-009,0.3368
3.3374e-009,0.3426
3.3741e-009,0.3578
3.4108e-009,0.3748
3.4475e-009,0.3867
3.4841e-009,0.3893
3.5208e-009,0.3824
3.5575e-009,0.3688
3.5942e-009,0.3527
3.6308e-009,0.3378
3.6675e-009,0.3271
3.7042e-009,0.3220
3.7408e-009,0.3227
3.7775e-009,0.3277
3.8142e-009,0.3346
3.8509e-009,0.3403
3.8875e-009,0.3428
