.HEADER
..NAMES
Time,V U5.L7
.DATA
0.0e+000,1.0906
3.67e-011,1.0906
7.33e-011,1.0906
1.100e-010,1.0906
1.467e-010,1.0906
1.834e-010,1.0906
2.201e-010,1.0906
2.567e-010,1.0906
2.934e-010,1.0906
3.301e-010,1.0906
3.667e-010,1.0906
4.034e-010,1.0905
4.401e-010,1.0905
4.768e-010,1.0908
5.135e-010,1.0915
5.501e-010,1.0933
5.868e-010,1.0956
6.235e-010,1.0944
6.601e-010,1.0807
6.968e-010,1.0413
7.335e-010,0.9679
7.702e-010,0.8650
8.068e-010,0.7477
8.435e-010,0.6368
8.802e-010,0.5516
9.169e-010,0.5002
9.536e-010,0.4773
9.902e-010,0.4717
1.0269e-009,0.4714
1.0636e-009,0.4681
1.1003e-009,0.4593
1.1369e-009,0.4476
1.1736e-009,0.4373
1.2103e-009,0.4316
1.2469e-009,0.4309
1.2836e-009,0.4333
1.3203e-009,0.4357
1.3570e-009,0.4358
1.3936e-009,0.4330
1.4303e-009,0.4283
1.4670e-009,0.4235
1.5037e-009,0.4222
1.5403e-009,0.4307
1.5770e-009,0.4609
1.6137e-009,0.5239
1.6504e-009,0.6203
1.6871e-009,0.7337
1.7237e-009,0.8368
1.7604e-009,0.9077
1.7971e-009,0.9388
1.8338e-009,0.9387
1.8704e-009,0.9271
1.9071e-009,0.9219
1.9438e-009,0.9299
1.9805e-009,0.9479
2.0171e-009,0.9684
2.0538e-009,0.9831
2.0905e-009,0.9876
2.1272e-009,0.9824
2.1638e-009,0.9728
2.2005e-009,0.9651
2.2372e-009,0.9637
2.2738e-009,0.9692
2.3105e-009,0.9784
2.3472e-009,0.9876
2.3839e-009,0.9942
2.4205e-009,0.9997
2.4572e-009,1.0066
2.4939e-009,1.0130
2.5306e-009,1.0094
2.5672e-009,0.9808
2.6039e-009,0.9182
2.6406e-009,0.8272
2.6773e-009,0.7233
2.7139e-009,0.6257
2.7506e-009,0.5505
2.7873e-009,0.5030
2.8240e-009,0.4777
2.8606e-009,0.4656
2.8973e-009,0.4598
2.9340e-009,0.4555
2.9707e-009,0.4509
3.0073e-009,0.4469
3.0440e-009,0.4448
3.0807e-009,0.4448
3.1174e-009,0.4452
3.1540e-009,0.4445
3.1907e-009,0.4417
3.2274e-009,0.4374
3.2641e-009,0.4333
3.3007e-009,0.4307
3.3374e-009,0.4290
3.3741e-009,0.4261
3.4108e-009,0.4199
3.4475e-009,0.4107
3.4841e-009,0.4010
3.5208e-009,0.3928
3.5575e-009,0.3863
3.5942e-009,0.3795
3.6308e-009,0.3700
3.6675e-009,0.3573
3.7042e-009,0.3435
3.7408e-009,0.3318
3.7775e-009,0.3249
3.8142e-009,0.3234
3.8509e-009,0.3254
3.8875e-009,0.3284
3.9242e-009,0.3298
3.9609e-009,0.3287
3.9976e-009,0.3254
4.0342e-009,0.3214
4.0709e-009,0.3187
4.1076e-009,0.3182
4.1443e-009,0.3194
4.1809e-009,0.3211
4.2176e-009,0.3219
4.2543e-009,0.3214
4.2910e-009,0.3206
4.3276e-009,0.3207
4.3643e-009,0.3222
4.4010e-009,0.3247
4.4377e-009,0.3273
4.4743e-009,0.3291
4.5110e-009,0.3302
4.5477e-009,0.3308
4.5844e-009,0.3310
4.6211e-009,0.3307
4.6577e-009,0.3296
4.6944e-009,0.3277
4.7311e-009,0.3255
4.7678e-009,0.3237
4.8044e-009,0.3229
4.8411e-009,0.3234
4.8778e-009,0.3247
4.9145e-009,0.3262
4.9511e-009,0.3272
4.9878e-009,0.3271
5.0245e-009,0.3262
5.0612e-009,0.3248
5.0978e-009,0.3239
5.1345e-009,0.3241
5.1712e-009,0.3251
5.2079e-009,0.3270
