.HEADER
..NAMES
Time,V U5.T3
.DATA
0.0e+000,1.0905
3.67e-011,1.0905
7.33e-011,1.0905
1.100e-010,1.0905
1.467e-010,1.0905
1.834e-010,1.0905
2.201e-010,1.0905
2.567e-010,1.0905
2.934e-010,1.0905
3.301e-010,1.0905
3.667e-010,1.0905
4.034e-010,1.0905
4.401e-010,1.0905
4.768e-010,1.0908
5.135e-010,1.0914
5.501e-010,1.0930
5.868e-010,1.0953
6.235e-010,1.0945
6.601e-010,1.0825
6.968e-010,1.0471
7.335e-010,0.9809
7.702e-010,0.8887
8.068e-010,0.7814
8.435e-010,0.6726
8.802e-010,0.5788
9.169e-010,0.5132
9.536e-010,0.4782
9.902e-010,0.4669
1.0269e-009,0.4681
1.0636e-009,0.4712
1.1003e-009,0.4693
1.1369e-009,0.4610
1.1736e-009,0.4491
1.2103e-009,0.4377
1.2469e-009,0.4303
1.2836e-009,0.4279
1.3203e-009,0.4295
1.3570e-009,0.4324
1.3936e-009,0.4345
1.4303e-009,0.4344
1.4670e-009,0.4313
1.5037e-009,0.4279
1.5403e-009,0.4311
1.5770e-009,0.4538
1.6137e-009,0.5082
1.6504e-009,0.5954
1.6871e-009,0.7025
1.7237e-009,0.8066
1.7604e-009,0.8900
1.7971e-009,0.9422
1.8338e-009,0.9601
1.8704e-009,0.9510
1.9071e-009,0.9322
1.9438e-009,0.9202
1.9805e-009,0.9233
2.0171e-009,0.9400
2.0538e-009,0.9626
2.0905e-009,0.9818
2.1272e-009,0.9916
2.1638e-009,0.9911
2.2005e-009,0.9830
2.2372e-009,0.9726
2.2738e-009,0.9651
2.3105e-009,0.9634
2.3472e-009,0.9679
2.3839e-009,0.9777
2.4205e-009,0.9909
2.4572e-009,1.0047
2.4939e-009,1.0157
2.5306e-009,1.0220
2.5672e-009,1.0243
2.6039e-009,1.0260
2.6406e-009,1.0307
2.6773e-009,1.0410
2.7139e-009,1.0574
2.7506e-009,1.0770
2.7873e-009,1.0950
2.8240e-009,1.1067
2.8606e-009,1.1095
2.8973e-009,1.1037
2.9340e-009,1.0925
2.9707e-009,1.0816
3.0073e-009,1.0763
3.0440e-009,1.0789
3.0807e-009,1.0877
3.1174e-009,1.0982
3.1540e-009,1.1066
3.1907e-009,1.1102
3.2274e-009,1.1088
3.2641e-009,1.1037
3.3007e-009,1.0973
3.3374e-009,1.0924
3.3741e-009,1.0911
3.4108e-009,1.0924
3.4475e-009,1.0894
3.4841e-009,1.0701
3.5208e-009,1.0210
3.5575e-009,0.9395
3.5942e-009,0.8360
3.6308e-009,0.7242
3.6675e-009,0.6194
3.7042e-009,0.5380
3.7408e-009,0.4898
3.7775e-009,0.4717
3.8142e-009,0.4724
3.8509e-009,0.4787
3.8875e-009,0.4806
3.9242e-009,0.4738
3.9609e-009,0.4599
3.9976e-009,0.4439
4.0342e-009,0.4311
4.0709e-009,0.4250
4.1076e-009,0.4260
4.1443e-009,0.4312
4.1809e-009,0.4369
4.2176e-009,0.4401
4.2543e-009,0.4389
4.2910e-009,0.4333
4.3276e-009,0.4277
4.3643e-009,0.4322
4.4010e-009,0.4622
4.4377e-009,0.5277
4.4743e-009,0.6251
4.5110e-009,0.7354
4.5477e-009,0.8354
4.5844e-009,0.9096
4.6211e-009,0.9497
4.6577e-009,0.9561
4.6944e-009,0.9407
4.7311e-009,0.9225
4.7678e-009,0.9162
4.8044e-009,0.9263
4.8411e-009,0.9481
4.8778e-009,0.9719
4.9145e-009,0.9886
4.9511e-009,0.9941
4.9878e-009,0.9892
5.0245e-009,0.9784
5.0612e-009,0.9676
5.0978e-009,0.9616
5.1345e-009,0.9624
5.1712e-009,0.9701
5.2079e-009,0.9830
5.2445e-009,0.9995
5.2812e-009,1.0156
5.3179e-009,1.0239
5.3546e-009,1.0131
5.3912e-009,0.9717
5.4279e-009,0.8986
5.4646e-009,0.8061
5.5013e-009,0.7087
5.5379e-009,0.6186
5.5746e-009,0.5486
5.6113e-009,0.5060
5.6480e-009,0.4867
5.6846e-009,0.4794
5.7213e-009,0.4739
5.7580e-009,0.4647
5.7947e-009,0.4525
5.8313e-009,0.4416
5.8680e-009,0.4359
5.9047e-009,0.4361
5.9414e-009,0.4405
