.HEADER
..NAMES
Time,V U5.T7
.DATA
0.0e+000,0.3287
3.67e-011,0.3287
7.33e-011,0.3287
1.100e-010,0.3287
1.467e-010,0.3287
1.834e-010,0.3287
2.201e-010,0.3287
2.567e-010,0.3287
2.934e-010,0.3287
3.301e-010,0.3287
3.667e-010,0.3287
4.034e-010,0.3287
4.401e-010,0.3287
4.768e-010,0.3288
5.135e-010,0.3292
5.501e-010,0.3321
5.868e-010,0.3423
6.235e-010,0.3682
6.601e-010,0.4190
6.968e-010,0.4967
7.335e-010,0.5948
7.702e-010,0.6963
8.068e-010,0.7862
8.435e-010,0.8544
8.802e-010,0.8972
9.169e-010,0.9174
9.536e-010,0.9252
9.902e-010,0.9311
1.0269e-009,0.9405
1.0636e-009,0.9533
1.1003e-009,0.9663
1.1369e-009,0.9764
1.1736e-009,0.9823
1.2103e-009,0.9844
1.2469e-009,0.9841
1.2836e-009,0.9832
1.3203e-009,0.9834
1.3570e-009,0.9858
1.3936e-009,0.9909
1.4303e-009,0.9982
1.4670e-009,1.0076
1.5037e-009,1.0180
1.5403e-009,1.0246
1.5770e-009,1.0176
1.6137e-009,0.9844
1.6504e-009,0.9173
1.6871e-009,0.8245
1.7237e-009,0.7220
1.7604e-009,0.6255
1.7971e-009,0.5489
1.8338e-009,0.5019
1.8704e-009,0.4825
1.9071e-009,0.4793
1.9438e-009,0.4797
1.9805e-009,0.4763
2.0171e-009,0.4674
2.0538e-009,0.4567
2.0905e-009,0.4481
2.1272e-009,0.4438
2.1638e-009,0.4437
2.2005e-009,0.4463
2.2372e-009,0.4495
2.2738e-009,0.4510
2.3105e-009,0.4494
2.3472e-009,0.4444
2.3839e-009,0.4362
2.4205e-009,0.4257
2.4572e-009,0.4146
2.4939e-009,0.4058
2.5306e-009,0.4010
2.5672e-009,0.3994
2.6039e-009,0.3987
2.6406e-009,0.3956
2.6773e-009,0.3871
2.7139e-009,0.3720
2.7506e-009,0.3530
2.7873e-009,0.3346
2.8240e-009,0.3214
2.8606e-009,0.3157
2.8973e-009,0.3176
2.9340e-009,0.3244
2.9707e-009,0.3318
3.0073e-009,0.3356
3.0440e-009,0.3344
3.0807e-009,0.3296
3.1174e-009,0.3238
3.1540e-009,0.3191
3.1907e-009,0.3167
3.2274e-009,0.3168
3.2641e-009,0.3187
3.3007e-009,0.3219
3.3374e-009,0.3267
3.3741e-009,0.3356
3.4108e-009,0.3545
3.4475e-009,0.3941
3.4841e-009,0.4615
3.5208e-009,0.5542
3.5575e-009,0.6596
3.5942e-009,0.7588
3.6308e-009,0.8384
3.6675e-009,0.8911
3.7042e-009,0.9170
3.7408e-009,0.9238
3.7775e-009,0.9244
3.8142e-009,0.9283
3.8509e-009,0.9387
3.8875e-009,0.9530
3.9242e-009,0.9671
3.9609e-009,0.9776
3.9976e-009,0.9833
4.0342e-009,0.9849
4.0709e-009,0.9838
4.1076e-009,0.9823
4.1443e-009,0.9823
4.1809e-009,0.9851
4.2176e-009,0.9908
4.2543e-009,0.9988
4.2910e-009,1.0079
4.3276e-009,1.0162
4.3643e-009,1.0217
4.4010e-009,1.0239
4.4377e-009,1.0251
4.4743e-009,1.0283
4.5110e-009,1.0361
4.5477e-009,1.0496
4.5844e-009,1.0672
4.6211e-009,1.0850
4.6577e-009,1.0986
4.6944e-009,1.1052
4.7311e-009,1.1047
4.7678e-009,1.0994
4.8044e-009,1.0928
4.8411e-009,1.0887
4.8778e-009,1.0892
4.9145e-009,1.0939
4.9511e-009,1.1002
4.9878e-009,1.1054
5.0245e-009,1.1082
5.0612e-009,1.1083
5.0978e-009,1.1062
5.1345e-009,1.1028
5.1712e-009,1.0990
5.2079e-009,1.0958
5.2445e-009,1.0939
5.2812e-009,1.0936
5.3179e-009,1.0942
5.3546e-009,1.0950
5.3912e-009,1.0951
5.4279e-009,1.0940
5.4646e-009,1.0920
5.5013e-009,1.0900
5.5379e-009,1.0888
5.5746e-009,1.0893
5.6113e-009,1.0915
5.6480e-009,1.0947
5.6846e-009,1.0979
5.7213e-009,1.0996
5.7580e-009,1.0994
5.7947e-009,1.0976
5.8313e-009,1.0950
5.8680e-009,1.0928
5.9047e-009,1.0919
5.9414e-009,1.0923
5.9780e-009,1.0938
6.0147e-009,1.0953
6.0514e-009,1.0963
6.0881e-009,1.0966
6.1247e-009,1.0965
6.1614e-009,1.0969
6.1981e-009,1.0980
6.2348e-009,1.0976
6.2714e-009,1.0886
6.3081e-009,1.0594
6.3448e-009,0.9997
6.3815e-009,0.9107
6.4181e-009,0.8028
6.4548e-009,0.6909
6.4915e-009,0.5924
6.5282e-009,0.5220
6.5648e-009,0.4836
6.6015e-009,0.4707
6.6382e-009,0.4715
6.6749e-009,0.4746
