.HEADER
..NAMES
Time,V U5.P7
.DATA
0.0e+000,0.3287
3.67e-011,0.3287
7.33e-011,0.3287
1.100e-010,0.3287
1.467e-010,0.3287
1.834e-010,0.3287
2.201e-010,0.3287
2.567e-010,0.3287
2.934e-010,0.3287
3.301e-010,0.3287
3.667e-010,0.3287
4.034e-010,0.3287
4.401e-010,0.3287
4.768e-010,0.3288
5.135e-010,0.3292
5.501e-010,0.3317
5.868e-010,0.3407
6.235e-010,0.3644
6.601e-010,0.4123
6.968e-010,0.4895
7.335e-010,0.5926
7.702e-010,0.7064
8.068e-010,0.8118
8.435e-010,0.8922
8.802e-010,0.9374
9.169e-010,0.9499
9.536e-010,0.9437
9.902e-010,0.9338
1.0269e-009,0.9310
1.0636e-009,0.9392
1.1003e-009,0.9552
1.1369e-009,0.9735
1.1736e-009,0.9891
1.2103e-009,0.9982
1.2469e-009,1.0007
1.2836e-009,0.9986
1.3203e-009,0.9948
1.3570e-009,0.9921
1.3936e-009,0.9927
1.4303e-009,0.9975
1.4670e-009,1.0074
1.5037e-009,1.0213
1.5403e-009,1.0336
1.5770e-009,1.0343
1.6137e-009,1.0090
1.6504e-009,0.9451
1.6871e-009,0.8456
1.7237e-009,0.7252
1.7604e-009,0.6048
1.7971e-009,0.5102
1.8338e-009,0.4588
1.8704e-009,0.4491
1.9071e-009,0.4660
1.9438e-009,0.4893
1.9805e-009,0.5019
2.0171e-009,0.4972
2.0538e-009,0.4780
2.0905e-009,0.4524
2.1272e-009,0.4307
2.1638e-009,0.4195
2.2005e-009,0.4198
2.2372e-009,0.4282
2.2738e-009,0.4388
2.3105e-009,0.4468
2.3472e-009,0.4493
2.3839e-009,0.4440
2.4205e-009,0.4312
2.4572e-009,0.4137
2.4939e-009,0.3953
2.5306e-009,0.3798
2.5672e-009,0.3705
2.6039e-009,0.3683
2.6406e-009,0.3706
2.6773e-009,0.3725
2.7139e-009,0.3686
2.7506e-009,0.3566
2.7873e-009,0.3378
2.8240e-009,0.3175
2.8606e-009,0.3023
2.8973e-009,0.2966
2.9340e-009,0.3014
2.9707e-009,0.3140
3.0073e-009,0.3288
3.0440e-009,0.3400
3.0807e-009,0.3440
3.1174e-009,0.3403
3.1540e-009,0.3311
3.1907e-009,0.3206
3.2274e-009,0.3127
3.2641e-009,0.3096
3.3007e-009,0.3114
3.3374e-009,0.3166
3.3741e-009,0.3233
3.4108e-009,0.3297
3.4475e-009,0.3346
3.4841e-009,0.3375
3.5208e-009,0.3382
3.5575e-009,0.3369
3.5942e-009,0.3343
3.6308e-009,0.3315
3.6675e-009,0.3292
3.7042e-009,0.3280
3.7408e-009,0.3275
3.7775e-009,0.3270
3.8142e-009,0.3258
3.8509e-009,0.3240
3.8875e-009,0.3223
3.9242e-009,0.3217
3.9609e-009,0.3228
3.9976e-009,0.3255
4.0342e-009,0.3290
4.0709e-009,0.3320
4.1076e-009,0.3334
4.1443e-009,0.3326
4.1809e-009,0.3299
4.2176e-009,0.3266
4.2543e-009,0.3240
4.2910e-009,0.3246
4.3276e-009,0.3321
4.3643e-009,0.3530
4.4010e-009,0.3963
4.4377e-009,0.4675
4.4743e-009,0.5651
4.5110e-009,0.6772
4.5477e-009,0.7848
4.5844e-009,0.8711
4.6211e-009,0.9246
4.6577e-009,0.9443
4.6944e-009,0.9423
4.7311e-009,0.9339
4.7678e-009,0.9306
4.8044e-009,0.9377
4.8411e-009,0.9530
4.8778e-009,0.9709
4.9145e-009,0.9861
4.9511e-009,0.9952
4.9878e-009,0.9977
5.0245e-009,0.9959
5.0612e-009,0.9928
5.0978e-009,0.9910
5.1345e-009,0.9925
5.1712e-009,0.9976
5.2079e-009,1.0066
5.2445e-009,1.0191
5.2812e-009,1.0314
5.3179e-009,1.0352
5.3546e-009,1.0181
5.3912e-009,0.9659
5.4279e-009,0.8763
5.4646e-009,0.7614
5.5013e-009,0.6398
5.5379e-009,0.5360
5.5746e-009,0.4715
5.6113e-009,0.4502
5.6480e-009,0.4603
5.6846e-009,0.4827
5.7213e-009,0.4987
5.7580e-009,0.4986
5.7947e-009,0.4830
5.8313e-009,0.4586
5.8680e-009,0.4356
5.9047e-009,0.4216
5.9414e-009,0.4192
5.9780e-009,0.4260
6.0147e-009,0.4364
6.0514e-009,0.4452
6.0881e-009,0.4491
6.1247e-009,0.4459
6.1614e-009,0.4350
6.1981e-009,0.4185
6.2348e-009,0.4002
6.2714e-009,0.3835
6.3081e-009,0.3723
6.3448e-009,0.3682
6.3815e-009,0.3696
6.4181e-009,0.3722
6.4548e-009,0.3705
6.4915e-009,0.3611
6.5282e-009,0.3440
6.5648e-009,0.3235
6.6015e-009,0.3059
6.6382e-009,0.2969
6.6749e-009,0.2985
