.HEADER
..NAMES
Time,V U4.P3
.DATA
0.0e+000,1.0900
3.67e-011,1.0900
7.33e-011,1.0900
1.100e-010,1.0900
1.467e-010,1.0900
1.834e-010,1.0900
2.201e-010,1.0900
2.567e-010,1.0900
2.934e-010,1.0900
3.301e-010,1.0900
3.667e-010,1.0900
4.034e-010,1.0900
4.401e-010,1.0900
4.768e-010,1.0900
5.135e-010,1.0900
5.501e-010,1.0901
5.868e-010,1.0903
6.235e-010,1.0911
6.601e-010,1.0925
6.968e-010,1.0935
7.335e-010,1.0904
7.702e-010,1.0765
8.068e-010,1.0434
8.435e-010,0.9867
8.802e-010,0.9070
9.169e-010,0.8088
9.536e-010,0.7021
9.902e-010,0.6003
1.0269e-009,0.5149
1.0636e-009,0.4538
1.1003e-009,0.4214
1.1369e-009,0.4163
1.1736e-009,0.4311
1.2103e-009,0.4550
1.2469e-009,0.4761
1.2836e-009,0.4856
1.3203e-009,0.4806
1.3570e-009,0.4637
1.3936e-009,0.4407
1.4303e-009,0.4183
1.4670e-009,0.4010
1.5037e-009,0.3904
1.5403e-009,0.3849
1.5770e-009,0.3814
1.6137e-009,0.3765
1.6504e-009,0.3675
1.6871e-009,0.3538
1.7237e-009,0.3371
1.7604e-009,0.3213
1.7971e-009,0.3107
1.8338e-009,0.3082
1.8704e-009,0.3144
1.9071e-009,0.3270
1.9438e-009,0.3416
1.9805e-009,0.3529
2.0171e-009,0.3570
2.0538e-009,0.3523
2.0905e-009,0.3402
2.1272e-009,0.3242
2.1638e-009,0.3087
2.2005e-009,0.2981
2.2372e-009,0.2948
2.2738e-009,0.2988
2.3105e-009,0.3081
2.3472e-009,0.3195
2.3839e-009,0.3294
2.4205e-009,0.3351
2.4572e-009,0.3357
2.4939e-009,0.3324
2.5306e-009,0.3293
2.5672e-009,0.3329
2.6039e-009,0.3521
2.6406e-009,0.3944
2.6773e-009,0.4620
2.7139e-009,0.5509
2.7506e-009,0.6512
2.7873e-009,0.7511
2.8240e-009,0.8392
2.8606e-009,0.9063
2.8973e-009,0.9477
2.9340e-009,0.9648
2.9707e-009,0.9622
3.0073e-009,0.9478
3.0440e-009,0.9322
3.0807e-009,0.9246
3.1174e-009,0.9295
3.1540e-009,0.9462
3.1907e-009,0.9692
3.2274e-009,0.9922
3.2641e-009,1.0103
3.3007e-009,1.0217
3.3374e-009,1.0275
3.3741e-009,1.0305
3.4108e-009,1.0339
3.4475e-009,1.0405
3.4841e-009,1.0514
3.5208e-009,1.0661
3.5575e-009,1.0824
3.5942e-009,1.0963
3.6308e-009,1.1044
3.6675e-009,1.1045
3.7042e-009,1.0972
3.7408e-009,1.0855
3.7775e-009,1.0738
3.8142e-009,1.0666
3.8509e-009,1.0664
3.8875e-009,1.0735
3.9242e-009,1.0859
3.9609e-009,1.1002
3.9976e-009,1.1123
4.0342e-009,1.1194
4.0709e-009,1.1200
4.1076e-009,1.1146
4.1443e-009,1.1054
4.1809e-009,1.0955
4.2176e-009,1.0877
4.2543e-009,1.0839
4.2910e-009,1.0848
4.3276e-009,1.0893
4.3643e-009,1.0954
4.4010e-009,1.1006
4.4377e-009,1.1031
4.4743e-009,1.1019
4.5110e-009,1.0975
4.5477e-009,1.0913
4.5844e-009,1.0852
4.6211e-009,1.0809
4.6577e-009,1.0795
4.6944e-009,1.0810
4.7311e-009,1.0851
4.7678e-009,1.0904
4.8044e-009,1.0956
4.8411e-009,1.0993
4.8778e-009,1.1006
4.9145e-009,1.0994
4.9511e-009,1.0963
4.9878e-009,1.0921
5.0245e-009,1.0881
5.0612e-009,1.0853
5.0978e-009,1.0843
5.1345e-009,1.0849
5.1712e-009,1.0869
5.2079e-009,1.0895
5.2445e-009,1.0921
5.2812e-009,1.0942
5.3179e-009,1.0956
5.3546e-009,1.0965
5.3912e-009,1.0956
5.4279e-009,1.0896
5.4646e-009,1.0717
5.5013e-009,1.0348
5.5379e-009,0.9754
5.5746e-009,0.8946
5.6113e-009,0.7968
5.6480e-009,0.6920
5.6846e-009,0.5932
5.7213e-009,0.5107
5.7580e-009,0.4521
5.7947e-009,0.4214
5.8313e-009,0.4171
5.8680e-009,0.4317
5.9047e-009,0.4546
5.9414e-009,0.4745
5.9780e-009,0.4834
6.0147e-009,0.4787
6.0514e-009,0.4630
6.0881e-009,0.4415
6.1247e-009,0.4201
6.1614e-009,0.4030
6.1981e-009,0.3915
6.2348e-009,0.3844
6.2714e-009,0.3792
6.3081e-009,0.3730
6.3448e-009,0.3635
6.3815e-009,0.3502
6.4181e-009,0.3350
6.4548e-009,0.3213
6.4915e-009,0.3127
6.5282e-009,0.3117
6.5648e-009,0.3183
6.6015e-009,0.3301
6.6382e-009,0.3429
6.6749e-009,0.3521
6.7115e-009,0.3545
6.7482e-009,0.3490
6.7849e-009,0.3372
6.8215e-009,0.3223
6.8582e-009,0.3086
6.8949e-009,0.2997
6.9316e-009,0.2975
6.9682e-009,0.3018
7.0049e-009,0.3106
7.0416e-009,0.3208
7.0783e-009,0.3292
7.1149e-009,0.3338
7.1516e-009,0.3337
7.1883e-009,0.3299
7.2250e-009,0.3243
7.2616e-009,0.3194
7.2983e-009,0.3170
7.3350e-009,0.3180
7.3717e-009,0.3221
7.4083e-009,0.3278
7.4450e-009,0.3334
7.4817e-009,0.3373
7.5184e-009,0.3383
7.5550e-009,0.3365
