.HEADER
..NAMES
Time,V U5.N2
.DATA
0.0e+000,1.0905
3.67e-011,1.0905
7.33e-011,1.0905
1.100e-010,1.0905
1.467e-010,1.0905
1.834e-010,1.0905
2.201e-010,1.0905
2.567e-010,1.0905
2.934e-010,1.0905
3.301e-010,1.0905
3.667e-010,1.0905
4.034e-010,1.0905
4.401e-010,1.0905
4.768e-010,1.0907
5.135e-010,1.0913
5.501e-010,1.0927
5.868e-010,1.0942
6.235e-010,1.0922
6.601e-010,1.0791
6.968e-010,1.0437
7.335e-010,0.9789
7.702e-010,0.8882
8.068e-010,0.7820
8.435e-010,0.6737
8.802e-010,0.5790
9.169e-010,0.5110
9.536e-010,0.4732
9.902e-010,0.4598
1.0269e-009,0.4608
1.0636e-009,0.4653
1.1003e-009,0.4659
1.1369e-009,0.4601
1.1736e-009,0.4500
1.2103e-009,0.4394
1.2469e-009,0.4317
1.2836e-009,0.4286
1.3203e-009,0.4295
1.3570e-009,0.4323
1.3936e-009,0.4352
1.4303e-009,0.4364
1.4670e-009,0.4349
1.5037e-009,0.4329
1.5403e-009,0.4373
1.5770e-009,0.4600
1.6137e-009,0.5130
1.6504e-009,0.5983
1.6871e-009,0.7039
1.7237e-009,0.8087
1.7604e-009,0.8947
1.7971e-009,0.9503
1.8338e-009,0.9710
1.8704e-009,0.9628
1.9071e-009,0.9418
1.9438e-009,0.9253
1.9805e-009,0.9230
2.0171e-009,0.9357
2.0538e-009,0.9568
2.0905e-009,0.9772
2.1272e-009,0.9899
2.1638e-009,0.9923
2.2005e-009,0.9860
2.2372e-009,0.9754
2.2738e-009,0.9658
2.3105e-009,0.9607
2.3472e-009,0.9619
2.3839e-009,0.9695
2.4205e-009,0.9819
2.4572e-009,0.9963
2.4939e-009,1.0089
2.5306e-009,1.0170
2.5672e-009,1.0206
2.6039e-009,1.0227
2.6406e-009,1.0271
2.6773e-009,1.0365
2.7139e-009,1.0521
2.7506e-009,1.0722
2.7873e-009,1.0925
2.8240e-009,1.1075
2.8606e-009,1.1133
2.8973e-009,1.1093
2.9340e-009,1.0982
2.9707e-009,1.0854
3.0073e-009,1.0770
3.0440e-009,1.0763
3.0807e-009,1.0832
3.1174e-009,1.0941
3.1540e-009,1.1048
3.1907e-009,1.1117
3.2274e-009,1.1132
3.2641e-009,1.1098
3.3007e-009,1.1034
3.3374e-009,1.0970
3.3741e-009,1.0932
3.4108e-009,1.0921
3.4475e-009,1.0884
3.4841e-009,1.0709
3.5208e-009,1.0262
3.5575e-009,0.9492
3.5942e-009,0.8481
3.6308e-009,0.7362
3.6675e-009,0.6285
3.7042e-009,0.5411
3.7408e-009,0.4857
3.7775e-009,0.4625
3.8142e-009,0.4623
3.8509e-009,0.4719
3.8875e-009,0.4793
3.9242e-009,0.4776
3.9609e-009,0.4667
3.9976e-009,0.4508
4.0342e-009,0.4354
4.0709e-009,0.4253
4.1076e-009,0.4224
4.1443e-009,0.4255
4.1809e-009,0.4317
4.2176e-009,0.4376
4.2543e-009,0.4399
4.2910e-009,0.4369
4.3276e-009,0.4282
4.3643e-009,0.4156
4.4010e-009,0.4021
4.4377e-009,0.3912
4.4743e-009,0.3850
4.5110e-009,0.3831
4.5477e-009,0.3825
4.5844e-009,0.3796
4.6211e-009,0.3718
4.6577e-009,0.3589
4.6944e-009,0.3422
4.7311e-009,0.3249
4.7678e-009,0.3113
4.8044e-009,0.3054
4.8411e-009,0.3081
4.8778e-009,0.3167
4.9145e-009,0.3264
4.9511e-009,0.3328
4.9878e-009,0.3337
5.0245e-009,0.3294
5.0612e-009,0.3219
5.0978e-009,0.3141
5.1345e-009,0.3089
5.1712e-009,0.3080
5.2079e-009,0.3113
5.2445e-009,0.3174
5.2812e-009,0.3242
5.3179e-009,0.3298
5.3546e-009,0.3334
5.3912e-009,0.3346
5.4279e-009,0.3334
5.4646e-009,0.3310
5.5013e-009,0.3289
5.5379e-009,0.3278
5.5746e-009,0.3280
5.6113e-009,0.3291
5.6480e-009,0.3307
5.6846e-009,0.3318
5.7213e-009,0.3314
5.7580e-009,0.3293
5.7947e-009,0.3258
5.8313e-009,0.3221
5.8680e-009,0.3198
5.9047e-009,0.3197
5.9414e-009,0.3216
