.HEADER
..NAMES
Time,V U4.P8
.DATA
0.0e+000,1.0901
3.67e-011,1.0901
7.33e-011,1.0901
1.100e-010,1.0901
1.467e-010,1.0901
1.834e-010,1.0901
2.201e-010,1.0901
2.567e-010,1.0901
2.934e-010,1.0901
3.301e-010,1.0901
3.667e-010,1.0901
4.034e-010,1.0901
4.401e-010,1.0901
4.768e-010,1.0901
5.135e-010,1.0901
5.501e-010,1.0902
5.868e-010,1.0905
6.235e-010,1.0912
6.601e-010,1.0925
6.968e-010,1.0931
7.335e-010,1.0891
7.702e-010,1.0738
8.068e-010,1.0402
8.435e-010,0.9854
8.802e-010,0.9112
9.169e-010,0.8218
9.536e-010,0.7237
9.902e-010,0.6274
1.0269e-009,0.5454
1.0636e-009,0.4866
1.1003e-009,0.4534
1.1369e-009,0.4426
1.1736e-009,0.4468
1.2103e-009,0.4570
1.2469e-009,0.4661
1.2836e-009,0.4695
1.3203e-009,0.4660
1.3570e-009,0.4569
1.3936e-009,0.4452
1.4303e-009,0.4341
1.4670e-009,0.4260
1.5037e-009,0.4208
1.5403e-009,0.4161
1.5770e-009,0.4088
1.6137e-009,0.3964
1.6504e-009,0.3785
1.6871e-009,0.3572
1.7237e-009,0.3363
1.7604e-009,0.3200
1.7971e-009,0.3114
1.8338e-009,0.3108
1.8704e-009,0.3169
1.9071e-009,0.3269
1.9438e-009,0.3370
1.9805e-009,0.3431
2.0171e-009,0.3428
2.0538e-009,0.3362
2.0905e-009,0.3257
2.1272e-009,0.3149
2.1638e-009,0.3069
2.2005e-009,0.3035
2.2372e-009,0.3047
2.2738e-009,0.3089
2.3105e-009,0.3142
2.3472e-009,0.3187
2.3839e-009,0.3211
2.4205e-009,0.3209
2.4572e-009,0.3184
2.4939e-009,0.3152
2.5306e-009,0.3128
2.5672e-009,0.3127
2.6039e-009,0.3152
2.6406e-009,0.3196
2.6773e-009,0.3248
2.7139e-009,0.3295
2.7506e-009,0.3325
2.7873e-009,0.3335
