.HEADER
..NAMES
Time,V U3.P2
.DATA
0.0e+000,1.0890
3.67e-011,1.0890
7.33e-011,1.0890
1.100e-010,1.0890
1.467e-010,1.0890
1.834e-010,1.0890
2.201e-010,1.0890
2.567e-010,1.0890
2.934e-010,1.0890
3.301e-010,1.0890
3.667e-010,1.0890
4.034e-010,1.0890
4.401e-010,1.0890
4.768e-010,1.0890
5.135e-010,1.0890
5.501e-010,1.0890
5.868e-010,1.0890
6.235e-010,1.0889
6.601e-010,1.0890
6.968e-010,1.0892
7.335e-010,1.0896
7.702e-010,1.0905
8.068e-010,1.0911
8.435e-010,1.0893
8.802e-010,1.0810
9.169e-010,1.0608
9.536e-010,1.0248
9.902e-010,0.9711
1.0269e-009,0.8992
1.0636e-009,0.8115
1.1003e-009,0.7162
1.1369e-009,0.6248
1.1736e-009,0.5476
1.2103e-009,0.4910
1.2469e-009,0.4577
1.2836e-009,0.4462
1.3203e-009,0.4502
1.3570e-009,0.4606
1.3936e-009,0.4682
1.4303e-009,0.4663
1.4670e-009,0.4524
1.5037e-009,0.4289
1.5403e-009,0.4010
1.5770e-009,0.3747
1.6137e-009,0.3545
1.6504e-009,0.3437
1.6871e-009,0.3427
1.7237e-009,0.3499
1.7604e-009,0.3640
1.7971e-009,0.3860
1.8338e-009,0.4189
1.8704e-009,0.4650
1.9071e-009,0.5253
1.9438e-009,0.5997
1.9805e-009,0.6858
2.0171e-009,0.7759
2.0538e-009,0.8574
2.0905e-009,0.9194
2.1272e-009,0.9574
2.1638e-009,0.9724
2.2005e-009,0.9686
2.2372e-009,0.9536
2.2738e-009,0.9384
2.3105e-009,0.9327
2.3472e-009,0.9417
2.3839e-009,0.9649
2.4205e-009,0.9964
2.4572e-009,1.0281
2.4939e-009,1.0529
2.5306e-009,1.0671
2.5672e-009,1.0699
2.6039e-009,1.0636
2.6406e-009,1.0537
2.6773e-009,1.0467
2.7139e-009,1.0452
2.7506e-009,1.0456
2.7873e-009,1.0400
2.8240e-009,1.0202
2.8606e-009,0.9802
2.8973e-009,0.9160
2.9340e-009,0.8275
2.9707e-009,0.7237
3.0073e-009,0.6211
3.0440e-009,0.5353
3.0807e-009,0.4754
3.1174e-009,0.4446
3.1540e-009,0.4404
3.1907e-009,0.4546
3.2274e-009,0.4745
3.2641e-009,0.4879
3.3007e-009,0.4865
3.3374e-009,0.4684
3.3741e-009,0.4383
3.4108e-009,0.4049
3.4475e-009,0.3759
3.4841e-009,0.3566
3.5208e-009,0.3493
3.5575e-009,0.3529
3.5942e-009,0.3633
3.6308e-009,0.3760
3.6675e-009,0.3905
3.7042e-009,0.4105
3.7408e-009,0.4417
3.7775e-009,0.4880
3.8142e-009,0.5517
3.8509e-009,0.6331
3.8875e-009,0.7267
3.9242e-009,0.8194
3.9609e-009,0.8963
3.9976e-009,0.9486
4.0342e-009,0.9745
4.0709e-009,0.9767
4.1076e-009,0.9625
4.1443e-009,0.9433
4.1809e-009,0.9309
4.2176e-009,0.9332
4.2543e-009,0.9521
4.2910e-009,0.9830
4.3276e-009,1.0173
4.3643e-009,1.0462
4.4010e-009,1.0646
4.4377e-009,1.0707
4.4743e-009,1.0658
4.5110e-009,1.0548
4.5477e-009,1.0449
4.5844e-009,1.0418
4.6211e-009,1.0474
4.6577e-009,1.0599
4.6944e-009,1.0756
4.7311e-009,1.0900
4.7678e-009,1.0989
4.8044e-009,1.1002
4.8411e-009,1.0948
4.8778e-009,1.0862
4.9145e-009,1.0786
4.9511e-009,1.0755
4.9878e-009,1.0782
5.0245e-009,1.0857
5.0612e-009,1.0953
5.0978e-009,1.1040
5.1345e-009,1.1091
5.1712e-009,1.1091
5.2079e-009,1.1049
5.2445e-009,1.0985
5.2812e-009,1.0928
5.3179e-009,1.0900
5.3546e-009,1.0910
5.3912e-009,1.0953
5.4279e-009,1.1014
5.4646e-009,1.1070
5.5013e-009,1.1091
5.5379e-009,1.1039
5.5746e-009,1.0869
5.6113e-009,1.0543
5.6480e-009,1.0050
5.6846e-009,0.9398
5.7213e-009,0.8598
5.7580e-009,0.7688
5.7947e-009,0.6763
5.8313e-009,0.5935
5.8680e-009,0.5277
5.9047e-009,0.4821
5.9414e-009,0.4574
5.9780e-009,0.4514
6.0147e-009,0.4572
6.0514e-009,0.4658
6.0881e-009,0.4692
6.1247e-009,0.4622
6.1614e-009,0.4442
6.1981e-009,0.4187
6.2348e-009,0.3914
6.2714e-009,0.3672
6.3081e-009,0.3500
6.3448e-009,0.3420
6.3815e-009,0.3428
6.4181e-009,0.3485
6.4548e-009,0.3541
6.4915e-009,0.3563
6.5282e-009,0.3535
6.5648e-009,0.3464
6.6015e-009,0.3370
6.6382e-009,0.3286
6.6749e-009,0.3240
6.7115e-009,0.3246
6.7482e-009,0.3293
6.7849e-009,0.3354
6.8215e-009,0.3401
6.8582e-009,0.3411
6.8949e-009,0.3377
6.9316e-009,0.3305
6.9682e-009,0.3216
7.0049e-009,0.3136
7.0416e-009,0.3092
7.0783e-009,0.3094
7.1149e-009,0.3135
7.1516e-009,0.3195
7.1883e-009,0.3251
7.2250e-009,0.3284
7.2616e-009,0.3285
7.2983e-009,0.3254
7.3350e-009,0.3206
7.3717e-009,0.3161
7.4083e-009,0.3138
7.4450e-009,0.3147
7.4817e-009,0.3187
7.5184e-009,0.3245
7.5550e-009,0.3306
7.5917e-009,0.3352
7.6284e-009,0.3372
7.6651e-009,0.3363
7.7018e-009,0.3334
7.7384e-009,0.3295
7.7751e-009,0.3262
7.8118e-009,0.3244
7.8484e-009,0.3245
7.8851e-009,0.3260
7.9218e-009,0.3282
7.9585e-009,0.3301
7.9952e-009,0.3312
8.0318e-009,0.3311
8.0685e-009,0.3301
8.1052e-009,0.3287
8.1418e-009,0.3276
8.1785e-009,0.3272
8.2152e-009,0.3278
8.2519e-009,0.3296
8.2886e-009,0.3337
8.3252e-009,0.3425
8.3619e-009,0.3604
8.3986e-009,0.3912
8.4352e-009,0.4375
8.4719e-009,0.4995
8.5086e-009,0.5752
8.5453e-009,0.6598
8.5820e-009,0.7456
8.6186e-009,0.8220
8.6553e-009,0.8813
8.6920e-009,0.9208
8.7286e-009,0.9422
8.7653e-009,0.9493
8.8020e-009,0.9480
8.8387e-009,0.9462
8.8754e-009,0.9503
8.9120e-009,0.9633
8.9487e-009,0.9842
8.9854e-009,1.0090
9.0220e-009,1.0327
9.0587e-009,1.0512
9.0954e-009,1.0629
9.1321e-009,1.0677
9.1688e-009,1.0671
9.2054e-009,1.0648
9.2421e-009,1.0641
9.2788e-009,1.0649
9.3154e-009,1.0622
9.3521e-009,1.0482
9.3888e-009,1.0169
9.4255e-009,0.9652
9.4622e-009,0.8915
9.4988e-009,0.7977
9.5355e-009,0.6942
9.5722e-009,0.5973
9.6088e-009,0.5204
9.6455e-009,0.4696
9.6822e-009,0.4458
9.7189e-009,0.4456
9.7556e-009,0.4604
9.7922e-009,0.4782
9.8289e-009,0.4878
9.8656e-009,0.4827
9.9022e-009,0.4622
9.9389e-009,0.4318
9.9756e-009,0.3997
1.00123e-008,0.3730
1.00490e-008,0.3557
1.00856e-008,0.3498
1.01223e-008,0.3537
1.01590e-008,0.3623
1.01956e-008,0.3690
1.02323e-008,0.3693
1.02690e-008,0.3626
1.03057e-008,0.3505
1.03424e-008,0.3363
1.03790e-008,0.3243
1.04157e-008,0.3182
1.04524e-008,0.3195
1.04890e-008,0.3265
1.05257e-008,0.3357
1.05624e-008,0.3429
1.05991e-008,0.3452
1.06358e-008,0.3416
1.06724e-008,0.3334
1.07091e-008,0.3232
1.07458e-008,0.3139
1.07824e-008,0.3085
1.08191e-008,0.3084
1.08558e-008,0.3127
1.08925e-008,0.3194
1.09292e-008,0.3254
1.09658e-008,0.3289
1.10025e-008,0.3287
1.10392e-008,0.3257
1.10758e-008,0.3223
1.11125e-008,0.3232
1.11492e-008,0.3342
1.11859e-008,0.3613
1.12226e-008,0.4075
1.12592e-008,0.4722
1.12959e-008,0.5518
1.13326e-008,0.6409
1.13693e-008,0.7312
1.14059e-008,0.8122
1.14426e-008,0.8745
1.14793e-008,0.9149
1.15159e-008,0.9360
1.15526e-008,0.9429
1.15893e-008,0.9414
1.16260e-008,0.9387
1.16627e-008,0.9415
1.16993e-008,0.9537
1.17360e-008,0.9749
1.17727e-008,1.0012
1.18093e-008,1.0268
1.18460e-008,1.0474
1.18827e-008,1.0607
1.19194e-008,1.0667
1.19561e-008,1.0667
1.19927e-008,1.0635
1.20294e-008,1.0607
1.20661e-008,1.0614
1.21027e-008,1.0664
