.HEADER
..NAMES
Time,V U3.R2
.DATA
0.0e+000,0.3303
3.67e-011,0.3303
7.33e-011,0.3303
1.100e-010,0.3303
1.467e-010,0.3303
1.834e-010,0.3303
2.201e-010,0.3303
2.567e-010,0.3303
2.934e-010,0.3303
3.301e-010,0.3303
3.667e-010,0.3303
4.034e-010,0.3303
4.401e-010,0.3303
4.768e-010,0.3303
5.135e-010,0.3303
5.501e-010,0.3303
5.868e-010,0.3303
6.235e-010,0.3303
6.601e-010,0.3303
6.968e-010,0.3304
7.335e-010,0.3311
7.702e-010,0.3339
8.068e-010,0.3417
8.435e-010,0.3589
8.802e-010,0.3893
9.169e-010,0.4354
9.536e-010,0.4970
9.902e-010,0.5719
1.0269e-009,0.6560
1.0636e-009,0.7420
1.1003e-009,0.8197
1.1369e-009,0.8807
1.1736e-009,0.9221
1.2103e-009,0.9453
1.2469e-009,0.9538
1.2836e-009,0.9528
1.3203e-009,0.9493
1.3570e-009,0.9503
1.3936e-009,0.9600
1.4303e-009,0.9789
1.4670e-009,1.0035
1.5037e-009,1.0285
1.5403e-009,1.0493
1.5770e-009,1.0638
1.6137e-009,1.0713
1.6504e-009,1.0726
1.6871e-009,1.0701
1.7237e-009,1.0674
1.7604e-009,1.0674
1.7971e-009,1.0712
1.8338e-009,1.0778
1.8704e-009,1.0852
1.9071e-009,1.0910
1.9438e-009,1.0937
1.9805e-009,1.0928
2.0171e-009,1.0893
2.0538e-009,1.0854
2.0905e-009,1.0829
2.1272e-009,1.0833
2.1638e-009,1.0870
2.2005e-009,1.0931
2.2372e-009,1.0999
2.2738e-009,1.1056
2.3105e-009,1.1087
2.3472e-009,1.1085
2.3839e-009,1.1057
2.4205e-009,1.1017
2.4572e-009,1.0981
2.4939e-009,1.0963
2.5306e-009,1.0969
2.5672e-009,1.0995
2.6039e-009,1.1033
2.6406e-009,1.1070
2.6773e-009,1.1081
2.7139e-009,1.1032
2.7506e-009,1.0873
2.7873e-009,1.0563
2.8240e-009,1.0089
2.8606e-009,0.9452
2.8973e-009,0.8662
2.9340e-009,0.7754
2.9707e-009,0.6821
3.0073e-009,0.5977
3.0440e-009,0.5301
3.0807e-009,0.4830
3.1174e-009,0.4572
3.1540e-009,0.4505
3.1907e-009,0.4564
3.2274e-009,0.4664
3.2641e-009,0.4721
3.3007e-009,0.4674
3.3374e-009,0.4509
3.3741e-009,0.4258
3.4108e-009,0.3981
3.4475e-009,0.3729
3.4841e-009,0.3538
3.5208e-009,0.3436
3.5575e-009,0.3431
3.5942e-009,0.3512
3.6308e-009,0.3674
3.6675e-009,0.3934
3.7042e-009,0.4315
3.7408e-009,0.4830
3.7775e-009,0.5479
3.8142e-009,0.6261
3.8509e-009,0.7143
3.8875e-009,0.8033
3.9242e-009,0.8800
3.9609e-009,0.9351
3.9976e-009,0.9665
4.0342e-009,0.9764
4.0709e-009,0.9693
4.1076e-009,0.9530
4.1443e-009,0.9379
4.1809e-009,0.9333
4.2176e-009,0.9442
4.2543e-009,0.9695
4.2910e-009,1.0024
4.3276e-009,1.0341
4.3643e-009,1.0581
4.4010e-009,1.0714
4.4377e-009,1.0739
4.4743e-009,1.0676
4.5110e-009,1.0574
4.5477e-009,1.0499
4.5844e-009,1.0493
4.6211e-009,1.0564
4.6577e-009,1.0690
4.6944e-009,1.0832
4.7311e-009,1.0946
4.7678e-009,1.1001
4.8044e-009,1.0991
4.8411e-009,1.0935
4.8778e-009,1.0864
4.9145e-009,1.0812
4.9511e-009,1.0803
4.9878e-009,1.0843
5.0245e-009,1.0919
5.0612e-009,1.1007
5.0978e-009,1.1078
5.1345e-009,1.1110
5.1712e-009,1.1099
5.2079e-009,1.1055
5.2445e-009,1.1000
5.2812e-009,1.0956
5.3179e-009,1.0939
5.3546e-009,1.0956
5.3912e-009,1.0998
5.4279e-009,1.1051
5.4646e-009,1.1093
5.5013e-009,1.1094
5.5379e-009,1.1012
5.5746e-009,1.0803
5.6113e-009,1.0436
5.6480e-009,0.9908
5.6846e-009,0.9227
5.7213e-009,0.8405
5.7580e-009,0.7490
5.7947e-009,0.6583
5.8313e-009,0.5788
5.8680e-009,0.5170
5.9047e-009,0.4756
5.9414e-009,0.4549
5.9780e-009,0.4515
6.0147e-009,0.4588
6.0514e-009,0.4681
6.0881e-009,0.4716
6.1247e-009,0.4639
6.1614e-009,0.4448
6.1981e-009,0.4186
6.2348e-009,0.3911
6.2714e-009,0.3671
6.3081e-009,0.3500
6.3448e-009,0.3420
6.3815e-009,0.3424
6.4181e-009,0.3477
6.4548e-009,0.3532
6.4915e-009,0.3555
6.5282e-009,0.3531
6.5648e-009,0.3466
6.6015e-009,0.3382
6.6382e-009,0.3312
6.6749e-009,0.3277
6.7115e-009,0.3286
6.7482e-009,0.3327
6.7849e-009,0.3379
6.8215e-009,0.3416
6.8582e-009,0.3418
6.8949e-009,0.3381
6.9316e-009,0.3310
6.9682e-009,0.3227
7.0049e-009,0.3155
7.0416e-009,0.3118
7.0783e-009,0.3122
7.1149e-009,0.3161
7.1516e-009,0.3216
7.1883e-009,0.3265
7.2250e-009,0.3292
7.2616e-009,0.3292
7.2983e-009,0.3273
7.3350e-009,0.3269
7.3717e-009,0.3331
7.4083e-009,0.3522
7.4450e-009,0.3889
7.4817e-009,0.4446
7.5184e-009,0.5172
7.5550e-009,0.6022
7.5917e-009,0.6932
7.6284e-009,0.7803
7.6651e-009,0.8529
7.7018e-009,0.9044
7.7384e-009,0.9345
7.7751e-009,0.9473
7.8118e-009,0.9484
7.8484e-009,0.9442
7.8851e-009,0.9417
7.9218e-009,0.9470
7.9585e-009,0.9624
7.9952e-009,0.9863
8.0318e-009,1.0136
8.0685e-009,1.0385
8.1052e-009,1.0570
8.1418e-009,1.0681
8.1785e-009,1.0725
8.2152e-009,1.0720
8.2519e-009,1.0696
8.2886e-009,1.0684
8.3252e-009,1.0686
8.3619e-009,1.0655
8.3986e-009,1.0517
8.4352e-009,1.0212
8.4719e-009,0.9710
8.5086e-009,0.8995
8.5453e-009,0.8082
8.5820e-009,0.7062
8.6186e-009,0.6092
8.6553e-009,0.5305
8.6920e-009,0.4766
8.7286e-009,0.4488
8.7653e-009,0.4447
8.8020e-009,0.4571
8.8387e-009,0.4753
8.8754e-009,0.4883
8.9120e-009,0.4879
8.9487e-009,0.4715
8.9854e-009,0.4431
9.0220e-009,0.4109
9.0587e-009,0.3821
9.0954e-009,0.3612
9.1321e-009,0.3507
9.1688e-009,0.3505
9.2054e-009,0.3569
9.2421e-009,0.3639
9.2788e-009,0.3667
9.3154e-009,0.3630
9.3521e-009,0.3534
9.3888e-009,0.3407
9.4255e-009,0.3290
9.4622e-009,0.3220
9.4988e-009,0.3215
9.5355e-009,0.3267
9.5722e-009,0.3349
9.6088e-009,0.3426
9.6455e-009,0.3464
9.6822e-009,0.3449
9.7189e-009,0.3385
9.7556e-009,0.3290
9.7922e-009,0.3193
9.8289e-009,0.3122
9.8656e-009,0.3096
9.9022e-009,0.3118
9.9389e-009,0.3171
9.9756e-009,0.3234
1.00123e-008,0.3282
1.00490e-008,0.3299
1.00856e-008,0.3283
1.01223e-008,0.3244
1.01590e-008,0.3200
1.01956e-008,0.3168
1.02323e-008,0.3162
1.02690e-008,0.3186
1.03057e-008,0.3232
1.03424e-008,0.3290
1.03790e-008,0.3341
1.04157e-008,0.3373
1.04524e-008,0.3380
1.04890e-008,0.3362
1.05257e-008,0.3330
1.05624e-008,0.3294
1.05991e-008,0.3266
1.06358e-008,0.3254
1.06724e-008,0.3256
1.07091e-008,0.3269
1.07458e-008,0.3286
1.07824e-008,0.3301
1.08191e-008,0.3312
1.08558e-008,0.3316
1.08925e-008,0.3313
1.09292e-008,0.3306
1.09658e-008,0.3298
1.10025e-008,0.3294
1.10392e-008,0.3299
1.10758e-008,0.3321
1.11125e-008,0.3381
1.11492e-008,0.3518
1.11859e-008,0.3774
1.12226e-008,0.4180
1.12592e-008,0.4742
1.12959e-008,0.5445
1.13326e-008,0.6256
1.13693e-008,0.7115
1.14059e-008,0.7928
1.14426e-008,0.8600
1.14793e-008,0.9083
1.15159e-008,0.9378
1.15526e-008,0.9515
1.15893e-008,0.9536
1.16260e-008,0.9507
1.16627e-008,0.9499
1.16993e-008,0.9567
1.17360e-008,0.9725
1.17727e-008,0.9952
1.18093e-008,1.0200
1.18460e-008,1.0419
1.18827e-008,1.0583
1.19194e-008,1.0681
1.19561e-008,1.0717
1.19927e-008,1.0706
1.20294e-008,1.0681
1.20661e-008,1.0675
1.21027e-008,1.0702
1.21394e-008,1.0759
1.21761e-008,1.0828
1.22128e-008,1.0888
1.22495e-008,1.0922
1.22861e-008,1.0922
1.23228e-008,1.0895
1.23595e-008,1.0859
1.23961e-008,1.0832
1.24328e-008,1.0831
1.24695e-008,1.0860
1.25062e-008,1.0914
1.25429e-008,1.0979
1.25795e-008,1.1037
1.26162e-008,1.1074
1.26529e-008,1.1080
1.26895e-008,1.1059
1.27262e-008,1.1022
1.27629e-008,1.0987
1.27996e-008,1.0966
1.28363e-008,1.0965
1.28729e-008,1.0983
1.29096e-008,1.1012
1.29463e-008,1.1038
1.29829e-008,1.1051
1.30196e-008,1.1045
1.30563e-008,1.1018
1.30930e-008,1.0978
1.31297e-008,1.0935
1.31663e-008,1.0900
1.32030e-008,1.0881
1.32397e-008,1.0878
1.32763e-008,1.0891
1.33130e-008,1.0910
1.33497e-008,1.0930
1.33864e-008,1.0944
1.34231e-008,1.0948
1.34597e-008,1.0943
1.34964e-008,1.0933
1.35331e-008,1.0924
1.35697e-008,1.0917
1.36064e-008,1.0913
1.36431e-008,1.0913
1.36798e-008,1.0915
1.37165e-008,1.0919
1.37531e-008,1.0921
1.37898e-008,1.0921
1.38265e-008,1.0920
1.38631e-008,1.0922
1.38998e-008,1.0930
1.39365e-008,1.0933
1.39732e-008,1.0905
1.40099e-008,1.0798
1.40465e-008,1.0562
1.40832e-008,1.0166
1.41199e-008,0.9594
1.41565e-008,0.8845
1.41932e-008,0.7950
1.42299e-008,0.6998
1.42666e-008,0.6105
1.43033e-008,0.5364
1.43399e-008,0.4833
1.43766e-008,0.4534
1.44133e-008,0.4445
1.44499e-008,0.4502
1.44866e-008,0.4617
1.45233e-008,0.4701
1.45600e-008,0.4688
1.45967e-008,0.4550
1.46333e-008,0.4313
1.46700e-008,0.4032
1.47067e-008,0.3764
1.47433e-008,0.3554
1.47800e-008,0.3436
1.48167e-008,0.3418
1.48534e-008,0.3495
1.48901e-008,0.3665
1.49267e-008,0.3943
1.49634e-008,0.4345
1.50001e-008,0.4877
1.50368e-008,0.5537
1.50734e-008,0.6319
1.51101e-008,0.7191
1.51468e-008,0.8064
1.51834e-008,0.8813
1.52201e-008,0.9353
1.52568e-008,0.9663
1.52935e-008,0.9764
1.53301e-008,0.9699
1.53668e-008,0.9545
1.54035e-008,0.9402
1.54402e-008,0.9361
1.54769e-008,0.9467
1.55135e-008,0.9711
1.55502e-008,1.0027
1.55869e-008,1.0334
1.56236e-008,1.0569
1.56602e-008,1.0705
1.56969e-008,1.0736
1.57336e-008,1.0684
1.57703e-008,1.0598
1.58069e-008,1.0532
1.58436e-008,1.0501
1.58803e-008,1.0465
1.59169e-008,1.0349
1.59536e-008,1.0088
1.59903e-008,0.9631
1.60270e-008,0.8939
1.60636e-008,0.8031
1.61003e-008,0.7011
1.61370e-008,0.6038
1.61737e-008,0.5241
1.62104e-008,0.4693
1.62470e-008,0.4422
1.62837e-008,0.4401
1.63204e-008,0.4547
1.63571e-008,0.4742
1.63937e-008,0.4873
1.64304e-008,0.4860
1.64671e-008,0.4684
1.65037e-008,0.4395
1.65404e-008,0.4073
1.65771e-008,0.3788
1.66138e-008,0.3588
1.66504e-008,0.3498
1.66871e-008,0.3515
1.67238e-008,0.3607
1.67605e-008,0.3748
1.67972e-008,0.3943
1.68338e-008,0.4222
1.68705e-008,0.4618
1.69072e-008,0.5154
1.69439e-008,0.5848
1.69805e-008,0.6693
1.70172e-008,0.7613
1.70539e-008,0.8473
1.70905e-008,0.9151
1.71272e-008,0.9590
1.71639e-008,0.9791
1.72006e-008,0.9782
1.72372e-008,0.9634
1.72739e-008,0.9453
1.73106e-008,0.9349
1.73473e-008,0.9390
1.73840e-008,0.9589
1.74206e-008,0.9894
1.74573e-008,1.0220
1.74940e-008,1.0492
1.75307e-008,1.0668
1.75673e-008,1.0734
1.76040e-008,1.0699
1.76407e-008,1.0607
1.76773e-008,1.0523
1.77140e-008,1.0497
1.77507e-008,1.0545
1.77874e-008,1.0654
1.78240e-008,1.0790
1.78607e-008,1.0912
1.78974e-008,1.0985
1.79341e-008,1.0994
1.79708e-008,1.0951
1.80074e-008,1.0883
1.80441e-008,1.0825
1.80808e-008,1.0802
1.81175e-008,1.0827
1.81541e-008,1.0891
1.81908e-008,1.0972
1.82275e-008,1.1046
1.82641e-008,1.1088
1.83008e-008,1.1091
1.83375e-008,1.1061
1.83742e-008,1.1013
1.84108e-008,1.0971
1.84475e-008,1.0948
1.84842e-008,1.0953
1.85209e-008,1.0982
1.85576e-008,1.1021
1.85942e-008,1.1053
1.86309e-008,1.1063
1.86676e-008,1.1046
1.87043e-008,1.1006
1.87409e-008,1.0954
1.87776e-008,1.0905
1.88143e-008,1.0871
1.88509e-008,1.0858
1.88876e-008,1.0866
1.89243e-008,1.0889
1.89610e-008,1.0918
1.89976e-008,1.0941
1.90343e-008,1.0954
1.90710e-008,1.0953
1.91077e-008,1.0943
1.91444e-008,1.0931
1.91810e-008,1.0922
1.92177e-008,1.0917
1.92544e-008,1.0916
1.92911e-008,1.0916
1.93277e-008,1.0918
1.93644e-008,1.0919
1.94011e-008,1.0918
1.94377e-008,1.0914
1.94744e-008,1.0910
1.95111e-008,1.0909
1.95478e-008,1.0911
1.95844e-008,1.0917
1.96211e-008,1.0922
1.96578e-008,1.0924
1.96945e-008,1.0923
1.97312e-008,1.0920
1.97678e-008,1.0915
1.98045e-008,1.0910
1.98412e-008,1.0907
1.98779e-008,1.0907
1.99145e-008,1.0910
1.99512e-008,1.0914
1.99879e-008,1.0918
2.00245e-008,1.0920
2.00612e-008,1.0918
2.00979e-008,1.0914
2.01346e-008,1.0908
2.01712e-008,1.0905
2.02079e-008,1.0904
2.02446e-008,1.0906
2.02813e-008,1.0911
2.03179e-008,1.0916
2.03546e-008,1.0920
2.03913e-008,1.0922
2.04280e-008,1.0920
2.04647e-008,1.0915
2.05013e-008,1.0911
2.05380e-008,1.0907
2.05747e-008,1.0907
2.06114e-008,1.0909
2.06480e-008,1.0914
2.06847e-008,1.0919
2.07214e-008,1.0922
2.07580e-008,1.0923
2.07947e-008,1.0920
2.08314e-008,1.0916
2.08681e-008,1.0911
2.09047e-008,1.0907
2.09414e-008,1.0906
2.09781e-008,1.0907
2.10148e-008,1.0911
2.10515e-008,1.0916
2.10881e-008,1.0919
2.11248e-008,1.0921
2.11615e-008,1.0920
2.11982e-008,1.0917
2.12348e-008,1.0913
2.12715e-008,1.0910
2.13082e-008,1.0909
2.13448e-008,1.0913
2.13815e-008,1.0923
2.14182e-008,1.0935
2.14549e-008,1.0931
2.14915e-008,1.0876
2.15282e-008,1.0720
2.15649e-008,1.0418
2.16016e-008,0.9948
2.16383e-008,0.9302
2.16749e-008,0.8487
2.17116e-008,0.7557
2.17483e-008,0.6618
2.17850e-008,0.5781
2.18216e-008,0.5123
2.18583e-008,0.4686
2.18950e-008,0.4478
2.19316e-008,0.4457
2.19683e-008,0.4548
2.20050e-008,0.4660
2.20417e-008,0.4711
2.20783e-008,0.4646
