.HEADER
..NAMES
Time,V U3.R3
.DATA
0.0e+000,0.3309
3.67e-011,0.3309
7.33e-011,0.3309
1.100e-010,0.3309
1.467e-010,0.3309
1.834e-010,0.3309
2.201e-010,0.3309
2.567e-010,0.3309
2.934e-010,0.3309
3.301e-010,0.3309
3.667e-010,0.3309
4.034e-010,0.3309
4.401e-010,0.3309
4.768e-010,0.3309
5.135e-010,0.3309
5.501e-010,0.3309
5.868e-010,0.3309
6.235e-010,0.3309
6.601e-010,0.3309
6.968e-010,0.3310
7.335e-010,0.3313
7.702e-010,0.3332
8.068e-010,0.3389
8.435e-010,0.3527
8.802e-010,0.3789
9.169e-010,0.4205
9.536e-010,0.4780
9.902e-010,0.5495
1.0269e-009,0.6321
1.0636e-009,0.7205
1.1003e-009,0.8060
1.1369e-009,0.8796
1.1736e-009,0.9355
1.2103e-009,0.9707
1.2469e-009,0.9854
1.2836e-009,0.9839
1.3203e-009,0.9749
1.3570e-009,0.9667
1.3936e-009,0.9659
1.4303e-009,0.9758
1.4670e-009,0.9963
1.5037e-009,1.0241
1.5403e-009,1.0546
1.5770e-009,1.0819
1.6137e-009,1.1006
1.6504e-009,1.1076
1.6871e-009,1.1037
1.7237e-009,1.0924
1.7604e-009,1.0771
1.7971e-009,1.0594
1.8338e-009,1.0371
1.8704e-009,1.0066
1.9071e-009,0.9651
1.9438e-009,0.9095
1.9805e-009,0.8364
2.0171e-009,0.7475
2.0538e-009,0.6521
2.0905e-009,0.5603
2.1272e-009,0.4816
2.1638e-009,0.4256
2.2005e-009,0.3986
2.2372e-009,0.3992
2.2738e-009,0.4193
2.3105e-009,0.4472
2.3472e-009,0.4701
2.3839e-009,0.4785
2.4205e-009,0.4682
2.4572e-009,0.4401
2.4939e-009,0.3994
2.5306e-009,0.3558
2.5672e-009,0.3199
2.6039e-009,0.2996
2.6406e-009,0.2985
2.6773e-009,0.3168
2.7139e-009,0.3520
2.7506e-009,0.4004
2.7873e-009,0.4578
2.8240e-009,0.5201
2.8606e-009,0.5846
2.8973e-009,0.6520
2.9340e-009,0.7236
2.9707e-009,0.7966
3.0073e-009,0.8651
3.0440e-009,0.9245
3.0807e-009,0.9700
3.1174e-009,0.9972
3.1540e-009,1.0053
3.1907e-009,0.9988
3.2274e-009,0.9850
3.2641e-009,0.9717
3.3007e-009,0.9660
3.3374e-009,0.9721
3.3741e-009,0.9907
3.4108e-009,1.0198
3.4475e-009,1.0538
3.4841e-009,1.0845
3.5208e-009,1.1048
3.5575e-009,1.1110
3.5942e-009,1.1041
3.6308e-009,1.0875
3.6675e-009,1.0650
3.7042e-009,1.0379
3.7408e-009,1.0051
3.7775e-009,0.9654
3.8142e-009,0.9166
3.8509e-009,0.8545
3.8875e-009,0.7774
3.9242e-009,0.6902
3.9609e-009,0.6009
3.9976e-009,0.5178
4.0342e-009,0.4506
4.0709e-009,0.4082
4.1076e-009,0.3937
4.1443e-009,0.4031
4.1809e-009,0.4271
4.2176e-009,0.4533
4.2543e-009,0.4703
4.2910e-009,0.4708
4.3276e-009,0.4529
4.3643e-009,0.4192
4.4010e-009,0.3773
4.4377e-009,0.3375
4.4743e-009,0.3094
4.5110e-009,0.2981
4.5477e-009,0.3044
4.5844e-009,0.3239
4.6211e-009,0.3486
4.6577e-009,0.3696
4.6944e-009,0.3799
4.7311e-009,0.3770
4.7678e-009,0.3627
4.8044e-009,0.3421
4.8411e-009,0.3217
4.8778e-009,0.3074
4.9145e-009,0.3027
4.9511e-009,0.3079
4.9878e-009,0.3203
5.0245e-009,0.3351
5.0612e-009,0.3470
5.0978e-009,0.3518
5.1345e-009,0.3481
5.1712e-009,0.3371
5.2079e-009,0.3226
5.2445e-009,0.3094
5.2812e-009,0.3014
5.3179e-009,0.3006
5.3546e-009,0.3068
5.3912e-009,0.3175
5.4279e-009,0.3291
5.4646e-009,0.3381
5.5013e-009,0.3425
5.5379e-009,0.3415
5.5746e-009,0.3365
5.6113e-009,0.3294
5.6480e-009,0.3230
5.6846e-009,0.3197
5.7213e-009,0.3205
5.7580e-009,0.3252
5.7947e-009,0.3322
5.8313e-009,0.3390
5.8680e-009,0.3435
5.9047e-009,0.3442
5.9414e-009,0.3411
5.9780e-009,0.3355
6.0147e-009,0.3291
6.0514e-009,0.3237
6.0881e-009,0.3208
6.1247e-009,0.3209
6.1614e-009,0.3237
6.1981e-009,0.3284
6.2348e-009,0.3335
6.2714e-009,0.3377
6.3081e-009,0.3398
6.3448e-009,0.3395
6.3815e-009,0.3379
6.4181e-009,0.3375
6.4548e-009,0.3431
6.4915e-009,0.3602
6.5282e-009,0.3935
6.5648e-009,0.4446
6.6015e-009,0.5121
6.6382e-009,0.5930
6.6749e-009,0.6828
6.7115e-009,0.7733
6.7482e-009,0.8545
6.7849e-009,0.9189
6.8215e-009,0.9624
