.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
0.0e+000,0.2878
3.67e-011,0.2878
7.33e-011,0.2878
1.100e-010,0.2878
1.467e-010,0.2878
1.834e-010,0.2878
2.201e-010,0.2878
2.567e-010,0.2878
2.934e-010,0.2878
3.301e-010,0.2878
3.667e-010,0.2878
4.034e-010,0.2878
4.401e-010,0.2878
4.768e-010,0.2878
5.135e-010,0.2878
5.501e-010,0.2878
5.868e-010,0.2878
6.235e-010,0.2878
6.601e-010,0.2878
6.968e-010,0.2878
7.335e-010,0.2878
7.702e-010,0.2878
8.068e-010,0.2878
8.435e-010,0.2878
8.802e-010,0.2878
9.169e-010,0.2878
9.536e-010,0.2878
9.902e-010,0.2878
1.0269e-009,0.2878
1.0636e-009,0.2878
1.1003e-009,0.2878
1.1369e-009,0.2878
1.1736e-009,0.2878
1.2103e-009,0.2878
1.2469e-009,0.2878
1.2836e-009,0.2881
1.3203e-009,0.2893
1.3570e-009,0.2930
1.3936e-009,0.3018
1.4303e-009,0.3191
1.4670e-009,0.3489
1.5037e-009,0.3941
1.5403e-009,0.4562
1.5770e-009,0.5335
1.6137e-009,0.6216
1.6504e-009,0.7139
1.6871e-009,0.8022
1.7237e-009,0.8790
1.7604e-009,0.9393
1.7971e-009,0.9812
1.8338e-009,1.0052
1.8704e-009,1.0130
1.9071e-009,1.0067
1.9438e-009,0.9878
1.9805e-009,0.9560
2.0171e-009,0.9098
2.0538e-009,0.8480
2.0905e-009,0.7719
2.1272e-009,0.6854
2.1638e-009,0.5950
2.2005e-009,0.5088
2.2372e-009,0.4352
2.2738e-009,0.3812
2.3105e-009,0.3498
2.3472e-009,0.3406
2.3839e-009,0.3518
2.4205e-009,0.3803
2.4572e-009,0.4226
2.4939e-009,0.4757
2.5306e-009,0.5384
2.5672e-009,0.6100
2.6039e-009,0.6887
2.6406e-009,0.7698
2.6773e-009,0.8480
2.7139e-009,0.9181
2.7506e-009,0.9750
2.7873e-009,1.0138
2.8240e-009,1.0315
2.8606e-009,1.0278
2.8973e-009,1.0042
2.9340e-009,0.9619
2.9707e-009,0.9029
3.0073e-009,0.8301
3.0440e-009,0.7480
3.0807e-009,0.6615
3.1174e-009,0.5761
3.1540e-009,0.4977
3.1907e-009,0.4327
3.2274e-009,0.3860
3.2641e-009,0.3592
3.3007e-009,0.3527
3.3374e-009,0.3664
3.3741e-009,0.3990
3.4108e-009,0.4475
3.4475e-009,0.5089
3.4841e-009,0.5807
3.5208e-009,0.6598
3.5575e-009,0.7415
3.5942e-009,0.8198
3.6308e-009,0.8896
3.6675e-009,0.9471
3.7042e-009,0.9892
3.7408e-009,1.0140
3.7775e-009,1.0214
3.8142e-009,1.0127
3.8509e-009,0.9891
3.8875e-009,0.9503
3.9242e-009,0.8965
3.9609e-009,0.8288
3.9976e-009,0.7497
4.0342e-009,0.6634
4.0709e-009,0.5755
4.1076e-009,0.4937
4.1443e-009,0.4262
4.1809e-009,0.3786
4.2176e-009,0.3537
4.2543e-009,0.3526
4.2910e-009,0.3744
4.3276e-009,0.4161
4.3643e-009,0.4733
4.4010e-009,0.5416
4.4377e-009,0.6175
4.4743e-009,0.6973
4.5110e-009,0.7759
4.5477e-009,0.8484
4.5844e-009,0.9114
4.6211e-009,0.9620
4.6577e-009,0.9976
4.6944e-009,1.0165
4.7311e-009,1.0189
4.7678e-009,1.0055
4.8044e-009,0.9763
4.8411e-009,0.9308
4.8778e-009,0.8699
4.9145e-009,0.7958
4.9511e-009,0.7125
4.9878e-009,0.6249
5.0245e-009,0.5393
5.0612e-009,0.4639
5.0978e-009,0.4056
5.1345e-009,0.3682
5.1712e-009,0.3536
5.2079e-009,0.3620
5.2445e-009,0.3919
5.2812e-009,0.4398
5.3179e-009,0.5015
5.3546e-009,0.5732
5.3912e-009,0.6516
5.4279e-009,0.7322
5.4646e-009,0.8093
5.5013e-009,0.8786
5.5379e-009,0.9367
5.5746e-009,0.9810
5.6113e-009,1.0089
5.6480e-009,1.0199
5.6846e-009,1.0148
5.7213e-009,0.9942
5.7580e-009,0.9581
5.7947e-009,0.9062
5.8313e-009,0.8401
5.8680e-009,0.7624
5.9047e-009,0.6773
5.9414e-009,0.5902
5.9780e-009,0.5081
6.0147e-009,0.4390
6.0514e-009,0.3888
6.0881e-009,0.3601
6.1247e-009,0.3546
6.1614e-009,0.3719
6.1981e-009,0.4098
6.2348e-009,0.4640
6.2714e-009,0.5305
6.3081e-009,0.6059
6.3448e-009,0.6861
6.3815e-009,0.7660
6.4181e-009,0.8402
6.4548e-009,0.9049
6.4915e-009,0.9571
6.5282e-009,0.9944
6.5648e-009,1.0150
6.6015e-009,1.0191
6.6382e-009,1.0076
6.6749e-009,0.9807
6.7115e-009,0.9380
6.7482e-009,0.8799
6.7849e-009,0.8083
6.8215e-009,0.7268
6.8582e-009,0.6399
6.8949e-009,0.5538
6.9316e-009,0.4763
6.9682e-009,0.4147
7.0049e-009,0.3735
7.0416e-009,0.3547
7.0783e-009,0.3591
7.1149e-009,0.3857
7.1516e-009,0.4310
7.1883e-009,0.4909
7.2250e-009,0.5615
7.2616e-009,0.6394
7.2983e-009,0.7202
7.3350e-009,0.7982
7.3717e-009,0.8687
7.4083e-009,0.9285
7.4450e-009,0.9747
7.4817e-009,1.0050
7.5184e-009,1.0185
7.5550e-009,1.0158
7.5917e-009,0.9979
7.6284e-009,0.9644
7.6651e-009,0.9150
7.7018e-009,0.8510
7.7384e-009,0.7747
7.7751e-009,0.6902
7.8118e-009,0.6028
7.8484e-009,0.5194
7.8851e-009,0.4478
7.9218e-009,0.3946
7.9585e-009,0.3627
7.9952e-009,0.3538
8.0318e-009,0.3679
8.0685e-009,0.4029
8.1052e-009,0.4548
8.1418e-009,0.5196
8.1785e-009,0.5938
8.2152e-009,0.6734
8.2519e-009,0.7536
8.2886e-009,0.8289
8.3252e-009,0.8953
8.3619e-009,0.9496
8.3986e-009,0.9893
8.4352e-009,1.0125
8.4719e-009,1.0191
8.5086e-009,1.0099
8.5453e-009,0.9855
8.5820e-009,0.9453
8.6186e-009,0.8895
8.6553e-009,0.8198
8.6920e-009,0.7395
8.7286e-009,0.6531
8.7653e-009,0.5663
8.8020e-009,0.4870
8.8387e-009,0.4227
8.8754e-009,0.3783
8.9120e-009,0.3561
8.9487e-009,0.3572
8.9854e-009,0.3805
9.0220e-009,0.4232
9.0587e-009,0.4810
9.0954e-009,0.5501
9.1321e-009,0.6272
9.1688e-009,0.7079
9.2054e-009,0.7868
9.2421e-009,0.8589
9.2788e-009,0.9208
9.3154e-009,0.9694
9.3521e-009,1.0023
9.3888e-009,1.0182
9.4255e-009,1.0177
9.4622e-009,1.0018
9.4988e-009,0.9704
9.5355e-009,0.9232
9.5722e-009,0.8612
9.6088e-009,0.7865
9.6455e-009,0.7031
9.6822e-009,0.6159
9.7189e-009,0.5315
9.7556e-009,0.4578
9.7922e-009,0.4015
9.8289e-009,0.3663
9.8656e-009,0.3538
9.9022e-009,0.3644
9.9389e-009,0.3964
9.9756e-009,0.4460
1.00123e-008,0.5090
1.00490e-008,0.5819
1.00856e-008,0.6610
1.01223e-008,0.7416
1.01590e-008,0.8181
1.01956e-008,0.8862
1.02323e-008,0.9427
1.02690e-008,0.9849
1.03057e-008,1.0107
1.03424e-008,1.0197
1.03790e-008,1.0127
1.04157e-008,0.9904
1.04524e-008,0.9524
1.04890e-008,0.8988
1.05257e-008,0.8310
1.05624e-008,0.7520
1.05991e-008,0.6663
1.06358e-008,0.5793
1.06724e-008,0.4984
1.07091e-008,0.4315
1.07458e-008,0.3839
1.07824e-008,0.3582
1.08191e-008,0.3556
1.08558e-008,0.3756
1.08925e-008,0.4156
1.09292e-008,0.4713
1.09658e-008,0.5389
1.10025e-008,0.6149
1.10392e-008,0.6952
1.10758e-008,0.7746
1.11125e-008,0.8479
1.11492e-008,0.9114
1.11859e-008,0.9621
1.12226e-008,0.9976
1.12592e-008,1.0163
1.12959e-008,1.0184
1.13326e-008,1.0050
1.13693e-008,0.9762
1.14059e-008,0.9315
