.HEADER
..NAMES
Time,V U2.B8
.DATA
0.0e+000,1.1782
3.86e-011,1.1782
7.72e-011,1.1782
1.157e-010,1.1782
1.543e-010,1.1782
1.929e-010,1.1782
2.314e-010,1.1782
2.700e-010,1.1782
3.086e-010,1.1782
3.472e-010,1.1782
3.857e-010,1.1782
4.243e-010,1.1784
4.629e-010,1.1802
5.015e-010,1.1837
5.401e-010,1.1816
5.786e-010,1.1577
6.172e-010,1.0917
6.558e-010,0.9806
6.944e-010,0.8504
7.329e-010,0.7279
7.715e-010,0.6237
8.101e-010,0.5412
8.486e-010,0.4802
8.872e-010,0.4365
9.258e-010,0.4021
9.644e-010,0.3762
1.0029e-009,0.3717
1.0415e-009,0.4048
1.0801e-009,0.4837
1.1187e-009,0.6010
1.1572e-009,0.7265
1.1958e-009,0.8297
1.2344e-009,0.9056
1.2730e-009,0.9635
1.3115e-009,1.0097
1.3501e-009,1.0499
1.3887e-009,1.0843
1.4273e-009,1.1105
1.4658e-009,1.1298
1.5044e-009,1.1428
1.5430e-009,1.1487
1.5816e-009,1.1532
1.6202e-009,1.1609
1.6587e-009,1.1695
1.6973e-009,1.1748
1.7359e-009,1.1755
1.7745e-009,1.1729
1.8130e-009,1.1708
1.8516e-009,1.1727
1.8902e-009,1.1785
1.9288e-009,1.1825
1.9673e-009,1.1727
2.0059e-009,1.1290
2.0445e-009,1.0362
2.0830e-009,0.9093
2.1216e-009,0.7808
2.1602e-009,0.6686
2.1988e-009,0.5773
2.2374e-009,0.5073
2.2759e-009,0.4555
2.3145e-009,0.4191
2.3531e-009,0.3939
2.3916e-009,0.3714
2.4302e-009,0.3517
2.4688e-009,0.3402
2.5074e-009,0.3350
2.5459e-009,0.3299
2.5845e-009,0.3235
2.6231e-009,0.3178
2.6617e-009,0.3159
2.7003e-009,0.3182
2.7388e-009,0.3211
2.7774e-009,0.3224
2.8160e-009,0.3258
2.8545e-009,0.3380
2.8931e-009,0.3694
2.9317e-009,0.4338
2.9703e-009,0.5372
3.0089e-009,0.6667
3.0474e-009,0.7888
3.0860e-009,0.8780
3.1246e-009,0.9377
3.1631e-009,0.9836
3.2017e-009,1.0249
3.2403e-009,1.0643
3.2789e-009,1.1107
3.3175e-009,1.1524
3.3560e-009,1.1698
3.3946e-009,1.1517
3.4332e-009,1.0860
3.4717e-009,0.9732
3.5103e-009,0.8469
3.5489e-009,0.7289
3.5875e-009,0.6225
3.6260e-009,0.5372
3.6646e-009,0.4758
3.7032e-009,0.4307
3.7418e-009,0.3958
3.7803e-009,0.3731
3.8189e-009,0.3718
3.8575e-009,0.4073
3.8961e-009,0.4866
3.9346e-009,0.6012
3.9732e-009,0.7244
4.0118e-009,0.8292
4.0504e-009,0.9074
4.0890e-009,0.9659
4.1275e-009,1.0121
4.1661e-009,1.0520
4.2047e-009,1.0961
4.2433e-009,1.1410
4.2818e-009,1.1674
4.3204e-009,1.1624
4.3590e-009,1.1147
4.3975e-009,1.0171
4.4361e-009,0.8921
4.4747e-009,0.7686
4.5133e-009,0.6558
4.5519e-009,0.5624
4.5904e-009,0.4945
4.6290e-009,0.4453
4.6676e-009,0.4073
4.7062e-009,0.3797
4.7447e-009,0.3694
4.7833e-009,0.3913
4.8219e-009,0.4566
4.8604e-009,0.5620
4.8990e-009,0.6868
4.9376e-009,0.7998
4.9762e-009,0.8855
5.0147e-009,0.9488
5.0533e-009,0.9978
5.0919e-009,1.0393
5.1305e-009,1.0753
5.1691e-009,1.1037
5.2076e-009,1.1245
5.2462e-009,1.1395
5.2848e-009,1.1478
5.3234e-009,1.1525
5.3619e-009,1.1588
5.4005e-009,1.1668
5.4391e-009,1.1732
5.4776e-009,1.1756
5.5162e-009,1.1740
5.5548e-009,1.1715
5.5934e-009,1.1717
5.6320e-009,1.1765
5.6705e-009,1.1820
5.7091e-009,1.1775
5.7477e-009,1.1449
5.7863e-009,1.0654
5.8248e-009,0.9446
5.8634e-009,0.8140
5.9020e-009,0.6965
5.9405e-009,0.5993
5.9791e-009,0.5238
6.0177e-009,0.4678
6.0563e-009,0.4275
6.0948e-009,0.4001
6.1334e-009,0.3772
6.1720e-009,0.3563
6.2106e-009,0.3423
6.2492e-009,0.3361
6.2877e-009,0.3313
6.3263e-009,0.3252
6.3649e-009,0.3191
6.4035e-009,0.3159
6.4420e-009,0.3173
6.4806e-009,0.3203
6.5192e-009,0.3220
