.HEADER
..NAMES
Time,V U2.C8
.DATA
0.0e+000,0.3211
3.86e-011,0.3211
7.72e-011,0.3211
1.157e-010,0.3211
1.543e-010,0.3211
1.929e-010,0.3211
2.314e-010,0.3211
2.700e-010,0.3211
3.086e-010,0.3211
3.472e-010,0.3211
3.857e-010,0.3211
4.243e-010,0.3211
4.629e-010,0.3218
5.015e-010,0.3263
5.401e-010,0.3421
5.786e-010,0.3823
6.172e-010,0.4586
6.558e-010,0.5703
6.944e-010,0.6963
7.329e-010,0.8057
7.715e-010,0.8866
8.101e-010,0.9492
8.486e-010,1.0033
8.872e-010,1.0461
9.258e-010,1.0764
9.644e-010,1.0991
1.0029e-009,1.1179
1.0415e-009,1.1320
1.0801e-009,1.1414
1.1187e-009,1.1486
1.1572e-009,1.1566
1.1958e-009,1.1657
1.2344e-009,1.1728
1.2730e-009,1.1752
1.3115e-009,1.1732
1.3501e-009,1.1709
1.3887e-009,1.1711
1.4273e-009,1.1727
1.4658e-009,1.1733
1.5044e-009,1.1735
1.5430e-009,1.1746
1.5816e-009,1.1759
1.6202e-009,1.1760
1.6587e-009,1.1756
1.6973e-009,1.1761
1.7359e-009,1.1772
1.7745e-009,1.1779
1.8130e-009,1.1775
1.8516e-009,1.1770
1.8902e-009,1.1787
1.9288e-009,1.1823
1.9673e-009,1.1800
2.0059e-009,1.1545
2.0445e-009,1.0872
2.0830e-009,0.9790
2.1216e-009,0.8557
2.1602e-009,0.7392
2.1988e-009,0.6350
2.2374e-009,0.5450
2.2759e-009,0.4775
2.3145e-009,0.4329
2.3531e-009,0.4030
2.3916e-009,0.3791
2.4302e-009,0.3606
2.4688e-009,0.3492
2.5074e-009,0.3429
2.5459e-009,0.3375
2.5845e-009,0.3306
2.6231e-009,0.3230
2.6617e-009,0.3178
2.7003e-009,0.3172
2.7388e-009,0.3190
2.7774e-009,0.3205
2.8160e-009,0.3226
2.8545e-009,0.3311
2.8931e-009,0.3535
2.9317e-009,0.4013
2.9703e-009,0.4845
3.0089e-009,0.6004
3.0474e-009,0.7247
3.0860e-009,0.8277
3.1246e-009,0.9026
3.1631e-009,0.9622
3.2017e-009,1.0141
3.2403e-009,1.0545
3.2789e-009,1.0831
3.3175e-009,1.1045
3.3560e-009,1.1219
3.3946e-009,1.1348
3.4332e-009,1.1436
3.4717e-009,1.1507
3.5103e-009,1.1586
3.5489e-009,1.1673
3.5875e-009,1.1738
3.6260e-009,1.1754
3.6646e-009,1.1728
3.7032e-009,1.1708
3.7418e-009,1.1716
3.7803e-009,1.1732
3.8189e-009,1.1736
3.8575e-009,1.1738
3.8961e-009,1.1750
3.9346e-009,1.1761
3.9732e-009,1.1761
4.0118e-009,1.1758
4.0504e-009,1.1764
4.0890e-009,1.1775
4.1275e-009,1.1780
4.1661e-009,1.1775
4.2047e-009,1.1773
4.2433e-009,1.1795
4.2818e-009,1.1828
4.3204e-009,1.1774
4.3590e-009,1.1444
4.3975e-009,1.0673
4.4361e-009,0.9533
4.4747e-009,0.8302
4.5133e-009,0.7164
4.5519e-009,0.6147
4.5904e-009,0.5288
4.6290e-009,0.4664
4.6676e-009,0.4250
4.7062e-009,0.3914
4.7447e-009,0.3701
4.7833e-009,0.3779
4.8219e-009,0.4263
4.8604e-009,0.5118
4.8990e-009,0.6262
4.9376e-009,0.7436
4.9762e-009,0.8391
5.0147e-009,0.9119
5.0533e-009,0.9748
5.0919e-009,1.0278
5.1305e-009,1.0654
5.1691e-009,1.0920
5.2076e-009,1.1141
5.2462e-009,1.1312
5.2848e-009,1.1405
5.3234e-009,1.1469
5.3619e-009,1.1548
5.4005e-009,1.1639
5.4391e-009,1.1710
5.4776e-009,1.1752
5.5162e-009,1.1757
5.5548e-009,1.1734
5.5934e-009,1.1721
5.6320e-009,1.1753
5.6705e-009,1.1808
5.7091e-009,1.1807
5.7477e-009,1.1625
5.7863e-009,1.1080
5.8248e-009,1.0087
5.8634e-009,0.8853
5.9020e-009,0.7661
5.9405e-009,0.6604
5.9791e-009,0.5670
6.0177e-009,0.4926
6.0563e-009,0.4419
6.0948e-009,0.4048
6.1334e-009,0.3760
6.1720e-009,0.3688
6.2106e-009,0.3987
6.2492e-009,0.4669
6.2877e-009,0.5691
6.3263e-009,0.6894
6.3649e-009,0.7974
6.4035e-009,0.8791
6.4420e-009,0.9452
6.4806e-009,1.0044
6.5192e-009,1.0498
6.5577e-009,1.0869
6.5963e-009,1.1278
6.6349e-009,1.1596
6.6735e-009,1.1613
6.7121e-009,1.1261
6.7506e-009,1.0516
6.7892e-009,0.9410
6.8278e-009,0.8170
6.8664e-009,0.7014
6.9049e-009,0.6010
6.9435e-009,0.5161
6.9821e-009,0.4545
7.0206e-009,0.4163
7.0592e-009,0.3909
7.0978e-009,0.3694
7.1364e-009,0.3540
7.1749e-009,0.3467
7.2135e-009,0.3408
7.2521e-009,0.3331
7.2907e-009,0.3257
7.3293e-009,0.3205
7.3678e-009,0.3170
7.4064e-009,0.3165
7.4450e-009,0.3184
7.4835e-009,0.3208
7.5221e-009,0.3248
7.5607e-009,0.3375
7.5993e-009,0.3697
7.6379e-009,0.4321
7.6764e-009,0.5298
7.7150e-009,0.6530
7.7536e-009,0.7712
7.7922e-009,0.8615
