.HEADER
..NAMES
Time,V U2.A3
.DATA
0.0e+000,0.3208
3.86e-011,0.3208
7.72e-011,0.3208
1.157e-010,0.3208
1.543e-010,0.3208
1.929e-010,0.3208
2.314e-010,0.3208
2.700e-010,0.3208
3.086e-010,0.3208
3.472e-010,0.3208
3.857e-010,0.3208
4.243e-010,0.3209
4.629e-010,0.3221
5.015e-010,0.3285
5.401e-010,0.3488
5.786e-010,0.3963
6.172e-010,0.4805
6.558e-010,0.5962
6.944e-010,0.7186
7.329e-010,0.8206
7.715e-010,0.8958
8.101e-010,0.9558
8.486e-010,1.0073
8.872e-010,1.0498
9.258e-010,1.0824
9.644e-010,1.1064
1.0029e-009,1.1240
1.0415e-009,1.1381
1.0801e-009,1.1486
1.1187e-009,1.1559
1.1572e-009,1.1627
1.1958e-009,1.1697
1.2344e-009,1.1735
1.2730e-009,1.1728
1.3115e-009,1.1706
1.3501e-009,1.1700
1.3887e-009,1.1728
1.4273e-009,1.1788
1.4658e-009,1.1825
1.5044e-009,1.1723
1.5430e-009,1.1318
1.5816e-009,1.0476
1.6202e-009,0.9309
1.6587e-009,0.8095
1.6973e-009,0.6993
1.7359e-009,0.6024
1.7745e-009,0.5229
1.8130e-009,0.4630
1.8516e-009,0.4188
1.8902e-009,0.3848
1.9288e-009,0.3690
1.9673e-009,0.3823
2.0059e-009,0.4329
2.0445e-009,0.5245
2.0830e-009,0.6437
2.1216e-009,0.7592
2.1602e-009,0.8509
2.1988e-009,0.9246
2.2374e-009,0.9857
2.2759e-009,1.0341
2.3145e-009,1.0742
2.3531e-009,1.1180
2.3916e-009,1.1530
2.4302e-009,1.1657
2.4688e-009,1.1472
2.5074e-009,1.0862
2.5459e-009,0.9804
2.5845e-009,0.8574
2.6231e-009,0.7409
2.6617e-009,0.6330
2.7003e-009,0.5422
2.7388e-009,0.4767
2.7774e-009,0.4299
2.8160e-009,0.3912
2.8545e-009,0.3694
2.8931e-009,0.3726
2.9317e-009,0.4091
2.9703e-009,0.4853
3.0089e-009,0.5982
3.0474e-009,0.7184
3.0860e-009,0.8199
3.1246e-009,0.9007
3.1631e-009,0.9666
3.2017e-009,1.0185
3.2403e-009,1.0598
3.2789e-009,1.0926
3.3175e-009,1.1149
3.3560e-009,1.1303
3.3946e-009,1.1433
3.4332e-009,1.1526
3.4717e-009,1.1586
3.5103e-009,1.1656
3.5489e-009,1.1723
3.5875e-009,1.1748
3.6260e-009,1.1737
3.6646e-009,1.1722
3.7032e-009,1.1714
3.7418e-009,1.1739
3.7803e-009,1.1798
3.8189e-009,1.1820
3.8575e-009,1.1669
3.8961e-009,1.1179
3.9346e-009,1.0252
3.9732e-009,0.9053
4.0118e-009,0.7854
4.0504e-009,0.6781
4.0890e-009,0.5841
4.1275e-009,0.5086
4.1661e-009,0.4529
4.2047e-009,0.4109
4.2433e-009,0.3798
4.2818e-009,0.3688
4.3204e-009,0.3897
4.3590e-009,0.4487
4.3975e-009,0.5482
4.4361e-009,0.6692
4.4747e-009,0.7804
4.5133e-009,0.8673
4.5519e-009,0.9384
4.5904e-009,0.9968
4.6290e-009,1.0427
4.6676e-009,1.0832
4.7062e-009,1.1265
4.7447e-009,1.1580
4.7833e-009,1.1645
4.8219e-009,1.1387
4.8604e-009,1.0670
4.8990e-009,0.9550
4.9376e-009,0.8320
4.9762e-009,0.7175
5.0147e-009,0.6120
5.0533e-009,0.5264
5.0919e-009,0.4658
5.1305e-009,0.4228
5.1691e-009,0.3919
5.2076e-009,0.3717
5.2462e-009,0.3551
5.2848e-009,0.3416
5.3234e-009,0.3336
5.3619e-009,0.3278
5.4005e-009,0.3206
5.4391e-009,0.3161
5.4776e-009,0.3161
5.5162e-009,0.3182
5.5548e-009,0.3204
5.5934e-009,0.3229
5.6320e-009,0.3262
5.6705e-009,0.3355
5.7091e-009,0.3623
5.7477e-009,0.4191
5.7863e-009,0.5116
5.8248e-009,0.6315
5.8634e-009,0.7512
5.9020e-009,0.8455
5.9405e-009,0.9144
5.9791e-009,0.9716
6.0177e-009,1.0207
6.0563e-009,1.0602
6.0948e-009,1.0904
6.1334e-009,1.1121
6.1720e-009,1.1280
6.2106e-009,1.1411
6.2492e-009,1.1510
6.2877e-009,1.1576
6.3263e-009,1.1645
6.3649e-009,1.1712
6.4035e-009,1.1739
6.4420e-009,1.1724
6.4806e-009,1.1703
6.5192e-009,1.1703
6.5577e-009,1.1741
6.5963e-009,1.1803
6.6349e-009,1.1819
6.6735e-009,1.1655
6.7121e-009,1.1141
6.7506e-009,1.0192
6.7892e-009,0.8987
6.8278e-009,0.7793
6.8664e-009,0.6726
6.9049e-009,0.5797
6.9435e-009,0.5053
6.9821e-009,0.4504
7.0206e-009,0.4124
7.0592e-009,0.3862
7.0978e-009,0.3664
7.1364e-009,0.3500
7.1749e-009,0.3391
7.2135e-009,0.3327
7.2521e-009,0.3265
7.2907e-009,0.3199
7.3293e-009,0.3164
7.3678e-009,0.3171
7.4064e-009,0.3199
7.4450e-009,0.3224
7.4835e-009,0.3236
7.5221e-009,0.3242
7.5607e-009,0.3247
7.5993e-009,0.3247
7.6379e-009,0.3237
7.6764e-009,0.3225
7.7150e-009,0.3223
7.7536e-009,0.3227
7.7922e-009,0.3224
7.8307e-009,0.3216
7.8693e-009,0.3213
7.9079e-009,0.3216
7.9464e-009,0.3221
7.9850e-009,0.3249
8.0236e-009,0.3357
8.0622e-009,0.3666
8.1008e-009,0.4308
8.1393e-009,0.5316
8.1779e-009,0.6545
8.2165e-009,0.7699
8.2550e-009,0.8588
8.2936e-009,0.9253
8.3322e-009,0.9811
8.3708e-009,1.0284
8.4093e-009,1.0689
8.4479e-009,1.1137
8.4865e-009,1.1508
8.5251e-009,1.1644
8.5637e-009,1.1462
8.6022e-009,1.0869
8.6408e-009,0.9822
8.6794e-009,0.8592
8.7179e-009,0.7434
8.7565e-009,0.6363
8.7951e-009,0.5449
8.8337e-009,0.4784
8.8722e-009,0.4320
8.9108e-009,0.3984
8.9494e-009,0.3765
8.9880e-009,0.3596
9.0266e-009,0.3448
9.0651e-009,0.3351
9.1037e-009,0.3292
9.1423e-009,0.3223
9.1808e-009,0.3167
9.2194e-009,0.3157
9.2580e-009,0.3178
9.2966e-009,0.3200
9.3352e-009,0.3223
9.3737e-009,0.3249
9.4123e-009,0.3318
9.4509e-009,0.3526
9.4895e-009,0.4006
9.5280e-009,0.4837
9.5666e-009,0.5984
9.6052e-009,0.7212
9.6437e-009,0.8235
9.6823e-009,0.8978
9.7209e-009,0.9572
9.7595e-009,1.0086
9.7981e-009,1.0510
9.8366e-009,1.0930
9.8752e-009,1.1354
9.9138e-009,1.1619
9.9524e-009,1.1586
9.9909e-009,1.1215
1.00295e-008,1.0361
1.00681e-008,0.9174
1.01066e-008,0.7966
1.01452e-008,0.6863
1.01838e-008,0.5855
1.02224e-008,0.5068
1.02610e-008,0.4520
1.02995e-008,0.4096
1.03381e-008,0.3777
1.03767e-008,0.3672
1.04152e-008,0.3856
1.04538e-008,0.4391
1.04924e-008,0.5349
1.05310e-008,0.6556
1.05695e-008,0.7692
1.06081e-008,0.8599
1.06467e-008,0.9338
1.06853e-008,0.9929
1.07239e-008,1.0391
1.07624e-008,1.0763
1.08010e-008,1.1043
1.08396e-008,1.1224
1.08781e-008,1.1366
1.09167e-008,1.1483
1.09553e-008,1.1556
1.09939e-008,1.1616
1.10324e-008,1.1691
1.10710e-008,1.1741
1.11096e-008,1.1745
1.11482e-008,1.1730
1.11868e-008,1.1717
1.12253e-008,1.1714
1.12639e-008,1.1727
1.13025e-008,1.1744
1.13410e-008,1.1749
1.13796e-008,1.1752
1.14182e-008,1.1761
1.14568e-008,1.1765
1.14953e-008,1.1764
1.15339e-008,1.1768
1.15725e-008,1.1776
1.16111e-008,1.1779
1.16497e-008,1.1776
1.16882e-008,1.1775
1.17268e-008,1.1774
1.17654e-008,1.1777
1.18039e-008,1.1782
1.18425e-008,1.1783
1.18811e-008,1.1780
1.19197e-008,1.1779
1.19583e-008,1.1781
1.19968e-008,1.1780
1.20354e-008,1.1779
1.20740e-008,1.1780
1.21126e-008,1.1781
1.21511e-008,1.1781
1.21897e-008,1.1781
1.22283e-008,1.1780
1.22668e-008,1.1780
1.23054e-008,1.1781
1.23440e-008,1.1781
