.HEADER
..NAMES
Time,V U2.A2
.DATA
0.0e+000,0.3201
3.86e-011,0.3201
7.72e-011,0.3201
1.157e-010,0.3201
1.543e-010,0.3201
1.929e-010,0.3201
2.314e-010,0.3201
2.700e-010,0.3201
3.086e-010,0.3201
3.472e-010,0.3201
3.857e-010,0.3201
4.243e-010,0.3202
4.629e-010,0.3221
5.015e-010,0.3306
5.401e-010,0.3561
5.786e-010,0.4129
6.172e-010,0.5084
6.558e-010,0.6329
6.944e-010,0.7565
7.329e-010,0.8517
7.715e-010,0.9166
8.101e-010,0.9666
8.486e-010,1.0122
8.872e-010,1.0547
9.258e-010,1.1016
9.644e-010,1.1456
1.0029e-009,1.1689
1.0415e-009,1.1596
1.0801e-009,1.1061
1.1187e-009,1.0025
1.1572e-009,0.8761
1.1958e-009,0.7559
1.2344e-009,0.6488
1.2730e-009,0.5597
1.3115e-009,0.4930
1.3501e-009,0.4434
1.3887e-009,0.4091
1.4273e-009,0.3859
1.4658e-009,0.3651
1.5044e-009,0.3467
1.5430e-009,0.3356
1.5816e-009,0.3287
1.6202e-009,0.3225
1.6587e-009,0.3177
1.6973e-009,0.3155
1.7359e-009,0.3166
1.7745e-009,0.3200
1.8130e-009,0.3228
1.8516e-009,0.3238
1.8902e-009,0.3280
1.9288e-009,0.3445
1.9673e-009,0.3853
2.0059e-009,0.4620
2.0445e-009,0.5749
2.0830e-009,0.7034
2.1216e-009,0.8142
2.1602e-009,0.8916
2.1988e-009,0.9458
2.2374e-009,0.9918
2.2759e-009,1.0355
2.3145e-009,1.0741
2.3531e-009,1.1029
2.3916e-009,1.1226
2.4302e-009,1.1378
2.4688e-009,1.1485
2.5074e-009,1.1548
2.5459e-009,1.1602
2.5845e-009,1.1671
2.6231e-009,1.1731
2.6617e-009,1.1750
2.7003e-009,1.1728
2.7388e-009,1.1700
2.7774e-009,1.1704
2.8160e-009,1.1735
2.8545e-009,1.1760
2.8931e-009,1.1768
2.9317e-009,1.1768
2.9703e-009,1.1770
3.0089e-009,1.1771
3.0474e-009,1.1770
3.0860e-009,1.1772
3.1246e-009,1.1780
3.1631e-009,1.1790
3.2017e-009,1.1792
3.2403e-009,1.1787
3.2789e-009,1.1800
3.3175e-009,1.1837
3.3560e-009,1.1818
3.3946e-009,1.1569
3.4332e-009,1.0891
3.4717e-009,0.9776
3.5103e-009,0.8490
3.5489e-009,0.7296
3.5875e-009,0.6288
3.6260e-009,0.5477
3.6646e-009,0.4852
3.7032e-009,0.4392
3.7418e-009,0.4074
3.7803e-009,0.3829
3.8189e-009,0.3609
3.8575e-009,0.3436
3.8961e-009,0.3342
3.9346e-009,0.3291
3.9732e-009,0.3241
4.0118e-009,0.3188
4.0504e-009,0.3159
4.0890e-009,0.3171
4.1275e-009,0.3208
4.1661e-009,0.3232
4.2047e-009,0.3236
4.2433e-009,0.3236
4.2818e-009,0.3238
4.3204e-009,0.3232
4.3590e-009,0.3219
4.3975e-009,0.3210
4.4361e-009,0.3212
4.4747e-009,0.3220
4.5133e-009,0.3219
4.5519e-009,0.3208
4.5904e-009,0.3201
4.6290e-009,0.3204
4.6676e-009,0.3209
4.7062e-009,0.3207
4.7447e-009,0.3202
4.7833e-009,0.3199
4.8219e-009,0.3201
4.8604e-009,0.3202
4.8990e-009,0.3200
4.9376e-009,0.3199
4.9762e-009,0.3201
5.0147e-009,0.3204
5.0533e-009,0.3203
5.0919e-009,0.3200
5.1305e-009,0.3199
5.1691e-009,0.3201
5.2076e-009,0.3203
5.2462e-009,0.3202
5.2848e-009,0.3201
5.3234e-009,0.3201
5.3619e-009,0.3202
5.4005e-009,0.3202
5.4391e-009,0.3201
5.4776e-009,0.3201
5.5162e-009,0.3201
5.5548e-009,0.3202
5.5934e-009,0.3202
5.6320e-009,0.3201
5.6705e-009,0.3201
5.7091e-009,0.3201
5.7477e-009,0.3202
5.7863e-009,0.3202
5.8248e-009,0.3201
5.8634e-009,0.3201
5.9020e-009,0.3201
5.9405e-009,0.3201
5.9791e-009,0.3201
6.0177e-009,0.3201
6.0563e-009,0.3201
6.0948e-009,0.3201
6.1334e-009,0.3201
6.1720e-009,0.3201
6.2106e-009,0.3201
6.2492e-009,0.3201
6.2877e-009,0.3201
6.3263e-009,0.3201
6.3649e-009,0.3201
6.4035e-009,0.3201
6.4420e-009,0.3201
6.4806e-009,0.3201
6.5192e-009,0.3201
6.5577e-009,0.3201
6.5963e-009,0.3201
6.6349e-009,0.3201
6.6735e-009,0.3201
6.7121e-009,0.3201
6.7506e-009,0.3201
6.7892e-009,0.3201
6.8278e-009,0.3201
6.8664e-009,0.3201
6.9049e-009,0.3201
6.9435e-009,0.3201
6.9821e-009,0.3201
7.0206e-009,0.3214
7.0592e-009,0.3278
7.0978e-009,0.3485
7.1364e-009,0.3975
7.1749e-009,0.4848
7.2135e-009,0.6050
7.2521e-009,0.7317
7.2907e-009,0.8342
7.3293e-009,0.9045
7.3678e-009,0.9565
7.4064e-009,1.0026
7.4450e-009,1.0457
7.4835e-009,1.0916
7.5221e-009,1.1376
7.5607e-009,1.1664
7.5993e-009,1.1648
7.6379e-009,1.1220
7.6764e-009,1.0279
7.7150e-009,0.9033
7.7536e-009,0.7805
7.7922e-009,0.6704
7.8307e-009,0.5769
7.8693e-009,0.5057
7.9079e-009,0.4528
7.9464e-009,0.4151
7.9850e-009,0.3904
8.0236e-009,0.3696
8.0622e-009,0.3501
8.1008e-009,0.3374
8.1393e-009,0.3300
8.1779e-009,0.3237
8.2165e-009,0.3185
8.2550e-009,0.3158
8.2936e-009,0.3161
8.3322e-009,0.3192
8.3708e-009,0.3224
8.4093e-009,0.3236
8.4479e-009,0.3264
8.4865e-009,0.3394
8.5251e-009,0.3738
8.5637e-009,0.4422
8.6022e-009,0.5483
8.6408e-009,0.6763
8.6794e-009,0.7932
8.7179e-009,0.8775
8.7565e-009,0.9353
8.7951e-009,0.9821
8.8337e-009,1.0264
8.8722e-009,1.0695
8.9108e-009,1.1169
8.9494e-009,1.1560
8.9880e-009,1.1700
9.0266e-009,1.1482
9.0651e-009,1.0785
9.1037e-009,0.9636
9.1423e-009,0.8371
9.1808e-009,0.7208
9.2194e-009,0.6188
9.2580e-009,0.5368
9.2966e-009,0.4759
9.3352e-009,0.4300
9.3737e-009,0.3947
9.4123e-009,0.3726
9.4509e-009,0.3729
9.4895e-009,0.4096
9.5280e-009,0.4910
9.5666e-009,0.6087
9.6052e-009,0.7326
9.6437e-009,0.8348
9.6823e-009,0.9101
9.7209e-009,0.9674
9.7595e-009,1.0149
9.7981e-009,1.0574
9.8366e-009,1.1028
9.8752e-009,1.1457
9.9138e-009,1.1697
9.9524e-009,1.1619
9.9909e-009,1.1101
1.00295e-008,1.0084
1.00681e-008,0.8823
1.01066e-008,0.7601
1.01452e-008,0.6513
1.01838e-008,0.5615
1.02224e-008,0.4943
1.02610e-008,0.4445
1.02995e-008,0.4097
1.03381e-008,0.3858
1.03767e-008,0.3649
1.04152e-008,0.3467
1.04538e-008,0.3356
1.04924e-008,0.3287
1.05310e-008,0.3227
1.05695e-008,0.3179
1.06081e-008,0.3156
1.06467e-008,0.3164
1.06853e-008,0.3197
1.07239e-008,0.3226
1.07624e-008,0.3239
1.08010e-008,0.3282
1.08396e-008,0.3445
1.08781e-008,0.3850
1.09167e-008,0.4615
1.09553e-008,0.5742
1.09939e-008,0.7026
1.10324e-008,0.8136
1.10710e-008,0.8912
1.11096e-008,0.9455
1.11482e-008,0.9915
1.11868e-008,1.0353
1.12253e-008,1.0792
1.12639e-008,1.1261
1.13025e-008,1.1612
1.13410e-008,1.1688
1.13796e-008,1.1380
1.14182e-008,1.0573
1.14568e-008,0.9369
1.14953e-008,0.8115
1.15339e-008,0.6981
1.15725e-008,0.5998
1.16111e-008,0.5225
1.16497e-008,0.4653
1.16882e-008,0.4235
1.17268e-008,0.3962
1.17654e-008,0.3751
1.18039e-008,0.3549
1.18425e-008,0.3400
1.18811e-008,0.3318
1.19197e-008,0.3254
1.19583e-008,0.3198
1.19968e-008,0.3162
1.20354e-008,0.3157
1.20740e-008,0.3183
1.21126e-008,0.3218
1.21511e-008,0.3234
1.21897e-008,0.3233
1.22283e-008,0.3236
1.22668e-008,0.3238
1.23054e-008,0.3229
1.23440e-008,0.3216
1.23826e-008,0.3211
1.24212e-008,0.3214
1.24597e-008,0.3218
1.24983e-008,0.3214
1.25369e-008,0.3206
1.25755e-008,0.3203
1.26140e-008,0.3207
1.26526e-008,0.3209
1.26912e-008,0.3204
1.27297e-008,0.3200
1.27683e-008,0.3199
1.28069e-008,0.3201
1.28455e-008,0.3202
1.28841e-008,0.3200
1.29226e-008,0.3200
1.29612e-008,0.3202
1.29998e-008,0.3203
1.30383e-008,0.3202
1.30769e-008,0.3200
1.31155e-008,0.3200
1.31541e-008,0.3202
1.31926e-008,0.3202
1.32312e-008,0.3201
1.32698e-008,0.3200
1.33084e-008,0.3201
1.33470e-008,0.3202
1.33855e-008,0.3202
1.34241e-008,0.3201
1.34627e-008,0.3201
1.35012e-008,0.3201
1.35398e-008,0.3202
1.35784e-008,0.3201
1.36170e-008,0.3201
1.36555e-008,0.3201
1.36941e-008,0.3201
1.37327e-008,0.3202
1.37713e-008,0.3201
1.38099e-008,0.3201
1.38484e-008,0.3201
1.38870e-008,0.3201
1.39256e-008,0.3201
1.39641e-008,0.3201
