.HEADER
..NAMES
Time,V U3.H3
.DATA
0.0e+000,1.1772
3.86e-011,1.1772
7.72e-011,1.1772
1.157e-010,1.1772
1.543e-010,1.1772
1.929e-010,1.1772
2.314e-010,1.1772
2.700e-010,1.1772
3.086e-010,1.1772
3.472e-010,1.1772
3.857e-010,1.1772
4.243e-010,1.1775
4.629e-010,1.1794
5.015e-010,1.1817
5.401e-010,1.1773
5.786e-010,1.1523
6.172e-010,1.0918
6.558e-010,0.9967
6.944e-010,0.8834
7.329e-010,0.7665
7.715e-010,0.6546
8.101e-010,0.5580
8.486e-010,0.4823
8.872e-010,0.4279
9.258e-010,0.3875
9.644e-010,0.3643
1.0029e-009,0.3665
1.0415e-009,0.4012
1.0801e-009,0.4749
1.1187e-009,0.5839
1.1572e-009,0.7065
1.1958e-009,0.8184
1.2344e-009,0.9104
1.2730e-009,0.9820
1.3115e-009,1.0353
1.3501e-009,1.0749
1.3887e-009,1.1133
1.4273e-009,1.1456
1.4658e-009,1.1642
1.5044e-009,1.1611
1.5430e-009,1.1195
1.5816e-009,1.0324
1.6202e-009,0.9152
1.6587e-009,0.7910
1.6973e-009,0.6714
1.7359e-009,0.5694
1.7745e-009,0.4904
1.8130e-009,0.4333
1.8516e-009,0.3921
1.8902e-009,0.3667
1.9288e-009,0.3598
1.9673e-009,0.3823
2.0059e-009,0.4426
2.0445e-009,0.5421
2.0830e-009,0.6651
2.1216e-009,0.7842
2.1602e-009,0.8841
2.1988e-009,0.9630
2.2374e-009,1.0222
2.2759e-009,1.0643
2.3145e-009,1.0937
2.3531e-009,1.1139
2.3916e-009,1.1297
2.4302e-009,1.1432
2.4688e-009,1.1541
2.5074e-009,1.1625
2.5459e-009,1.1684
2.5845e-009,1.1703
2.6231e-009,1.1692
2.6617e-009,1.1678
2.7003e-009,1.1677
2.7388e-009,1.1687
2.7774e-009,1.1702
2.8160e-009,1.1716
2.8545e-009,1.1730
2.8931e-009,1.1742
2.9317e-009,1.1751
2.9703e-009,1.1754
3.0089e-009,1.1756
3.0474e-009,1.1757
3.0860e-009,1.1759
3.1246e-009,1.1762
3.1631e-009,1.1767
3.2017e-009,1.1772
3.2403e-009,1.1778
3.2789e-009,1.1797
3.3175e-009,1.1818
3.3560e-009,1.1767
3.3946e-009,1.1501
3.4332e-009,1.0876
3.4717e-009,0.9911
3.5103e-009,0.8774
3.5489e-009,0.7607
3.5875e-009,0.6493
3.6260e-009,0.5536
3.6646e-009,0.4791
3.7032e-009,0.4265
3.7418e-009,0.3912
3.7803e-009,0.3673
3.8189e-009,0.3506
3.8575e-009,0.3388
3.8961e-009,0.3292
3.9346e-009,0.3214
3.9732e-009,0.3172
4.0118e-009,0.3169
4.0504e-009,0.3188
4.0890e-009,0.3211
4.1275e-009,0.3233
4.1661e-009,0.3251
4.2047e-009,0.3260
4.2433e-009,0.3257
4.2818e-009,0.3247
4.3204e-009,0.3237
4.3590e-009,0.3230
4.3975e-009,0.3226
4.4361e-009,0.3224
4.4747e-009,0.3224
4.5133e-009,0.3224
4.5519e-009,0.3220
4.5904e-009,0.3216
4.6290e-009,0.3212
4.6676e-009,0.3209
4.7062e-009,0.3208
4.7447e-009,0.3207
4.7833e-009,0.3207
4.8219e-009,0.3209
4.8604e-009,0.3210
4.8990e-009,0.3210
4.9376e-009,0.3210
4.9762e-009,0.3210
5.0147e-009,0.3209
5.0533e-009,0.3209
5.0919e-009,0.3209
5.1305e-009,0.3209
5.1691e-009,0.3209
5.2076e-009,0.3210
5.2462e-009,0.3209
5.2848e-009,0.3210
5.3234e-009,0.3210
5.3619e-009,0.3209
5.4005e-009,0.3209
5.4391e-009,0.3209
5.4776e-009,0.3209
5.5162e-009,0.3209
5.5548e-009,0.3209
5.5934e-009,0.3215
5.6320e-009,0.3249
5.6705e-009,0.3374
5.7091e-009,0.3693
5.7477e-009,0.4318
5.7863e-009,0.5271
5.8248e-009,0.6428
5.8634e-009,0.7555
5.9020e-009,0.8510
5.9405e-009,0.9296
5.9791e-009,0.9922
6.0177e-009,1.0400
6.0563e-009,1.0800
6.0948e-009,1.1199
6.1334e-009,1.1523
6.1720e-009,1.1628
6.2106e-009,1.1465
6.2492e-009,1.0849
6.2877e-009,0.9825
6.3263e-009,0.8613
6.3649e-009,0.7390
6.4035e-009,0.6265
6.4420e-009,0.5348
6.4806e-009,0.4656
6.5192e-009,0.4167
6.5577e-009,0.3858
6.5963e-009,0.3646
6.6349e-009,0.3481
6.6735e-009,0.3360
6.7121e-009,0.3265
6.7506e-009,0.3188
6.7892e-009,0.3152
6.8278e-009,0.3160
6.8664e-009,0.3187
6.9049e-009,0.3218
6.9435e-009,0.3245
6.9821e-009,0.3258
7.0206e-009,0.3261
7.0592e-009,0.3257
7.0978e-009,0.3244
7.1364e-009,0.3232
7.1749e-009,0.3228
7.2135e-009,0.3225
7.2521e-009,0.3224
7.2907e-009,0.3225
7.3293e-009,0.3224
7.3678e-009,0.3219
7.4064e-009,0.3215
7.4450e-009,0.3211
7.4835e-009,0.3220
7.5221e-009,0.3278
7.5607e-009,0.3460
7.5993e-009,0.3884
7.6379e-009,0.4635
7.6764e-009,0.5690
7.7150e-009,0.6858
7.7536e-009,0.7931
7.7922e-009,0.8818
7.8307e-009,0.9544
7.8693e-009,1.0114
7.9079e-009,1.0540
7.9464e-009,1.0855
7.9850e-009,1.1087
8.0236e-009,1.1269
8.0622e-009,1.1414
8.1008e-009,1.1526
8.1393e-009,1.1609
8.1779e-009,1.1663
8.2165e-009,1.1680
8.2550e-009,1.1675
8.2936e-009,1.1673
8.3322e-009,1.1683
8.3708e-009,1.1697
8.4093e-009,1.1723
8.4479e-009,1.1766
8.4865e-009,1.1795
8.5251e-009,1.1711
8.5637e-009,1.1361
8.6022e-009,1.0632
8.6408e-009,0.9603
8.6794e-009,0.8449
8.7179e-009,0.7292
8.7565e-009,0.6215
8.7951e-009,0.5317
8.8337e-009,0.4635
8.8722e-009,0.4159
8.9108e-009,0.3843
8.9494e-009,0.3624
8.9880e-009,0.3471
9.0266e-009,0.3360
9.0651e-009,0.3267
9.1037e-009,0.3197
9.1423e-009,0.3167
9.1808e-009,0.3173
9.2194e-009,0.3194
9.2580e-009,0.3217
9.2966e-009,0.3238
9.3352e-009,0.3254
9.3737e-009,0.3259
9.4123e-009,0.3254
9.4509e-009,0.3243
9.4895e-009,0.3234
9.5280e-009,0.3228
9.5666e-009,0.3224
9.6052e-009,0.3223
9.6437e-009,0.3224
9.6823e-009,0.3222
9.7209e-009,0.3218
9.7595e-009,0.3214
9.7981e-009,0.3212
9.8366e-009,0.3228
9.8752e-009,0.3303
9.9138e-009,0.3524
9.9524e-009,0.4012
9.9909e-009,0.4834
1.00295e-008,0.5933
1.00681e-008,0.7096
1.01066e-008,0.8132
1.01452e-008,0.8984
1.01838e-008,0.9676
1.02224e-008,1.0215
1.02610e-008,1.0626
1.02995e-008,1.1045
1.03381e-008,1.1406
1.03767e-008,1.1611
1.04152e-008,1.1583
1.04538e-008,1.1167
1.04924e-008,1.0298
1.05310e-008,0.9133
1.05695e-008,0.7904
1.06081e-008,0.6719
1.06467e-008,0.5709
1.06853e-008,0.4923
1.07239e-008,0.4351
1.07624e-008,0.3972
1.08010e-008,0.3729
1.08396e-008,0.3545
1.08781e-008,0.3405
1.09167e-008,0.3304
1.09553e-008,0.3217
1.09939e-008,0.3161
1.10324e-008,0.3153
1.10710e-008,0.3174
1.11096e-008,0.3205
1.11482e-008,0.3235
1.11868e-008,0.3254
1.12253e-008,0.3260
1.12639e-008,0.3260
1.13025e-008,0.3250
1.13410e-008,0.3236
1.13796e-008,0.3229
1.14182e-008,0.3226
1.14568e-008,0.3224
1.14953e-008,0.3225
1.15339e-008,0.3225
1.15725e-008,0.3221
1.16111e-008,0.3217
1.16497e-008,0.3212
1.16882e-008,0.3213
1.17268e-008,0.3244
1.17654e-008,0.3361
1.18039e-008,0.3667
1.18425e-008,0.4275
1.18811e-008,0.5215
1.19197e-008,0.6366
1.19583e-008,0.7498
1.19968e-008,0.8463
1.20354e-008,0.9257
1.20740e-008,0.9891
1.21126e-008,1.0377
1.21511e-008,1.0771
1.21897e-008,1.1173
1.22283e-008,1.1505
1.22668e-008,1.1626
1.23054e-008,1.1483
1.23440e-008,1.0894
1.23826e-008,0.9890
1.24212e-008,0.8681
1.24597e-008,0.7457
1.24983e-008,0.6322
1.25369e-008,0.5393
1.25755e-008,0.4689
1.26140e-008,0.4190
1.26526e-008,0.3872
1.26912e-008,0.3656
1.27297e-008,0.3490
1.27683e-008,0.3366
1.28069e-008,0.3270
1.28455e-008,0.3191
1.28841e-008,0.3152
1.29226e-008,0.3159
1.29612e-008,0.3185
1.29998e-008,0.3216
1.30383e-008,0.3243
1.30769e-008,0.3257
1.31155e-008,0.3261
1.31541e-008,0.3257
1.31926e-008,0.3244
1.32312e-008,0.3232
1.32698e-008,0.3228
1.33084e-008,0.3225
1.33470e-008,0.3224
1.33855e-008,0.3225
1.34241e-008,0.3224
1.34627e-008,0.3219
1.35012e-008,0.3215
1.35398e-008,0.3211
1.35784e-008,0.3219
1.36170e-008,0.3272
1.36555e-008,0.3444
1.36941e-008,0.3852
1.37327e-008,0.4584
1.37713e-008,0.5625
1.38099e-008,0.6794
1.38484e-008,0.7877
1.38870e-008,0.8773
1.39256e-008,0.9508
1.39641e-008,1.0087
1.40027e-008,1.0523
1.40413e-008,1.0932
1.40799e-008,1.1309
1.41185e-008,1.1580
1.41570e-008,1.1616
1.41956e-008,1.1324
1.42342e-008,1.0567
1.42728e-008,0.9455
1.43113e-008,0.8229
1.43499e-008,0.7021
1.43885e-008,0.5955
1.44270e-008,0.5109
1.44656e-008,0.4483
1.45042e-008,0.4030
1.45428e-008,0.3730
1.45814e-008,0.3593
1.46199e-008,0.3730
1.46585e-008,0.4220
1.46971e-008,0.5121
1.47357e-008,0.6316
1.47742e-008,0.7541
1.48128e-008,0.8597
1.48514e-008,0.9440
1.48899e-008,1.0080
1.49285e-008,1.0543
1.49671e-008,1.0913
1.50057e-008,1.1269
1.50443e-008,1.1559
1.50828e-008,1.1654
1.51214e-008,1.1494
1.51600e-008,1.0887
1.51985e-008,0.9865
1.52371e-008,0.8642
1.52757e-008,0.7403
1.53143e-008,0.6263
1.53528e-008,0.5336
1.53914e-008,0.4641
1.54300e-008,0.4155
1.54686e-008,0.3850
1.55071e-008,0.3643
1.55457e-008,0.3482
1.55843e-008,0.3363
1.56229e-008,0.3268
1.56615e-008,0.3189
1.57000e-008,0.3151
1.57386e-008,0.3157
1.57772e-008,0.3184
1.58158e-008,0.3218
1.58543e-008,0.3245
1.58929e-008,0.3259
1.59315e-008,0.3263
1.59701e-008,0.3257
1.60086e-008,0.3244
1.60472e-008,0.3232
1.60858e-008,0.3227
1.61243e-008,0.3224
1.61629e-008,0.3223
1.62015e-008,0.3225
1.62401e-008,0.3224
1.62786e-008,0.3219
1.63172e-008,0.3215
1.63558e-008,0.3210
1.63944e-008,0.3207
1.64329e-008,0.3206
1.64715e-008,0.3206
1.65101e-008,0.3207
1.65487e-008,0.3208
1.65873e-008,0.3209
1.66258e-008,0.3209
1.66644e-008,0.3209
1.67030e-008,0.3209
1.67416e-008,0.3208
1.67801e-008,0.3208
1.68187e-008,0.3208
1.68573e-008,0.3208
1.68959e-008,0.3209
1.69344e-008,0.3209
1.69730e-008,0.3209
1.70116e-008,0.3209
1.70501e-008,0.3209
1.70887e-008,0.3209
1.71273e-008,0.3208
1.71659e-008,0.3209
1.72044e-008,0.3209
1.72430e-008,0.3209
1.72816e-008,0.3209
1.73202e-008,0.3215
1.73588e-008,0.3252
1.73973e-008,0.3383
1.74359e-008,0.3715
1.74745e-008,0.4356
1.75131e-008,0.5324
1.75516e-008,0.6485
1.75902e-008,0.7606
1.76288e-008,0.8552
1.76674e-008,0.9329
1.77059e-008,0.9949
1.77445e-008,1.0419
1.77831e-008,1.0765
1.78216e-008,1.1019
1.78602e-008,1.1214
1.78988e-008,1.1371
1.79374e-008,1.1493
1.79759e-008,1.1585
1.80145e-008,1.1650
1.80531e-008,1.1679
1.80917e-008,1.1677
1.81302e-008,1.1672
1.81688e-008,1.1678
1.82074e-008,1.1692
1.82460e-008,1.1706
1.82846e-008,1.1718
1.83231e-008,1.1729
1.83617e-008,1.1739
1.84003e-008,1.1747
1.84389e-008,1.1751
