.HEADER
..NAMES
Time,V U3.H7
.DATA
0.0e+000,1.1775
3.86e-011,1.1775
7.72e-011,1.1775
1.157e-010,1.1775
1.543e-010,1.1775
1.929e-010,1.1775
2.314e-010,1.1775
2.700e-010,1.1775
3.086e-010,1.1775
3.472e-010,1.1775
3.857e-010,1.1775
4.243e-010,1.1779
4.629e-010,1.1801
5.015e-010,1.1821
5.401e-010,1.1759
5.786e-010,1.1468
6.172e-010,1.0806
6.558e-010,0.9814
6.944e-010,0.8672
7.329e-010,0.7516
7.715e-010,0.6426
8.101e-010,0.5491
8.486e-010,0.4761
8.872e-010,0.4233
9.258e-010,0.3847
9.644e-010,0.3631
1.0029e-009,0.3685
1.0415e-009,0.4076
1.0801e-009,0.4873
1.1187e-009,0.6019
1.1572e-009,0.7251
1.1958e-009,0.8338
1.2344e-009,0.9214
1.2730e-009,0.9891
1.3115e-009,1.0403
1.3501e-009,1.0798
1.3887e-009,1.1180
1.4273e-009,1.1500
1.4658e-009,1.1663
1.5044e-009,1.1594
1.5430e-009,1.1104
1.5816e-009,1.0153
1.6202e-009,0.8951
1.6587e-009,0.7710
1.6973e-009,0.6556
1.7359e-009,0.5591
1.7745e-009,0.4838
1.8130e-009,0.4290
1.8516e-009,0.3897
1.8902e-009,0.3648
1.9288e-009,0.3601
1.9673e-009,0.3867
2.0059e-009,0.4530
2.0445e-009,0.5594
2.0830e-009,0.6856
2.1216e-009,0.8024
2.1602e-009,0.8977
2.1988e-009,0.9721
2.2374e-009,1.0277
2.2759e-009,1.0686
2.3145e-009,1.1056
2.3531e-009,1.1390
2.3916e-009,1.1626
2.4302e-009,1.1645
2.4688e-009,1.1308
2.5074e-009,1.0498
2.5459e-009,0.9343
2.5845e-009,0.8096
2.6231e-009,0.6900
2.6617e-009,0.5866
2.7003e-009,0.5049
2.7388e-009,0.4439
2.7774e-009,0.4003
2.8160e-009,0.3711
2.8545e-009,0.3585
2.8931e-009,0.3745
2.9317e-009,0.4273
2.9703e-009,0.5218
3.0089e-009,0.6454
3.0474e-009,0.7675
3.0860e-009,0.8698
3.1246e-009,0.9508
3.1631e-009,1.0119
3.2017e-009,1.0570
3.2403e-009,1.0939
3.2789e-009,1.1292
3.3175e-009,1.1576
3.3560e-009,1.1665
3.3946e-009,1.1466
3.4332e-009,1.0804
3.4717e-009,0.9728
3.5103e-009,0.8492
3.5489e-009,0.7266
3.5875e-009,0.6170
3.6260e-009,0.5285
3.6646e-009,0.4609
3.7032e-009,0.4142
3.7418e-009,0.3846
3.7803e-009,0.3628
3.8189e-009,0.3460
3.8575e-009,0.3337
3.8961e-009,0.3235
3.9346e-009,0.3165
3.9732e-009,0.3147
4.0118e-009,0.3164
4.0504e-009,0.3198
4.0890e-009,0.3232
4.1275e-009,0.3249
4.1661e-009,0.3259
4.2047e-009,0.3276
4.2433e-009,0.3343
4.2818e-009,0.3563
4.3204e-009,0.4064
4.3590e-009,0.4904
4.3975e-009,0.6016
4.4361e-009,0.7172
4.4747e-009,0.8180
4.5133e-009,0.9004
4.5519e-009,0.9678
4.5904e-009,1.0212
4.6290e-009,1.0626
4.6676e-009,1.1038
4.7062e-009,1.1402
4.7447e-009,1.1616
4.7833e-009,1.1584
4.8219e-009,1.1143
4.8604e-009,1.0237
4.8990e-009,0.9060
4.9376e-009,0.7834
4.9762e-009,0.6679
5.0147e-009,0.5700
5.0533e-009,0.4928
5.0919e-009,0.4356
5.1305e-009,0.3981
5.1691e-009,0.3731
5.2076e-009,0.3533
5.2462e-009,0.3389
5.2848e-009,0.3278
5.3234e-009,0.3190
5.3619e-009,0.3152
5.4005e-009,0.3156
5.4391e-009,0.3182
5.4776e-009,0.3217
5.5162e-009,0.3241
5.5548e-009,0.3252
5.5934e-009,0.3259
5.6320e-009,0.3255
5.6705e-009,0.3243
5.7091e-009,0.3233
5.7477e-009,0.3227
5.7863e-009,0.3225
5.8248e-009,0.3226
5.8634e-009,0.3227
5.9020e-009,0.3224
5.9405e-009,0.3219
5.9791e-009,0.3213
6.0177e-009,0.3208
6.0563e-009,0.3211
6.0948e-009,0.3244
6.1334e-009,0.3364
6.1720e-009,0.3680
6.2106e-009,0.4300
6.2492e-009,0.5250
6.2877e-009,0.6405
6.3263e-009,0.7527
6.3649e-009,0.8472
6.4035e-009,0.9252
6.4420e-009,0.9885
6.4806e-009,1.0377
6.5192e-009,1.0742
6.5577e-009,1.1005
6.5963e-009,1.1207
6.6349e-009,1.1372
6.6735e-009,1.1500
6.7121e-009,1.1592
6.7506e-009,1.1651
6.7892e-009,1.1672
6.8278e-009,1.1669
6.8664e-009,1.1668
6.9049e-009,1.1678
6.9435e-009,1.1694
6.9821e-009,1.1714
7.0206e-009,1.1751
7.0592e-009,1.1793
7.0978e-009,1.1768
7.1364e-009,1.1543
7.1749e-009,1.0960
7.2135e-009,1.0021
7.2521e-009,0.8901
7.2907e-009,0.7746
7.3293e-009,0.6640
7.3678e-009,0.5673
7.4064e-009,0.4900
7.4450e-009,0.4341
7.4835e-009,0.3966
7.5221e-009,0.3708
7.5607e-009,0.3520
7.5993e-009,0.3387
7.6379e-009,0.3282
7.6764e-009,0.3204
7.7150e-009,0.3168
7.7536e-009,0.3170
7.7922e-009,0.3190
7.8307e-009,0.3214
7.8693e-009,0.3233
7.9079e-009,0.3249
7.9464e-009,0.3258
7.9850e-009,0.3254
8.0236e-009,0.3243
8.0622e-009,0.3234
8.1008e-009,0.3228
8.1393e-009,0.3225
8.1779e-009,0.3225
8.2165e-009,0.3225
8.2550e-009,0.3222
8.2936e-009,0.3217
8.3322e-009,0.3212
8.3708e-009,0.3208
8.4093e-009,0.3215
8.4479e-009,0.3259
8.4865e-009,0.3410
8.5251e-009,0.3782
8.5637e-009,0.4473
8.6022e-009,0.5484
8.6408e-009,0.6650
8.6794e-009,0.7742
8.7179e-009,0.8649
8.7565e-009,0.9397
8.7951e-009,1.0000
8.8337e-009,1.0463
8.8722e-009,1.0805
8.9108e-009,1.1051
8.9494e-009,1.1244
8.9880e-009,1.1402
9.0266e-009,1.1522
9.0651e-009,1.1607
9.1037e-009,1.1658
9.1423e-009,1.1672
9.1808e-009,1.1668
9.2194e-009,1.1669
9.2580e-009,1.1681
9.2966e-009,1.1698
9.3352e-009,1.1720
9.3737e-009,1.1760
9.4123e-009,1.1797
9.4509e-009,1.1744
9.4895e-009,1.1453
9.5280e-009,1.0789
9.5666e-009,0.9796
9.6052e-009,0.8658
9.6437e-009,0.7508
9.6823e-009,0.6424
9.7209e-009,0.5495
9.7595e-009,0.4765
9.7981e-009,0.4237
9.8366e-009,0.3849
9.8752e-009,0.3631
9.9138e-009,0.3682
9.9524e-009,0.4072
9.9909e-009,0.4870
1.00295e-008,0.6017
1.00681e-008,0.7250
1.01066e-008,0.8337
1.01452e-008,0.9213
1.01838e-008,0.9889
1.02224e-008,1.0401
1.02610e-008,1.0796
1.02995e-008,1.1178
1.03381e-008,1.1498
1.03767e-008,1.1662
1.04152e-008,1.1595
1.04538e-008,1.1107
1.04924e-008,1.0159
1.05310e-008,0.8958
1.05695e-008,0.7716
1.06081e-008,0.6561
1.06467e-008,0.5595
1.06853e-008,0.4841
1.07239e-008,0.4296
1.07624e-008,0.3944
1.08010e-008,0.3703
1.08396e-008,0.3515
1.08781e-008,0.3378
1.09167e-008,0.3270
1.09553e-008,0.3185
1.09939e-008,0.3149
1.10324e-008,0.3155
1.10710e-008,0.3185
1.11096e-008,0.3221
1.11482e-008,0.3244
1.11868e-008,0.3255
1.12253e-008,0.3260
1.12639e-008,0.3255
1.13025e-008,0.3242
1.13410e-008,0.3232
1.13796e-008,0.3227
1.14182e-008,0.3225
1.14568e-008,0.3226
1.14953e-008,0.3226
1.15339e-008,0.3223
1.15725e-008,0.3218
1.16111e-008,0.3212
1.16497e-008,0.3207
1.16882e-008,0.3212
1.17268e-008,0.3250
1.17654e-008,0.3386
1.18039e-008,0.3728
1.18425e-008,0.4383
1.18811e-008,0.5364
1.19197e-008,0.6526
1.19583e-008,0.7633
1.19968e-008,0.8560
1.20354e-008,0.9324
1.20740e-008,0.9942
1.21126e-008,1.0420
1.21511e-008,1.0773
1.21897e-008,1.1028
1.22283e-008,1.1225
1.22668e-008,1.1387
1.23054e-008,1.1511
1.23440e-008,1.1599
1.23826e-008,1.1655
1.24212e-008,1.1672
1.24597e-008,1.1668
1.24983e-008,1.1668
1.25369e-008,1.1679
1.25755e-008,1.1696
1.26140e-008,1.1710
1.26526e-008,1.1721
1.26912e-008,1.1731
1.27297e-008,1.1742
1.27683e-008,1.1748
1.28069e-008,1.1752
1.28455e-008,1.1754
1.28841e-008,1.1756
1.29226e-008,1.1760
1.29612e-008,1.1765
1.29998e-008,1.1770
1.30383e-008,1.1774
1.30769e-008,1.1775
1.31155e-008,1.1774
1.31541e-008,1.1773
1.31926e-008,1.1773
1.32312e-008,1.1773
1.32698e-008,1.1773
1.33084e-008,1.1773
1.33470e-008,1.1773
1.33855e-008,1.1774
1.34241e-008,1.1774
1.34627e-008,1.1774
1.35012e-008,1.1774
1.35398e-008,1.1774
1.35784e-008,1.1788
1.36170e-008,1.1814
1.36555e-008,1.1802
1.36941e-008,1.1631
1.37327e-008,1.1137
1.37713e-008,1.0267
1.38099e-008,0.9170
1.38484e-008,0.8009
1.38870e-008,0.6879
1.39256e-008,0.5869
1.39641e-008,0.5047
1.40027e-008,0.4442
1.40413e-008,0.4033
1.40799e-008,0.3756
1.41185e-008,0.3557
1.41570e-008,0.3414
1.41956e-008,0.3305
1.42342e-008,0.3219
1.42728e-008,0.3172
1.43113e-008,0.3166
1.43499e-008,0.3184
1.43885e-008,0.3209
1.44270e-008,0.3230
1.44656e-008,0.3246
1.45042e-008,0.3262
1.45428e-008,0.3300
1.45814e-008,0.3433
1.46199e-008,0.3785
1.46585e-008,0.4460
1.46971e-008,0.5460
1.47357e-008,0.6626
1.47742e-008,0.7721
1.48128e-008,0.8629
1.48514e-008,0.9375
1.48899e-008,0.9976
1.49285e-008,1.0441
1.49671e-008,1.0851
1.50057e-008,1.1248
1.50443e-008,1.1553
1.50828e-008,1.1639
1.51214e-008,1.1417
1.51600e-008,1.0726
1.51985e-008,0.9641
1.52371e-008,0.8421
1.52757e-008,0.7217
1.53143e-008,0.6143
1.53528e-008,0.5275
1.53914e-008,0.4603
1.54300e-008,0.4139
1.54686e-008,0.3842
1.55071e-008,0.3620
1.55457e-008,0.3451
1.55843e-008,0.3329
1.56229e-008,0.3228
1.56615e-008,0.3164
1.57000e-008,0.3150
1.57386e-008,0.3167
1.57772e-008,0.3201
1.58158e-008,0.3232
1.58543e-008,0.3247
1.58929e-008,0.3256
1.59315e-008,0.3258
1.59701e-008,0.3249
1.60086e-008,0.3237
1.60472e-008,0.3230
1.60858e-008,0.3226
1.61243e-008,0.3225
1.61629e-008,0.3227
1.62015e-008,0.3225
1.62401e-008,0.3221
1.62786e-008,0.3215
1.63172e-008,0.3210
1.63558e-008,0.3207
1.63944e-008,0.3222
1.64329e-008,0.3290
1.64715e-008,0.3496
1.65101e-008,0.3961
1.65487e-008,0.4758
1.65873e-008,0.5842
1.66258e-008,0.7007
1.66644e-008,0.8044
1.67030e-008,0.8898
1.67416e-008,0.9600
1.67801e-008,1.0159
1.68187e-008,1.0581
1.68573e-008,1.0890
1.68959e-008,1.1116
1.69344e-008,1.1297
1.69730e-008,1.1444
1.70116e-008,1.1552
1.70501e-008,1.1627
1.70887e-008,1.1666
1.71273e-008,1.1671
1.71659e-008,1.1667
1.72044e-008,1.1672
1.72430e-008,1.1686
1.72816e-008,1.1703
1.73202e-008,1.1731
1.73588e-008,1.1774
1.73973e-008,1.1796
1.74359e-008,1.1687
1.74745e-008,1.1289
1.75131e-008,1.0506
1.75516e-008,0.9449
1.75902e-008,0.8297
1.76288e-008,0.7159
1.76674e-008,0.6115
1.77059e-008,0.5245
1.77445e-008,0.4582
1.77831e-008,0.4126
1.78216e-008,0.3821
1.78602e-008,0.3602
1.78988e-008,0.3446
1.79374e-008,0.3330
1.79759e-008,0.3236
1.80145e-008,0.3180
1.80531e-008,0.3165
1.80917e-008,0.3178
1.81302e-008,0.3203
1.81688e-008,0.3225
1.82074e-008,0.3242
1.82460e-008,0.3255
1.82846e-008,0.3257
1.83231e-008,0.3249
1.83617e-008,0.3238
1.84003e-008,0.3230
1.84389e-008,0.3226
1.84774e-008,0.3224
1.85160e-008,0.3225
1.85546e-008,0.3223
1.85932e-008,0.3219
1.86317e-008,0.3214
1.86703e-008,0.3210
1.87089e-008,0.3207
1.87474e-008,0.3206
1.87860e-008,0.3205
1.88246e-008,0.3204
1.88632e-008,0.3205
1.89017e-008,0.3206
1.89403e-008,0.3207
1.89789e-008,0.3207
1.90175e-008,0.3206
1.90560e-008,0.3206
1.90946e-008,0.3205
1.91332e-008,0.3206
1.91718e-008,0.3207
1.92104e-008,0.3224
