.HEADER
..NAMES
Time,V U3.C8
.DATA
0.0e+000,0.3204
3.86e-011,0.3204
7.72e-011,0.3204
1.157e-010,0.3204
1.543e-010,0.3204
1.929e-010,0.3204
2.314e-010,0.3204
2.700e-010,0.3204
3.086e-010,0.3204
3.472e-010,0.3204
3.857e-010,0.3204
4.243e-010,0.3204
4.629e-010,0.3227
5.015e-010,0.3331
5.401e-010,0.3632
5.786e-010,0.4291
6.172e-010,0.5332
6.558e-010,0.6596
6.944e-010,0.7751
7.329e-010,0.8563
7.715e-010,0.9236
8.101e-010,0.9829
8.486e-010,1.0318
8.872e-010,1.0680
9.258e-010,1.0944
9.644e-010,1.1128
1.0029e-009,1.1250
1.0415e-009,1.1362
1.0801e-009,1.1490
1.1187e-009,1.1621
1.1572e-009,1.1709
1.1958e-009,1.1707
1.2344e-009,1.1680
1.2730e-009,1.1685
1.3115e-009,1.1706
1.3501e-009,1.1722
1.3887e-009,1.1733
1.4273e-009,1.1743
1.4658e-009,1.1743
1.5044e-009,1.1742
1.5430e-009,1.1752
1.5816e-009,1.1769
1.6202e-009,1.1781
1.6587e-009,1.1777
1.6973e-009,1.1766
1.7359e-009,1.1765
1.7745e-009,1.1773
1.8130e-009,1.1778
1.8516e-009,1.1788
1.8902e-009,1.1833
1.9288e-009,1.1849
1.9673e-009,1.1690
2.0059e-009,1.1155
2.0445e-009,1.0128
2.0830e-009,0.8903
2.1216e-009,0.7775
2.1602e-009,0.6704
2.1988e-009,0.5759
2.2374e-009,0.5019
2.2759e-009,0.4499
2.3145e-009,0.4131
2.3531e-009,0.3863
2.3916e-009,0.3684
2.4302e-009,0.3568
2.4688e-009,0.3473
2.5074e-009,0.3348
2.5459e-009,0.3231
2.5845e-009,0.3192
2.6231e-009,0.3193
2.6617e-009,0.3192
2.7003e-009,0.3200
2.7388e-009,0.3222
2.7774e-009,0.3240
2.8160e-009,0.3267
2.8545e-009,0.3399
2.8931e-009,0.3772
2.9317e-009,0.4517
2.9703e-009,0.5606
3.0089e-009,0.6866
3.0474e-009,0.7955
3.0860e-009,0.8734
3.1246e-009,0.9390
3.1631e-009,0.9957
3.2017e-009,1.0418
3.2403e-009,1.0755
3.2789e-009,1.0995
3.3175e-009,1.1159
3.3560e-009,1.1278
3.3946e-009,1.1395
3.4332e-009,1.1523
3.4717e-009,1.1646
3.5103e-009,1.1717
3.5489e-009,1.1706
3.5875e-009,1.1685
3.6260e-009,1.1693
3.6646e-009,1.1714
3.7032e-009,1.1729
3.7418e-009,1.1739
3.7803e-009,1.1746
3.8189e-009,1.1745
3.8575e-009,1.1748
3.8961e-009,1.1759
3.9346e-009,1.1775
3.9732e-009,1.1784
4.0118e-009,1.1778
4.0504e-009,1.1769
4.0890e-009,1.1769
4.1275e-009,1.1776
4.1661e-009,1.1781
4.2047e-009,1.1783
4.2433e-009,1.1783
4.2818e-009,1.1782
4.3204e-009,1.1780
4.3590e-009,1.1780
4.3975e-009,1.1783
4.4361e-009,1.1785
4.4747e-009,1.1784
4.5133e-009,1.1780
4.5519e-009,1.1780
4.5904e-009,1.1782
4.6290e-009,1.1784
4.6676e-009,1.1783
4.7062e-009,1.1783
4.7447e-009,1.1783
4.7833e-009,1.1782
4.8219e-009,1.1782
4.8604e-009,1.1783
4.8990e-009,1.1784
4.9376e-009,1.1784
4.9762e-009,1.1783
5.0147e-009,1.1783
5.0533e-009,1.1783
5.0919e-009,1.1784
5.1305e-009,1.1784
5.1691e-009,1.1784
5.2076e-009,1.1784
5.2462e-009,1.1784
5.2848e-009,1.1784
5.3234e-009,1.1784
5.3619e-009,1.1785
5.4005e-009,1.1785
5.4391e-009,1.1784
5.4776e-009,1.1784
5.5162e-009,1.1785
5.5548e-009,1.1785
5.5934e-009,1.1785
5.6320e-009,1.1785
5.6705e-009,1.1785
5.7091e-009,1.1785
5.7477e-009,1.1785
5.7863e-009,1.1785
5.8248e-009,1.1785
5.8634e-009,1.1785
5.9020e-009,1.1785
5.9405e-009,1.1785
5.9791e-009,1.1785
6.0177e-009,1.1785
6.0563e-009,1.1787
6.0948e-009,1.1816
6.1334e-009,1.1858
6.1720e-009,1.1796
6.2106e-009,1.1450
6.2492e-009,1.0618
6.2877e-009,0.9416
6.3263e-009,0.8241
6.3649e-009,0.7153
6.4035e-009,0.6143
6.4420e-009,0.5309
6.4806e-009,0.4699
6.5192e-009,0.4272
6.5577e-009,0.3888
6.5963e-009,0.3666
6.6349e-009,0.3830
6.6735e-009,0.4291
6.7121e-009,0.5091
6.7506e-009,0.6192
6.7892e-009,0.7396
6.8278e-009,0.8350
6.8664e-009,0.9108
6.9049e-009,0.9749
6.9435e-009,1.0278
6.9821e-009,1.0679
7.0206e-009,1.0949
7.0592e-009,1.1122
7.0978e-009,1.1271
7.1364e-009,1.1396
7.1749e-009,1.1496
7.2135e-009,1.1598
7.2521e-009,1.1700
7.2907e-009,1.1734
7.3293e-009,1.1714
7.3678e-009,1.1707
7.4064e-009,1.1719
7.4450e-009,1.1733
7.4835e-009,1.1758
7.5221e-009,1.1824
7.5607e-009,1.1829
7.5993e-009,1.1647
7.6379e-009,1.1062
7.6764e-009,0.9994
7.7150e-009,0.8779
7.7536e-009,0.7662
7.7922e-009,0.6590
7.8307e-009,0.5660
7.8693e-009,0.4949
7.9079e-009,0.4453
7.9464e-009,0.4099
7.9850e-009,0.3844
8.0236e-009,0.3673
8.0622e-009,0.3560
8.1008e-009,0.3463
8.1393e-009,0.3335
8.1779e-009,0.3225
8.2165e-009,0.3194
8.2550e-009,0.3194
8.2936e-009,0.3192
8.3322e-009,0.3202
8.3708e-009,0.3227
8.4093e-009,0.3242
8.4479e-009,0.3242
8.4865e-009,0.3239
8.5251e-009,0.3240
8.5637e-009,0.3239
8.6022e-009,0.3226
8.6408e-009,0.3210
8.6794e-009,0.3212
8.7179e-009,0.3220
8.7565e-009,0.3217
8.7951e-009,0.3215
8.8337e-009,0.3216
8.8722e-009,0.3216
8.9108e-009,0.3211
8.9494e-009,0.3208
8.9880e-009,0.3208
9.0266e-009,0.3210
9.0651e-009,0.3209
9.1037e-009,0.3206
9.1423e-009,0.3206
9.1808e-009,0.3210
9.2194e-009,0.3210
9.2580e-009,0.3208
9.2966e-009,0.3208
9.3352e-009,0.3209
9.3737e-009,0.3230
9.4123e-009,0.3333
9.4509e-009,0.3633
9.4895e-009,0.4290
9.5280e-009,0.5327
9.5666e-009,0.6589
9.6052e-009,0.7746
9.6437e-009,0.8561
