.HEADER
..NAMES
Time,V U2.F8
.DATA
0.0e+000,0.3208
3.86e-011,0.3208
7.72e-011,0.3208
1.157e-010,0.3208
1.543e-010,0.3208
1.929e-010,0.3208
2.314e-010,0.3208
2.700e-010,0.3208
3.086e-010,0.3208
3.472e-010,0.3208
3.857e-010,0.3208
4.243e-010,0.3208
4.629e-010,0.3212
5.015e-010,0.3255
5.401e-010,0.3406
5.786e-010,0.3801
6.172e-010,0.4564
6.558e-010,0.5649
6.944e-010,0.6876
7.329e-010,0.7896
7.715e-010,0.8696
8.101e-010,0.9403
8.486e-010,0.9994
8.872e-010,1.0439
9.258e-010,1.0757
9.644e-010,1.0988
1.0029e-009,1.1156
1.0415e-009,1.1277
1.0801e-009,1.1372
1.1187e-009,1.1477
1.1572e-009,1.1592
1.1958e-009,1.1692
1.2344e-009,1.1735
1.2730e-009,1.1718
1.3115e-009,1.1707
1.3501e-009,1.1719
1.3887e-009,1.1732
1.4273e-009,1.1776
1.4658e-009,1.1825
1.5044e-009,1.1770
1.5430e-009,1.1464
1.5816e-009,1.0709
1.6202e-009,0.9603
1.6587e-009,0.8486
1.6973e-009,0.7394
1.7359e-009,0.6337
1.7745e-009,0.5437
1.8130e-009,0.4767
1.8516e-009,0.4313
1.8902e-009,0.3921
1.9288e-009,0.3680
1.9673e-009,0.3802
2.0059e-009,0.4211
2.0445e-009,0.4969
2.0830e-009,0.6016
2.1216e-009,0.7113
2.1602e-009,0.8036
2.1988e-009,0.8885
2.2374e-009,0.9598
2.2759e-009,1.0157
2.3145e-009,1.0574
2.3531e-009,1.0890
2.3916e-009,1.1105
2.4302e-009,1.1231
2.4688e-009,1.1344
2.5074e-009,1.1452
2.5459e-009,1.1546
2.5845e-009,1.1640
2.6231e-009,1.1716
2.6617e-009,1.1734
2.7003e-009,1.1730
2.7388e-009,1.1736
2.7774e-009,1.1740
2.8160e-009,1.1739
2.8545e-009,1.1741
2.8931e-009,1.1747
2.9317e-009,1.1747
2.9703e-009,1.1748
3.0089e-009,1.1757
3.0474e-009,1.1765
3.0860e-009,1.1773
3.1246e-009,1.1782
3.1631e-009,1.1781
3.2017e-009,1.1772
3.2403e-009,1.1772
3.2789e-009,1.1775
3.3175e-009,1.1777
3.3560e-009,1.1777
3.3946e-009,1.1779
3.4332e-009,1.1780
3.4717e-009,1.1779
3.5103e-009,1.1779
3.5489e-009,1.1780
3.5875e-009,1.1780
3.6260e-009,1.1781
3.6646e-009,1.1781
3.7032e-009,1.1779
3.7418e-009,1.1781
3.7803e-009,1.1816
3.8189e-009,1.1848
3.8575e-009,1.1757
3.8961e-009,1.1369
3.9346e-009,1.0517
3.9732e-009,0.9378
4.0118e-009,0.8264
4.0504e-009,0.7165
4.0890e-009,0.6138
4.1275e-009,0.5292
4.1661e-009,0.4676
4.2047e-009,0.4245
4.2433e-009,0.3851
4.2818e-009,0.3684
4.3204e-009,0.3862
4.3590e-009,0.4345
4.3975e-009,0.5172
4.4361e-009,0.6259
4.4747e-009,0.7321
4.5133e-009,0.8221
4.5519e-009,0.9047
4.5904e-009,0.9729
4.6290e-009,1.0259
4.6676e-009,1.0652
4.7062e-009,1.0947
4.7447e-009,1.1138
4.7833e-009,1.1256
4.8219e-009,1.1370
4.8604e-009,1.1475
4.8990e-009,1.1569
4.9376e-009,1.1662
4.9762e-009,1.1728
5.0147e-009,1.1735
5.0533e-009,1.1733
5.0919e-009,1.1740
5.1305e-009,1.1743
5.1691e-009,1.1770
5.2076e-009,1.1831
5.2462e-009,1.1809
5.2848e-009,1.1582
5.3234e-009,1.0956
5.3619e-009,0.9914
5.4005e-009,0.8777
5.4391e-009,0.7682
5.4776e-009,0.6606
5.5162e-009,0.5660
5.5548e-009,0.4927
5.5934e-009,0.4423
5.6320e-009,0.4034
5.6705e-009,0.3711
5.7091e-009,0.3746
5.7477e-009,0.4072
5.7863e-009,0.4737
5.8248e-009,0.5718
5.8634e-009,0.6840
5.9020e-009,0.7803
5.9405e-009,0.8669
5.9791e-009,0.9424
6.0177e-009,1.0026
6.0563e-009,1.0477
6.0948e-009,1.0816
6.1334e-009,1.1060
6.1720e-009,1.1204
6.2106e-009,1.1315
6.2492e-009,1.1427
6.2877e-009,1.1524
6.3263e-009,1.1617
6.3649e-009,1.1703
6.4035e-009,1.1737
6.4420e-009,1.1732
6.4806e-009,1.1736
6.5192e-009,1.1741
6.5577e-009,1.1748
6.5963e-009,1.1802
6.6349e-009,1.1835
6.6735e-009,1.1727
6.7121e-009,1.1312
6.7506e-009,1.0442
6.7892e-009,0.9307
6.8278e-009,0.8202
6.8664e-009,0.7107
6.9049e-009,0.6085
6.9435e-009,0.5244
6.9821e-009,0.4637
7.0206e-009,0.4215
7.0592e-009,0.3820
7.0978e-009,0.3685
7.1364e-009,0.3878
7.1749e-009,0.4376
7.2135e-009,0.5216
7.2521e-009,0.6314
7.2907e-009,0.7368
7.3293e-009,0.8265
7.3678e-009,0.9085
7.4064e-009,0.9759
7.4450e-009,1.0281
7.4835e-009,1.0675
7.5221e-009,1.1157
7.5607e-009,1.1500
7.5993e-009,1.1515
7.6379e-009,1.1393
7.6764e-009,1.0866
7.7150e-009,0.9888
7.7536e-009,0.8781
7.7922e-009,0.7647
7.8307e-009,0.6508
7.8693e-009,0.5561
7.9079e-009,0.4857
7.9464e-009,0.4369
7.9850e-009,0.4014
8.0236e-009,0.3778
8.0622e-009,0.3649
8.1008e-009,0.3528
8.1393e-009,0.3441
8.1779e-009,0.3382
8.2165e-009,0.3289
8.2550e-009,0.3207
8.2936e-009,0.3182
8.3322e-009,0.3168
8.3708e-009,0.3165
8.4093e-009,0.3189
8.4479e-009,0.3228
8.4865e-009,0.3312
8.5251e-009,0.3535
8.5637e-009,0.4049
8.6022e-009,0.4920
8.6408e-009,0.6058
8.6794e-009,0.7252
8.7179e-009,0.8175
8.7565e-009,0.8933
8.7951e-009,0.9610
8.8337e-009,1.0163
8.8722e-009,1.0561
8.9108e-009,1.0923
8.9494e-009,1.1406
8.9880e-009,1.1534
9.0266e-009,1.1475
9.0651e-009,1.1139
9.1037e-009,1.0356
9.1423e-009,0.9277
9.1808e-009,0.8171
9.2194e-009,0.7003
9.2580e-009,0.5940
9.2966e-009,0.5124
9.3352e-009,0.4558
9.3737e-009,0.4159
9.4123e-009,0.3862
9.4509e-009,0.3698
9.4895e-009,0.3588
9.5280e-009,0.3477
9.5666e-009,0.3406
9.6052e-009,0.3331
9.6437e-009,0.3238
9.6823e-009,0.3190
9.7209e-009,0.3174
9.7595e-009,0.3159
9.7981e-009,0.3171
9.8366e-009,0.3207
9.8752e-009,0.3263
9.9138e-009,0.3402
9.9524e-009,0.3758
9.9909e-009,0.4465
1.00295e-008,0.5491
1.00681e-008,0.6701
1.01066e-008,0.7770
1.01452e-008,0.8583
1.01838e-008,0.9301
1.02224e-008,0.9919
1.02610e-008,1.0388
1.02995e-008,1.0737
1.03381e-008,1.1215
1.03767e-008,1.1519
1.04152e-008,1.1520
1.04538e-008,1.1351
1.04924e-008,1.0785
1.05310e-008,0.9801
1.05695e-008,0.8701
1.06081e-008,0.7559
1.06467e-008,0.6418
1.06853e-008,0.5479
1.07239e-008,0.4799
1.07624e-008,0.4333
1.08010e-008,0.3987
1.08396e-008,0.3764
1.08781e-008,0.3642
1.09167e-008,0.3522
1.09553e-008,0.3435
1.09939e-008,0.3371
1.10324e-008,0.3280
1.10710e-008,0.3205
1.11096e-008,0.3181
1.11482e-008,0.3164
1.11868e-008,0.3162
1.12253e-008,0.3188
1.12639e-008,0.3231
1.13025e-008,0.3319
1.13410e-008,0.3551
1.13796e-008,0.4083
1.14182e-008,0.4971
1.14568e-008,0.6117
1.14953e-008,0.7304
1.15339e-008,0.8214
1.15725e-008,0.8970
1.16111e-008,0.9641
1.16497e-008,1.0186
1.16882e-008,1.0576
1.17268e-008,1.0859
1.17654e-008,1.1067
1.18039e-008,1.1214
1.18425e-008,1.1317
1.18811e-008,1.1412
1.19197e-008,1.1522
1.19583e-008,1.1632
1.19968e-008,1.1717
1.20354e-008,1.1735
1.20740e-008,1.1713
1.21126e-008,1.1713
1.21511e-008,1.1728
1.21897e-008,1.1734
1.22283e-008,1.1735
1.22668e-008,1.1741
1.23054e-008,1.1747
1.23440e-008,1.1751
