.HEADER
..NAMES
Time,V U4.B8
.DATA
0.0e+000,1.1775
3.86e-011,1.1775
7.72e-011,1.1775
1.157e-010,1.1775
1.543e-010,1.1775
1.929e-010,1.1775
2.314e-010,1.1775
2.700e-010,1.1775
3.086e-010,1.1775
3.472e-010,1.1775
3.857e-010,1.1775
4.243e-010,1.1776
4.629e-010,1.1793
5.015e-010,1.1841
5.401e-010,1.1828
5.786e-010,1.1582
6.172e-010,1.0879
6.558e-010,0.9699
6.944e-010,0.8435
7.329e-010,0.7319
7.715e-010,0.6296
8.101e-010,0.5423
8.486e-010,0.4771
8.872e-010,0.4340
9.258e-010,0.4036
9.644e-010,0.3806
1.0029e-009,0.3660
1.0415e-009,0.3578
1.0801e-009,0.3513
1.1187e-009,0.3408
1.1572e-009,0.3273
1.1958e-009,0.3197
1.2344e-009,0.3188
1.2730e-009,0.3189
1.3115e-009,0.3188
1.3501e-009,0.3205
1.3887e-009,0.3235
1.4273e-009,0.3292
1.4658e-009,0.3482
1.5044e-009,0.3965
1.5430e-009,0.4855
1.5816e-009,0.6065
1.6202e-009,0.7339
1.6587e-009,0.8314
1.6973e-009,0.9005
1.7359e-009,0.9619
1.7745e-009,1.0145
1.8130e-009,1.0553
1.8516e-009,1.0886
1.8902e-009,1.1373
1.9288e-009,1.1603
1.9673e-009,1.1477
2.0059e-009,1.1163
2.0445e-009,1.0416
2.0830e-009,0.9295
2.1216e-009,0.8079
2.1602e-009,0.6896
2.1988e-009,0.5844
2.2374e-009,0.5051
2.2759e-009,0.4531
2.3145e-009,0.4170
2.3531e-009,0.3909
2.3916e-009,0.3757
2.4302e-009,0.3624
2.4688e-009,0.3504
2.5074e-009,0.3436
2.5459e-009,0.3356
2.5845e-009,0.3260
2.6231e-009,0.3194
2.6617e-009,0.3166
2.7003e-009,0.3158
2.7388e-009,0.3176
2.7774e-009,0.3215
2.8160e-009,0.3256
2.8545e-009,0.3369
2.8931e-009,0.3698
2.9317e-009,0.4379
2.9703e-009,0.5444
3.0089e-009,0.6743
3.0474e-009,0.7913
3.0860e-009,0.8702
3.1246e-009,0.9329
3.1631e-009,0.9897
3.2017e-009,1.0370
3.2403e-009,1.0719
3.2789e-009,1.1127
3.3175e-009,1.1548
3.3560e-009,1.1558
3.3946e-009,1.1354
3.4332e-009,1.0822
3.4717e-009,0.9847
3.5103e-009,0.8655
3.5489e-009,0.7455
3.5875e-009,0.6317
3.6260e-009,0.5386
3.6646e-009,0.4745
3.7032e-009,0.4329
3.7418e-009,0.4019
3.7803e-009,0.3817
3.8189e-009,0.3689
3.8575e-009,0.3555
3.8961e-009,0.3465
3.9346e-009,0.3396
3.9732e-009,0.3302
4.0118e-009,0.3220
4.0504e-009,0.3177
4.0890e-009,0.3159
4.1275e-009,0.3161
4.1661e-009,0.3195
4.2047e-009,0.3235
4.2433e-009,0.3297
4.2818e-009,0.3505
4.3204e-009,0.4006
4.3590e-009,0.4898
4.3975e-009,0.6115
4.4361e-009,0.7401
4.4747e-009,0.8368
4.5133e-009,0.9039
4.5519e-009,0.9637
4.5904e-009,1.0160
4.6290e-009,1.0566
4.6676e-009,1.0851
4.7062e-009,1.1054
4.7447e-009,1.1182
4.7833e-009,1.1268
4.8219e-009,1.1366
4.8604e-009,1.1491
4.8990e-009,1.1630
4.9376e-009,1.1727
4.9762e-009,1.1729
5.0147e-009,1.1692
5.0533e-009,1.1690
5.0919e-009,1.1712
5.1305e-009,1.1728
5.1691e-009,1.1734
5.2076e-009,1.1740
5.2462e-009,1.1739
5.2848e-009,1.1735
5.3234e-009,1.1741
5.3619e-009,1.1757
5.4005e-009,1.1777
5.4391e-009,1.1785
5.4776e-009,1.1772
5.5162e-009,1.1757
5.5548e-009,1.1759
5.5934e-009,1.1770
5.6320e-009,1.1800
5.6705e-009,1.1846
5.7091e-009,1.1792
5.7477e-009,1.1447
5.7863e-009,1.0601
5.8248e-009,0.9356
5.8634e-009,0.8133
5.9020e-009,0.7047
5.9405e-009,0.6051
5.9791e-009,0.5225
6.0177e-009,0.4633
6.0563e-009,0.4248
6.0948e-009,0.3968
6.1334e-009,0.3759
6.1720e-009,0.3632
6.2106e-009,0.3560
6.2492e-009,0.3489
6.2877e-009,0.3369
6.3263e-009,0.3242
6.3649e-009,0.3189
6.4035e-009,0.3188
6.4420e-009,0.3186
6.4806e-009,0.3187
6.5192e-009,0.3209
6.5577e-009,0.3244
6.5963e-009,0.3322
6.6349e-009,0.3572
6.6735e-009,0.4157
6.7121e-009,0.5148
6.7506e-009,0.6406
6.7892e-009,0.7632
6.8278e-009,0.8510
6.8664e-009,0.9171
6.9049e-009,0.9766
6.9435e-009,1.0263
6.9821e-009,1.0637
7.0206e-009,1.0899
7.0592e-009,1.1087
7.0978e-009,1.1201
7.1364e-009,1.1286
7.1749e-009,1.1392
7.2135e-009,1.1527
7.2521e-009,1.1661
7.2907e-009,1.1733
7.3293e-009,1.1718
7.3678e-009,1.1691
7.4064e-009,1.1698
7.4450e-009,1.1719
7.4835e-009,1.1741
7.5221e-009,1.1806
7.5607e-009,1.1840
7.5993e-009,1.1690
7.6379e-009,1.1176
7.6764e-009,1.0160
7.7150e-009,0.8897
7.7536e-009,0.7739
7.7922e-009,0.6671
7.8307e-009,0.5711
7.8693e-009,0.4964
7.9079e-009,0.4467
7.9464e-009,0.4135
7.9850e-009,0.3879
8.0236e-009,0.3706
8.0622e-009,0.3602
8.1008e-009,0.3532
8.1393e-009,0.3445
8.1779e-009,0.3317
8.2165e-009,0.3216
8.2550e-009,0.3189
8.2936e-009,0.3186
8.3322e-009,0.3180
8.3708e-009,0.3190
8.4093e-009,0.3220
8.4479e-009,0.3263
8.4865e-009,0.3385
8.5251e-009,0.3740
8.5637e-009,0.4476
8.6022e-009,0.5588
8.6408e-009,0.6880
8.6794e-009,0.7998
8.7179e-009,0.8764
8.7565e-009,0.9398
8.7951e-009,0.9959
8.8337e-009,1.0414
8.8722e-009,1.0742
8.9108e-009,1.0977
8.9494e-009,1.1136
8.9880e-009,1.1232
9.0266e-009,1.1321
9.0651e-009,1.1438
9.1037e-009,1.1578
9.1423e-009,1.1697
9.1808e-009,1.1735
9.2194e-009,1.1705
9.2580e-009,1.1689
9.2966e-009,1.1705
9.3352e-009,1.1724
9.3737e-009,1.1761
9.4123e-009,1.1830
9.4509e-009,1.1813
9.4895e-009,1.1556
9.5280e-009,1.0858
9.5666e-009,0.9700
9.6052e-009,0.8455
9.6437e-009,0.7340
9.6823e-009,0.6299
9.7209e-009,0.5408
9.7595e-009,0.4755
9.7981e-009,0.4332
9.8366e-009,0.4033
9.8752e-009,0.3805
9.9138e-009,0.3662
9.9524e-009,0.3575
9.9909e-009,0.3505
1.00295e-008,0.3401
1.00681e-008,0.3272
1.01066e-008,0.3199
1.01452e-008,0.3188
1.01838e-008,0.3184
1.02224e-008,0.3180
1.02610e-008,0.3199
1.02995e-008,0.3233
1.03381e-008,0.3290
1.03767e-008,0.3480
1.04152e-008,0.3961
1.04538e-008,0.4848
1.04924e-008,0.6056
1.05310e-008,0.7333
1.05695e-008,0.8312
1.06081e-008,0.9003
1.06467e-008,0.9616
1.06853e-008,1.0141
1.07239e-008,1.0549
1.07624e-008,1.0837
1.08010e-008,1.1044
1.08396e-008,1.1176
1.08781e-008,1.1263
1.09167e-008,1.1360
1.09553e-008,1.1488
1.09939e-008,1.1627
1.10324e-008,1.1723
1.10710e-008,1.1728
1.11096e-008,1.1694
1.11482e-008,1.1693
1.11868e-008,1.1713
1.12253e-008,1.1731
1.12639e-008,1.1785
1.13025e-008,1.1842
1.13410e-008,1.1755
1.13796e-008,1.1361
1.14182e-008,1.0472
1.14568e-008,0.9230
1.14953e-008,0.8033
1.15339e-008,0.6948
1.15725e-008,0.5948
1.16111e-008,0.5138
1.16497e-008,0.4578
1.16882e-008,0.4207
1.17268e-008,0.3847
1.17654e-008,0.3660
1.18039e-008,0.3871
1.18425e-008,0.4397
1.18811e-008,0.5263
1.19197e-008,0.6375
1.19583e-008,0.7517
1.19968e-008,0.8424
1.20354e-008,0.9157
1.20740e-008,0.9779
1.21126e-008,1.0285
1.21511e-008,1.0679
1.21897e-008,1.1107
1.22283e-008,1.1512
1.22668e-008,1.1544
1.23054e-008,1.1386
1.23440e-008,1.0865
1.23826e-008,0.9863
1.24212e-008,0.8650
1.24597e-008,0.7474
1.24983e-008,0.6366
1.25369e-008,0.5431
1.25755e-008,0.4769
1.26140e-008,0.4340
1.26526e-008,0.3972
1.26912e-008,0.3703
1.27297e-008,0.3790
1.27683e-008,0.4158
1.28069e-008,0.4904
1.28455e-008,0.5990
1.28841e-008,0.7181
1.29226e-008,0.8148
1.29612e-008,0.8898
1.29998e-008,0.9562
1.30383e-008,1.0115
1.30769e-008,1.0552
1.31155e-008,1.0869
1.31541e-008,1.1069
1.31926e-008,1.1191
1.32312e-008,1.1302
1.32698e-008,1.1402
1.33084e-008,1.1507
1.33470e-008,1.1629
1.33855e-008,1.1718
1.34241e-008,1.1729
1.34627e-008,1.1708
1.35012e-008,1.1710
1.35398e-008,1.1725
1.35784e-008,1.1745
1.36170e-008,1.1808
1.36555e-008,1.1841
1.36941e-008,1.1703
1.37327e-008,1.1220
1.37713e-008,1.0227
1.38099e-008,0.8959
1.38484e-008,0.7794
1.38870e-008,0.6731
1.39256e-008,0.5767
1.39641e-008,0.5004
1.40027e-008,0.4491
1.40413e-008,0.4136
1.40799e-008,0.3781
1.41185e-008,0.3673
1.41570e-008,0.3954
1.41956e-008,0.4552
1.42342e-008,0.5483
1.42728e-008,0.6625
1.43113e-008,0.7729
1.43499e-008,0.8587
1.43885e-008,0.9300
1.44270e-008,0.9897
1.44656e-008,1.0376
1.45042e-008,1.0741
1.45428e-008,1.0991
1.45814e-008,1.1135
1.46199e-008,1.1243
1.46585e-008,1.1360
1.46971e-008,1.1468
1.47357e-008,1.1574
1.47742e-008,1.1675
1.48128e-008,1.1728
1.48514e-008,1.1722
1.48899e-008,1.1712
1.49285e-008,1.1719
1.49671e-008,1.1732
1.50057e-008,1.1775
1.50443e-008,1.1839
1.50828e-008,1.1796
1.51214e-008,1.1508
1.51600e-008,1.0763
1.51985e-008,0.9569
1.52371e-008,0.8326
1.52757e-008,0.7224
1.53143e-008,0.6205
1.53528e-008,0.5339
1.53914e-008,0.4706
1.54300e-008,0.4297
1.54686e-008,0.4006
1.55071e-008,0.3788
1.55457e-008,0.3651
1.55843e-008,0.3567
1.56229e-008,0.3498
1.56615e-008,0.3391
1.57000e-008,0.3262
1.57386e-008,0.3194
1.57772e-008,0.3188
1.58158e-008,0.3186
1.58543e-008,0.3184
1.58929e-008,0.3203
1.59315e-008,0.3236
1.59701e-008,0.3301
1.60086e-008,0.3514
1.60472e-008,0.4033
1.60858e-008,0.4961
1.61243e-008,0.6190
1.61629e-008,0.7452
1.62015e-008,0.8391
1.62401e-008,0.9068
1.62786e-008,0.9674
1.63172e-008,1.0190
1.63558e-008,1.0584
1.63944e-008,1.0861
1.64329e-008,1.1061
1.64715e-008,1.1186
1.65101e-008,1.1272
1.65487e-008,1.1372
1.65873e-008,1.1503
1.66258e-008,1.1641
1.66644e-008,1.1728
1.67030e-008,1.1724
1.67416e-008,1.1692
1.67801e-008,1.1695
1.68187e-008,1.1715
1.68573e-008,1.1734
1.68959e-008,1.1792
1.69344e-008,1.1843
1.69730e-008,1.1733
1.70116e-008,1.1294
1.70501e-008,1.0354
1.70887e-008,0.9100
1.71273e-008,0.7919
1.71659e-008,0.6840
1.72044e-008,0.5855
1.72430e-008,0.5068
1.72816e-008,0.4534
1.73202e-008,0.4173
1.73588e-008,0.3813
1.73973e-008,0.3664
1.74359e-008,0.3910
1.74745e-008,0.4471
1.75131e-008,0.5368
1.75516e-008,0.6497
1.75902e-008,0.7623
1.76288e-008,0.8504
1.76674e-008,0.9226
1.77059e-008,0.9836
1.77445e-008,1.0330
1.77831e-008,1.0708
1.78216e-008,1.0970
1.78602e-008,1.1123
1.78988e-008,1.1230
1.79374e-008,1.1347
1.79759e-008,1.1456
1.80145e-008,1.1562
1.80531e-008,1.1665
1.80917e-008,1.1726
1.81302e-008,1.1724
1.81688e-008,1.1711
1.82074e-008,1.1717
1.82460e-008,1.1730
1.82846e-008,1.1768
1.83231e-008,1.1834
1.83617e-008,1.1809
1.84003e-008,1.1557
1.84389e-008,1.0868
1.84774e-008,0.9707
1.85160e-008,0.8452
1.85546e-008,0.7338
1.85932e-008,0.6309
1.86317e-008,0.5421
1.86703e-008,0.4761
1.87089e-008,0.4334
1.87474e-008,0.4034
1.87860e-008,0.3807
1.88246e-008,0.3663
1.88632e-008,0.3574
1.89017e-008,0.3506
1.89403e-008,0.3405
1.89789e-008,0.3274
1.90175e-008,0.3197
1.90560e-008,0.3188
1.90946e-008,0.3187
1.91332e-008,0.3183
1.91718e-008,0.3200
1.92104e-008,0.3233
