.HEADER
..NAMES
Time,V U4.C3
.DATA
0.0e+000,0.3207
3.86e-011,0.3207
7.72e-011,0.3207
1.157e-010,0.3207
1.543e-010,0.3207
1.929e-010,0.3207
2.314e-010,0.3207
2.700e-010,0.3207
3.086e-010,0.3207
3.472e-010,0.3207
3.857e-010,0.3207
4.243e-010,0.3209
4.629e-010,0.3243
5.015e-010,0.3370
5.401e-010,0.3713
5.786e-010,0.4403
6.172e-010,0.5422
6.558e-010,0.6625
6.944e-010,0.7690
7.329e-010,0.8542
7.715e-010,0.9292
8.101e-010,0.9922
8.486e-010,1.0402
8.872e-010,1.0761
9.258e-010,1.1232
9.644e-010,1.1539
1.0029e-009,1.1584
1.0415e-009,1.1444
1.0801e-009,1.0833
1.1187e-009,0.9743
1.1572e-009,0.8541
1.1958e-009,0.7385
1.2344e-009,0.6314
1.2730e-009,0.5416
1.3115e-009,0.4726
1.3501e-009,0.4256
1.3887e-009,0.3957
1.4273e-009,0.3713
1.4658e-009,0.3540
1.5044e-009,0.3427
1.5430e-009,0.3303
1.5816e-009,0.3197
1.6202e-009,0.3170
1.6587e-009,0.3180
1.6973e-009,0.3191
1.7359e-009,0.3209
1.7745e-009,0.3229
1.8130e-009,0.3248
1.8516e-009,0.3253
1.8902e-009,0.3242
1.9288e-009,0.3236
1.9673e-009,0.3232
2.0059e-009,0.3219
2.0445e-009,0.3215
2.0830e-009,0.3224
2.1216e-009,0.3227
2.1602e-009,0.3220
2.1988e-009,0.3215
2.2374e-009,0.3214
2.2759e-009,0.3211
2.3145e-009,0.3208
2.3531e-009,0.3206
2.3916e-009,0.3207
2.4302e-009,0.3207
2.4688e-009,0.3206
2.5074e-009,0.3207
2.5459e-009,0.3210
2.5845e-009,0.3208
2.6231e-009,0.3206
2.6617e-009,0.3206
2.7003e-009,0.3207
2.7388e-009,0.3207
2.7774e-009,0.3207
2.8160e-009,0.3207
2.8545e-009,0.3208
2.8931e-009,0.3207
2.9317e-009,0.3207
2.9703e-009,0.3207
3.0089e-009,0.3207
3.0474e-009,0.3207
3.0860e-009,0.3207
3.1246e-009,0.3207
3.1631e-009,0.3207
3.2017e-009,0.3207
3.2403e-009,0.3207
3.2789e-009,0.3207
3.3175e-009,0.3207
3.3560e-009,0.3207
3.3946e-009,0.3207
3.4332e-009,0.3207
3.4717e-009,0.3207
3.5103e-009,0.3207
3.5489e-009,0.3207
3.5875e-009,0.3207
3.6260e-009,0.3207
3.6646e-009,0.3207
3.7032e-009,0.3207
3.7418e-009,0.3207
3.7803e-009,0.3207
3.8189e-009,0.3207
3.8575e-009,0.3207
3.8961e-009,0.3207
3.9346e-009,0.3207
3.9732e-009,0.3207
4.0118e-009,0.3207
4.0504e-009,0.3207
4.0890e-009,0.3207
4.1275e-009,0.3207
4.1661e-009,0.3208
4.2047e-009,0.3228
4.2433e-009,0.3322
4.2818e-009,0.3592
4.3204e-009,0.4184
4.3590e-009,0.5127
4.3975e-009,0.6304
4.4361e-009,0.7436
4.4747e-009,0.8326
4.5133e-009,0.9103
4.5519e-009,0.9768
4.5904e-009,1.0290
4.6290e-009,1.0665
4.6676e-009,1.0939
4.7062e-009,1.1135
4.7447e-009,1.1293
4.7833e-009,1.1438
4.8219e-009,1.1564
4.8604e-009,1.1651
4.8990e-009,1.1672
4.9376e-009,1.1664
4.9762e-009,1.1675
5.0147e-009,1.1696
5.0533e-009,1.1709
5.0919e-009,1.1717
5.1305e-009,1.1726
5.1691e-009,1.1733
5.2076e-009,1.1744
5.2462e-009,1.1756
5.2848e-009,1.1765
5.3234e-009,1.1766
5.3619e-009,1.1760
5.4005e-009,1.1761
5.4391e-009,1.1772
5.4776e-009,1.1777
5.5162e-009,1.1778
5.5548e-009,1.1779
5.5934e-009,1.1787
5.6320e-009,1.1825
5.6705e-009,1.1839
5.7091e-009,1.1703
5.7477e-009,1.1231
5.7863e-009,1.0313
5.8248e-009,0.9195
5.8634e-009,0.8095
5.9020e-009,0.6987
5.9405e-009,0.5971
5.9791e-009,0.5148
6.0177e-009,0.4549
6.0563e-009,0.4134
6.0948e-009,0.3851
6.1334e-009,0.3655
6.1720e-009,0.3510
6.2106e-009,0.3375
6.2492e-009,0.3255
6.2877e-009,0.3203
6.3263e-009,0.3196
6.3649e-009,0.3192
6.4035e-009,0.3196
6.4420e-009,0.3216
6.4806e-009,0.3237
6.5192e-009,0.3248
6.5577e-009,0.3250
6.5963e-009,0.3245
6.6349e-009,0.3237
6.6735e-009,0.3224
6.7121e-009,0.3218
6.7506e-009,0.3224
6.7892e-009,0.3227
6.8278e-009,0.3222
6.8664e-009,0.3216
6.9049e-009,0.3216
6.9435e-009,0.3214
6.9821e-009,0.3211
7.0206e-009,0.3232
7.0592e-009,0.3330
7.0978e-009,0.3613
7.1364e-009,0.4224
7.1749e-009,0.5184
7.2135e-009,0.6370
7.2521e-009,0.7489
7.2907e-009,0.8367
7.3293e-009,0.9139
7.3678e-009,0.9799
7.4064e-009,1.0313
7.4450e-009,1.0687
7.4835e-009,1.1125
7.5221e-009,1.1512
7.5607e-009,1.1580
7.5993e-009,1.1507
7.6379e-009,1.1012
7.6764e-009,1.0000
7.7150e-009,0.8792
7.7536e-009,0.7627
7.7922e-009,0.6531
7.8307e-009,0.5591
7.8693e-009,0.4856
7.9079e-009,0.4338
7.9464e-009,0.4014
7.9850e-009,0.3761
8.0236e-009,0.3569
8.0622e-009,0.3451
8.1008e-009,0.3331
8.1393e-009,0.3214
8.1779e-009,0.3170
8.2165e-009,0.3178
8.2550e-009,0.3189
8.2936e-009,0.3205
8.3322e-009,0.3225
8.3708e-009,0.3245
8.4093e-009,0.3258
8.4479e-009,0.3296
8.4865e-009,0.3470
8.5251e-009,0.3914
8.5637e-009,0.4712
8.6022e-009,0.5810
8.6408e-009,0.7023
8.6794e-009,0.8004
8.7179e-009,0.8809
8.7565e-009,0.9516
8.7951e-009,1.0098
8.8337e-009,1.0527
8.8722e-009,1.0834
8.9108e-009,1.1057
8.9494e-009,1.1228
8.9880e-009,1.1379
9.0266e-009,1.1513
9.0651e-009,1.1623
9.1037e-009,1.1675
9.1423e-009,1.1667
9.1808e-009,1.1666
9.2194e-009,1.1687
9.2580e-009,1.1705
