.HEADER
..NAMES
Time,V U5.G2
.DATA
0.0e+000,0.3216
3.86e-011,0.3216
7.72e-011,0.3216
1.157e-010,0.3216
1.543e-010,0.3216
1.929e-010,0.3216
2.314e-010,0.3216
2.700e-010,0.3216
3.086e-010,0.3216
3.472e-010,0.3216
3.857e-010,0.3216
4.243e-010,0.3216
4.629e-010,0.3216
5.015e-010,0.3223
5.401e-010,0.3280
5.786e-010,0.3463
6.172e-010,0.3914
6.558e-010,0.4735
6.944e-010,0.5859
7.329e-010,0.7072
7.715e-010,0.8051
8.101e-010,0.8836
8.486e-010,0.9521
8.872e-010,1.0090
9.258e-010,1.0507
9.644e-010,1.0847
1.0029e-009,1.1308
1.0415e-009,1.1500
1.0801e-009,1.1468
1.1187e-009,1.1172
1.1572e-009,1.0445
1.1958e-009,0.9410
1.2344e-009,0.8322
1.2730e-009,0.7237
1.3115e-009,0.6208
1.3501e-009,0.5323
1.3887e-009,0.4670
1.4273e-009,0.4219
1.4658e-009,0.3842
1.5044e-009,0.3706
1.5430e-009,0.3878
1.5816e-009,0.4423
1.6202e-009,0.5295
1.6587e-009,0.6393
1.6973e-009,0.7453
1.7359e-009,0.8294
1.7745e-009,0.9033
1.8130e-009,0.9693
1.8516e-009,1.0226
1.8902e-009,1.0595
1.9288e-009,1.0859
1.9673e-009,1.1073
2.0059e-009,1.1239
2.0445e-009,1.1339
2.0830e-009,1.1408
2.1216e-009,1.1483
2.1602e-009,1.1570
2.1988e-009,1.1653
2.2374e-009,1.1724
2.2759e-009,1.1761
2.3145e-009,1.1750
2.3531e-009,1.1738
2.3916e-009,1.1775
2.4302e-009,1.1835
2.4688e-009,1.1787
2.5074e-009,1.1512
2.5459e-009,1.0828
2.5845e-009,0.9764
2.6231e-009,0.8625
2.6617e-009,0.7522
2.7003e-009,0.6465
2.7388e-009,0.5551
2.7774e-009,0.4854
2.8160e-009,0.4381
2.8545e-009,0.4053
2.8931e-009,0.3808
2.9317e-009,0.3635
2.9703e-009,0.3539
3.0089e-009,0.3493
3.0474e-009,0.3454
3.0860e-009,0.3407
3.1246e-009,0.3334
3.1631e-009,0.3244
3.2017e-009,0.3191
3.2403e-009,0.3180
3.2789e-009,0.3180
3.3175e-009,0.3184
3.3560e-009,0.3202
3.3946e-009,0.3229
3.4332e-009,0.3248
3.4717e-009,0.3250
3.5103e-009,0.3243
3.5489e-009,0.3242
3.5875e-009,0.3244
3.6260e-009,0.3239
3.6646e-009,0.3232
3.7032e-009,0.3225
3.7418e-009,0.3216
3.7803e-009,0.3221
3.8189e-009,0.3276
3.8575e-009,0.3445
3.8961e-009,0.3861
3.9346e-009,0.4640
3.9732e-009,0.5736
4.0118e-009,0.6953
4.0504e-009,0.7958
4.0890e-009,0.8753
4.1275e-009,0.9452
4.1661e-009,1.0038
4.2047e-009,1.0473
4.2433e-009,1.0808
4.2818e-009,1.1268
4.3204e-009,1.1498
4.3590e-009,1.1482
4.3975e-009,1.1228
4.4361e-009,1.0547
4.4747e-009,0.9529
4.5133e-009,0.8439
4.5519e-009,0.7353
4.5904e-009,0.6314
4.6290e-009,0.5409
4.6676e-009,0.4730
4.7062e-009,0.4270
4.7447e-009,0.3893
4.7833e-009,0.3709
4.8219e-009,0.3847
4.8604e-009,0.4350
4.8990e-009,0.5191
4.9376e-009,0.6270
4.9762e-009,0.7352
5.0147e-009,0.8211
5.0533e-009,0.8957
5.0919e-009,0.9628
5.1305e-009,1.0178
5.1691e-009,1.0576
5.2076e-009,1.1021
5.2462e-009,1.1393
5.2848e-009,1.1483
5.3234e-009,1.1367
5.3619e-009,1.0848
5.4005e-009,0.9926
5.4391e-009,0.8839
5.4776e-009,0.7733
5.5162e-009,0.6653
5.5548e-009,0.5700
5.5934e-009,0.4945
5.6320e-009,0.4418
5.6705e-009,0.4018
5.7091e-009,0.3743
5.7477e-009,0.3782
5.7863e-009,0.4149
5.8248e-009,0.4888
5.8634e-009,0.5906
5.9020e-009,0.7031
5.9405e-009,0.7953
5.9791e-009,0.8724
6.0177e-009,0.9422
6.0563e-009,1.0016
6.0948e-009,1.0455
6.1334e-009,1.0865
6.1720e-009,1.1317
6.2106e-009,1.1471
6.2492e-009,1.1440
6.2877e-009,1.1063
6.3263e-009,1.0251
6.3649e-009,0.9186
6.4035e-009,0.8084
6.4420e-009,0.6987
6.4806e-009,0.5986
6.5192e-009,0.5161
6.5577e-009,0.4564
6.5963e-009,0.4170
6.6349e-009,0.3899
6.6735e-009,0.3692
6.7121e-009,0.3568
6.7506e-009,0.3521
6.7892e-009,0.3470
6.8278e-009,0.3415
6.8664e-009,0.3358
6.9049e-009,0.3281
6.9435e-009,0.3211
6.9821e-009,0.3178
7.0206e-009,0.3172
7.0592e-009,0.3175
7.0978e-009,0.3224
7.1364e-009,0.3409
7.1749e-009,0.3846
7.2135e-009,0.4628
7.2521e-009,0.5696
7.2907e-009,0.6898
7.3293e-009,0.7925
7.3678e-009,0.8722
7.4064e-009,0.9413
7.4450e-009,0.9998
7.4835e-009,1.0440
7.5221e-009,1.0741
7.5607e-009,1.0965
7.5993e-009,1.1137
7.6379e-009,1.1261
7.6764e-009,1.1348
7.7150e-009,1.1416
7.7536e-009,1.1493
7.7922e-009,1.1582
7.8307e-009,1.1670
7.8693e-009,1.1740
7.9079e-009,1.1760
7.9464e-009,1.1739
7.9850e-009,1.1728
8.0236e-009,1.1735
8.0622e-009,1.1741
8.1008e-009,1.1737
8.1393e-009,1.1736
8.1779e-009,1.1742
8.2165e-009,1.1748
8.2550e-009,1.1750
8.2936e-009,1.1753
8.3322e-009,1.1759
8.3708e-009,1.1766
8.4093e-009,1.1772
8.4479e-009,1.1774
8.4865e-009,1.1770
8.5251e-009,1.1762
8.5637e-009,1.1760
8.6022e-009,1.1764
8.6408e-009,1.1768
8.6794e-009,1.1768
8.7179e-009,1.1767
8.7565e-009,1.1768
8.7951e-009,1.1770
8.8337e-009,1.1769
8.8722e-009,1.1769
8.9108e-009,1.1769
8.9494e-009,1.1770
8.9880e-009,1.1771
9.0266e-009,1.1770
9.0651e-009,1.1770
9.1037e-009,1.1769
9.1423e-009,1.1769
9.1808e-009,1.1770
9.2194e-009,1.1771
9.2580e-009,1.1771
9.2966e-009,1.1770
9.3352e-009,1.1771
9.3737e-009,1.1771
9.4123e-009,1.1780
9.4509e-009,1.1819
9.4895e-009,1.1829
9.5280e-009,1.1677
9.5666e-009,1.1171
9.6052e-009,1.0215
9.6437e-009,0.9067
9.6823e-009,0.7957
9.7209e-009,0.6869
9.7595e-009,0.5884
9.7981e-009,0.5091
9.8366e-009,0.4537
9.8752e-009,0.4142
9.9138e-009,0.3794
9.9524e-009,0.3727
9.9909e-009,0.3967
1.00295e-008,0.4557
1.00681e-008,0.5493
1.01066e-008,0.6639
1.01452e-008,0.7651
1.01838e-008,0.8439
1.02224e-008,0.9160
1.02610e-008,0.9814
1.02995e-008,1.0319
1.03381e-008,1.0663
1.03767e-008,1.0917
1.04152e-008,1.1125
1.04538e-008,1.1277
1.04924e-008,1.1360
1.05310e-008,1.1425
1.05695e-008,1.1504
1.06081e-008,1.1588
1.06467e-008,1.1671
1.06853e-008,1.1745
1.07239e-008,1.1771
1.07624e-008,1.1749
1.08010e-008,1.1741
1.08396e-008,1.1794
1.08781e-008,1.1845
1.09167e-008,1.1770
1.09553e-008,1.1441
1.09939e-008,1.0687
1.10324e-008,0.9588
1.10710e-008,0.8453
1.11096e-008,0.7354
1.11482e-008,0.6315
1.11868e-008,0.5430
1.12253e-008,0.4770
1.12639e-008,0.4327
1.13025e-008,0.4014
1.13410e-008,0.3778
1.13796e-008,0.3618
1.14182e-008,0.3534
1.14568e-008,0.3491
1.14953e-008,0.3450
1.15339e-008,0.3401
1.15725e-008,0.3323
1.16111e-008,0.3235
1.16497e-008,0.3189
1.16882e-008,0.3182
1.17268e-008,0.3183
1.17654e-008,0.3189
1.18039e-008,0.3208
1.18425e-008,0.3235
1.18811e-008,0.3252
1.19197e-008,0.3251
1.19583e-008,0.3244
1.19968e-008,0.3244
1.20354e-008,0.3246
1.20740e-008,0.3240
1.21126e-008,0.3232
1.21511e-008,0.3225
1.21897e-008,0.3217
1.22283e-008,0.3226
1.22668e-008,0.3293
1.23054e-008,0.3490
1.23440e-008,0.3956
1.23826e-008,0.4791
1.24212e-008,0.5921
1.24597e-008,0.7125
1.24983e-008,0.8087
1.25369e-008,0.8866
1.25755e-008,0.9549
1.26140e-008,1.0115
1.26526e-008,1.0525
1.26912e-008,1.0804
1.27297e-008,1.1011
1.27683e-008,1.1166
1.28069e-008,1.1281
1.28455e-008,1.1364
1.28841e-008,1.1430
1.29226e-008,1.1505
1.29612e-008,1.1596
1.29998e-008,1.1690
1.30383e-008,1.1754
1.30769e-008,1.1758
1.31155e-008,1.1735
1.31541e-008,1.1730
1.31926e-008,1.1740
1.32312e-008,1.1741
1.32698e-008,1.1735
1.33084e-008,1.1736
1.33470e-008,1.1742
1.33855e-008,1.1748
1.34241e-008,1.1751
1.34627e-008,1.1754
1.35012e-008,1.1760
1.35398e-008,1.1766
1.35784e-008,1.1773
1.36170e-008,1.1777
1.36555e-008,1.1797
