.HEADER
..NAMES
Time,V U5.D7
.DATA
0.0e+000,1.1766
3.86e-011,1.1766
7.72e-011,1.1766
1.157e-010,1.1766
1.543e-010,1.1766
1.929e-010,1.1766
2.314e-010,1.1766
2.700e-010,1.1766
3.086e-010,1.1766
3.472e-010,1.1766
3.857e-010,1.1766
4.243e-010,1.1766
4.629e-010,1.1774
5.015e-010,1.1802
5.401e-010,1.1817
5.786e-010,1.1707
6.172e-010,1.1297
6.558e-010,1.0488
6.944e-010,0.9415
7.329e-010,0.8284
7.715e-010,0.7181
8.101e-010,0.6124
8.486e-010,0.5230
8.872e-010,0.4592
9.258e-010,0.4175
9.644e-010,0.3882
1.0029e-009,0.3677
1.0415e-009,0.3562
1.0801e-009,0.3487
1.1187e-009,0.3398
1.1572e-009,0.3300
1.1958e-009,0.3231
1.2344e-009,0.3199
1.2730e-009,0.3194
1.3115e-009,0.3203
1.3501e-009,0.3221
1.3887e-009,0.3247
1.4273e-009,0.3297
1.4658e-009,0.3420
1.5044e-009,0.3712
1.5430e-009,0.4297
1.5816e-009,0.5221
1.6202e-009,0.6372
1.6587e-009,0.7479
1.6973e-009,0.8401
1.7359e-009,0.9181
1.7745e-009,0.9857
1.8130e-009,1.0369
1.8516e-009,1.0714
1.8902e-009,1.1106
1.9288e-009,1.1444
1.9673e-009,1.1553
2.0059e-009,1.1399
2.0445e-009,1.0905
2.0830e-009,1.0012
2.1216e-009,0.8858
2.1602e-009,0.7646
2.1988e-009,0.6536
2.2374e-009,0.5557
2.2759e-009,0.4770
2.3145e-009,0.4254
2.3531e-009,0.3893
2.3916e-009,0.3670
2.4302e-009,0.3691
2.4688e-009,0.4064
2.5074e-009,0.4752
2.5459e-009,0.5732
2.5845e-009,0.6881
2.6231e-009,0.7964
2.6617e-009,0.8845
2.7003e-009,0.9589
2.7388e-009,1.0223
2.7774e-009,1.0669
2.8160e-009,1.1052
2.8545e-009,1.1374
2.8931e-009,1.1587
2.9317e-009,1.1528
2.9703e-009,1.1132
3.0089e-009,1.0369
3.0474e-009,0.9281
3.0860e-009,0.8065
3.1246e-009,0.6914
3.1631e-009,0.5881
3.2017e-009,0.5016
3.2403e-009,0.4402
3.2789e-009,0.3988
3.3175e-009,0.3723
3.3560e-009,0.3642
3.3946e-009,0.3902
3.4332e-009,0.4499
3.4717e-009,0.5399
3.5103e-009,0.6522
3.5489e-009,0.7638
3.5875e-009,0.8582
3.6260e-009,0.9368
3.6646e-009,1.0039
3.7032e-009,1.0544
3.7418e-009,1.0932
3.7803e-009,1.1277
3.8189e-009,1.1555
3.8575e-009,1.1573
3.8961e-009,1.1295
3.9346e-009,1.0659
3.9732e-009,0.9642
