.HEADER
..NAMES
Time,V U5.C2
.DATA
0.0e+000,0.3206
3.86e-011,0.3206
7.72e-011,0.3206
1.157e-010,0.3206
1.543e-010,0.3206
1.929e-010,0.3206
2.314e-010,0.3206
2.700e-010,0.3206
3.086e-010,0.3206
3.472e-010,0.3206
3.857e-010,0.3206
4.243e-010,0.3206
4.629e-010,0.3225
5.015e-010,0.3307
5.401e-010,0.3555
5.786e-010,0.4107
6.172e-010,0.5032
6.558e-010,0.6240
6.944e-010,0.7439
7.329e-010,0.8389
7.715e-010,0.9086
8.101e-010,0.9665
8.486e-010,1.0161
8.872e-010,1.0568
9.258e-010,1.1010
9.644e-010,1.1425
1.0029e-009,1.1648
1.0415e-009,1.1533
1.0801e-009,1.1045
1.1187e-009,1.0069
1.1572e-009,0.8857
1.1958e-009,0.7663
1.2344e-009,0.6571
1.2730e-009,0.5616
1.3115e-009,0.4916
1.3501e-009,0.4419
1.3887e-009,0.4064
1.4273e-009,0.3815
1.4658e-009,0.3630
1.5044e-009,0.3476
1.5430e-009,0.3372
1.5816e-009,0.3301
1.6202e-009,0.3227
1.6587e-009,0.3174
1.6973e-009,0.3171
1.7359e-009,0.3197
1.7745e-009,0.3216
1.8130e-009,0.3234
1.8516e-009,0.3255
1.8902e-009,0.3299
1.9288e-009,0.3449
1.9673e-009,0.3839
2.0059e-009,0.4580
2.0445e-009,0.5678
2.0830e-009,0.6930
2.1216e-009,0.8012
2.1602e-009,0.8802
2.1988e-009,0.9420
2.2374e-009,0.9955
2.2759e-009,1.0399
2.3145e-009,1.0745
2.3531e-009,1.1006
2.3916e-009,1.1198
2.4302e-009,1.1348
2.4688e-009,1.1453
2.5074e-009,1.1527
2.5459e-009,1.1604
2.5845e-009,1.1684
2.6231e-009,1.1719
2.6617e-009,1.1702
2.7003e-009,1.1679
2.7388e-009,1.1686
2.7774e-009,1.1715
2.8160e-009,1.1769
2.8545e-009,1.1818
2.8931e-009,1.1773
2.9317e-009,1.1470
2.9703e-009,1.0735
3.0089e-009,0.9611
3.0474e-009,0.8387
3.0860e-009,0.7266
3.1246e-009,0.6266
3.1631e-009,0.5416
3.2017e-009,0.4767
3.2403e-009,0.4315
3.2789e-009,0.4005
3.3175e-009,0.3770
3.3560e-009,0.3575
3.3946e-009,0.3443
3.4332e-009,0.3368
3.4717e-009,0.3301
3.5103e-009,0.3221
3.5489e-009,0.3176
3.5875e-009,0.3186
3.6260e-009,0.3217
3.6646e-009,0.3234
3.7032e-009,0.3241
3.7418e-009,0.3250
3.7803e-009,0.3258
3.8189e-009,0.3254
3.8575e-009,0.3239
3.8961e-009,0.3227
3.9346e-009,0.3229
3.9732e-009,0.3233
4.0118e-009,0.3225
4.0504e-009,0.3215
4.0890e-009,0.3215
4.1275e-009,0.3221
4.1661e-009,0.3220
4.2047e-009,0.3224
4.2433e-009,0.3277
4.2818e-009,0.3468
4.3204e-009,0.3928
4.3590e-009,0.4754
4.3975e-009,0.5905
4.4361e-009,0.7141
4.4747e-009,0.8172
4.5133e-009,0.8923
4.5519e-009,0.9521
4.5904e-009,1.0039
4.6290e-009,1.0471
4.6676e-009,1.0802
4.7062e-009,1.1050
4.7447e-009,1.1233
4.7833e-009,1.1375
4.8219e-009,1.1472
4.8604e-009,1.1546
4.8990e-009,1.1623
4.9376e-009,1.1695
4.9762e-009,1.1719
5.0147e-009,1.1699
5.0533e-009,1.1680
5.0919e-009,1.1690
5.1305e-009,1.1726
5.1691e-009,1.1783
5.2076e-009,1.1822
5.2462e-009,1.1737
5.2848e-009,1.1355
5.3234e-009,1.0522
5.3619e-009,0.9353
5.4005e-009,0.8141
5.4391e-009,0.7046
5.4776e-009,0.6072
5.5162e-009,0.5263
5.5548e-009,0.4656
5.5934e-009,0.4241
5.6320e-009,0.3951
5.6705e-009,0.3726
5.7091e-009,0.3541
5.7477e-009,0.3424
5.7863e-009,0.3355
