.HEADER
..NAMES
Time,V U5.A2
.DATA
0.0e+000,1.1782
3.86e-011,1.1782
7.72e-011,1.1782
1.157e-010,1.1782
1.543e-010,1.1782
1.929e-010,1.1782
2.314e-010,1.1782
2.700e-010,1.1782
3.086e-010,1.1782
3.472e-010,1.1782
3.857e-010,1.1782
4.243e-010,1.1784
4.629e-010,1.1804
5.015e-010,1.1839
5.401e-010,1.1810
5.786e-010,1.1548
6.172e-010,1.0856
6.558e-010,0.9728
6.944e-010,0.8445
7.329e-010,0.7262
7.715e-010,0.6249
8.101e-010,0.5421
8.486e-010,0.4802
8.872e-010,0.4363
9.258e-010,0.4055
9.644e-010,0.3807
1.0029e-009,0.3595
1.0415e-009,0.3446
1.0801e-009,0.3372
1.1187e-009,0.3313
1.1572e-009,0.3239
1.1958e-009,0.3178
1.2344e-009,0.3165
1.2730e-009,0.3186
1.3115e-009,0.3212
1.3501e-009,0.3227
1.3887e-009,0.3245
1.4273e-009,0.3312
1.4658e-009,0.3514
1.5044e-009,0.3986
1.5430e-009,0.4843
1.5816e-009,0.6049
1.6202e-009,0.7329
1.6587e-009,0.8353
1.6973e-009,0.9054
1.7359e-009,0.9585
1.7745e-009,1.0055
1.8130e-009,1.0467
1.8516e-009,1.0806
1.8902e-009,1.1064
1.9288e-009,1.1255
1.9673e-009,1.1392
2.0059e-009,1.1471
2.0445e-009,1.1528
2.0830e-009,1.1609
2.1216e-009,1.1699
2.1602e-009,1.1739
2.1988e-009,1.1722
2.2374e-009,1.1693
2.2759e-009,1.1690
2.3145e-009,1.1711
2.3531e-009,1.1734
2.3916e-009,1.1748
2.4302e-009,1.1758
2.4688e-009,1.1766
2.5074e-009,1.1765
2.5459e-009,1.1756
2.5845e-009,1.1758
2.6231e-009,1.1774
2.6617e-009,1.1786
2.7003e-009,1.1783
2.7388e-009,1.1775
2.7774e-009,1.1776
2.8160e-009,1.1806
2.8545e-009,1.1843
2.8931e-009,1.1783
2.9317e-009,1.1444
2.9703e-009,1.0650
3.0089e-009,0.9462
3.0474e-009,0.8181
3.0860e-009,0.7030
3.1246e-009,0.6058
3.1631e-009,0.5277
3.2017e-009,0.4699
3.2403e-009,0.4289
3.2789e-009,0.3997
3.3175e-009,0.3758
3.3560e-009,0.3557
3.3946e-009,0.3426
3.4332e-009,0.3360
3.4717e-009,0.3298
3.5103e-009,0.3223
3.5489e-009,0.3171
3.5875e-009,0.3167
3.6260e-009,0.3191
3.6646e-009,0.3216
3.7032e-009,0.3230
3.7418e-009,0.3253
3.7803e-009,0.3339
3.8189e-009,0.3585
3.8575e-009,0.4132
3.8961e-009,0.5073
3.9346e-009,0.6325
3.9732e-009,0.7573
4.0118e-009,0.8524
4.0504e-009,0.9173
4.0890e-009,0.9687
4.1275e-009,1.0146
4.1661e-009,1.0550
4.2047e-009,1.0999
4.2433e-009,1.1448
4.2818e-009,1.1684
4.3204e-009,1.1575
4.3590e-009,1.1052
4.3975e-009,1.0044
4.4361e-009,0.8796
4.4747e-009,0.7592
4.5133e-009,0.6503
4.5519e-009,0.5570
4.5904e-009,0.4896
4.6290e-009,0.4423
4.6676e-009,0.4084
4.7062e-009,0.3842
4.7447e-009,0.3650
4.7833e-009,0.3485
4.8219e-009,0.3382
4.8604e-009,0.3308
4.8990e-009,0.3230
4.9376e-009,0.3172
4.9762e-009,0.3163
5.0147e-009,0.3179
5.0533e-009,0.3198
5.0919e-009,0.3219
5.1305e-009,0.3236
5.1691e-009,0.3242
5.2076e-009,0.3243
5.2462e-009,0.3232
5.2848e-009,0.3216
5.3234e-009,0.3212
5.3619e-009,0.3217
5.4005e-009,0.3214
5.4391e-009,0.3207
5.4776e-009,0.3205
5.5162e-009,0.3206
5.5548e-009,0.3206
5.5934e-009,0.3205
5.6320e-009,0.3202
5.6705e-009,0.3200
5.7091e-009,0.3200
5.7477e-009,0.3199
5.7863e-009,0.3196
5.8248e-009,0.3196
5.8634e-009,0.3199
5.9020e-009,0.3200
5.9405e-009,0.3199
5.9791e-009,0.3198
6.0177e-009,0.3198
6.0563e-009,0.3199
6.0948e-009,0.3199
6.1334e-009,0.3198
6.1720e-009,0.3198
6.2106e-009,0.3199
6.2492e-009,0.3199
6.2877e-009,0.3198
6.3263e-009,0.3198
6.3649e-009,0.3198
6.4035e-009,0.3199
6.4420e-009,0.3199
6.4806e-009,0.3198
6.5192e-009,0.3198
