.HEADER
..NAMES
Time,V U2.G2
.DATA
0.0e+000,0.3218
3.86e-011,0.3218
7.72e-011,0.3218
1.157e-010,0.3218
1.543e-010,0.3218
1.929e-010,0.3218
2.314e-010,0.3218
2.700e-010,0.3218
3.086e-010,0.3218
3.472e-010,0.3218
3.857e-010,0.3218
4.243e-010,0.3218
4.629e-010,0.3219
5.015e-010,0.3235
5.401e-010,0.3320
5.786e-010,0.3570
6.172e-010,0.4136
6.558e-010,0.5069
6.944e-010,0.6255
7.329e-010,0.7422
7.715e-010,0.8312
8.101e-010,0.9068
8.486e-010,0.9731
8.872e-010,1.0264
9.258e-010,1.0645
9.644e-010,1.1017
1.0029e-009,1.1441
1.0415e-009,1.1516
1.0801e-009,1.1416
1.1187e-009,1.0995
1.1572e-009,1.0154
1.1958e-009,0.9111
1.2344e-009,0.8019
1.2730e-009,0.6909
1.3115e-009,0.5887
1.3501e-009,0.5049
1.3887e-009,0.4485
1.4273e-009,0.4080
1.4658e-009,0.3730
1.5044e-009,0.3708
1.5430e-009,0.4023
1.5816e-009,0.4665
1.6202e-009,0.5607
1.6587e-009,0.6740
1.6973e-009,0.7718
1.7359e-009,0.8529
1.7745e-009,0.9272
1.8130e-009,0.9912
1.8516e-009,1.0394
1.8902e-009,1.0721
1.9288e-009,1.0971
1.9673e-009,1.1172
2.0059e-009,1.1285
2.0445e-009,1.1357
2.0830e-009,1.1450
2.1216e-009,1.1545
2.1602e-009,1.1630
2.1988e-009,1.1707
2.2374e-009,1.1751
2.2759e-009,1.1745
2.3145e-009,1.1736
2.3531e-009,1.1750
2.3916e-009,1.1808
2.4302e-009,1.1838
2.4688e-009,1.1734
2.5074e-009,1.1358
2.5459e-009,1.0528
2.5845e-009,0.9393
2.6231e-009,0.8281
2.6617e-009,0.7198
2.7003e-009,0.6174
2.7388e-009,0.5308
2.7774e-009,0.4668
2.8160e-009,0.4232
2.8545e-009,0.3843
2.8931e-009,0.3666
2.9317e-009,0.3842
2.9703e-009,0.4331
3.0089e-009,0.5167
3.0474e-009,0.6260
3.0860e-009,0.7322
3.1246e-009,0.8163
3.1631e-009,0.8937
3.2017e-009,0.9651
3.2403e-009,1.0216
3.2789e-009,1.0604
3.3175e-009,1.0876
3.3560e-009,1.1097
3.3946e-009,1.1243
3.4332e-009,1.1320
3.4717e-009,1.1405
3.5103e-009,1.1502
3.5489e-009,1.1592
3.5875e-009,1.1678
3.6260e-009,1.1740
3.6646e-009,1.1747
3.7032e-009,1.1733
3.7418e-009,1.1740
3.7803e-009,1.1782
3.8189e-009,1.1839
3.8575e-009,1.1805
3.8961e-009,1.1584
3.9346e-009,1.0979
3.9732e-009,0.9943
4.0118e-009,0.8800
4.0504e-009,0.7713
4.0890e-009,0.6646
4.1275e-009,0.5695
4.1661e-009,0.4942
