.HEADER
..NAMES
Time,V U2.D7
.DATA
0.0e+000,1.1768
3.86e-011,1.1768
7.72e-011,1.1768
1.157e-010,1.1768
1.543e-010,1.1768
1.929e-010,1.1768
2.314e-010,1.1768
2.700e-010,1.1768
3.086e-010,1.1768
3.472e-010,1.1768
3.857e-010,1.1768
4.243e-010,1.1768
4.629e-010,1.1777
5.015e-010,1.1803
5.401e-010,1.1814
5.786e-010,1.1701
6.172e-010,1.1298
6.558e-010,1.0505
6.944e-010,0.9439
7.329e-010,0.8299
7.715e-010,0.7177
8.101e-010,0.6118
8.486e-010,0.5232
8.872e-010,0.4589
9.258e-010,0.4123
9.644e-010,0.3776
1.0029e-009,0.3645
1.0415e-009,0.3835
1.0801e-009,0.4343
1.1187e-009,0.5177
1.1572e-009,0.6285
1.1958e-009,0.7418
1.2344e-009,0.8389
1.2730e-009,0.9213
1.3115e-009,0.9919
1.3501e-009,1.0439
1.3887e-009,1.0827
1.4273e-009,1.1221
1.4658e-009,1.1526
1.5044e-009,1.1589
1.5430e-009,1.1402
1.5816e-009,1.0878
1.6202e-009,0.9928
1.6587e-009,0.8743
1.6973e-009,0.7562
1.7359e-009,0.6451
1.7745e-009,0.5458
1.8130e-009,0.4708
1.8516e-009,0.4208
1.8902e-009,0.3832
1.9288e-009,0.3621
1.9673e-009,0.3706
2.0059e-009,0.4110
2.0445e-009,0.4819
2.0830e-009,0.5848
2.1216e-009,0.7018
2.1602e-009,0.8061
2.1988e-009,0.8921
2.2374e-009,0.9680
2.2759e-009,1.0287
2.3145e-009,1.0689
2.3531e-009,1.0960
2.3916e-009,1.1171
2.4302e-009,1.1312
2.4688e-009,1.1404
2.5074e-009,1.1500
2.5459e-009,1.1602
2.5845e-009,1.1677
2.6231e-009,1.1722
2.6617e-009,1.1747
2.7003e-009,1.1745
2.7388e-009,1.1728
2.7774e-009,1.1725
2.8160e-009,1.1751
2.8545e-009,1.1785
2.8931e-009,1.1778
2.9317e-009,1.1622
2.9703e-009,1.1147
3.0089e-009,1.0279
3.0474e-009,0.9181
3.0860e-009,0.8045
3.1246e-009,0.6933
3.1631e-009,0.5897
3.2017e-009,0.5062
3.2403e-009,0.4472
3.2789e-009,0.4066
3.3175e-009,0.3787
3.3560e-009,0.3612
3.3946e-009,0.3506
3.4332e-009,0.3421
3.4717e-009,0.3338
3.5103e-009,0.3257
3.5489e-009,0.3190
3.5875e-009,0.3155
3.6260e-009,0.3154
3.6646e-009,0.3170
3.7032e-009,0.3188
3.7418e-009,0.3213
3.7803e-009,0.3241
3.8189e-009,0.3254
3.8575e-009,0.3251
3.8961e-009,0.3245
3.9346e-009,0.3239
3.9732e-009,0.3230
4.0118e-009,0.3220
4.0504e-009,0.3215
4.0890e-009,0.3215
4.1275e-009,0.3217
4.1661e-009,0.3220
4.2047e-009,0.3224
4.2433e-009,0.3252
4.2818e-009,0.3362
4.3204e-009,0.3659
4.3590e-009,0.4260
4.3975e-009,0.5198
4.4361e-009,0.6353
4.4747e-009,0.7477
4.5133e-009,0.8420
4.5519e-009,0.9202
4.5904e-009,0.9863
4.6290e-009,1.0365
4.6676e-009,1.0708
4.7062e-009,1.0954
4.7447e-009,1.1141
4.7833e-009,1.1280
4.8219e-009,1.1394
4.8604e-009,1.1505
4.8990e-009,1.1608
4.9376e-009,1.1686
4.9762e-009,1.1726
5.0147e-009,1.1732
5.0533e-009,1.1721
5.0919e-009,1.1714
5.1305e-009,1.1722
5.1691e-009,1.1751
5.2076e-009,1.1787
5.2462e-009,1.1767
5.2848e-009,1.1558
5.3234e-009,1.0996
5.3619e-009,1.0060
5.4005e-009,0.8941
5.4391e-009,0.7806
5.4776e-009,0.6702
5.5162e-009,0.5700
5.5548e-009,0.4917
5.5934e-009,0.4370
5.6320e-009,0.3954
5.6705e-009,0.3689
5.7091e-009,0.3685
5.7477e-009,0.4009
5.7863e-009,0.4651
5.8248e-009,0.5618
5.8634e-009,0.6770
5.9020e-009,0.7847
5.9405e-009,0.8748
5.9791e-009,0.9528
6.0177e-009,1.0163
6.0563e-009,1.0605
6.0948e-009,1.0993
6.1334e-009,1.1365
6.1720e-009,1.1586
6.2106e-009,1.1543
6.2492e-009,1.1231
6.2877e-009,1.0527
6.3263e-009,0.9446
6.3649e-009,0.8240
6.4035e-009,0.7090
6.4420e-009,0.6015
6.4806e-009,0.5109
6.5192e-009,0.4476
6.5577e-009,0.4067
6.5963e-009,0.3782
6.6349e-009,0.3596
6.6735e-009,0.3499
6.7121e-009,0.3425
6.7506e-009,0.3337
6.7892e-009,0.3255
6.8278e-009,0.3195
6.8664e-009,0.3150
6.9049e-009,0.3134
6.9435e-009,0.3154
6.9821e-009,0.3185
7.0206e-009,0.3209
7.0592e-009,0.3235
7.0978e-009,0.3257
7.1364e-009,0.3258
7.1749e-009,0.3246
7.2135e-009,0.3239
7.2521e-009,0.3233
7.2907e-009,0.3221
7.3293e-009,0.3213
7.3678e-009,0.3214
7.4064e-009,0.3217
7.4450e-009,0.3219
7.4835e-009,0.3220
7.5221e-009,0.3221
7.5607e-009,0.3218
7.5993e-009,0.3215
7.6379e-009,0.3213
7.6764e-009,0.3212
7.7150e-009,0.3210
7.7536e-009,0.3210
7.7922e-009,0.3212
7.8307e-009,0.3212
7.8693e-009,0.3212
7.9079e-009,0.3214
7.9464e-009,0.3214
7.9850e-009,0.3214
8.0236e-009,0.3213
8.0622e-009,0.3213
8.1008e-009,0.3213
8.1393e-009,0.3212
8.1779e-009,0.3213
8.2165e-009,0.3213
8.2550e-009,0.3213
8.2936e-009,0.3213
8.3322e-009,0.3213
8.3708e-009,0.3213
8.4093e-009,0.3214
8.4479e-009,0.3228
8.4865e-009,0.3296
8.5251e-009,0.3501
8.5637e-009,0.3966
8.6022e-009,0.4770
8.6408e-009,0.5861
8.6794e-009,0.7023
8.7179e-009,0.8046
8.7565e-009,0.8886
8.7951e-009,0.9600
8.8337e-009,1.0172
8.8722e-009,1.0582
8.9108e-009,1.0964
8.9494e-009,1.1335
8.9880e-009,1.1554
9.0266e-009,1.1505
9.0651e-009,1.1170
9.1037e-009,1.0437
9.1423e-009,0.9346
9.1808e-009,0.8144
9.2194e-009,0.6996
9.2580e-009,0.5929
9.2966e-009,0.5048
9.3352e-009,0.4439
9.3737e-009,0.4009
9.4123e-009,0.3702
9.4509e-009,0.3620
9.4895e-009,0.3863
9.5280e-009,0.4404
9.5666e-009,0.5266
9.6052e-009,0.6399
9.6437e-009,0.7535
9.6823e-009,0.8483
9.7209e-009,0.9293
9.7595e-009,0.9993
9.7981e-009,1.0501
9.8366e-009,1.0882
9.8752e-009,1.1269
9.9138e-009,1.1556
9.9524e-009,1.1582
9.9909e-009,1.1343
1.00295e-008,1.0753
1.00681e-008,0.9757
1.01066e-008,0.8561
1.01452e-008,0.7391
1.01838e-008,0.6294
1.02224e-008,0.5329
1.02610e-008,0.4618
1.02995e-008,0.4142
1.03381e-008,0.3784
1.03767e-008,0.3607
1.04152e-008,0.3746
1.04538e-008,0.4199
1.04924e-008,0.4958
1.05310e-008,0.6027
1.05695e-008,0.7193
1.06081e-008,0.8206
1.06467e-008,0.9046
1.06853e-008,0.9786
1.07239e-008,1.0362
1.07624e-008,1.0737
1.08010e-008,1.0995
1.08396e-008,1.1197
1.08781e-008,1.1328
1.09167e-008,1.1418
1.09553e-008,1.1516
1.09939e-008,1.1616
1.10324e-008,1.1685
1.10710e-008,1.1726
1.11096e-008,1.1747
1.11482e-008,1.1742
1.11868e-008,1.1725
1.12253e-008,1.1723
1.12639e-008,1.1728
1.13025e-008,1.1723
1.13410e-008,1.1721
1.13796e-008,1.1734
1.14182e-008,1.1746
1.14568e-008,1.1750
1.14953e-008,1.1756
