.HEADER
..NAMES
Time,V U2.D3
.DATA
0.0e+000,0.3210
3.86e-011,0.3210
7.72e-011,0.3210
1.157e-010,0.3210
1.543e-010,0.3210
1.929e-010,0.3210
2.314e-010,0.3210
2.700e-010,0.3210
3.086e-010,0.3210
3.472e-010,0.3210
3.857e-010,0.3210
4.243e-010,0.3211
4.629e-010,0.3225
5.015e-010,0.3290
5.401e-010,0.3492
5.786e-010,0.3956
6.172e-010,0.4755
6.558e-010,0.5845
6.944e-010,0.7002
7.329e-010,0.8018
7.715e-010,0.8838
8.101e-010,0.9524
8.486e-010,1.0080
8.872e-010,1.0508
9.258e-010,1.0940
9.644e-010,1.1319
1.0029e-009,1.1572
1.0415e-009,1.1560
1.0801e-009,1.1204
1.1187e-009,1.0370
1.1572e-009,0.9239
1.1958e-009,0.8058
1.2344e-009,0.6893
1.2730e-009,0.5864
1.3115e-009,0.5074
1.3501e-009,0.4488
1.3887e-009,0.4072
1.4273e-009,0.3816
1.4658e-009,0.3619
1.5044e-009,0.3458
1.5430e-009,0.3353
1.5816e-009,0.3271
1.6202e-009,0.3193
1.6587e-009,0.3161
1.6973e-009,0.3171
1.7359e-009,0.3195
1.7745e-009,0.3225
1.8130e-009,0.3252
1.8516e-009,0.3263
1.8902e-009,0.3265
1.9288e-009,0.3264
1.9673e-009,0.3253
2.0059e-009,0.3239
2.0445e-009,0.3236
2.0830e-009,0.3235
2.1216e-009,0.3231
2.1602e-009,0.3229
2.1988e-009,0.3230
2.2374e-009,0.3227
2.2759e-009,0.3223
2.3145e-009,0.3222
2.3531e-009,0.3243
2.3916e-009,0.3345
2.4302e-009,0.3630
2.4688e-009,0.4214
2.5074e-009,0.5133
2.5459e-009,0.6283
2.5845e-009,0.7404
2.6231e-009,0.8341
2.6617e-009,0.9108
2.7003e-009,0.9745
2.7388e-009,1.0254
2.7774e-009,1.0658
2.8160e-009,1.1101
2.8545e-009,1.1451
2.8931e-009,1.1594
2.9317e-009,1.1490
2.9703e-009,1.0948
3.0089e-009,0.9977
3.0474e-009,0.8805
3.0860e-009,0.7627
3.1246e-009,0.6490
3.1631e-009,0.5548
3.2017e-009,0.4839
3.2403e-009,0.4313
3.2789e-009,0.3911
3.3175e-009,0.3689
3.3560e-009,0.3667
3.3946e-009,0.3961
3.4332e-009,0.4656
3.4717e-009,0.5711
3.5103e-009,0.6911
3.5489e-009,0.8010
3.5875e-009,0.8925
3.6260e-009,0.9654
3.6646e-009,1.0215
3.7032e-009,1.0640
3.7418e-009,1.1062
3.7803e-009,1.1403
3.8189e-009,1.1617
3.8575e-009,1.1594
3.8961e-009,1.1219
3.9346e-009,1.0379
3.9732e-009,0.9239
4.0118e-009,0.8040
4.0504e-009,0.6864
4.0890e-009,0.5837
4.1275e-009,0.5043
4.1661e-009,0.4457
4.2047e-009,0.4013
4.2433e-009,0.3742
4.2818e-009,0.3642
4.3204e-009,0.3836
4.3590e-009,0.4394
4.3975e-009,0.5353
4.4361e-009,0.6534
4.4747e-009,0.7679
4.5133e-009,0.8651
4.5519e-009,0.9442
4.5904e-009,1.0055
4.6290e-009,1.0520
4.6676e-009,1.0860
4.7062e-009,1.1087
4.7447e-009,1.1257
4.7833e-009,1.1401
4.8219e-009,1.1510
4.8604e-009,1.1591
4.8990e-009,1.1662
4.9376e-009,1.1704
4.9762e-009,1.1708
5.0147e-009,1.1695
5.0533e-009,1.1683
5.0919e-009,1.1684
5.1305e-009,1.1700
5.1691e-009,1.1714
5.2076e-009,1.1722
5.2462e-009,1.1732
5.2848e-009,1.1743
5.3234e-009,1.1749
5.3619e-009,1.1751
5.4005e-009,1.1755
5.4391e-009,1.1759
5.4776e-009,1.1762
5.5162e-009,1.1763
5.5548e-009,1.1765
5.5934e-009,1.1771
5.6320e-009,1.1795
5.6705e-009,1.1823
5.7091e-009,1.1783
5.7477e-009,1.1530
5.7863e-009,1.0909
5.8248e-009,0.9934
5.8634e-009,0.8803
5.9020e-009,0.7666
5.9405e-009,0.6585
5.9791e-009,0.5647
6.0177e-009,0.4908
6.0563e-009,0.4376
6.0948e-009,0.4016
6.1334e-009,0.3767
6.1720e-009,0.3576
6.2106e-009,0.3444
6.2492e-009,0.3353
6.2877e-009,0.3270
6.3263e-009,0.3206
6.3649e-009,0.3185
6.4035e-009,0.3198
6.4420e-009,0.3224
6.4806e-009,0.3246
6.5192e-009,0.3259
6.5577e-009,0.3279
6.5963e-009,0.3344
6.6349e-009,0.3534
6.6735e-009,0.3975
6.7121e-009,0.4755
6.7506e-009,0.5839
6.7892e-009,0.6996
6.8278e-009,0.8013
6.8664e-009,0.8834
6.9049e-009,0.9521
6.9435e-009,1.0077
6.9821e-009,1.0503
7.0206e-009,1.0822
7.0592e-009,1.1054
7.0978e-009,1.1240
7.1364e-009,1.1391
7.1749e-009,1.1502
7.2135e-009,1.1583
7.2521e-009,1.1651
7.2907e-009,1.1687
7.3293e-009,1.1685
7.3678e-009,1.1673
7.4064e-009,1.1676
7.4450e-009,1.1691
7.4835e-009,1.1709
7.5221e-009,1.1720
7.5607e-009,1.1727
7.5993e-009,1.1736
7.6379e-009,1.1745
7.6764e-009,1.1749
7.7150e-009,1.1750
7.7536e-009,1.1755
7.7922e-009,1.1761
7.8307e-009,1.1763
7.8693e-009,1.1763
7.9079e-009,1.1767
7.9464e-009,1.1776
7.9850e-009,1.1803
8.0236e-009,1.1824
8.0622e-009,1.1753
8.1008e-009,1.1434
8.1393e-009,1.0730
8.1779e-009,0.9705
8.2165e-009,0.8563
8.2550e-009,0.7434
8.2936e-009,0.6374
8.3322e-009,0.5475
8.3708e-009,0.4780
8.4093e-009,0.4275
8.4479e-009,0.3892
8.4865e-009,0.3687
8.5251e-009,0.3759
8.5637e-009,0.4168
8.6022e-009,0.4978
8.6408e-009,0.6092
8.6794e-009,0.7261
8.7179e-009,0.8287
8.7565e-009,0.9144
8.7951e-009,0.9822
8.8337e-009,1.0337
8.8722e-009,1.0736
8.9108e-009,1.1156
8.9494e-009,1.1482
8.9880e-009,1.1637
9.0266e-009,1.1549
9.0651e-009,1.1043
9.1037e-009,1.0100
9.1423e-009,0.8923
9.1808e-009,0.7727
9.2194e-009,0.6575
9.2580e-009,0.5610
9.2966e-009,0.4878
9.3352e-009,0.4341
9.3737e-009,0.3981
9.4123e-009,0.3757
9.4509e-009,0.3572
9.4895e-009,0.3430
9.5280e-009,0.3338
9.5666e-009,0.3254
9.6052e-009,0.3187
9.6437e-009,0.3168
9.6823e-009,0.3183
9.7209e-009,0.3210
9.7595e-009,0.3243
9.7981e-009,0.3264
9.8366e-009,0.3271
9.8752e-009,0.3273
9.9138e-009,0.3269
9.9524e-009,0.3255
9.9909e-009,0.3243
1.00295e-008,0.3242
1.00681e-008,0.3240
1.01066e-008,0.3236
1.01452e-008,0.3235
1.01838e-008,0.3234
1.02224e-008,0.3231
1.02610e-008,0.3228
1.02995e-008,0.3224
1.03381e-008,0.3219
1.03767e-008,0.3218
1.04152e-008,0.3219
1.04538e-008,0.3218
1.04924e-008,0.3218
1.05310e-008,0.3219
1.05695e-008,0.3219
1.06081e-008,0.3219
1.06467e-008,0.3218
1.06853e-008,0.3217
1.07239e-008,0.3217
1.07624e-008,0.3222
1.08010e-008,0.3254
1.08396e-008,0.3377
1.08781e-008,0.3699
1.09167e-008,0.4334
1.09553e-008,0.5299
1.09939e-008,0.6457
1.10324e-008,0.7558
1.10710e-008,0.8465
1.11096e-008,0.9213
1.11482e-008,0.9831
1.11868e-008,1.0321
1.12253e-008,1.0687
1.12639e-008,1.0959
1.13025e-008,1.1161
1.13410e-008,1.1326
1.13796e-008,1.1455
1.14182e-008,1.1547
1.14568e-008,1.1620
1.14953e-008,1.1672
1.15339e-008,1.1685
1.15725e-008,1.1675
1.16111e-008,1.1670
1.16497e-008,1.1680
1.16882e-008,1.1699
1.17268e-008,1.1713
1.17654e-008,1.1721
1.18039e-008,1.1728
1.18425e-008,1.1738
1.18811e-008,1.1745
1.19197e-008,1.1747
1.19583e-008,1.1750
1.19968e-008,1.1756
1.20354e-008,1.1759
1.20740e-008,1.1760
1.21126e-008,1.1763
1.21511e-008,1.1767
1.21897e-008,1.1771
1.22283e-008,1.1772
1.22668e-008,1.1770
1.23054e-008,1.1769
1.23440e-008,1.1770
1.23826e-008,1.1772
1.24212e-008,1.1771
1.24597e-008,1.1771
1.24983e-008,1.1772
1.25369e-008,1.1773
1.25755e-008,1.1773
1.26140e-008,1.1773
1.26526e-008,1.1773
1.26912e-008,1.1774
1.27297e-008,1.1774
1.27683e-008,1.1773
1.28069e-008,1.1773
1.28455e-008,1.1774
1.28841e-008,1.1775
1.29226e-008,1.1775
1.29612e-008,1.1774
1.29998e-008,1.1775
1.30383e-008,1.1775
1.30769e-008,1.1775
