.HEADER
..NAMES
Time,V U3.E7
.DATA
0.0e+000,0.3207
3.86e-011,0.3207
7.72e-011,0.3207
1.157e-010,0.3207
1.543e-010,0.3207
1.929e-010,0.3207
2.314e-010,0.3207
2.700e-010,0.3207
3.086e-010,0.3207
3.472e-010,0.3207
3.857e-010,0.3207
4.243e-010,0.3212
4.629e-010,0.3245
5.015e-010,0.3367
5.401e-010,0.3685
5.786e-010,0.4314
6.172e-010,0.5271
6.558e-010,0.6421
6.944e-010,0.7515
7.329e-010,0.8417
7.715e-010,0.9163
8.101e-010,0.9796
8.486e-010,1.0317
8.872e-010,1.0752
9.258e-010,1.1192
9.644e-010,1.1545
1.0029e-009,1.1664
1.0415e-009,1.1477
1.0801e-009,1.0822
1.1187e-009,0.9768
1.1572e-009,0.8579
1.1958e-009,0.7413
1.2344e-009,0.6363
1.2730e-009,0.5485
1.3115e-009,0.4778
1.3501e-009,0.4250
1.3887e-009,0.3854
1.4273e-009,0.3607
1.4658e-009,0.3622
1.5044e-009,0.3997
1.5430e-009,0.4802
1.5816e-009,0.5969
1.6202e-009,0.7213
1.6587e-009,0.8278
1.6973e-009,0.9113
1.7359e-009,0.9773
1.7745e-009,1.0303
1.8130e-009,1.0727
1.8516e-009,1.1144
1.8902e-009,1.1503
1.9288e-009,1.1697
1.9673e-009,1.1626
2.0059e-009,1.1124
2.0445e-009,1.0163
2.0830e-009,0.8966
2.1216e-009,0.7761
2.1602e-009,0.6657
2.1988e-009,0.5723
2.2374e-009,0.4967
2.2759e-009,0.4395
2.3145e-009,0.4009
2.3531e-009,0.3733
2.3916e-009,0.3515
2.4302e-009,0.3362
2.4688e-009,0.3257
2.5074e-009,0.3190
2.5459e-009,0.3170
2.5845e-009,0.3186
2.6231e-009,0.3219
2.6617e-009,0.3249
2.7003e-009,0.3260
2.7388e-009,0.3261
2.7774e-009,0.3262
2.8160e-009,0.3258
2.8545e-009,0.3249
2.8931e-009,0.3242
2.9317e-009,0.3238
2.9703e-009,0.3236
3.0089e-009,0.3234
3.0474e-009,0.3230
3.0860e-009,0.3224
3.1246e-009,0.3218
3.1631e-009,0.3212
3.2017e-009,0.3208
3.2403e-009,0.3213
3.2789e-009,0.3250
3.3175e-009,0.3379
3.3560e-009,0.3711
3.3946e-009,0.4356
3.4332e-009,0.5327
3.4717e-009,0.6480
3.5103e-009,0.7566
3.5489e-009,0.8458
3.5875e-009,0.9198
3.6260e-009,0.9827
3.6646e-009,1.0342
3.7032e-009,1.0782
3.7418e-009,1.1221
3.7803e-009,1.1565
3.8189e-009,1.1666
3.8575e-009,1.1456
3.8961e-009,1.0778
3.9346e-009,0.9710
3.9732e-009,0.8519
4.0118e-009,0.7356
4.0504e-009,0.6314
4.0890e-009,0.5446
4.1275e-009,0.4746
4.1661e-009,0.4240
4.2047e-009,0.3900
4.2433e-009,0.3644
4.2818e-009,0.3450
4.3204e-009,0.3318
4.3590e-009,0.3227
4.3975e-009,0.3179
4.4361e-009,0.3175
4.4747e-009,0.3197
4.5133e-009,0.3229
4.5519e-009,0.3253
4.5904e-009,0.3258
4.6290e-009,0.3260
4.6676e-009,0.3261
4.7062e-009,0.3256
4.7447e-009,0.3247
4.7833e-009,0.3240
4.8219e-009,0.3237
4.8604e-009,0.3235
4.8990e-009,0.3233
4.9376e-009,0.3228
4.9762e-009,0.3222
5.0147e-009,0.3216
5.0533e-009,0.3211
5.0919e-009,0.3209
5.1305e-009,0.3221
5.1691e-009,0.3282
5.2076e-009,0.3470
5.2462e-009,0.3908
5.2848e-009,0.4679
5.3234e-009,0.5744
5.3619e-009,0.6898
5.4005e-009,0.7918
5.4391e-009,0.8744
5.4776e-009,0.9441
5.5162e-009,1.0030
5.5548e-009,1.0499
5.5934e-009,1.0848
5.6320e-009,1.1098
5.6705e-009,1.1291
5.7091e-009,1.1439
5.7477e-009,1.1540
5.7863e-009,1.1607
5.8248e-009,1.1644
5.8634e-009,1.1653
5.9020e-009,1.1652
5.9405e-009,1.1661
5.9791e-009,1.1682
6.0177e-009,1.1705
6.0563e-009,1.1731
6.0948e-009,1.1771
6.1334e-009,1.1800
6.1720e-009,1.1711
6.2106e-009,1.1345
6.2492e-009,1.0584
6.2877e-009,0.9535
6.3263e-009,0.8402
6.3649e-009,0.7297
6.4035e-009,0.6273
6.4420e-009,0.5393
6.4806e-009,0.4704
6.5192e-009,0.4219
6.5577e-009,0.3884
6.5963e-009,0.3635
6.6349e-009,0.3455
6.6735e-009,0.3331
6.7121e-009,0.3244
6.7506e-009,0.3194
6.7892e-009,0.3187
6.8278e-009,0.3206
6.8664e-009,0.3232
6.9049e-009,0.3249
6.9435e-009,0.3256
6.9821e-009,0.3264
7.0206e-009,0.3285
7.0592e-009,0.3372
7.0978e-009,0.3633
7.1364e-009,0.4193
7.1749e-009,0.5090
7.2135e-009,0.6218
7.2521e-009,0.7331
7.2907e-009,0.8264
7.3293e-009,0.9027
7.3678e-009,0.9675
7.4064e-009,1.0218
7.4450e-009,1.0641
7.4835e-009,1.0949
7.5221e-009,1.1175
7.5607e-009,1.1352
7.5993e-009,1.1483
7.6379e-009,1.1570
7.6764e-009,1.1625
7.7150e-009,1.1650
7.7536e-009,1.1652
7.7922e-009,1.1653
7.8307e-009,1.1669
7.8693e-009,1.1693
7.9079e-009,1.1714
7.9464e-009,1.1745
7.9850e-009,1.1787
8.0236e-009,1.1788
8.0622e-009,1.1619
8.1008e-009,1.1111
8.1393e-009,1.0220
8.1779e-009,0.9121
8.2165e-009,0.7990
8.2550e-009,0.6907
8.2936e-009,0.5930
8.3322e-009,0.5116
8.3708e-009,0.4502
8.4093e-009,0.4039
8.4479e-009,0.3720
8.4865e-009,0.3622
8.5251e-009,0.3864
8.5637e-009,0.4506
8.6022e-009,0.5538
8.6408e-009,0.6764
8.6794e-009,0.7896
8.7179e-009,0.8809
8.7565e-009,0.9531
8.7951e-009,1.0110
8.8337e-009,1.0575
8.8722e-009,1.0990
8.9108e-009,1.1375
8.9494e-009,1.1658
8.9880e-009,1.1691
9.0266e-009,1.1368
9.0651e-009,1.0566
9.1037e-009,0.9420
9.1423e-009,0.8207
9.1808e-009,0.7059
9.2194e-009,0.6054
9.2580e-009,0.5231
