.HEADER
..NAMES
Time,V U3.D3
.DATA
0.0e+000,1.1774
3.86e-011,1.1774
7.72e-011,1.1774
1.157e-010,1.1774
1.543e-010,1.1774
1.929e-010,1.1774
2.314e-010,1.1774
2.700e-010,1.1774
3.086e-010,1.1774
3.472e-010,1.1774
3.857e-010,1.1774
4.243e-010,1.1774
4.629e-010,1.1793
5.015e-010,1.1830
5.401e-010,1.1802
5.786e-010,1.1573
6.172e-010,1.0956
6.558e-010,0.9968
6.944e-010,0.8876
7.329e-010,0.7749
7.715e-010,0.6630
8.101e-010,0.5648
8.486e-010,0.4890
8.872e-010,0.4358
9.258e-010,0.3993
9.644e-010,0.3755
1.0029e-009,0.3595
1.0415e-009,0.3478
1.0801e-009,0.3364
1.1187e-009,0.3253
1.1572e-009,0.3194
1.1958e-009,0.3178
1.2344e-009,0.3171
1.2730e-009,0.3174
1.3115e-009,0.3198
1.3501e-009,0.3228
1.3887e-009,0.3244
1.4273e-009,0.3249
1.4658e-009,0.3245
1.5044e-009,0.3237
1.5430e-009,0.3226
1.5816e-009,0.3216
1.6202e-009,0.3215
1.6587e-009,0.3221
1.6973e-009,0.3220
1.7359e-009,0.3215
1.7745e-009,0.3216
1.8130e-009,0.3216
1.8516e-009,0.3217
1.8902e-009,0.3256
1.9288e-009,0.3400
1.9673e-009,0.3779
2.0059e-009,0.4501
2.0445e-009,0.5532
2.0830e-009,0.6725
2.1216e-009,0.7762
2.1602e-009,0.8646
2.1988e-009,0.9411
2.2374e-009,1.0030
2.2759e-009,1.0477
2.3145e-009,1.0816
2.3531e-009,1.1283
2.3916e-009,1.1502
2.4302e-009,1.1557
2.4688e-009,1.1378
2.5074e-009,1.0731
2.5459e-009,0.9677
2.5845e-009,0.8496
2.6231e-009,0.7304
2.6617e-009,0.6202
2.7003e-009,0.5296
2.7388e-009,0.4626
2.7774e-009,0.4160
2.8160e-009,0.3881
2.8545e-009,0.3687
2.8931e-009,0.3532
2.9317e-009,0.3431
2.9703e-009,0.3328
3.0089e-009,0.3220
3.0474e-009,0.3161
3.0860e-009,0.3154
3.1246e-009,0.3162
3.1631e-009,0.3181
3.2017e-009,0.3212
3.2403e-009,0.3236
3.2789e-009,0.3264
3.3175e-009,0.3349
3.3560e-009,0.3592
3.3946e-009,0.4141
