.HEADER
..NAMES
Time,V U5.E7
.DATA
0.0e+000,1.1765
3.86e-011,1.1765
7.72e-011,1.1765
1.157e-010,1.1765
1.543e-010,1.1765
1.929e-010,1.1765
2.314e-010,1.1765
2.700e-010,1.1765
3.086e-010,1.1765
3.472e-010,1.1765
3.857e-010,1.1765
4.243e-010,1.1765
4.629e-010,1.1765
5.015e-010,1.1773
5.401e-010,1.1811
5.786e-010,1.1817
6.172e-010,1.1679
6.558e-010,1.1215
6.944e-010,1.0336
7.329e-010,0.9267
7.715e-010,0.8162
8.101e-010,0.7027
8.486e-010,0.5993
8.872e-010,0.5156
9.258e-010,0.4562
9.644e-010,0.4137
1.0029e-009,0.3775
1.0415e-009,0.3723
1.0801e-009,0.3933
1.1187e-009,0.4476
1.1572e-009,0.5338
1.1958e-009,0.6427
1.2344e-009,0.7428
1.2730e-009,0.8305
1.3115e-009,0.9123
1.3501e-009,0.9810
1.3887e-009,1.0319
1.4273e-009,1.0672
1.4658e-009,1.0938
1.5044e-009,1.1144
1.5430e-009,1.1273
1.5816e-009,1.1346
1.6202e-009,1.1436
1.6587e-009,1.1531
1.6973e-009,1.1616
1.7359e-009,1.1689
1.7745e-009,1.1743
1.8130e-009,1.1748
1.8516e-009,1.1739
1.8902e-009,1.1744
1.9288e-009,1.1746
1.9673e-009,1.1738
2.0059e-009,1.1728
2.0445e-009,1.1730
2.0830e-009,1.1738
2.1216e-009,1.1738
2.1602e-009,1.1737
2.1988e-009,1.1749
2.2374e-009,1.1761
2.2759e-009,1.1763
2.3145e-009,1.1762
2.3531e-009,1.1762
2.3916e-009,1.1776
2.4302e-009,1.1810
2.4688e-009,1.1783
2.5074e-009,1.1553
2.5459e-009,1.0930
2.5845e-009,0.9946
2.6231e-009,0.8867
2.6617e-009,0.7743
2.7003e-009,0.6628
2.7388e-009,0.5655
2.7774e-009,0.4909
2.8160e-009,0.4395
2.8545e-009,0.4038
2.8931e-009,0.3794
2.9317e-009,0.3642
2.9703e-009,0.3564
3.0089e-009,0.3513
3.0474e-009,0.3459
3.0860e-009,0.3393
3.1246e-009,0.3302
3.1631e-009,0.3222
3.2017e-009,0.3192
3.2403e-009,0.3183
3.2789e-009,0.3180
3.3175e-009,0.3194
3.3560e-009,0.3224
3.3946e-009,0.3254
3.4332e-009,0.3265
3.4717e-009,0.3264
3.5103e-009,0.3262
3.5489e-009,0.3263
3.5875e-009,0.3256
3.6260e-009,0.3243
3.6646e-009,0.3234
3.7032e-009,0.3227
3.7418e-009,0.3227
3.7803e-009,0.3233
3.8189e-009,0.3237
3.8575e-009,0.3236
3.8961e-009,0.3237
3.9346e-009,0.3238
3.9732e-009,0.3237
4.0118e-009,0.3232
4.0504e-009,0.3229
4.0890e-009,0.3229
4.1275e-009,0.3230
4.1661e-009,0.3228
4.2047e-009,0.3227
4.2433e-009,0.3229
4.2818e-009,0.3265
4.3204e-009,0.3390
4.3590e-009,0.3726
4.3975e-009,0.4392
4.4361e-009,0.5375
4.4747e-009,0.6555
4.5133e-009,0.7614
4.5519e-009,0.8513
4.5904e-009,0.9296
4.6290e-009,0.9929
4.6676e-009,1.0393
4.7062e-009,1.0709
4.7447e-009,1.0939
4.7833e-009,1.1107
4.8219e-009,1.1228
4.8604e-009,1.1316
4.8990e-009,1.1397
4.9376e-009,1.1492
4.9762e-009,1.1592
5.0147e-009,1.1678
5.0533e-009,1.1733
5.0919e-009,1.1734
5.1305e-009,1.1721
5.1691e-009,1.1722
5.2076e-009,1.1761
5.2462e-009,1.1794
5.2848e-009,1.1745
5.3234e-009,1.1496
5.3619e-009,1.0854
5.4005e-009,0.9863
5.4391e-009,0.8781
5.4776e-009,0.7658
5.5162e-009,0.6560
5.5548e-009,0.5602
5.5934e-009,0.4866
5.6320e-009,0.4359
5.6705e-009,0.4004
5.7091e-009,0.3765
5.7477e-009,0.3623
5.7863e-009,0.3553
5.8248e-009,0.3500
5.8634e-009,0.3443
5.9020e-009,0.3378
5.9405e-009,0.3289
5.9791e-009,0.3212
6.0177e-009,0.3182
6.0563e-009,0.3174
6.0948e-009,0.3175
6.1334e-009,0.3188
6.1720e-009,0.3217
6.2106e-009,0.3246
6.2492e-009,0.3257
6.2877e-009,0.3257
6.3263e-009,0.3256
6.3649e-009,0.3257
6.4035e-009,0.3249
6.4420e-009,0.3236
6.4806e-009,0.3227
6.5192e-009,0.3221
6.5577e-009,0.3221
6.5963e-009,0.3227
6.6349e-009,0.3231
6.6735e-009,0.3231
6.7121e-009,0.3231
6.7506e-009,0.3232
6.7892e-009,0.3231
6.8278e-009,0.3227
6.8664e-009,0.3224
6.9049e-009,0.3224
6.9435e-009,0.3225
6.9821e-009,0.3223
7.0206e-009,0.3222
7.0592e-009,0.3223
7.0978e-009,0.3223
7.1364e-009,0.3224
7.1749e-009,0.3225
7.2135e-009,0.3224
7.2521e-009,0.3223
7.2907e-009,0.3222
7.3293e-009,0.3222
7.3678e-009,0.3222
7.4064e-009,0.3221
7.4450e-009,0.3221
7.4835e-009,0.3222
7.5221e-009,0.3222
7.5607e-009,0.3221
7.5993e-009,0.3221
7.6379e-009,0.3221
7.6764e-009,0.3221
7.7150e-009,0.3220
7.7536e-009,0.3220
7.7922e-009,0.3220
7.8307e-009,0.3219
7.8693e-009,0.3219
7.9079e-009,0.3219
7.9464e-009,0.3219
7.9850e-009,0.3219
8.0236e-009,0.3219
8.0622e-009,0.3219
8.1008e-009,0.3218
8.1393e-009,0.3218
8.1779e-009,0.3218
8.2165e-009,0.3218
8.2550e-009,0.3218
8.2936e-009,0.3218
8.3322e-009,0.3218
8.3708e-009,0.3218
8.4093e-009,0.3217
8.4479e-009,0.3218
8.4865e-009,0.3233
8.5251e-009,0.3309
8.5637e-009,0.3538
8.6022e-009,0.4058
8.6408e-009,0.4919
8.6794e-009,0.6045
8.7179e-009,0.7191
8.7565e-009,0.8140
8.7951e-009,0.8977
8.8337e-009,0.9676
8.8722e-009,1.0212
8.9108e-009,1.0583
8.9494e-009,1.0958
8.9880e-009,1.1359
9.0266e-009,1.1450
9.0651e-009,1.1414
9.1037e-009,1.1045
9.1423e-009,1.0277
9.1808e-009,0.9280
9.2194e-009,0.8180
9.2580e-009,0.7042
9.2966e-009,0.5982
9.3352e-009,0.5114
9.3737e-009,0.4502
9.4123e-009,0.4061
9.4509e-009,0.3725
9.4895e-009,0.3691
9.5280e-009,0.3957
9.5666e-009,0.4547
9.6052e-009,0.5417
9.6437e-009,0.6519
9.6823e-009,0.7515
9.7209e-009,0.8399
9.7595e-009,0.9194
9.7981e-009,0.9853
9.8366e-009,1.0342
9.8752e-009,1.0682
9.9138e-009,1.0940
9.9524e-009,1.1141
9.9909e-009,1.1268
1.00295e-008,1.1345
1.00681e-008,1.1433
1.01066e-008,1.1531
1.01452e-008,1.1612
1.01838e-008,1.1679
1.02224e-008,1.1731
1.02610e-008,1.1735
1.02995e-008,1.1728
1.03381e-008,1.1728
1.03767e-008,1.1729
1.04152e-008,1.1723
1.04538e-008,1.1715
1.04924e-008,1.1717
1.05310e-008,1.1726
1.05695e-008,1.1727
1.06081e-008,1.1727
1.06467e-008,1.1738
1.06853e-008,1.1750
1.07239e-008,1.1751
1.07624e-008,1.1750
1.08010e-008,1.1751
1.08396e-008,1.1771
1.08781e-008,1.1802
1.09167e-008,1.1754
1.09553e-008,1.1477
1.09939e-008,1.0790
1.10324e-008,0.9776
1.10710e-008,0.8694
1.11096e-008,0.7562
1.11482e-008,0.6462
1.11868e-008,0.5518
1.12253e-008,0.4809
1.12639e-008,0.4325
1.13025e-008,0.3986
1.13410e-008,0.3756
1.13796e-008,0.3618
1.14182e-008,0.3547
1.14568e-008,0.3496
1.14953e-008,0.3441
1.15339e-008,0.3373
1.15725e-008,0.3280
1.16111e-008,0.3207
1.16497e-008,0.3182
1.16882e-008,0.3174
1.17268e-008,0.3174
1.17654e-008,0.3190
1.18039e-008,0.3222
1.18425e-008,0.3250
1.18811e-008,0.3258
1.19197e-008,0.3256
1.19583e-008,0.3256
1.19968e-008,0.3256
1.20354e-008,0.3248
1.20740e-008,0.3235
1.21126e-008,0.3226
1.21511e-008,0.3220
1.21897e-008,0.3221
1.22283e-008,0.3227
1.22668e-008,0.3230
1.23054e-008,0.3230
1.23440e-008,0.3230
1.23826e-008,0.3232
1.24212e-008,0.3230
1.24597e-008,0.3225
1.24983e-008,0.3223
1.25369e-008,0.3223
1.25755e-008,0.3224
1.26140e-008,0.3222
1.26526e-008,0.3221
1.26912e-008,0.3222
1.27297e-008,0.3222
1.27683e-008,0.3223
1.28069e-008,0.3224
1.28455e-008,0.3223
1.28841e-008,0.3222
1.29226e-008,0.3222
1.29612e-008,0.3221
1.29998e-008,0.3221
1.30383e-008,0.3220
1.30769e-008,0.3220
1.31155e-008,0.3221
1.31541e-008,0.3221
1.31926e-008,0.3220
1.32312e-008,0.3220
1.32698e-008,0.3220
1.33084e-008,0.3220
1.33470e-008,0.3220
1.33855e-008,0.3219
1.34241e-008,0.3219
1.34627e-008,0.3219
1.35012e-008,0.3219
1.35398e-008,0.3219
1.35784e-008,0.3218
1.36170e-008,0.3219
1.36555e-008,0.3246
1.36941e-008,0.3350
1.37327e-008,0.3641
1.37713e-008,0.4252
1.38099e-008,0.5192
1.38484e-008,0.6359
1.38870e-008,0.7454
1.39256e-008,0.8370
1.39641e-008,0.9175
1.40027e-008,0.9834
1.40413e-008,1.0324
1.40799e-008,1.0658
1.41185e-008,1.0900
1.41570e-008,1.1077
1.41956e-008,1.1205
1.42342e-008,1.1296
