.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
0.0e+000,0.3221
3.86e-011,0.3221
7.72e-011,0.3221
1.157e-010,0.3221
1.543e-010,0.3221
1.929e-010,0.3221
2.314e-010,0.3221
2.700e-010,0.3221
3.086e-010,0.3221
3.472e-010,0.3221
3.857e-010,0.3221
4.243e-010,0.3221
4.629e-010,0.3221
5.015e-010,0.3221
5.401e-010,0.3221
5.786e-010,0.3221
6.172e-010,0.3221
6.558e-010,0.3221
6.944e-010,0.3225
7.329e-010,0.3259
7.715e-010,0.3381
8.101e-010,0.3695
8.486e-010,0.4302
8.872e-010,0.5214
9.258e-010,0.6305
9.644e-010,0.7366
1.0029e-009,0.8301
1.0415e-009,0.9139
1.0801e-009,0.9872
1.1187e-009,1.0436
1.1572e-009,1.0830
1.1958e-009,1.1191
1.2344e-009,1.1487
1.2730e-009,1.1583
1.3115e-009,1.1416
1.3501e-009,1.0894
1.3887e-009,1.0020
1.4273e-009,0.8895
1.4658e-009,0.7665
1.5044e-009,0.6489
1.5430e-009,0.5447
1.5816e-009,0.4632
1.6202e-009,0.4098
1.6587e-009,0.3748
1.6973e-009,0.3591
1.7359e-009,0.3705
1.7745e-009,0.4134
1.8130e-009,0.4889
1.8516e-009,0.5884
1.8902e-009,0.6976
1.9288e-009,0.8007
1.9673e-009,0.8903
2.0059e-009,0.9689
2.0445e-009,1.0334
2.0830e-009,1.0797
2.1216e-009,1.1166
2.1602e-009,1.1473
2.1988e-009,1.1629
2.2374e-009,1.1555
2.2759e-009,1.1145
2.3145e-009,1.0361
2.3531e-009,0.9293
2.3916e-009,0.8078
2.4302e-009,0.6873
2.4688e-009,0.5775
2.5074e-009,0.4869
2.5459e-009,0.4246
2.5845e-009,0.3838
2.6231e-009,0.3613
2.6617e-009,0.3634
2.7003e-009,0.3957
2.7388e-009,0.4614
2.7774e-009,0.5553
2.8160e-009,0.6637
2.8545e-009,0.7698
2.8931e-009,0.8632
2.9317e-009,0.9453
2.9703e-009,1.0153
3.0089e-009,1.0669
3.0474e-009,1.1055
3.0860e-009,1.1388
3.1246e-009,1.1602
3.1631e-009,1.1611
3.2017e-009,1.1317
3.2403e-009,1.0646
3.2789e-009,0.9654
3.3175e-009,0.8467
3.3560e-009,0.7246
3.3946e-009,0.6106
3.4332e-009,0.5126
3.4717e-009,0.4412
3.5103e-009,0.3954
3.5489e-009,0.3669
3.5875e-009,0.3600
3.6260e-009,0.3820
3.6646e-009,0.4374
3.7032e-009,0.5236
3.7418e-009,0.6288
3.7803e-009,0.7370
3.8189e-009,0.8350
3.8575e-009,0.9205
3.8961e-009,0.9949
3.9346e-009,1.0526
3.9732e-009,1.0940
4.0118e-009,1.1294
4.0504e-009,1.1556
4.0890e-009,1.1635
4.1275e-009,1.1450
4.1661e-009,1.0899
4.2047e-009,0.9997
4.2433e-009,0.8854
4.2818e-009,0.7626
4.3204e-009,0.6453
4.3590e-009,0.5413
4.3975e-009,0.4607
4.4361e-009,0.4079
4.4747e-009,0.3738
4.5133e-009,0.3592
4.5519e-009,0.3716
4.5904e-009,0.4162
4.6290e-009,0.4935
4.6676e-009,0.5943
4.7062e-009,0.7035
4.7447e-009,0.8055
4.7833e-009,0.8946
4.8219e-009,0.9728
4.8604e-009,1.0365
4.8990e-009,1.0820
4.9376e-009,1.1190
4.9762e-009,1.1491
5.0147e-009,1.1634
5.0533e-009,1.1544
5.0919e-009,1.1116
5.1305e-009,1.0315
5.1691e-009,0.9232
5.2076e-009,0.8012
5.2462e-009,0.6813
