.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
0.0e+000,-0.8547
3.86e-011,-0.8547
7.72e-011,-0.8547
1.157e-010,-0.8547
1.543e-010,-0.8547
1.929e-010,-0.8547
2.314e-010,-0.8547
2.700e-010,-0.8547
3.086e-010,-0.8547
3.472e-010,-0.8547
3.857e-010,-0.8547
4.243e-010,-0.8547
4.629e-010,-0.8547
5.015e-010,-0.8547
5.401e-010,-0.8547
5.786e-010,-0.8547
6.172e-010,-0.8547
6.558e-010,-0.8547
6.944e-010,-0.8546
7.329e-010,-0.8510
7.715e-010,-0.8323
8.101e-010,-0.7770
8.486e-010,-0.6624
8.872e-010,-0.4842
9.258e-010,-0.2679
9.644e-010,-0.0455
1.0029e-009,0.1658
1.0415e-009,0.3536
1.0801e-009,0.5052
1.1187e-009,0.6156
1.1572e-009,0.6969
1.1958e-009,0.7570
1.2344e-009,0.7848
1.2730e-009,0.7650
1.3115e-009,0.6763
1.3501e-009,0.5053
1.3887e-009,0.2811
1.4273e-009,0.0469
1.4658e-009,-0.1763
1.5044e-009,-0.3715
1.5430e-009,-0.5251
1.5816e-009,-0.6359
1.6202e-009,-0.7131
1.6587e-009,-0.7663
1.6973e-009,-0.7927
1.7359e-009,-0.7789
1.7745e-009,-0.7024
1.8130e-009,-0.5445
1.8516e-009,-0.3244
1.8902e-009,-0.0865
1.9288e-009,0.1418
1.9673e-009,0.3438
2.0059e-009,0.5058
2.0445e-009,0.6243
2.0830e-009,0.7054
2.1216e-009,0.7612
2.1602e-009,0.7914
2.1988e-009,0.7839
2.2374e-009,0.7188
2.2759e-009,0.5745
2.3145e-009,0.3619
2.3531e-009,0.1248
2.3916e-009,-0.1060
2.4302e-009,-0.3137
2.4688e-009,-0.4828
2.5074e-009,-0.6080
2.5459e-009,-0.6952
2.5845e-009,-0.7556
2.6231e-009,-0.7899
2.6617e-009,-0.7887
2.7003e-009,-0.7339
2.7388e-009,-0.6019
2.7774e-009,-0.3973
2.8160e-009,-0.1614
2.8545e-009,0.0718
2.8931e-009,0.2840
2.9317e-009,0.4592
2.9703e-009,0.5913
3.0089e-009,0.6831
3.0474e-009,0.7467
3.0860e-009,0.7862
3.1246e-009,0.7919
3.1631e-009,0.7473
3.2017e-009,0.6288
3.2403e-009,0.4336
3.2789e-009,0.1998
3.3175e-009,-0.0350
3.3560e-009,-0.2519
3.3946e-009,-0.4341
3.4332e-009,-0.5731
3.4717e-009,-0.6701
3.5103e-009,-0.7372
3.5489e-009,-0.7809
3.5875e-009,-0.7931
3.6260e-009,-0.7579
3.6646e-009,-0.6521
3.7032e-009,-0.4672
3.7418e-009,-0.2366
3.7803e-009,-0.0007
3.8189e-009,0.2199
3.8575e-009,0.4086
3.8961e-009,0.5544
