.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
0.0e+000,0.3219
3.86e-011,0.3219
7.72e-011,0.3219
1.157e-010,0.3219
1.543e-010,0.3219
1.929e-010,0.3219
2.314e-010,0.3219
2.700e-010,0.3219
3.086e-010,0.3219
3.472e-010,0.3219
3.857e-010,0.3219
4.243e-010,0.3219
4.629e-010,0.3219
5.015e-010,0.3219
5.401e-010,0.3219
5.786e-010,0.3219
6.172e-010,0.3219
6.558e-010,0.3220
6.944e-010,0.3233
7.329e-010,0.3293
7.715e-010,0.3474
8.101e-010,0.3885
8.486e-010,0.4602
8.872e-010,0.5599
9.258e-010,0.6724
9.644e-010,0.7794
1.0029e-009,0.8733
1.0415e-009,0.9529
1.0801e-009,1.0158
1.1187e-009,1.0612
1.1572e-009,1.0983
1.1958e-009,1.1315
1.2344e-009,1.1534
1.2730e-009,1.1569
1.3115e-009,1.1287
1.3501e-009,1.0552
1.3887e-009,0.9477
1.4273e-009,0.8264
1.4658e-009,0.7024
1.5044e-009,0.5904
1.5430e-009,0.5016
1.5816e-009,0.4368
1.6202e-009,0.3936
1.6587e-009,0.3693
1.6973e-009,0.3636
1.7359e-009,0.3836
1.7745e-009,0.4382
1.8130e-009,0.5292
1.8516e-009,0.6439
1.8902e-009,0.7597
1.9288e-009,0.8629
1.9673e-009,0.9499
2.0059e-009,1.0188
2.0445e-009,1.0681
2.0830e-009,1.1032
2.1216e-009,1.1326
2.1602e-009,1.1545
2.1988e-009,1.1625
2.2374e-009,1.1456
2.2759e-009,1.0863
2.3145e-009,0.9862
2.3531e-009,0.8664
2.3916e-009,0.7414
2.4302e-009,0.6237
2.4688e-009,0.5265
2.5074e-009,0.4535
2.5459e-009,0.4034
2.5845e-009,0.3737
2.6231e-009,0.3625
2.6617e-009,0.3742
2.7003e-009,0.4174
2.7388e-009,0.4974
2.7774e-009,0.6069
2.8160e-009,0.7245
2.8545e-009,0.8323
2.8931e-009,0.9245
2.9317e-009,0.9992
2.9703e-009,1.0546
3.0089e-009,1.0932
3.0474e-009,1.1243
3.0860e-009,1.1493
3.1246e-009,1.1622
3.1631e-009,1.1548
3.2017e-009,1.1101
3.2403e-009,1.0210
3.2789e-009,0.9053
3.3175e-009,0.7808
3.3560e-009,0.6590
3.3946e-009,0.5546
3.4332e-009,0.4740
3.4717e-009,0.4173
3.5103e-009,0.3817
3.5489e-009,0.3644
3.5875e-009,0.3677
3.6260e-009,0.4001
3.6646e-009,0.4684
3.7032e-009,0.5703
3.7418e-009,0.6878
3.7803e-009,0.7997
3.8189e-009,0.8971
3.8575e-009,0.9777
3.8961e-009,1.0393
3.9346e-009,1.0822
3.9732e-009,1.1152
4.0118e-009,1.1427
4.0504e-009,1.1598
4.0890e-009,1.1604
4.1275e-009,1.1294
4.1661e-009,1.0532
4.2047e-009,0.9435
4.2433e-009,0.8205
4.2818e-009,0.6963
4.3204e-009,0.5851
4.3590e-009,0.4969
4.3975e-009,0.4328
4.4361e-009,0.3908
4.4747e-009,0.3678
4.5133e-009,0.3639
4.5519e-009,0.3862
4.5904e-009,0.4428
4.6290e-009,0.5352
4.6676e-009,0.6505
4.7062e-009,0.7657
4.7447e-009,0.8680
4.7833e-009,0.9542
4.8219e-009,1.0219
4.8604e-009,1.0702
4.8990e-009,1.1055
4.9376e-009,1.1350
4.9762e-009,1.1560
5.0147e-009,1.1627
5.0533e-009,1.1438
5.0919e-009,1.0820
5.1305e-009,0.9804
5.1691e-009,0.8600
5.2076e-009,0.7348
5.2462e-009,0.6180
5.2848e-009,0.5222
5.3234e-009,0.4505
5.3619e-009,0.4018
5.4005e-009,0.3731
5.4391e-009,0.3627
5.4776e-009,0.3757
5.5162e-009,0.4208
5.5548e-009,0.5025
5.5934e-009,0.6130
5.6320e-009,0.7303
5.6705e-009,0.8374
5.7091e-009,0.9288
5.7477e-009,1.0026
5.7863e-009,1.0569
5.8248e-009,1.0952
