.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
0.0e+000,-0.8569
3.86e-011,-0.8569
7.72e-011,-0.8569
1.157e-010,-0.8569
1.543e-010,-0.8569
1.929e-010,-0.8569
2.314e-010,-0.8569
2.700e-010,-0.8569
3.086e-010,-0.8569
3.472e-010,-0.8569
3.857e-010,-0.8569
4.243e-010,-0.8569
4.629e-010,-0.8569
5.015e-010,-0.8569
5.401e-010,-0.8569
5.786e-010,-0.8569
6.172e-010,-0.8569
6.558e-010,-0.8570
6.944e-010,-0.8566
7.329e-010,-0.8477
7.715e-010,-0.8110
8.101e-010,-0.7194
8.486e-010,-0.5556
8.872e-010,-0.3365
9.258e-010,-0.1079
9.644e-010,0.1124
1.0029e-009,0.3031
1.0415e-009,0.4549
1.0801e-009,0.5708
1.1187e-009,0.6610
1.1572e-009,0.7489
1.1958e-009,0.7904
1.2344e-009,0.7901
1.2730e-009,0.7264
1.3115e-009,0.5741
1.3501e-009,0.3424
1.3887e-009,0.1053
1.4273e-009,-0.1205
1.4658e-009,-0.3182
1.5044e-009,-0.4706
1.5430e-009,-0.5825
1.5816e-009,-0.6674
1.6202e-009,-0.7518
1.6587e-009,-0.7993
1.6973e-009,-0.8005
1.7359e-009,-0.7486
1.7745e-009,-0.6121
1.8130e-009,-0.3826
1.8516e-009,-0.1396
1.8902e-009,0.0909
1.9288e-009,0.2975
1.9673e-009,0.4579
2.0059e-009,0.5726
2.0445e-009,0.6576
2.0830e-009,0.7378
2.1216e-009,0.7946
2.1602e-009,0.8011
2.1988e-009,0.7597
2.2374e-009,0.6407
2.2759e-009,0.4231
2.3145e-009,0.1781
2.3531e-009,-0.0522
2.3916e-009,-0.2628
2.4302e-009,-0.4314
2.4688e-009,-0.5532
2.5074e-009,-0.6429
2.5459e-009,-0.7256
2.5845e-009,-0.7916
2.6231e-009,-0.8037
2.6617e-009,-0.7718
2.7003e-009,-0.6667
2.7388e-009,-0.4610
2.7774e-009,-0.2143
2.8160e-009,0.0195
2.8545e-009,0.2364
2.8931e-009,0.4130
2.9317e-009,0.5411
2.9703e-009,0.6331
3.0089e-009,0.7115
3.0474e-009,0.7844
3.0860e-009,0.8026
3.1246e-009,0.7801
3.1631e-009,0.6890
3.2017e-009,0.4997
3.2403e-009,0.2540
3.2789e-009,0.0191
3.3175e-009,-0.1997
3.3560e-009,-0.3834
3.3946e-009,-0.5192
3.4332e-009,-0.6170
3.4717e-009,-0.6960
3.5103e-009,-0.7756
3.5489e-009,-0.8026
3.5875e-009,-0.7877
3.6260e-009,-0.7092
3.6646e-009,-0.5361
3.7032e-009,-0.2912
3.7418e-009,-0.0531
3.7803e-009,0.1710
3.8189e-009,0.3623
3.8575e-009,0.5053
3.8961e-009,0.6069
3.9346e-009,0.6859
3.9732e-009,0.7672
4.0118e-009,0.8009
4.0504e-009,0.7939
4.0890e-009,0.7266
4.1275e-009,0.5704
4.1661e-009,0.3321
4.2047e-009,0.0920
4.2433e-009,-0.1331
4.2818e-009,-0.3303
4.3204e-009,-0.4813
4.3590e-009,-0.5891
4.3975e-009,-0.6711
4.4361e-009,-0.7541
4.4747e-009,-0.7997
4.5133e-009,-0.7980
4.5519e-009,-0.7426
4.5904e-009,-0.6025
4.6290e-009,-0.3701
4.6676e-009,-0.1268
4.7062e-009,0.1023
4.7447e-009,0.3067
4.7833e-009,0.4654
4.8219e-009,0.5781
4.8604e-009,0.6616
4.8990e-009,0.7440
4.9376e-009,0.7962
4.9762e-009,0.8013
5.0147e-009,0.7559
5.0533e-009,0.6318
5.0919e-009,0.4105
5.1305e-009,0.1661
5.1691e-009,-0.0638
5.2076e-009,-0.2725
5.2462e-009,-0.4388
5.2848e-009,-0.5586
5.3234e-009,-0.6467
5.3619e-009,-0.7282
5.4005e-009,-0.7927
5.4391e-009,-0.8027
5.4776e-009,-0.7679
5.5162e-009,-0.6585
5.5548e-009,-0.4488
5.5934e-009,-0.2018
5.6320e-009,0.0312
5.6705e-009,0.2464
5.7091e-009,0.4206
5.7477e-009,0.5465
5.7863e-009,0.6373
5.8248e-009,0.7174
5.8634e-009,0.7873
5.9020e-009,0.8034
5.9405e-009,0.7777
5.9791e-009,0.6822
6.0177e-009,0.4874
6.0563e-009,0.2418
6.0948e-009,0.0075
6.1334e-009,-0.2103
6.1720e-009,-0.3916
6.2106e-009,-0.5251
6.2492e-009,-0.6212
6.2877e-009,-0.7013
6.3263e-009,-0.7798
6.3649e-009,-0.8032
6.4035e-009,-0.7861
6.4420e-009,-0.7035
6.4806e-009,-0.5240
6.5192e-009,-0.2787
6.5577e-009,-0.0415
6.5963e-009,0.1818
6.6349e-009,0.3708
6.6735e-009,0.5114
6.7121e-009,0.6112
6.7506e-009,0.6891
6.7892e-009,0.7691
6.8278e-009,0.8009
6.8664e-009,0.7914
6.9049e-009,0.7208
6.9435e-009,0.5597
6.9821e-009,0.3191
7.0206e-009,0.0798
7.0592e-009,-0.1442
7.0978e-009,-0.3394
7.1364e-009,-0.4877
7.1749e-009,-0.5938
7.2135e-009,-0.6757
7.2521e-009,-0.7597
7.2907e-009,-0.8008
7.3293e-009,-0.7975
7.3678e-009,-0.7382
7.4064e-009,-0.5923
7.4450e-009,-0.3575
7.4835e-009,-0.1152
7.5221e-009,0.1135
7.5607e-009,0.3159
7.5993e-009,0.4722
7.6379e-009,0.5828
7.6764e-009,0.6652
7.7150e-009,0.7462
7.7536e-009,0.7969
7.7922e-009,0.7997
7.8307e-009,0.7512
7.8693e-009,0.6225
7.9079e-009,0.3978
7.9464e-009,0.1536
7.9850e-009,-0.0753
8.0236e-009,-0.2823
8.0622e-009,-0.4461
8.1008e-009,-0.5638
8.1393e-009,-0.6510
8.1779e-009,-0.7344
8.2165e-009,-0.7947
8.2550e-009,-0.8030
8.2936e-009,-0.7648
8.3322e-009,-0.6504
8.3708e-009,-0.4362
8.4093e-009,-0.1900
8.4479e-009,0.0427
8.4865e-009,0.2564
8.5251e-009,0.4281
8.5637e-009,0.5518
8.6022e-009,0.6411
8.6408e-009,0.7201
8.6794e-009,0.7885
8.7179e-009,0.8026
8.7565e-009,0.7742
8.7951e-009,0.6745
8.8337e-009,0.4752
8.8722e-009,0.2291
8.9108e-009,-0.0043
8.9494e-009,-0.2207
8.9880e-009,-0.3996
9.0266e-009,-0.5308
9.0651e-009,-0.6256
9.1037e-009,-0.7044
9.1423e-009,-0.7812
9.1808e-009,-0.8029
9.2194e-009,-0.7830
9.2580e-009,-0.6965
9.2966e-009,-0.5128
9.3352e-009,-0.2661
9.3737e-009,-0.0296
9.4123e-009,0.1924
9.4509e-009,0.3791
9.4895e-009,0.5172
9.5280e-009,0.6156
9.5666e-009,0.6940
9.6052e-009,0.7736
9.6437e-009,0.8018
9.6823e-009,0.7902
9.7209e-009,0.7154
9.7595e-009,0.5484
9.7981e-009,0.3066
9.8366e-009,0.0681
9.8752e-009,-0.1551
9.9138e-009,-0.3481
9.9524e-009,-0.4941
9.9909e-009,-0.5985
1.00295e-008,-0.6791
1.00681e-008,-0.7618
1.01066e-008,-0.8010
1.01452e-008,-0.7954
1.01838e-008,-0.7328
1.02224e-008,-0.5821
1.02610e-008,-0.3446
1.02995e-008,-0.1030
1.03381e-008,0.1247
1.03767e-008,0.3251
1.04152e-008,0.4787
1.04538e-008,0.5876
1.04924e-008,0.6694
1.05310e-008,0.7521
1.05695e-008,0.7981
1.06081e-008,0.7996
1.06467e-008,0.7473
1.06853e-008,0.6130
1.07239e-008,0.3851
1.07624e-008,0.1418
1.08010e-008,-0.0866
1.08396e-008,-0.2918
1.08781e-008,-0.4532
1.09167e-008,-0.5689
1.09553e-008,-0.6547
1.09939e-008,-0.7370
1.10324e-008,-0.7956
1.10710e-008,-0.8017
1.11096e-008,-0.7606
1.11482e-008,-0.6417
1.11868e-008,-0.4236
1.12253e-008,-0.1775
1.12639e-008,0.0543
1.13025e-008,0.2664
1.13410e-008,0.4355
1.13796e-008,0.5570
1.14182e-008,0.6452
1.14568e-008,0.7262
1.14953e-008,0.7908
1.15339e-008,0.8032
1.15725e-008,0.7714
1.16111e-008,0.6670
1.16497e-008,0.4628
1.16882e-008,0.2170
1.17268e-008,-0.0158
1.17654e-008,-0.2310
1.18039e-008,-0.4075
1.18425e-008,-0.5364
1.18811e-008,-0.6297
1.19197e-008,-0.7101
1.19583e-008,-0.7848
1.19968e-008,-0.8035
1.20354e-008,-0.7810
1.20740e-008,-0.6902
1.21126e-008,-0.5003
1.21511e-008,-0.2537
1.21897e-008,-0.0179
1.22283e-008,0.2031
1.22668e-008,0.3874
1.23054e-008,0.5231
1.23440e-008,0.6198
1.23826e-008,0.6971
1.24212e-008,0.7753
1.24597e-008,0.8016
1.24983e-008,0.7874
1.25369e-008,0.7091
1.25755e-008,0.5373
1.26140e-008,0.2937
1.26526e-008,0.0561
1.26912e-008,-0.1660
1.27297e-008,-0.3569
1.27683e-008,-0.5003
1.28069e-008,-0.6031
1.28455e-008,-0.6839
1.28841e-008,-0.7669
