.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
0.0e+000,0.3209
3.86e-011,0.3209
7.72e-011,0.3209
1.157e-010,0.3209
1.543e-010,0.3209
1.929e-010,0.3209
2.314e-010,0.3209
2.700e-010,0.3209
3.086e-010,0.3209
3.472e-010,0.3209
3.857e-010,0.3209
4.243e-010,0.3209
4.629e-010,0.3209
5.015e-010,0.3209
5.401e-010,0.3209
5.786e-010,0.3209
6.172e-010,0.3209
6.558e-010,0.3211
6.944e-010,0.3245
7.329e-010,0.3365
7.715e-010,0.3675
8.101e-010,0.4293
8.486e-010,0.5220
8.872e-010,0.6365
9.258e-010,0.7471
9.644e-010,0.8423
1.0029e-009,0.9215
1.0415e-009,0.9849
1.0801e-009,1.0347
1.1187e-009,1.0775
1.1572e-009,1.1282
1.1958e-009,1.1570
1.2344e-009,1.1688
1.2730e-009,1.1536
1.3115e-009,1.0897
1.3501e-009,0.9795
1.3887e-009,0.8601
1.4273e-009,0.7326
1.4658e-009,0.6166
1.5044e-009,0.5256
1.5430e-009,0.4591
1.5816e-009,0.4134
1.6202e-009,0.3765
1.6587e-009,0.3615
1.6973e-009,0.3699
1.7359e-009,0.4112
1.7745e-009,0.4907
1.8130e-009,0.6114
1.8516e-009,0.7336
1.8902e-009,0.8379
1.9288e-009,0.9258
1.9673e-009,0.9919
2.0059e-009,1.0386
2.0445e-009,1.0771
2.0830e-009,1.1212
2.1216e-009,1.1574
2.1602e-009,1.1705
2.1988e-009,1.1653
2.2374e-009,1.1193
2.2759e-009,1.0170
2.3145e-009,0.8975
2.3531e-009,0.7720
2.3916e-009,0.6497
2.4302e-009,0.5497
2.4688e-009,0.4765
2.5074e-009,0.4258
2.5459e-009,0.3866
2.5845e-009,0.3627
2.6231e-009,0.3649
2.6617e-009,0.3947
2.7003e-009,0.4607
2.7388e-009,0.5705
2.7774e-009,0.6972
2.8160e-009,0.8066
2.8545e-009,0.9003
2.8931e-009,0.9739
2.9317e-009,1.0258
2.9703e-009,1.0652
3.0089e-009,1.1058
3.0474e-009,1.1501
3.0860e-009,1.1673
3.1246e-009,1.1705
3.1631e-009,1.1401
3.2017e-009,1.0536
3.2403e-009,0.9354
3.2789e-009,0.8123
3.3175e-009,0.6866
3.3560e-009,0.5785
3.3946e-009,0.4968
3.4332e-009,0.4398
3.4717e-009,0.3994
3.5103e-009,0.3673
3.5489e-009,0.3627
3.5875e-009,0.3817
3.6260e-009,0.4359
3.6646e-009,0.5312
3.7032e-009,0.6585
3.7418e-009,0.7738
3.7803e-009,0.8724
3.8189e-009,0.9530
3.8575e-009,1.0114
3.8961e-009,1.0534
3.9346e-009,1.0916
3.9732e-009,1.1392
4.0118e-009,1.1633
4.0504e-009,1.1723
4.0890e-009,1.1547
4.1275e-009,1.0871
4.1661e-009,0.9733
4.2047e-009,0.8523
4.2433e-009,0.7254
4.2818e-009,0.6099
4.3204e-009,0.5197
4.3590e-009,0.4555
4.3975e-009,0.4113
4.4361e-009,0.3750
4.4747e-009,0.3616
4.5133e-009,0.3720
4.5519e-009,0.4149
4.5904e-009,0.4959
4.6290e-009,0.6179
4.6676e-009,0.7396
4.7062e-009,0.8428
4.7447e-009,0.9298
4.7833e-009,0.9953
4.8219e-009,1.0410
4.8604e-009,1.0790
4.8990e-009,1.1249
4.9376e-009,1.1586
4.9762e-009,1.1713
5.0147e-009,1.1644
5.0533e-009,1.1154
5.0919e-009,1.0109
5.1305e-009,0.8913
5.1691e-009,0.7654
5.2076e-009,0.6440
5.2462e-009,0.5453
5.2848e-009,0.4733
5.3234e-009,0.4237
5.3619e-009,0.3854
5.4005e-009,0.3624
5.4391e-009,0.3660
5.4776e-009,0.3974
5.5162e-009,0.4653
5.5548e-009,0.5770
5.5934e-009,0.7033
5.6320e-009,0.8117
5.6705e-009,0.9045
5.7091e-009,0.9770
5.7477e-009,1.0279
5.7863e-009,1.0672
5.8248e-009,1.1092
5.8634e-009,1.1520
5.9020e-009,1.1683
5.9405e-009,1.1702
5.9791e-009,1.1374
6.0177e-009,1.0476
6.0563e-009,0.9294
6.0948e-009,0.8058
6.1334e-009,0.6805
6.1720e-009,0.5736
6.2106e-009,0.4933
6.2492e-009,0.4375
6.2877e-009,0.3971
6.3263e-009,0.3660
6.3649e-009,0.3628
6.4035e-009,0.3834
6.4420e-009,0.4394
6.4806e-009,0.5375
6.5192e-009,0.6649
6.5577e-009,0.7792
6.5963e-009,0.8770
6.6349e-009,0.9565
6.6735e-009,1.0138
6.7121e-009,1.0553
6.7506e-009,1.0932
6.7892e-009,1.1402
6.8278e-009,1.1637
6.8664e-009,1.1718
6.9049e-009,1.1524
6.9435e-009,1.0821
6.9821e-009,0.9670
7.0206e-009,0.8457
7.0592e-009,0.7189
7.0978e-009,0.6046
7.1364e-009,0.5159
7.1749e-009,0.4529
7.2135e-009,0.4091
7.2521e-009,0.3731
7.2907e-009,0.3615
7.3293e-009,0.3730
7.3678e-009,0.4180
7.4064e-009,0.5013
7.4450e-009,0.6244
7.4835e-009,0.7451
7.5221e-009,0.8476
7.5607e-009,0.9337
7.5993e-009,0.9980
7.6379e-009,1.0430
7.6764e-009,1.0807
7.7150e-009,1.1262
7.7536e-009,1.1592
7.7922e-009,1.1712
7.8307e-009,1.1628
7.8693e-009,1.1112
7.9079e-009,1.0049
7.9464e-009,0.8848
7.9850e-009,0.7587
8.0236e-009,0.6382
8.0622e-009,0.5409
8.1008e-009,0.4703
8.1393e-009,0.4215
8.1779e-009,0.3830
8.2165e-009,0.3620
8.2550e-009,0.3663
8.2936e-009,0.3999
8.3322e-009,0.4698
8.3708e-009,0.5835
8.4093e-009,0.7092
8.4479e-009,0.8167
8.4865e-009,0.9087
8.5251e-009,0.9801
8.5637e-009,1.0301
8.6022e-009,1.0690
8.6408e-009,1.1107
8.6794e-009,1.1528
8.7179e-009,1.1685
8.7565e-009,1.1692
8.7951e-009,1.1341
8.8337e-009,1.0419
8.8722e-009,0.9231
8.9108e-009,0.7991
8.9494e-009,0.6744
8.9880e-009,0.5688
9.0266e-009,0.4899
9.0651e-009,0.4351
9.1037e-009,0.3956
9.1423e-009,0.3655
9.1808e-009,0.3634
9.2194e-009,0.3856
9.2580e-009,0.4435
9.2966e-009,0.5435
9.3352e-009,0.6712
9.3737e-009,0.7845
9.4123e-009,0.8815
9.4509e-009,0.9599
9.4895e-009,1.0162
9.5280e-009,1.0573
9.5666e-009,1.0960
9.6052e-009,1.1432
9.6437e-009,1.1647
9.6823e-009,1.1721
9.7209e-009,1.1505
9.7595e-009,1.0768
9.7981e-009,0.9610
9.8366e-009,0.8394
9.8752e-009,0.7126
9.9138e-009,0.5994
9.9524e-009,0.5120
9.9909e-009,0.4502
1.00295e-008,0.4074
1.00681e-008,0.3721
1.01066e-008,0.3617
1.01452e-008,0.3747
1.01838e-008,0.4213
1.02224e-008,0.5068
1.02610e-008,0.6310
1.02995e-008,0.7508
1.03381e-008,0.8524
1.03767e-008,0.9375
1.04152e-008,1.0006
1.04538e-008,1.0450
1.04924e-008,1.0829
1.05310e-008,1.1299
1.05695e-008,1.1603
1.06081e-008,1.1719
