.HEADER
..NAMES
Time,V U4.F3&G3
.DATA
0.0e+000,1.1766
3.86e-011,1.1766
7.72e-011,1.1766
1.157e-010,1.1766
1.543e-010,1.1766
1.929e-010,1.1766
2.314e-010,1.1766
2.700e-010,1.1766
3.086e-010,1.1766
3.472e-010,1.1766
3.857e-010,1.1766
4.243e-010,1.1766
4.629e-010,1.1766
5.015e-010,1.1766
5.401e-010,1.1766
5.786e-010,1.1766
6.172e-010,1.1766
6.558e-010,1.1769
6.944e-010,1.1787
7.329e-010,1.1813
7.715e-010,1.1786
8.101e-010,1.1580
8.486e-010,1.1049
8.872e-010,1.0176
9.258e-010,0.9090
9.644e-010,0.7909
1.0029e-009,0.6716
1.0415e-009,0.5643
1.0801e-009,0.4826
1.1187e-009,0.4277
1.1572e-009,0.3889
1.1958e-009,0.3664
1.2344e-009,0.3702
1.2730e-009,0.4073
1.3115e-009,0.4795
1.3501e-009,0.5829
1.3887e-009,0.7017
1.4273e-009,0.8147
1.4658e-009,0.9122
1.5044e-009,0.9916
1.5430e-009,1.0491
1.5816e-009,1.0853
1.6202e-009,1.1152
1.6587e-009,1.1445
1.6973e-009,1.1628
1.7359e-009,1.1603
1.7745e-009,1.1239
1.8130e-009,1.0441
1.8516e-009,0.9293
1.8902e-009,0.8020
1.9288e-009,0.6777
1.9673e-009,0.5652
2.0059e-009,0.4775
2.0445e-009,0.4211
2.0830e-009,0.3863
2.1216e-009,0.3652
2.1602e-009,0.3635
2.1988e-009,0.3896
2.2374e-009,0.4494
2.2759e-009,0.5440
2.3145e-009,0.6614
2.3531e-009,0.7788
2.3916e-009,0.8828
2.4302e-009,0.9704
2.4688e-009,1.0366
2.5074e-009,1.0783
2.5459e-009,1.1077
2.5845e-009,1.1371
2.6231e-009,1.1591
2.6617e-009,1.1634
2.7003e-009,1.1390
2.7388e-009,1.0737
2.7774e-009,0.9684
2.8160e-009,0.8428
2.8545e-009,0.7166
2.8931e-009,0.5991
2.9317e-009,0.5021
2.9703e-009,0.4357
3.0089e-009,0.3951
3.0474e-009,0.3697
3.0860e-009,0.3612
3.1246e-009,0.3779
3.1631e-009,0.4267
3.2017e-009,0.5108
3.2403e-009,0.6235
3.2789e-009,0.7429
3.3175e-009,0.8515
3.3560e-009,0.9446
3.3946e-009,1.0182
3.4332e-009,1.0674
3.4717e-009,1.0978
3.5103e-009,1.1265
3.5489e-009,1.1528
3.5875e-009,1.1642
3.6260e-009,1.1503
3.6646e-009,1.0986
3.7032e-009,1.0049
3.7418e-009,0.8836
3.7803e-009,0.7561
3.8189e-009,0.6346
3.8575e-009,0.5297
3.8961e-009,0.4534
3.9346e-009,0.4060
