.HEADER
..NAMES
Time,V U4.C7&B7
.DATA
0.0e+000,1.1766
3.86e-011,1.1766
7.72e-011,1.1766
1.157e-010,1.1766
1.543e-010,1.1766
1.929e-010,1.1766
2.314e-010,1.1766
2.700e-010,1.1766
3.086e-010,1.1766
3.472e-010,1.1766
3.857e-010,1.1766
4.243e-010,1.1766
4.629e-010,1.1766
5.015e-010,1.1766
5.401e-010,1.1766
5.786e-010,1.1766
6.172e-010,1.1766
6.558e-010,1.1768
6.944e-010,1.1788
7.329e-010,1.1824
7.715e-010,1.1806
8.101e-010,1.1604
8.486e-010,1.1025
8.872e-010,1.0066
9.258e-010,0.8931
9.644e-010,0.7710
1.0029e-009,0.6565
1.0415e-009,0.5560
1.0801e-009,0.4773
1.1187e-009,0.4258
1.1572e-009,0.3865
1.1958e-009,0.3647
1.2344e-009,0.3691
1.2730e-009,0.4091
1.3115e-009,0.4900
1.3501e-009,0.5987
1.3887e-009,0.7175
1.4273e-009,0.8219
1.4658e-009,0.9098
1.5044e-009,0.9797
1.5430e-009,1.0352
1.5816e-009,1.0774
1.6202e-009,1.1142
1.6587e-009,1.1495
1.6973e-009,1.1635
1.7359e-009,1.1631
1.7745e-009,1.1225
1.8130e-009,1.0376
1.8516e-009,0.9263
1.8902e-009,0.7950
1.9288e-009,0.6732
1.9673e-009,0.5679
2.0059e-009,0.4829
2.0445e-009,0.4276
2.0830e-009,0.3885
2.1216e-009,0.3634
2.1602e-009,0.3627
2.1988e-009,0.3892
2.2374e-009,0.4579
2.2759e-009,0.5596
2.3145e-009,0.6793
2.3531e-009,0.7895
2.3916e-009,0.8826
2.4302e-009,0.9588
2.4688e-009,1.0195
2.5074e-009,1.0669
2.5459e-009,1.1021
2.5845e-009,1.1415
2.6231e-009,1.1609
2.6617e-009,1.1664
2.7003e-009,1.1406
2.7388e-009,1.0672
2.7774e-009,0.9642
2.8160e-009,0.8372
2.8545e-009,0.7096
2.8931e-009,0.5995
2.9317e-009,0.5065
2.9703e-009,0.4426
3.0089e-009,0.4001
3.0474e-009,0.3683
3.0860e-009,0.3606
3.1246e-009,0.3764
3.1631e-009,0.4319
3.2017e-009,0.5244
3.2403e-009,0.6411
3.2789e-009,0.7570
3.3175e-009,0.8550
3.3560e-009,0.9367
3.3946e-009,1.0015
3.4332e-009,1.0537
3.4717e-009,1.0903
3.5103e-009,1.1283
3.5489e-009,1.1564
3.5875e-009,1.1657
3.6260e-009,1.1540
3.6646e-009,1.0944
3.7032e-009,0.9988
3.7418e-009,0.8797
3.7803e-009,0.7481
3.8189e-009,0.6328
3.8575e-009,0.5332
3.8961e-009,0.4595
3.9346e-009,0.4126
