.HEADER
..NAMES
Time,V U5.C7&B7
.DATA
0.0e+000,1.1765
3.86e-011,1.1765
7.72e-011,1.1765
1.157e-010,1.1765
1.543e-010,1.1765
1.929e-010,1.1765
2.314e-010,1.1765
2.700e-010,1.1765
3.086e-010,1.1765
3.472e-010,1.1765
3.857e-010,1.1765
4.243e-010,1.1765
4.629e-010,1.1765
5.015e-010,1.1765
5.401e-010,1.1765
5.786e-010,1.1765
6.172e-010,1.1765
6.558e-010,1.1765
6.944e-010,1.1774
7.329e-010,1.1798
7.715e-010,1.1807
8.101e-010,1.1707
8.486e-010,1.1341
8.872e-010,1.0595
9.258e-010,0.9552
9.644e-010,0.8374
1.0029e-009,0.7195
1.0415e-009,0.6124
1.0801e-009,0.5230
1.1187e-009,0.4540
1.1572e-009,0.4065
1.1958e-009,0.3768
1.2344e-009,0.3676
1.2730e-009,0.3864
1.3115e-009,0.4430
1.3501e-009,0.5386
1.3887e-009,0.6569
1.4273e-009,0.7703
1.4658e-009,0.8651
1.5044e-009,0.9417
1.5430e-009,1.0045
1.5816e-009,1.0554
1.6202e-009,1.0967
1.6587e-009,1.1314
1.6973e-009,1.1542
1.7359e-009,1.1620
1.7745e-009,1.1443
1.8130e-009,1.0836
1.8516e-009,0.9847
1.8902e-009,0.8673
1.9288e-009,0.7435
1.9673e-009,0.6292
2.0059e-009,0.5342
2.0445e-009,0.4591
2.0830e-009,0.4072
2.1216e-009,0.3756
2.1602e-009,0.3619
2.1988e-009,0.3726
2.2374e-009,0.4180
2.2759e-009,0.5017
2.3145e-009,0.6153
2.3531e-009,0.7334
2.3916e-009,0.8351
2.4302e-009,0.9179
2.4688e-009,0.9856
2.5074e-009,1.0407
2.5459e-009,1.0844
2.5845e-009,1.1221
2.6231e-009,1.1492
2.6617e-009,1.1620
2.7003e-009,1.1541
2.7388e-009,1.1077
2.7774e-009,1.0183
2.8160e-009,0.9053
2.8545e-009,0.7822
2.8931e-009,0.6632
2.9317e-009,0.5619
2.9703e-009,0.4806
3.0089e-009,0.4210
3.0474e-009,0.3837
3.0860e-009,0.3640
3.1246e-009,0.3658
3.1631e-009,0.3994
3.2017e-009,0.4713
3.2403e-009,0.5775
3.2789e-009,0.6974
3.3175e-009,0.8051
3.3560e-009,0.8936
3.3946e-009,0.9656
3.4332e-009,1.0248
3.4717e-009,1.0711
3.5103e-009,1.1099
3.5489e-009,1.1410
3.5875e-009,1.1590
3.6260e-009,1.1594
3.6646e-009,1.1274
3.7032e-009,1.0500
3.7418e-009,0.9422
3.7803e-009,0.8215
3.8189e-009,0.6996
3.8575e-009,0.5918
3.8961e-009,0.5042
3.9346e-009,0.4371
3.9732e-009,0.3933
4.0118e-009,0.3682
4.0504e-009,0.3623
4.0890e-009,0.3846
4.1275e-009,0.4444
4.1661e-009,0.5412
4.2047e-009,0.6599
4.2433e-009,0.7732
4.2818e-009,0.8676
4.3204e-009,0.9442
4.3590e-009,1.0074
4.3975e-009,1.0578
4.4361e-009,1.0984
4.4747e-009,1.1325
4.5133e-009,1.1551
4.5519e-009,1.1619
4.5904e-009,1.1424
4.6290e-009,1.0790
4.6676e-009,0.9782
4.7062e-009,0.8605
4.7447e-009,0.7373
4.7833e-009,0.6237
4.8219e-009,0.5298
4.8604e-009,0.4558
4.8990e-009,0.4048
4.9376e-009,0.3741
4.9762e-009,0.3616
5.0147e-009,0.3737
5.0533e-009,0.4211
5.0919e-009,0.5071
5.1305e-009,0.6216
5.1691e-009,0.7393
5.2076e-009,0.8399
5.2462e-009,0.9217
5.2848e-009,0.9887
5.3234e-009,1.0433
5.3619e-009,1.0862
5.4005e-009,1.1230
5.4391e-009,1.1496
5.4776e-009,1.1618
5.5162e-009,1.1527
5.5548e-009,1.1041
5.5934e-009,1.0128
5.6320e-009,0.8989
5.6705e-009,0.7759
5.7091e-009,0.6577
5.7477e-009,0.5573
5.7863e-009,0.4769
5.8248e-009,0.4184
5.8634e-009,0.3817
5.9020e-009,0.3632
5.9405e-009,0.3664
5.9791e-009,0.4019
6.0177e-009,0.4759
6.0563e-009,0.5836
6.0948e-009,0.7034
6.1334e-009,0.8103
6.1720e-009,0.8978
6.2106e-009,0.9689
6.2492e-009,1.0275
6.2877e-009,1.0734
6.3263e-009,1.1124
6.3649e-009,1.1429
6.4035e-009,1.1599
6.4420e-009,1.1589
6.4806e-009,1.1246
6.5192e-009,1.0452
6.5577e-009,0.9364
6.5963e-009,0.8151
6.6349e-009,0.6935
6.6735e-009,0.5868
6.7121e-009,0.5002
6.7506e-009,0.4343
6.7892e-009,0.3919
6.8278e-009,0.3677
6.8664e-009,0.3629
6.9049e-009,0.3869
6.9435e-009,0.4486
6.9821e-009,0.5470
7.0206e-009,0.6661
7.0592e-009,0.7785
7.0978e-009,0.8720
7.1364e-009,0.9478
7.1749e-009,1.0103
7.2135e-009,1.0601
7.2521e-009,1.1009
7.2907e-009,1.1348
7.3293e-009,1.1563
7.3678e-009,1.1619
7.4064e-009,1.1404
7.4450e-009,1.0746
7.4835e-009,0.9727
7.5221e-009,0.8544
7.5607e-009,0.7310
7.5993e-009,0.6183
7.6379e-009,0.5255
7.6764e-009,0.4526
7.7150e-009,0.4031
7.7536e-009,0.3734
7.7922e-009,0.3617
7.8307e-009,0.3754
7.8693e-009,0.4248
7.9079e-009,0.5125
7.9464e-009,0.6279
7.9850e-009,0.7449
8.0236e-009,0.8445
8.0622e-009,0.9255
8.1008e-009,0.9919
8.1393e-009,1.0458
8.1779e-009,1.0886
8.2165e-009,1.1254
8.2550e-009,1.1512
8.2936e-009,1.1623
8.3322e-009,1.1515
8.3708e-009,1.1003
8.4093e-009,1.0075
8.4479e-009,0.8931
8.4865e-009,0.7696
8.5251e-009,0.6519
8.5637e-009,0.5527
8.6022e-009,0.4734
8.6408e-009,0.4163
8.6794e-009,0.3809
8.7179e-009,0.3631
8.7565e-009,0.3675
8.7951e-009,0.4049
8.8337e-009,0.4809
8.8722e-009,0.5898
8.9108e-009,0.7094
8.9494e-009,0.8151
8.9880e-009,0.9017
9.0266e-009,0.9723
9.0651e-009,1.0302
9.1037e-009,1.0753
9.1423e-009,1.1135
9.1808e-009,1.1434
9.2194e-009,1.1600
9.2580e-009,1.1580
9.2966e-009,1.1216
9.3352e-009,1.0400
9.3737e-009,0.9303
9.4123e-009,0.8089
9.4509e-009,0.6878
9.4895e-009,0.5819
9.5280e-009,0.4964
9.5666e-009,0.4316
9.6052e-009,0.3899
9.6437e-009,0.3667
9.6823e-009,0.3631
9.7209e-009,0.3889
9.7595e-009,0.4527
9.7981e-009,0.5529
9.8366e-009,0.6722
9.8752e-009,0.7838
9.9138e-009,0.8763
9.9524e-009,0.9513
9.9909e-009,1.0132
1.00295e-008,1.0623
1.00681e-008,1.1022
1.01066e-008,1.1354
1.01452e-008,1.1565
1.01838e-008,1.1614
1.02224e-008,1.1381
1.02610e-008,1.0700
1.02995e-008,0.9667
1.03381e-008,0.8480
1.03767e-008,0.7250
1.04152e-008,0.6132
1.04538e-008,0.5213
1.04924e-008,0.4495
1.05310e-008,0.4008
1.05695e-008,0.3720
1.06081e-008,0.3616
1.06467e-008,0.3768
1.06853e-008,0.4283
1.07239e-008,0.5179
1.07624e-008,0.6341
1.08010e-008,0.7505
1.08396e-008,0.8492
1.08781e-008,0.9292
1.09167e-008,0.9949
1.09553e-008,1.0482
1.09939e-008,1.0902
1.10324e-008,1.1263
1.10710e-008,1.1516
1.11096e-008,1.1621
1.11482e-008,1.1498
1.11868e-008,1.0965
1.12253e-008,1.0018
1.12639e-008,0.8866
1.13025e-008,0.7634
1.13410e-008,0.6465
1.13796e-008,0.5482
1.14182e-008,0.4698
1.14568e-008,0.4137
1.14953e-008,0.3791
1.15339e-008,0.3624
1.15725e-008,0.3684
1.16111e-008,0.4077
1.16497e-008,0.4857
1.16882e-008,0.5959
1.17268e-008,0.7152
1.17654e-008,0.8201
1.18039e-008,0.9058
1.18425e-008,0.9755
1.18811e-008,1.0328
1.19197e-008,1.0776
1.19583e-008,1.1160
1.19968e-008,1.1453
1.20354e-008,1.1607
1.20740e-008,1.1573
1.21126e-008,1.1185
1.21511e-008,1.0350
1.21897e-008,0.9245
1.22283e-008,0.8025
1.22668e-008,0.6817
1.23054e-008,0.5770
1.23440e-008,0.4925
1.23826e-008,0.4290
1.24212e-008,0.3886
1.24597e-008,0.3662
1.24983e-008,0.3638
1.25369e-008,0.3914
1.25755e-008,0.4571
1.26140e-008,0.5587
1.26526e-008,0.6784
1.26912e-008,0.7890
1.27297e-008,0.8805
1.27683e-008,0.9548
1.28069e-008,1.0161
1.28455e-008,1.0645
1.28841e-008,1.1048
1.29226e-008,1.1376
1.29612e-008,1.1576
1.29998e-008,1.1613
1.30383e-008,1.1358
1.30769e-008,1.0654
1.31155e-008,0.9612
1.31541e-008,0.8418
1.31926e-008,0.7187
1.32312e-008,0.6079
1.32698e-008,0.5172
1.33084e-008,0.4464
1.33470e-008,0.3993
1.33855e-008,0.3714
1.34241e-008,0.3618
1.34627e-008,0.3787
1.35012e-008,0.4321
1.35398e-008,0.5234
1.35784e-008,0.6404
1.36170e-008,0.7561
1.36555e-008,0.8536
1.36941e-008,0.9329
1.37327e-008,0.9980
1.37713e-008,1.0505
1.38099e-008,1.0926
1.38484e-008,1.1286
1.38870e-008,1.1530
1.39256e-008,1.1624
1.39641e-008,1.1484
1.40027e-008,1.0924
1.40413e-008,0.9964
1.40799e-008,0.8807
1.41185e-008,0.7570
1.41570e-008,0.6409
1.41956e-008,0.5437
