.HEADER
..NAMES
Time,V U3.J3
.DATA
0.0e+000,0.3305
3.67e-011,0.3305
7.33e-011,0.3305
1.100e-010,0.3305
1.467e-010,0.3305
1.834e-010,0.3305
2.201e-010,0.3305
2.567e-010,0.3305
2.934e-010,0.3305
3.301e-010,0.3305
3.667e-010,0.3305
4.034e-010,0.3305
4.401e-010,0.3305
4.768e-010,0.3305
5.135e-010,0.3305
5.501e-010,0.3305
5.868e-010,0.3305
6.235e-010,0.3305
6.601e-010,0.3305
6.968e-010,0.3306
7.335e-010,0.3312
7.702e-010,0.3336
8.068e-010,0.3408
8.435e-010,0.3575
8.802e-010,0.3895
9.169e-010,0.4415
9.536e-010,0.5139
9.902e-010,0.6018
1.0269e-009,0.6957
1.0636e-009,0.7840
1.1003e-009,0.8564
1.1369e-009,0.9069
1.1736e-009,0.9355
1.2103e-009,0.9472
1.2469e-009,0.9501
1.2836e-009,0.9528
1.3203e-009,0.9610
1.3570e-009,0.9765
1.3936e-009,0.9972
1.4303e-009,1.0191
1.4670e-009,1.0380
1.5037e-009,1.0510
1.5403e-009,1.0580
1.5770e-009,1.0606
1.6137e-009,1.0616
1.6504e-009,1.0638
1.6871e-009,1.0691
1.7237e-009,1.0771
1.7604e-009,1.0846
1.7971e-009,1.0852
1.8338e-009,1.0699
1.8704e-009,1.0307
1.9071e-009,0.9640
1.9438e-009,0.8728
1.9805e-009,0.7672
2.0171e-009,0.6619
2.0538e-009,0.5713
2.0905e-009,0.5056
2.1272e-009,0.4683
2.1638e-009,0.4559
2.2005e-009,0.4589
2.2372e-009,0.4660
2.2738e-009,0.4682
2.3105e-009,0.4606
2.3472e-009,0.4435
2.3839e-009,0.4212
2.4205e-009,0.3991
2.4572e-009,0.3819
2.4939e-009,0.3715
2.5306e-009,0.3674
2.5672e-009,0.3670
2.6039e-009,0.3669
2.6406e-009,0.3642
2.6773e-009,0.3578
2.7139e-009,0.3484
2.7506e-009,0.3382
2.7873e-009,0.3302
2.8240e-009,0.3263
2.8606e-009,0.3272
2.8973e-009,0.3313
2.9340e-009,0.3361
2.9707e-009,0.3392
3.0073e-009,0.3390
3.0440e-009,0.3356
3.0807e-009,0.3303
3.1174e-009,0.3250
3.1540e-009,0.3215
3.1907e-009,0.3205
3.2274e-009,0.3217
3.2641e-009,0.3238
3.3007e-009,0.3255
3.3374e-009,0.3257
3.3741e-009,0.3245
3.4108e-009,0.3223
3.4475e-009,0.3201
3.4841e-009,0.3188
3.5208e-009,0.3188
3.5575e-009,0.3199
3.5942e-009,0.3220
3.6308e-009,0.3244
3.6675e-009,0.3267
3.7042e-009,0.3286
3.7408e-009,0.3300
3.7775e-009,0.3310
3.8142e-009,0.3316
3.8509e-009,0.3319
3.8875e-009,0.3320
3.9242e-009,0.3319
3.9609e-009,0.3315
3.9976e-009,0.3308
4.0342e-009,0.3300
4.0709e-009,0.3293
4.1076e-009,0.3288
4.1443e-009,0.3288
4.1809e-009,0.3292
4.2176e-009,0.3300
4.2543e-009,0.3308
4.2910e-009,0.3313
4.3276e-009,0.3314
4.3643e-009,0.3311
4.4010e-009,0.3305
4.4377e-009,0.3300
4.4743e-009,0.3298
4.5110e-009,0.3300
4.5477e-009,0.3305
4.5844e-009,0.3310
4.6211e-009,0.3313
4.6577e-009,0.3312
4.6944e-009,0.3309
4.7311e-009,0.3304
4.7678e-009,0.3300
4.8044e-009,0.3298
4.8411e-009,0.3300
4.8778e-009,0.3304
4.9145e-009,0.3308
4.9511e-009,0.3312
4.9878e-009,0.3313
5.0245e-009,0.3311
5.0612e-009,0.3308
5.0978e-009,0.3305
5.1345e-009,0.3303
5.1712e-009,0.3302
5.2079e-009,0.3304
5.2445e-009,0.3306
5.2812e-009,0.3309
5.3179e-009,0.3310
5.3546e-009,0.3310
5.3912e-009,0.3308
5.4279e-009,0.3305
5.4646e-009,0.3302
5.5013e-009,0.3301
5.5379e-009,0.3301
5.5746e-009,0.3303
5.6113e-009,0.3305
5.6480e-009,0.3306
5.6846e-009,0.3307
5.7213e-009,0.3307
5.7580e-009,0.3305
5.7947e-009,0.3304
5.8313e-009,0.3303
5.8680e-009,0.3303
5.9047e-009,0.3304
5.9414e-009,0.3305
5.9780e-009,0.3306
6.0147e-009,0.3306
6.0514e-009,0.3306
6.0881e-009,0.3305
6.1247e-009,0.3304
6.1614e-009,0.3304
6.1981e-009,0.3304
6.2348e-009,0.3304
6.2714e-009,0.3305
6.3081e-009,0.3305
6.3448e-009,0.3305
6.3815e-009,0.3305
6.4181e-009,0.3305
6.4548e-009,0.3304
6.4915e-009,0.3304
6.5282e-009,0.3304
6.5648e-009,0.3304
6.6015e-009,0.3305
6.6382e-009,0.3305
6.6749e-009,0.3305
6.7115e-009,0.3305
6.7482e-009,0.3305
6.7849e-009,0.3304
6.8215e-009,0.3304
6.8582e-009,0.3304
6.8949e-009,0.3304
6.9316e-009,0.3305
6.9682e-009,0.3305
7.0049e-009,0.3305
7.0416e-009,0.3305
7.0783e-009,0.3305
7.1149e-009,0.3305
7.1516e-009,0.3304
7.1883e-009,0.3304
7.2250e-009,0.3304
7.2616e-009,0.3306
7.2983e-009,0.3312
7.3350e-009,0.3335
7.3717e-009,0.3404
