.HEADER
..NAMES
Time,V U4.M2
.DATA
0.0e+000,0.3300
3.67e-011,0.3300
7.33e-011,0.3300
1.100e-010,0.3300
1.467e-010,0.3300
1.834e-010,0.3300
2.201e-010,0.3300
2.567e-010,0.3300
2.934e-010,0.3300
3.301e-010,0.3300
3.667e-010,0.3300
4.034e-010,0.3300
4.401e-010,0.3300
4.768e-010,0.3300
5.135e-010,0.3300
5.501e-010,0.3300
5.868e-010,0.3301
6.235e-010,0.3305
6.601e-010,0.3325
6.968e-010,0.3395
7.335e-010,0.3572
7.702e-010,0.3924
8.068e-010,0.4494
8.435e-010,0.5271
8.802e-010,0.6183
9.169e-010,0.7130
9.536e-010,0.7999
9.902e-010,0.8683
1.0269e-009,0.9124
1.0636e-009,0.9347
1.1003e-009,0.9426
1.1369e-009,0.9439
1.1736e-009,0.9448
1.2103e-009,0.9496
1.2469e-009,0.9590
1.2836e-009,0.9702
1.3203e-009,0.9798
1.3570e-009,0.9858
1.3936e-009,0.9884
1.4303e-009,0.9900
1.4670e-009,0.9932
1.5037e-009,1.0006
1.5403e-009,1.0133
1.5770e-009,1.0309
1.6137e-009,1.0511
1.6504e-009,1.0700
1.6871e-009,1.0841
1.7237e-009,1.0909
1.7604e-009,1.0906
1.7971e-009,1.0854
1.8338e-009,1.0786
1.8704e-009,1.0737
1.9071e-009,1.0736
1.9438e-009,1.0789
1.9805e-009,1.0878
2.0171e-009,1.0973
2.0538e-009,1.1042
2.0905e-009,1.1066
2.1272e-009,1.1048
2.1638e-009,1.1004
2.2005e-009,1.0958
2.2372e-009,1.0935
2.2738e-009,1.0945
2.3105e-009,1.0982
2.3472e-009,1.1031
2.3839e-009,1.1071
2.4205e-009,1.1087
2.4572e-009,1.1076
2.4939e-009,1.1043
2.5306e-009,1.0999
2.5672e-009,1.0957
2.6039e-009,1.0928
2.6406e-009,1.0918
2.6773e-009,1.0922
2.7139e-009,1.0933
2.7506e-009,1.0943
2.7873e-009,1.0946
2.8240e-009,1.0941
2.8606e-009,1.0929
2.8973e-009,1.0916
2.9340e-009,1.0910
2.9707e-009,1.0913
3.0073e-009,1.0926
3.0440e-009,1.0944
3.0807e-009,1.0961
3.1174e-009,1.0970
3.1540e-009,1.0966
3.1907e-009,1.0953
3.2274e-009,1.0934
3.2641e-009,1.0917
3.3007e-009,1.0909
3.3374e-009,1.0909
3.3741e-009,1.0918
3.4108e-009,1.0931
3.4475e-009,1.0945
3.4841e-009,1.0960
3.5208e-009,1.0965
3.5575e-009,1.0926
3.5942e-009,1.0778
3.6308e-009,1.0439
3.6675e-009,0.9864
3.7042e-009,0.9061
3.7408e-009,0.8079
3.7775e-009,0.7025
3.8142e-009,0.6050
3.8509e-009,0.5289
3.8875e-009,0.4799
3.9242e-009,0.4569
3.9609e-009,0.4538
3.9976e-009,0.4608
4.0342e-009,0.4682
4.0709e-009,0.4697
4.1076e-009,0.4641
4.1443e-009,0.4539
4.1809e-009,0.4432
4.2176e-009,0.4354
4.2543e-009,0.4314
4.2910e-009,0.4299
4.3276e-009,0.4280
4.3643e-009,0.4224
4.4010e-009,0.4109
4.4377e-009,0.3932
4.4743e-009,0.3716
4.5110e-009,0.3502
4.5477e-009,0.3337
4.5844e-009,0.3252
4.6211e-009,0.3254
4.6577e-009,0.3323
4.6944e-009,0.3421
4.7311e-009,0.3502
4.7678e-009,0.3527
4.8044e-009,0.3482
4.8411e-009,0.3385
4.8778e-009,0.3270
4.9145e-009,0.3178
4.9511e-009,0.3134
