.HEADER
..NAMES
Time,V U5.K9
.DATA
0.0e+000,1.0880
3.67e-011,1.0880
7.33e-011,1.0880
1.100e-010,1.0880
1.467e-010,1.0880
1.834e-010,1.0880
2.201e-010,1.0880
2.567e-010,1.0880
2.934e-010,1.0880
3.301e-010,1.0880
3.667e-010,1.0880
4.034e-010,1.0880
4.401e-010,1.0880
4.768e-010,1.0882
5.135e-010,1.0889
5.501e-010,1.0904
5.868e-010,1.0927
6.235e-010,1.0921
6.601e-010,1.0809
6.968e-010,1.0471
7.335e-010,0.9826
7.702e-010,0.8915
8.068e-010,0.7848
8.435e-010,0.6761
8.802e-010,0.5810
9.169e-010,0.5128
9.536e-010,0.4754
9.902e-010,0.4631
1.0269e-009,0.4652
1.0636e-009,0.4702
1.1003e-009,0.4703
1.1369e-009,0.4633
1.1736e-009,0.4518
1.2103e-009,0.4399
1.2469e-009,0.4314
1.2836e-009,0.4277
1.3203e-009,0.4280
1.3570e-009,0.4304
1.3936e-009,0.4327
1.4303e-009,0.4331
1.4670e-009,0.4304
1.5037e-009,0.4242
1.5403e-009,0.4150
1.5770e-009,0.4044
1.6137e-009,0.3948
1.6504e-009,0.3879
1.6871e-009,0.3838
1.7237e-009,0.3809
1.7604e-009,0.3768
1.7971e-009,0.3691
1.8338e-009,0.3575
1.8704e-009,0.3434
1.9071e-009,0.3293
1.9438e-009,0.3182
1.9805e-009,0.3130
2.0171e-009,0.3144
2.0538e-009,0.3206
2.0905e-009,0.3279
2.1272e-009,0.3325
2.1638e-009,0.3327
2.2005e-009,0.3286
2.2372e-009,0.3223
2.2738e-009,0.3161
2.3105e-009,0.3123
2.3472e-009,0.3118
2.3839e-009,0.3147
2.4205e-009,0.3215
2.4572e-009,0.3345
2.4939e-009,0.3598
2.5306e-009,0.4069
2.5672e-009,0.4796
2.6039e-009,0.5731
2.6406e-009,0.6737
2.6773e-009,0.7660
2.7139e-009,0.8403
2.7506e-009,0.8914
2.7873e-009,0.9184
2.8240e-009,0.9274
2.8606e-009,0.9292
2.8973e-009,0.9322
2.9340e-009,0.9398
2.9707e-009,0.9508
3.0073e-009,0.9623
3.0440e-009,0.9715
3.0807e-009,0.9774
3.1174e-009,0.9805
3.1540e-009,0.9820
3.1907e-009,0.9829
3.2274e-009,0.9839
3.2641e-009,0.9860
3.3007e-009,0.9897
3.3374e-009,0.9960
3.3741e-009,1.0058
3.4108e-009,1.0172
3.4475e-009,1.0224
3.4841e-009,1.0082
3.5208e-009,0.9607
3.5575e-009,0.8794
3.5942e-009,0.7793
3.6308e-009,0.6765
3.6675e-009,0.5844
3.7042e-009,0.5161
3.7408e-009,0.4789
3.7775e-009,0.4681
3.8142e-009,0.4712
3.8509e-009,0.4754
3.8875e-009,0.4731
3.9242e-009,0.4636
3.9609e-009,0.4512
3.9976e-009,0.4414
4.0342e-009,0.4366
4.0709e-009,0.4368
4.1076e-009,0.4401
4.1443e-009,0.4436
4.1809e-009,0.4453
4.2176e-009,0.4440
4.2543e-009,0.4391
4.2910e-009,0.4309
4.3276e-009,0.4226
4.3643e-009,0.4219
4.4010e-009,0.4421
4.4377e-009,0.4950
4.4743e-009,0.5819
4.5110e-009,0.6877
4.5477e-009,0.7896
4.5844e-009,0.8716
4.6211e-009,0.9242
4.6577e-009,0.9446
4.6944e-009,0.9400
4.7311e-009,0.9261
4.7678e-009,0.9184
4.8044e-009,0.9246
4.8411e-009,0.9435
4.8778e-009,0.9665
4.9145e-009,0.9840
4.9511e-009,0.9907
4.9878e-009,0.9873
5.0245e-009,0.9782
5.0612e-009,0.9690
5.0978e-009,0.9638
5.1345e-009,0.9645
5.1712e-009,0.9713
5.2079e-009,0.9829
5.2445e-009,0.9983
5.2812e-009,1.0148
5.3179e-009,1.0256
5.3546e-009,1.0194
5.3912e-009,0.9823
5.4279e-009,0.9099
5.4646e-009,0.8140
5.5013e-009,0.7111
5.5379e-009,0.6154
5.5746e-009,0.5405
5.6113e-009,0.4952
5.6480e-009,0.4772
5.6846e-009,0.4753
5.7213e-009,0.4764
